V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
1,1,13,29,77,294,781,1737,2245,1979,1133,495,179,75,18
3,6,22,66,173,492,1313,2158,2237,1470,734,284,107,48,10
4,14,47,136,387,1066,2106,2240,1621,863,368,149,50,23,7
2,15,49,110,354,957,1924,2385,1702,931,401,163,56,16,4
3,6,33,60,192,473,1240,2028,2166,1528,802,344,141,49,14
1,2,5,32,129,302,780,1663,2276,1929,1101,517,189,78,30
1,1,0,1,0,8,21,56,142,347,899,1837,2212,1792,941
1,3,13,38,61,153,490,1054,2043,2275,1609,778,342,118,42
3,2,23,57,167,450,1199,2049,2171,1609,820,336,143,47,16
2,7,31,56,123,382,918,1844,2283,1756,962,429,168,51,13
1,1,4,34,103,271,691,1490,2156,1949,1297,626,246,103,42
1,1,10,32,133,338,910,1672,2175,1847,1069,490,208,88,22
4,7,19,69,207,717,1588,2364,2077,1166,537,217,86,38,17
1,13,24,68,162,472,1185,2149,2229,1550,762,307,121,52,12
3,1,6,12,28,91,268,735,1449,2199,2085,1274,594,227,87
1,10,31,76,240,648,1457,2262,2099,1261,573,229,97,31,12
2,6,12,35,94,324,925,1799,2245,1877,949,454,185,71,27
1,10,32,105,236,639,1445,2139,2036,1313,638,264,101,39,10
1,3,0,5,2,13,32,68,255,686,1531,2275,2070,1174,597
2,1,14,24,65,199,671,1545,2311,2020,1201,574,228,108,42
1,11,42,124,375,1115,2018,2283,1690,814,365,158,51,18,7
2,5,3,7,10,43,124,352,944,1768,2344,1731,995,407,148
2,3,7,42,168,441,1105,1912,2220,1649,862,369,170,51,12
2,8,32,128,399,1124,2040,2235,1629,821,369,126,57,21,5
1,11,23,76,200,549,1232,2177,2097,1525,724,268,106,44,15
2,3,11,15,47,132,349,862,1670,2193,1880,1045,482,182,84
2,5,29,59,230,655,1454,2225,2192,1288,570,249,100,30,5
4,14,54,130,394,938,1932,2323,1671,886,438,166,65,19,4
2,2,5,19,68,187,521,1253,2108,2268,1470,718,293,106,52
4,7,4,11,42,127,324,894,1585,2214,1912,1033,492,201,80
3,9,38,112,298,779,1542,2279,1948,1145,518,225,85,27,14
5,14,50,128,297,872,1752,2267,1873,990,478,201,74,28,12
3,16,52,139,463,1151,2013,2212,1596,838,340,128,55,17,4
1,5,28,88,297,858,1679,2216,1844,1092,520,228,105,41,14
3,12,23,67,161,457,1041,1950,2244,1590,884,386,150,49,22
2,4,12,47,126,393,933,1842,2352,1770,913,372,170,60,20
2,7,21,53,226,594,1441,2310,2111,1273,614,226,95,24,11
4,1,3,8,12,37,82,252,706,1488,2243,2003,1232,570,206
3,3,8,27,67,159,513,1135,1977,2179,1527,864,331,134,59
3,9,29,72,217,661,1501,2316,2077,1283,572,224,60,31,11
3,11,44,150,419,991,1946,2260,1665,869,399,163,57,21,10
4,5,30,79,220,624,1327,2093,2142,1387,659,327,110,35,13
2,9,26,74,173,500,1304,2169,2254,1359,665,275,103,53,13
4,8,42,111,313,869,1647,2385,1918,1008,454,190,72,21,7
2,19,35,110,355,929,1920,2413,1807,875,371,141,58,21,7
4,13,30,73,222,562,1348,2138,2123,1343,669,267,111,53,13
2,16,25,60,158,460,1143,2022,2201,1567,788,336,145,50,20
3,8,79,200,516,1333,2204,2267,1366,676,275,111,40,9,5
3,6,19,52,166,563,1306,2116,2176,1432,719,319,110,58,16
3,5,13,48,144,469,1116,2024,2327,1633,716,326,123,36,17
4,5,16,43,116,276,767,1673,2273,1981,1044,486,199,71,31
1,3,1,2,15,43,100,320,789,1649,2314,1962,1067,485,168
2,23,45,152,486,1212,1970,2210,1635,776,344,124,51,16,10
3,4,20,74,233,610,1389,2214,2184,1331,611,243,90,39,12
3,5,35,98,280,682,1479,2174,2046,1287,536,234,82,32,9
2,7,20,65,181,558,1207,2150,2193,1439,729,310,123,38,25
2,27,66,225,615,1482,2278,2109,1254,552,251,100,29,18,8
4,29,127,401,989,1878,2272,1775,938,404,146,67,22,8,3
1,2,17,63,193,518,1210,2040,2219,1479,762,319,118,46,15
3,11,19,93,210,648,1497,2249,2063,1247,596,269,115,24,8
2,3,10,43,108,292,757,1624,2259,1968,1124,557,190,66,36
2,3,14,86,267,675,1583,2268,2140,1217,552,232,74,30,9
5,28,65,166,440,1149,2063,2173,1524,782,368,130,56,18,8
2,6,5,13,42,107,331,929,1933,2345,1810,936,389,164,61
3,5,31,82,278,789,1652,2387,1966,1070,478,191,65,30,4
1,12,40,138,440,1064,1894,2199,1700,859,394,165,75,28,9
1,2,10,37,145,473,1068,1972,2377,1570,824,354,120,36,11
4,4,17,62,181,447,1148,2087,2294,1552,742,313,127,41,11
2,7,31,106,352,895,1713,2290,1822,1042,479,210,71,21,10
4,11,28,132,352,941,1985,2396,1771,879,351,152,47,20,11
1,4,20,57,169,458,1156,2072,2276,1579,752,322,130,41,13
3,5,7,22,67,180,439,1083,1799,2261,1612,871,457,176,77
2,9,25,70,254,805,1614,2293,1990,1120,526,217,62,26,15
2,1,5,4,29,62,222,621,1395,2293,2165,1327,588,219,83
2,3,4,26,59,198,578,1346,2208,2083,1328,675,332,111,45
1,1,2,5,13,38,108,364,918,1770,2410,1821,903,440,157
1,10,10,41,124,333,855,1780,2330,1832,986,440,172,71,20
2,18,26,96,237,746,1663,2385,1938,1156,466,197,86,24,12
3,8,13,50,151,459,1072,2002,2280,1582,801,363,137,39,27
2,2,1,12,35,113,346,913,1825,2281,1867,963,408,168,62
3,10,37,86,234,590,1217,1961,2179,1509,770,297,116,52,19
2,2,4,5,19,39,148,505,1241,2030,2232,1511,873,327,134
3,6,17,25,80,265,703,1492,2258,2034,1220,590,233,105,35
3,8,35,82,255,657,1483,2180,1988,1287,618,258,80,32,9
1,6,20,71,177,491,1080,1945,2300,1652,791,360,149,53,12
2,2,3,6,18,49,103,332,911,1778,2305,1890,1022,454,168
2,19,37,130,397,1092,1875,2277,1767,863,363,138,54,20,7
1,2,7,18,68,215,625,1450,2185,2127,1274,635,243,104,39
7,13,48,127,422,1160,1968,2290,1598,789,410,166,56,19,7
1,2,3,15,23,59,174,587,1457,2253,2234,1257,564,232,85
1,1,7,26,74,183,508,1239,2095,2145,1488,729,349,117,66
1,10,28,98,244,677,1494,2294,2020,1221,589,204,87,32,6
4,3,7,18,55,232,784,1702,2337,1921,1174,486,192,80,27
4,14,30,113,355,897,1782,2259,1814,1004,477,170,66,22,10
3,8,21,73,241,668,1507,2143,2072,1305,597,265,101,36,12
4,7,31,70,204,614,1463,2176,2115,1296,611,263,101,44,21
2,4,44,139,422,1081,1887,2298,1698,891,366,145,68,32,9
1,12,38,128,344,779,1698,2298,1917,1091,468,221,64,31,3
1,7,10,19,61,178,508,1209,2060,2218,1563,743,271,104,43
4,3,7,23,93,290,759,1622,2504,1974,1072,426,167,71,31
1,3,27,82,268,732,1466,2210,2035,1275,566,201,77,36,8
3,8,36,96,225,626,1383,2302,2155,1253,585,259,86,35,11
2,3,12,19,53,150,425,951,1797,2274,1775,901,421,163,53
2,6,26,37,140,351,910,1867,2345,1766,942,368,174,56,8
5,14,52,164,431,1006,1972,2276,1599,901,374,128,61,34,11
4,6,27,61,133,362,966,1836,2302,1726,916,409,192,55,36
2,2,7,43,120,345,924,1734,2176,1867,1039,452,170,84,28
3,6,8,26,95,268,717,1490,2211,2000,1220,590,256,87,25
1,5,23,58,173,486,1096,1964,2227,1564,826,362,140,60,19
3,3,23,61,201,524,1176,2035,2243,1477,774,304,120,35,21
2,10,41,111,285,717,1488,2105,1976,1255,605,242,109,43,13
2,7,50,120,376,987,1931,2376,1731,840,387,146,72,21,8
2,20,28,108,353,832,1790,2373,1839,1017,431,152,70,36,14
2,8,16,65,176,459,1075,2044,2339,1567,792,345,133,43,15
3,4,22,52,169,526,1165,2055,2165,1588,790,343,130,54,16
2,6,10,102,274,681,1501,2201,2127,1218,598,255,81,33,10
1,2,7,36,90,297,859,1763,2257,1852,1085,484,222,80,35
1,1,3,10,28,77,202,528,1335,2152,2116,1385,679,308,110
2,6,16,22,70,270,677,1427,2213,2017,1316,569,247,89,16
1,12,26,31,100,316,906,1807,2309,1799,940,431,200,70,22
2,7,25,66,170,506,1188,2134,2229,1475,775,305,109,27,8
2,27,50,147,375,958,1835,2329,1776,915,388,131,38,21,3
4,7,27,93,303,794,1621,2267,1995,1200,525,182,81,29,8
2,3,18,63,125,310,864,1750,2206,1826,1034,473,191,78,36
3,1,3,1,2,15,75,234,605,1352,2148,2104,1366,662,273
3,7,26,65,172,523,1254,2143,2134,1441,738,320,128,40,14
3,2,2,15,43,136,408,1037,1886,2231,1669,916,389,152,58
2,6,26,95,358,898,1823,2270,1820,969,442,202,75,23,10
1,3,5,17,55,145,352,903,1840,2354,1728,982,425,170,49
2,7,26,82,281,667,1583,2405,2114,1112,539,186,77,30,11
1,2,20,40,193,486,1253,2180,2166,1444,734,313,104,57,19
3,10,38,120,342,885,1745,2357,1913,948,398,170,69,24,14
2,13,64,115,377,868,1835,2315,1784,938,448,183,77,29,11
3,18,38,146,369,897,1800,2304,1808,998,432,164,52,33,8
3,4,12,35,116,327,930,1901,2441,1846,905,373,136,47,14
4,20,80,246,686,1482,2283,2074,1222,615,231,86,43,16,4
2,7,5,3,4,14,36,131,373,995,1811,2354,1740,951,388
1,2,3,10,47,149,394,1034,1962,2187,1740,864,414,143,61
1,8,31,102,394,1014,1953,2312,1732,906,372,174,52,22,5
3,11,37,71,197,556,1360,2044,2167,1406,715,282,97,27,12
2,5,27,89,227,633,1427,2192,2035,1279,663,251,115,38,17
2,8,29,104,298,764,1764,2351,1929,1058,503,165,67,20,10
1,13,44,104,368,960,1792,2305,1793,991,428,154,60,11,8
2,5,26,47,118,303,706,1545,2221,2003,1149,519,230,90,19
1,3,2,14,35,101,277,881,1700,2245,1883,1108,515,192,62
3,6,9,36,135,350,882,1808,2281,1818,1003,413,177,55,27
4,12,40,139,401,941,1872,2399,1846,895,412,140,46,12,2
2,1,10,27,101,274,688,1533,2176,2000,1220,588,269,98,44
2,3,14,47,138,417,1022,1933,2196,1708,900,379,162,43,20
2,1,1,6,15,37,108,328,1010,1841,2386,1734,945,386,156
1,12,29,54,162,501,1214,2170,2237,1484,744,278,120,39,18
2,4,2,15,58,180,467,1095,2002,2203,1631,791,332,138,37
2,9,61,219,710,1472,2314,2082,1268,589,240,77,27,6,2
2,3,18,64,187,620,1447,2310,2059,1328,634,238,81,34,11
2,2,17,55,198,561,1263,2091,2278,1408,694,295,94,47,13
1,4,24,84,253,666,1564,2332,2114,1179,490,208,95,30,11
4,4,29,67,192,580,1320,2123,2115,1409,680,289,100,41,10
2,8,41,104,358,901,1827,2256,1742,1046,441,177,70,13,10
1,7,34,116,351,1037,1979,2353,1722,902,368,145,56,20,6
1,12,75,236,615,1487,2354,2126,1323,571,238,66,29,9,1
1,1,4,16,44,85,289,798,1653,2226,1954,1062,522,276,80
7,20,58,147,423,1092,2005,2260,1671,851,365,130,32,14,3
2,22,42,125,418,1091,1972,2321,1694,793,335,144,51,17,6
1,5,6,32,92,303,894,1774,2391,1894,922,440,169,65,28
1,9,21,69,219,645,1464,2239,2139,1273,589,268,101,38,19
