V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
3,1,8,110,523,1647,3119,2384,886,250,53,25,7,3,1
2,2,11,23,50,288,1165,2988,2881,1232,361,101,27,5,3
10,45,153,647,2235,3340,1820,644,149,48,12,2,1,1,2
7,29,138,606,2020,3176,1993,728,203,61,18,6,2,2,1
5,17,82,408,1493,3210,2543,946,284,72,18,7,1,0,0
2,2,1,12,83,343,1395,3039,2633,1088,308,108,34,12,3
4,21,126,683,2061,3389,1898,634,195,49,10,4,0,0,3
4,2,8,35,163,646,2114,3289,1980,577,160,30,16,8,3
2,19,115,512,1876,3338,2117,756,222,76,14,4,1,1,1
2,2,4,12,51,314,1274,3025,2851,1166,307,88,23,7,1
19,107,453,1864,3465,2188,791,205,56,10,6,3,0,1,0
2,1,1,0,3,24,95,488,1927,3382,2192,703,184,54,9
1,2,3,5,35,135,669,2072,3312,1905,671,168,35,8,1
9,38,130,561,1878,3110,2219,773,225,62,23,7,0,1,0
4,4,5,16,75,281,1173,2806,2864,1259,381,107,25,13,3
5,18,33,172,746,2350,3083,1789,613,148,45,13,1,0,1
1,1,6,21,35,191,748,2215,3160,1742,642,176,51,6,5
6,36,156,737,2199,3072,1837,654,213,56,9,3,1,1,2
2,3,6,10,27,135,569,2092,3177,2031,692,221,43,15,1
1,4,33,137,512,2023,3301,2052,727,200,39,13,5,3,0
7,23,91,401,1505,3145,2445,978,268,71,24,5,2,0,2
4,3,7,12,49,194,995,2830,3089,1336,448,117,28,5,4
13,58,272,1135,2732,2773,1352,484,129,42,8,4,1,0,0
2,8,4,0,1,20,159,760,2375,3280,1692,545,163,39,14
4,4,7,15,88,455,1780,3216,2233,830,287,75,16,5,2
2,3,9,9,83,331,1345,3166,2706,996,317,75,21,9,1
3,1,7,24,131,714,2359,3350,1686,547,157,48,16,4,3
3,5,5,6,66,370,1530,3255,2520,949,276,86,22,3,1
6,19,100,512,1749,3232,2268,843,207,53,10,6,2,2,0
15,77,351,1606,3300,2380,917,258,69,20,13,4,2,2,2
2,1,3,23,85,435,1435,2869,2559,1147,326,115,20,8,7
2,6,41,121,621,1955,3258,2000,721,209,66,29,4,1,1
6,18,75,237,1118,3031,2812,1178,358,95,18,6,3,1,0
14,34,258,1030,2849,3054,1274,392,89,23,7,2,3,0,0
4,7,17,140,583,2040,3255,1992,689,195,60,15,3,1,1
1,2,19,73,273,1040,2698,2919,1406,418,146,32,4,2,0
2,15,56,381,1458,3232,2515,954,272,83,29,10,5,1,1
3,1,5,8,53,215,1045,2808,2991,1300,447,109,32,7,4
2,4,1,30,139,712,2287,3278,1822,552,189,61,8,5,1
5,26,124,535,1948,3184,2138,755,211,67,12,7,4,1,1
4,19,82,343,1415,3052,2628,1079,314,82,23,9,2,1,2
11,10,47,237,1191,2837,2873,1301,439,111,35,9,3,0,0
3,5,11,58,251,981,2628,3074,1489,450,126,45,5,1,2
2,5,17,37,169,709,2259,3145,1822,606,192,47,11,3,1
5,12,53,222,947,2734,3010,1461,438,130,35,10,1,0,1
6,10,4,8,7,33,235,1013,2714,2950,1462,433,122,28,9
2,1,13,47,208,919,2613,3045,1482,469,119,35,10,3,1
6,39,216,869,2603,3231,1441,445,83,17,3,2,0,0,1
3,2,2,13,24,49,244,975,2689,3125,1399,392,117,34,6
6,6,23,79,307,1276,2932,2709,1227,376,100,23,3,3,1
3,2,25,107,476,1764,3381,2225,785,242,54,11,4,2,0
4,5,11,34,195,889,2524,2963,1645,499,143,33,10,4,1
2,12,80,429,1613,3214,2493,947,234,63,13,5,3,2,1
3,6,17,57,255,984,2601,3037,1475,449,121,33,6,1,0
4,3,16,75,272,1188,2733,2841,1311,410,134,32,11,3,0
3,14,27,67,262,978,2802,2980,1341,418,105,21,6,3,2
2,3,15,59,338,1518,3030,2542,1032,311,82,30,5,2,1
10,21,147,502,1721,3216,2291,818,238,70,16,3,1,2,1
4,22,116,511,1707,3325,2254,817,214,73,16,4,0,1,1
2,23,88,520,1922,3207,2244,759,253,49,6,5,5,3,1
6,24,141,700,2379,3239,1748,572,152,46,18,4,1,2,0
1,4,12,40,264,1221,3048,2832,1231,314,85,19,6,3,3
6,11,65,198,962,2630,3060,1449,441,112,29,13,7,4,1
6,14,34,161,764,2275,3198,1790,560,136,35,11,3,2,1
13,35,82,305,1347,3135,2759,1017,303,87,34,8,0,1,1
4,7,3,8,17,51,330,1376,2941,2749,1104,355,105,33,13
7,4,12,81,461,1693,3324,2314,860,236,70,14,1,2,1
4,2,3,19,87,362,1469,3160,2553,972,278,75,16,5,1
1,3,4,14,26,51,154,571,1897,3268,2017,684,235,64,14
2,4,22,61,240,1003,2712,3064,1412,447,112,34,7,1,2
10,15,36,210,984,2462,3109,1546,503,128,31,12,2,1,1
2,8,26,200,986,2635,3014,1489,489,136,30,12,3,3,1
12,57,320,1248,2894,2847,1203,329,98,31,4,2,1,0,1
2,6,27,171,838,2434,3282,1647,503,152,52,6,1,1,4
4,2,1,3,4,25,69,295,1245,3105,2813,1083,310,91,30
4,4,44,155,791,2262,3184,1760,637,175,38,12,3,5,2
2,1,4,29,109,403,1622,3115,2419,943,285,65,24,7,2
3,9,17,61,340,1392,3193,2633,1024,336,98,21,10,3,0
1,2,6,18,104,590,2066,3240,2008,710,180,63,19,6,5
5,10,44,258,1226,3110,2864,1135,298,73,36,6,0,2,1
4,6,6,27,133,489,1767,3283,2224,830,249,64,22,4,1
6,60,222,983,2705,3059,1396,432,109,37,14,6,3,2,2
7,12,14,28,73,238,907,2844,3010,1325,411,122,27,4,1
6,20,104,562,2067,3399,1938,703,186,46,12,2,1,0,0
15,66,319,1311,2923,2726,1203,397,104,41,7,4,1,1,1
3,1,0,0,10,27,173,731,2185,3171,1822,643,189,55,15
3,6,30,153,632,2156,3270,1926,675,218,67,11,2,1,1
3,6,23,157,676,2284,3267,1854,568,178,49,9,2,2,1
4,9,49,186,863,2585,3220,1473,501,137,30,8,1,1,1
5,7,21,69,269,1025,2678,2812,1451,471,134,32,11,3,2
2,3,2,19,51,295,1112,2900,2863,1268,402,95,19,11,2
6,6,14,65,372,1669,3214,2390,920,251,89,30,2,1,1
14,70,328,1437,3089,2630,1096,321,87,17,13,3,1,1,0
1,11,44,150,589,2010,3173,2006,707,230,54,27,4,1,0
4,15,86,278,1086,2886,2931,1249,385,109,34,9,1,2,1
6,18,102,563,1736,3230,2215,821,266,56,16,4,1,0,0
6,7,29,133,747,2251,3170,1862,627,158,42,7,1,1,2
7,29,116,599,2162,3380,1919,616,169,31,11,5,4,1,1
2,7,43,241,940,2544,2948,1555,484,135,34,23,9,3,2
3,3,28,67,370,1579,3291,2449,873,246,73,15,6,3,1
2,4,6,22,73,476,1590,3240,2372,923,252,71,28,5,0
4,2,4,13,25,90,387,1516,3155,2434,1005,315,75,22,6
1,3,1,14,99,335,1196,2819,2717,1236,387,94,25,5,3
2,1,4,26,98,526,1903,3177,2144,797,222,67,19,7,4
5,12,24,60,378,1421,3085,2572,1033,332,92,28,9,1,1
1,2,5,7,8,59,319,1323,3105,2729,1095,321,80,24,3
2,2,2,8,43,238,1166,2906,2792,1282,394,111,35,16,2
7,30,32,90,476,1726,3182,2303,817,240,60,13,6,2,1
2,2,8,13,48,270,1037,2792,2905,1356,429,111,32,3,1
6,12,19,57,236,1175,2776,2908,1290,349,107,37,10,4,3
14,64,268,1072,2668,2880,1431,469,150,34,12,5,1,1,2
8,25,127,436,1654,3327,2295,815,234,59,15,7,1,2,1
7,33,233,1049,2723,2993,1481,437,113,26,6,2,4,0,0
10,8,59,304,1003,2782,2898,1381,466,114,38,12,2,1,0
2,15,49,180,888,2481,3026,1660,526,147,41,8,2,2,1
4,1,3,9,35,170,683,2291,3333,1854,550,140,37,7,3
3,1,1,16,83,326,1323,3002,2691,1073,320,104,15,5,2
7,19,80,324,1265,2946,2685,1216,366,113,25,5,6,1,1
4,17,18,39,151,705,2335,3256,1756,593,150,34,11,7,3
7,3,30,175,830,2572,3068,1511,536,145,46,15,4,2,1
3,2,4,20,137,639,2177,3271,1850,595,186,61,16,8,4
2,5,11,31,159,690,2277,3231,1763,602,163,64,19,8,0
27,86,346,1197,3019,2699,1147,338,97,26,7,2,1,4,2
11,55,377,1439,3128,2536,1032,334,87,17,5,3,1,1,0
6,5,28,112,451,1555,3431,2333,813,205,53,16,2,2,1
10,31,138,583,1831,3254,2191,759,211,64,19,10,3,2,0
2,6,10,82,290,1270,2983,2669,1131,390,103,36,9,2,2
15,40,169,784,2502,3041,1670,542,143,50,6,1,1,1,0
4,36,164,695,2103,3164,1874,707,182,47,9,2,5,4,0
9,14,77,335,1213,2868,2704,1185,370,90,24,15,4,3,4
3,10,56,237,981,2825,2921,1378,460,122,36,12,4,0,4
2,2,11,27,89,506,1626,3354,2325,769,242,63,16,3,1
5,8,16,94,339,1307,3223,2589,1044,306,74,22,7,3,1
2,7,32,130,739,2312,3178,1807,582,145,44,12,2,2,0
3,26,123,558,1961,3258,2022,763,212,58,17,8,4,3,0
10,25,105,538,2350,3273,1917,626,160,48,10,5,0,1,0
9,20,35,119,476,1729,3279,2255,777,235,47,13,4,4,3
10,9,42,220,937,2493,3125,1512,499,132,32,12,2,4,0
1,1,5,11,37,196,869,2505,3105,1560,533,170,40,7,4
3,3,48,306,1189,2890,2885,1227,368,99,21,5,0,0,1
2,1,2,5,36,147,773,2358,3342,1587,519,157,39,6,5
1,1,1,14,74,402,1667,3365,2352,832,261,59,23,6,0
4,6,6,60,388,1491,3382,2470,888,260,79,16,7,1,0
3,7,25,120,619,2073,3375,1878,699,175,44,11,2,2,1
3,5,9,44,172,866,2482,3166,1599,560,145,50,12,0,2
19,92,468,1808,3400,2318,716,185,66,13,5,1,1,1,1
5,5,7,8,24,117,518,1865,3300,2197,743,202,47,19,3
9,29,163,581,1954,3234,2024,748,243,61,20,4,2,2,1
4,10,37,175,817,2382,3218,1660,598,131,41,3,1,0,1
8,20,91,553,2040,3378,2069,657,190,46,8,1,2,0,1
30,199,887,2445,3088,1631,520,165,45,7,1,1,1,0,1
4,2,18,96,383,1583,3175,2429,951,263,72,33,5,3,2
2,8,66,279,962,2592,3013,1498,494,132,41,14,3,1,1
5,19,80,337,1420,3222,2551,982,276,105,38,6,2,1,0
5,70,370,1528,3113,2581,1017,281,68,30,3,0,0,1,3
2,4,7,17,91,488,1683,3248,2315,856,253,63,16,3,1
4,13,17,32,155,700,2221,3270,1786,598,157,36,7,7,0
3,23,85,386,1605,3101,2442,925,296,73,26,11,0,1,0
