V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
16,137,854,3117,3421,1027,292,103,38,12,4,5,0,1,0
10,86,444,2232,3650,1748,579,190,74,16,4,1,2,0,3
19,55,274,2135,4075,1755,519,163,48,21,8,3,1,2,0
9,43,277,1800,4312,1857,517,156,40,12,8,3,2,0,0
6,16,76,503,2632,3683,1525,419,127,56,22,18,4,3,0
62,430,2548,3729,1539,483,156,50,30,16,0,1,1,0,1
23,156,1612,3994,2219,721,226,76,30,7,1,1,1,1,1
4,15,76,762,3223,3503,1025,332,133,34,7,0,0,2,0
24,82,592,2840,3539,1352,387,133,39,5,6,1,1,3,0
13,57,491,2662,3803,1445,434,102,38,13,3,1,2,0,1
20,125,811,3117,3216,1176,305,109,49,20,3,1,1,0,1
4,17,132,776,3222,3482,1116,258,85,13,7,1,4,1,1
4,5,7,69,726,2954,3606,1163,385,118,36,16,6,1,0
5,5,69,330,2056,3844,1899,543,161,60,36,3,6,3,0
2,12,193,1176,3950,2626,709,226,75,27,11,3,0,2,1
16,210,1539,4094,2328,632,171,53,13,4,5,3,5,0,0
12,27,253,1353,3841,2508,715,227,71,14,5,5,2,4,1
11,53,671,3478,3265,1176,305,97,34,10,12,1,1,0,0
4,11,111,916,3167,3474,999,277,84,23,6,5,1,0,0
3,2,1,40,79,609,2823,3639,1318,349,108,40,12,4,5
22,195,1685,3709,2402,702,215,52,16,5,2,1,2,0,0
3,9,163,1374,3885,2539,721,204,72,30,18,7,4,2,1
7,23,71,445,1955,3858,1780,577,163,49,20,9,1,0,0
2,14,105,829,3331,3282,1053,319,77,34,10,3,7,1,0
6,123,762,3394,3189,1174,278,111,37,5,3,3,2,0,0
8,20,134,830,3481,3202,994,295,81,31,7,4,3,1,2
5,6,49,423,2848,4023,1248,359,113,39,16,5,2,0,0
24,117,1022,3499,3006,933,268,100,33,12,1,2,0,2,1
7,22,117,973,3435,2956,1027,308,114,30,9,5,0,0,0
8,51,297,1636,4133,1995,606,175,81,39,10,7,5,2,0
8,55,424,2556,3815,1439,435,147,57,14,9,3,0,1,0
10,100,994,3870,2815,888,263,81,25,14,1,3,0,0,0
7,17,132,860,3472,3066,1121,269,98,41,10,3,5,0,0
5,32,207,1394,3596,2513,854,250,62,25,4,5,3,3,0
5,8,125,750,2926,3392,1241,370,113,41,23,4,2,2,1
20,287,1777,3929,2034,663,177,72,40,19,8,1,0,2,1
1,10,62,372,2589,3755,1542,511,117,52,8,2,2,1,0
18,100,1237,3735,2603,864,238,98,26,11,1,3,0,3,3
1,38,284,1428,4102,2242,676,178,58,23,3,3,3,1,0
7,35,392,2207,3964,1734,502,113,47,16,5,1,0,0,0
3,5,40,188,1375,3825,2489,732,207,80,30,12,3,5,3
4,17,90,602,2879,3560,1244,401,126,50,16,6,1,1,2
