"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
1,1,1,8,15,26,57,97,248,517,914,1482,1626,1492,982,528,271,132,62,37,14
4,8,14,36,82,189,421,928,1364,1794,1545,1128,603,306,163,83,45,19,8,3,1
2,12,52,86,177,352,725,1339,1684,1667,1164,684,372,180,79,38,28,17,9,4,2
4,12,31,71,165,439,885,1450,1805,1611,1073,596,301,141,60,41,29,12,9,4,2
3,3,10,37,113,242,455,861,1420,1777,1542,1040,638,311,156,72,24,7,6,0,0
1,16,29,72,144,312,578,1122,1516,1671,1459,903,491,258,126,48,23,11,4,0,0
1,2,0,0,6,16,47,53,113,175,392,727,1264,1588,1670,1175,692,355,173,90,26
1,4,4,15,25,78,198,400,799,1385,1683,1563,1162,717,357,183,68,31,16,2,1
2,1,3,11,20,47,172,343,743,1415,1712,1692,1232,717,332,154,87,47,26,7,7
1,0,2,7,8,31,66,142,299,627,1117,1594,1787,1466,819,403,230,91,63,31,12
1,1,0,1,2,4,9,45,79,140,372,758,1369,1723,1694,1218,641,339,165,78,44
1,1,9,31,79,193,367,726,1379,1844,1654,1167,636,350,171,63,24,21,13,5,1
1,4,8,15,31,54,138,346,679,1126,1700,1832,1293,754,396,208,89,43,19,16,5
1,11,22,32,100,253,532,974,1544,1761,1543,921,511,222,118,56,23,11,8,5,4
1,3,10,31,58,83,196,403,817,1320,1716,1660,1175,653,335,146,67,23,13,4,6
2,2,1,1,9,10,17,48,109,249,587,1108,1649,1753,1403,869,447,220,126,56,25
2,2,4,10,21,63,167,322,657,1228,1644,1747,1357,756,389,182,97,42,17,11,10
3,9,28,64,106,259,625,1023,1562,1724,1427,926,471,251,102,63,31,10,8,4,1
1,7,7,10,22,27,73,185,404,738,1285,1690,1674,1163,684,362,195,94,37,24,8
3,2,11,35,79,187,446,832,1378,1715,1675,1048,621,318,159,74,46,14,18,7,3
2,8,9,26,54,120,299,521,1015,1483,1730,1364,918,546,303,132,68,31,9,2,1
1,1,1,3,1,7,21,49,106,246,558,1013,1572,1771,1476,914,510,223,111,54,23
2,6,8,13,29,44,89,213,431,867,1378,1723,1605,1072,590,277,147,78,38,18,16
1,5,10,30,70,185,355,729,1338,1692,1620,1197,695,348,210,88,44,27,17,2,3
2,2,6,19,32,107,216,541,1052,1531,1837,1487,912,491,258,117,54,27,19,5,8
4,1,10,19,53,136,298,632,1173,1553,1747,1330,803,427,211,103,43,24,7,10,3
2,1,9,40,72,166,364,738,1301,1751,1735,1192,713,353,168,90,40,11,7,1,0
