"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15","V16","V17","V18","V19","V20","V21"
2,1,10,15,22,38,45,96,137,275,372,521,727,782,838,743,674,480,381,242,159
5,7,19,32,57,88,152,248,405,634,813,1008,994,810,646,405,249,154,103,80,58
5,1,2,10,11,33,43,64,108,150,266,388,542,669,828,809,727,550,440,328,261
2,1,2,4,6,15,26,32,58,113,228,360,534,674,838,825,765,690,499,380,257
2,1,0,2,3,9,21,20,31,27,35,58,60,89,95,141,175,332,433,648,742
3,2,1,2,3,5,3,15,28,69,112,182,234,373,489,646,722,642,682,640,513
1,1,1,12,11,6,9,5,13,15,25,24,46,77,141,207,283,404,555,674,810
1,1,1,2,12,30,44,83,99,141,230,360,507,703,840,793,699,605,512,388,251
5,3,17,16,30,51,80,138,245,408,534,747,832,867,834,678,465,363,231,148,83
3,4,15,37,99,147,242,321,532,670,801,822,733,657,513,348,207,170,97,78,48
5,10,13,23,50,89,139,181,278,355,479,577,666,701,712,658,613,369,270,177,109
3,4,3,5,6,14,14,35,46,48,102,151,227,366,476,703,781,802,751,635,451
4,5,10,14,30,68,113,176,285,452,550,791,840,934,811,594,524,294,162,82,66
4,2,2,1,3,1,3,8,6,4,3,9,13,11,25,37,71,115,181,261,407
1,2,7,5,5,6,2,1,5,9,16,27,27,55,90,132,207,281,483,592,791
4,3,3,5,8,8,18,36,59,97,172,235,382,543,671,807,874,800,662,502,349
2,1,2,2,2,8,15,25,41,50,91,112,193,287,447,570,711,770,747,727,605
3,2,13,32,34,58,85,145,268,336,596,735,961,911,849,623,440,284,163,126,75
2,6,6,19,22,40,54,83,105,211,303,498,682,852,893,861,675,515,344,204,137
2,5,6,7,9,11,22,23,59,99,210,269,484,608,754,797,856,666,560,380,280
3,4,6,13,25,47,67,113,172,245,301,529,678,751,907,757,624,496,349,229,155
3,3,3,2,13,20,54,84,143,260,369,577,663,876,932,783,656,478,348,228,138
2,5,2,6,7,11,13,18,56,89,195,315,490,688,803,953,903,790,559,379,266
3,9,20,43,43,48,82,117,163,276,334,438,572,589,755,712,666,559,406,286,187
5,10,5,6,6,13,3,19,13,22,43,81,151,225,385,543,643,772,790,722,677
2,5,4,3,8,9,10,18,24,30,33,75,146,204,317,414,538,768,880,876,707
2,10,8,12,25,45,70,100,167,184,288,403,527,623,782,787,708,564,429,319,207
3,7,11,15,27,46,96,140,252,371,543,678,841,836,834,683,506,343,239,174,105
5,4,6,9,13,30,29,52,76,140,156,289,452,579,748,872,898,730,572,391,267
2,7,4,5,9,9,24,64,92,174,242,354,530,622,817,875,807,618,448,356,193
3,14,26,54,95,142,248,384,562,618,790,725,818,718,557,362,254,160,88,45,43
3,4,10,8,12,12,33,61,111,162,261,436,541,692,816,776,690,540,430,337,228
1,7,8,10,17,32,54,67,114,129,187,329,439,654,803,810,805,698,563,339,258
4,3,8,10,18,31,35,45,65,118,131,282,348,515,605,821,866,702,598,471,306
3,8,8,19,36,61,110,171,199,277,405,548,678,761,772,674,572,441,334,220,157
3,4,6,12,12,15,34,67,121,224,408,503,690,829,892,859,743,552,378,246,142
4,8,12,13,22,39,51,60,81,128,174,233,358,464,644,830,816,807,660,449,340
9,18,28,32,58,100,152,257,418,500,667,745,808,699,586,464,311,237,148,121,75
2,3,7,19,44,82,132,202,281,417,552,697,795,768,701,598,464,336,220,133,84
2,12,25,49,64,146,253,362,624,803,872,850,791,655,480,330,208,129,58,45,20
6,10,10,11,26,42,62,87,143,183,294,374,539,678,862,845,796,591,415,304,176
6,11,9,9,21,26,42,90,146,219,304,490,608,738,830,753,648,549,380,261,184
2,3,12,26,31,56,72,98,131,205,279,424,565,775,881,826,708,500,353,223,146
3,3,7,21,56,109,173,240,360,533,655,791,776,719,537,445,297,234,183,131,88
2,5,3,16,14,34,39,60,81,171,239,399,532,689,733,816,701,579,402,261,167
4,3,11,26,43,87,129,209,288,450,658,731,736,803,696,604,433,335,203,147,99
7,12,6,7,6,13,8,25,53,70,99,138,223,316,452,656,663,773,680,602,474
3,2,2,3,6,4,7,9,21,26,54,83,112,239,392,586,710,775,768,705,577
2,1,1,4,12,28,39,69,115,184,293,428,527,727,785,908,840,633,420,293,160
7,9,14,21,34,40,89,143,194,272,393,597,768,902,879,727,597,445,263,164,84
3,11,19,26,50,63,98,128,233,319,454,533,637,726,827,670,581,417,294,267,152
1,4,5,4,8,10,11,28,56,87,132,182,240,384,520,572,805,727,668,581,452
4,12,23,35,70,110,223,294,469,657,767,927,822,712,510,384,263,174,99,69,35
5,14,20,29,44,64,98,165,196,316,376,577,677,746,735,672,476,402,304,196,140
1,5,3,6,10,20,29,54,76,98,135,181,263,428,569,785,837,830,641,609,370
2,1,3,10,9,8,5,3,8,7,16,11,43,40,53,97,161,260,420,567,759
2,8,9,14,34,64,87,153,306,491,721,865,893,784,673,580,467,338,235,103,64
6,12,37,54,113,201,316,380,588,757,790,783,653,490,395,256,170,107,95,61,39
2,1,2,5,7,13,15,28,36,48,72,133,221,347,502,643,813,797,759,691,514
3,7,17,28,52,111,196,335,468,622,742,791,758,737,535,389,320,199,129,99,63
4,12,21,27,47,90,149,254,352,536,674,784,909,843,721,505,341,216,143,110,70
2,8,12,19,32,62,95,143,192,287,386,525,697,769,816,784,591,470,340,181,132
2,6,6,19,22,34,47,79,140,203,300,404,571,739,798,824,757,624,440,313,203
11,24,37,87,122,248,392,590,745,777,911,784,639,515,369,288,207,125,69,30,21
1,2,2,2,1,3,4,14,29,38,59,93,147,221,394,540,711,782,890,850,697
2,2,4,5,6,6,22,32,70,89,187,280,408,548,673,764,826,739,595,447,340
1,2,9,20,44,61,65,93,146,202,251,413,567,768,843,689,634,467,379,259,186
3,6,2,8,11,14,15,13,45,60,122,198,309,447,602,683,836,790,669,538,466
5,2,3,5,14,15,23,49,62,89,168,249,386,584,760,892,864,742,528,465,323
5,8,17,45,81,160,261,413,546,742,765,735,713,636,484,376,261,197,114,70,52
1,2,6,12,19,45,43,78,137,202,315,454,600,749,769,753,673,545,459,286,189
3,11,6,10,9,4,0,0,6,12,13,21,42,77,114,158,272,452,564,821,875
3,5,7,17,25,33,38,84,111,210,276,439,612,718,916,891,716,543,374,314,186
4,7,9,24,50,86,134,173,297,422,627,755,832,850,794,586,396,269,182,130,71
2,0,7,10,12,17,21,35,49,64,113,187,264,455,621,781,888,900,721,588,471
2,5,13,29,33,57,92,158,243,357,524,735,907,908,771,572,404,322,183,130,98
3,8,17,15,37,37,70,99,184,248,390,572,739,844,867,750,577,457,319,215,107
3,6,8,10,29,36,59,76,132,208,316,447,606,878,877,874,667,513,368,256,188
