V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
2,1,11,22,63,106,206,411,681,1022,1235,1073,761,433,228
5,10,56,115,192,379,735,1067,1266,1099,857,533,306,173,89
5,12,38,73,189,376,683,953,1077,1075,825,557,372,205,70
7,14,41,73,130,237,484,797,1086,1233,1130,724,376,183,88
4,10,38,56,95,168,304,587,954,1205,1177,910,504,296,169
2,5,6,8,21,44,60,160,380,667,1050,1343,1173,794,481
3,10,21,47,94,182,366,692,957,1156,1152,853,502,293,146
5,17,46,89,256,524,768,1165,1288,1015,713,439,229,101,58
4,6,13,25,53,113,171,329,635,947,1095,1116,898,573,327
2,2,5,20,30,143,288,515,902,1244,1343,1033,578,315,148
3,5,13,39,106,186,317,533,859,1025,1091,946,665,423,226
4,11,51,59,91,182,379,639,1008,1327,1157,801,500,272,139
4,5,12,12,25,55,122,293,634,1047,1272,1287,935,552,343
5,23,66,151,320,583,1031,1295,1255,860,504,287,132,65,38
1,2,3,5,6,7,24,49,117,221,440,707,1126,1270,1107
5,2,6,6,13,31,52,154,322,558,846,1178,1219,994,688
5,9,19,51,111,187,319,646,1004,1268,1161,891,507,305,120
4,6,31,66,146,298,593,975,1190,1169,962,656,413,203,120
2,8,25,51,94,191,372,646,974,1212,1141,789,463,304,207
4,6,8,22,55,98,187,395,841,1123,1294,1144,867,483,227
2,7,17,67,103,199,345,662,1037,1275,1208,834,466,250,123
3,14,18,17,26,72,139,260,519,892,1239,1234,966,616,336
2,7,13,40,119,283,569,996,1327,1372,967,522,304,159,75
2,7,3,8,16,37,105,288,559,964,1190,1192,931,632,374
8,26,40,95,147,271,508,834,1122,1196,1057,666,364,196,104
4,4,2,9,4,26,19,51,73,192,453,738,1079,1331,1165
5,20,37,81,234,421,774,1169,1255,1061,735,507,266,155,80
2,10,7,11,10,6,27,36,62,103,226,345,647,1129,1271
3,11,39,81,153,286,556,987,1220,1189,898,636,362,180,100
2,4,9,44,95,227,401,696,1068,1216,1027,784,518,286,139
2,16,20,59,115,194,343,539,848,1108,1102,795,558,319,176
5,11,13,22,33,112,203,424,731,1191,1384,1165,811,426,178
9,15,25,60,136,288,571,909,1346,1343,985,590,279,158,68
2,3,11,15,20,43,77,199,332,604,1005,1204,1095,859,483
2,7,11,30,48,75,156,257,515,832,1114,1254,1015,651,385
5,9,13,23,46,98,184,400,683,1071,1330,1220,832,444,262
5,16,28,71,161,314,584,857,1124,1150,944,606,365,215,103
3,8,28,60,191,351,561,830,1096,1109,828,582,341,211,137
2,6,7,6,16,23,54,82,176,373,673,1054,1323,1173,837
6,11,42,81,186,376,768,1193,1370,1158,828,471,232,101,44
4,12,25,43,68,106,219,461,781,1196,1326,987,704,401,230
13,32,32,36,72,147,225,459,784,1056,1148,952,664,411,259
2,2,7,37,93,196,349,727,1059,1298,1158,849,476,248,126
4,3,2,5,12,15,55,90,166,378,610,896,1163,1215,896
3,6,10,14,54,114,250,513,906,1172,1263,997,645,335,185
5,12,25,46,136,313,545,843,1209,1238,927,565,312,165,74
4,5,33,74,179,358,676,1026,1209,1061,866,427,263,148,61
5,15,26,72,185,345,631,942,1305,1326,977,553,285,121,51
2,2,7,12,28,69,174,303,581,870,1205,1156,969,567,386
11,49,100,193,382,697,979,1099,1054,818,537,341,176,103,50
4,3,17,31,38,104,231,490,841,1181,1273,1076,669,321,215
2,1,4,30,70,181,387,605,858,1171,1186,982,557,316,158
8,13,31,99,204,338,605,892,1199,1141,880,573,366,223,97
4,5,10,21,69,124,251,553,876,1244,1356,1072,605,323,146
1,8,8,35,51,167,358,636,979,1289,1181,870,543,316,150
1,6,16,34,63,181,386,757,1022,1217,1243,896,625,300,172
4,15,33,85,150,363,643,1032,1317,1276,842,450,219,110,61
7,27,42,72,125,240,446,788,1204,1203,999,687,407,227,123
1,5,5,14,24,58,140,283,490,791,1177,1307,1088,719,370
4,9,14,42,55,103,171,327,586,896,1130,1072,830,575,387
2,4,11,21,31,63,126,211,402,727,1016,1173,1119,783,495
1,4,5,14,20,25,87,193,344,607,933,1106,1183,982,641
6,5,21,26,51,101,226,459,726,1076,1218,1130,816,470,250
5,12,13,34,108,225,472,798,1043,1210,1059,760,424,254,124
6,18,78,123,277,450,731,1098,1251,1039,735,424,228,129,39
2,4,5,6,3,9,15,20,45,121,261,521,911,1287,1327
6,23,42,86,206,425,646,1002,1187,1082,782,526,275,145,66
3,10,17,22,20,37,98,214,479,892,1312,1391,1066,659,355
4,3,13,41,59,126,258,463,822,1139,1226,974,670,360,220
2,7,22,39,90,144,311,514,945,1232,1220,1026,643,386,186
2,3,11,15,51,104,242,465,791,1140,1316,1119,808,401,194
7,18,43,83,175,323,639,902,1286,1321,1032,607,313,143,64
9,24,46,89,193,387,637,918,1054,1063,862,578,342,211,104
6,18,36,78,138,266,500,798,1089,1248,954,618,406,219,107
2,2,6,12,20,53,122,265,434,756,1034,1199,998,685,404
6,12,48,98,256,468,781,1231,1338,1105,664,356,205,97,44
4,10,17,34,60,152,245,510,847,1186,1205,1004,668,409,220
3,10,36,106,216,370,679,1037,1257,1211,886,484,249,130,54
2,18,52,87,179,364,643,1100,1314,1258,880,439,253,120,87
4,10,36,76,136,249,489,777,1032,1142,1038,713,481,237,93
2,7,20,81,93,238,551,1010,1351,1317,1031,617,285,144,60
5,8,17,51,157,286,600,1047,1395,1333,930,557,248,134,65
1,9,19,48,93,179,300,567,1041,1432,1340,872,463,267,117
3,4,2,2,8,10,30,28,56,131,234,417,753,1117,1204
8,12,48,67,120,300,547,945,1174,1156,967,609,340,200,129
5,17,26,49,100,221,403,608,911,1057,1160,975,607,332,149
8,15,27,71,186,417,758,1070,1311,1228,803,452,249,105,56
2,7,9,8,6,8,33,80,159,330,687,1091,1388,1232,833
4,3,8,15,42,114,237,430,743,1159,1337,1158,740,435,252
2,9,11,18,39,128,193,363,664,972,1198,1111,793,470,253
3,14,32,42,85,181,317,610,979,1226,1165,879,564,278,148
2,4,13,39,68,127,213,343,660,971,1176,1073,806,511,303
6,18,26,83,161,315,623,988,1240,1112,768,533,349,170,110
13,41,126,216,406,755,1245,1441,1163,747,402,212,105,38,21
5,4,14,48,88,188,427,671,950,1106,1040,805,484,310,180
5,8,13,46,71,161,348,569,919,1091,1135,893,609,397,203
9,33,47,135,212,392,657,903,1119,1088,801,507,284,150,87
3,8,20,35,82,215,373,699,1127,1300,1159,793,534,298,171
2,2,7,15,27,63,139,295,545,891,1139,1144,950,703,374
2,2,3,14,25,60,111,274,481,883,1190,1341,1040,657,339
2,1,1,3,10,13,42,103,216,501,931,1322,1424,1022,609
7,3,17,44,124,293,591,1028,1354,1260,1043,587,332,142,87
3,4,14,23,43,73,174,344,537,812,1187,1223,940,592,356
2,1,6,9,28,59,109,282,601,1016,1365,1292,957,598,326
8,16,29,54,113,292,524,927,1283,1155,955,631,380,169,86
4,5,3,11,30,58,123,246,538,974,1413,1344,990,585,298
2,5,2,4,10,14,28,56,110,260,497,786,1077,1217,1038
1,3,8,15,51,119,267,608,911,1281,1270,904,569,289,195
1,1,2,11,17,36,77,149,320,681,1121,1409,1290,834,457
10,54,141,289,533,902,1229,1234,980,607,400,182,88,39,25
8,31,60,172,337,617,893,1114,1093,940,631,412,204,114,58
3,12,25,59,123,260,529,896,1243,1313,999,600,392,207,108
2,6,7,11,20,68,143,318,670,1094,1467,1379,884,420,222
5,10,10,15,51,108,301,572,930,1137,1179,977,692,346,196
6,7,31,58,114,264,527,917,1313,1349,1021,587,301,159,64
6,5,14,26,38,64,115,240,376,717,1057,1254,1055,779,431
2,16,18,45,75,150,280,420,702,1000,1204,1103,798,516,210
5,11,34,100,170,368,616,1050,1253,1131,863,554,318,159,90
2,2,6,10,24,41,98,202,442,793,1126,1335,1052,788,424
7,28,59,138,194,346,611,1045,1173,1105,843,517,299,177,109
3,1,3,3,5,3,13,29,69,175,328,537,880,1084,1238
2,6,13,25,72,168,380,704,1131,1353,1172,843,443,215,138
4,7,9,31,48,123,300,638,1101,1380,1268,841,505,318,138
2,7,17,65,127,266,417,725,1100,1211,1090,717,397,228,130
11,7,19,36,76,177,359,757,1097,1268,1150,832,448,254,116
1,2,4,23,56,140,385,740,1245,1397,1224,757,427,252,120
2,13,9,36,94,186,326,575,1027,1177,1086,852,563,298,156
11,16,25,47,114,241,441,807,1198,1168,999,795,454,238,141
2,2,8,22,32,65,173,279,596,956,1283,1255,924,545,289
2,1,4,23,43,114,210,437,738,1059,1243,1079,751,441,243
6,9,47,81,167,365,620,914,1127,1173,913,611,339,163,79
3,10,22,43,95,146,243,470,854,1200,1271,982,633,380,192
6,15,8,24,52,109,222,503,956,1224,1294,1052,659,382,191
3,2,2,14,43,119,249,448,712,1039,1135,1112,831,525,274
6,12,35,73,205,421,745,1111,1296,1195,802,470,278,124,72
4,4,9,11,21,40,62,124,268,504,899,1094,1094,898,628
5,9,24,72,142,286,590,939,1261,1190,927,539,300,120,73
6,35,44,65,168,289,576,883,1193,1224,883,583,389,195,103
8,15,37,79,171,433,746,1231,1453,1175,809,468,206,85,46
6,8,7,12,41,79,185,326,573,913,1079,1114,904,628,417
12,36,82,129,220,453,753,1189,1304,1051,717,474,254,106,49
3,8,38,56,152,385,749,1207,1387,1247,904,514,258,101,65
1,11,3,2,8,11,33,42,93,170,350,727,1056,1178,1121
3,6,19,24,51,145,315,582,1007,1157,1208,906,591,318,198
5,8,23,57,136,289,552,789,1174,1279,966,640,392,185,76
6,12,39,89,166,379,648,1020,1311,1131,833,544,264,150,77
7,7,16,26,36,60,110,227,393,698,1055,1259,1165,724,478
