V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
3,10,25,53,128,277,490,839,1264,1187,1020,651,375,195,93
7,36,101,240,524,1068,1400,1330,1044,582,253,148,75,41,23
7,30,75,164,323,534,996,1341,1254,926,594,267,200,65,27
2,3,6,10,28,36,55,123,256,529,801,1161,1149,1062,693
4,2,5,5,20,72,144,294,654,1026,1335,1223,857,505,276
2,1,4,30,64,115,195,438,709,1200,1247,1118,803,413,243
6,23,67,123,316,518,873,1090,1129,888,657,396,258,122,46
4,26,78,129,289,542,960,1309,1139,850,528,300,209,97,56
4,6,15,12,15,38,73,164,390,813,1229,1444,1276,730,405
11,31,50,147,227,355,548,902,1127,1152,905,542,306,137,80
5,9,53,107,277,621,1126,1397,1251,865,497,254,119,56,18
7,9,9,19,39,66,129,346,667,1009,1346,1362,973,538,217
5,9,17,29,66,186,444,840,1122,1289,1115,778,411,212,112
2,8,32,29,72,182,320,692,1154,1384,1252,813,511,257,123
6,4,10,23,42,136,323,606,919,1317,1260,904,633,340,171
3,3,8,24,45,60,127,253,595,1046,1357,1218,911,617,351
4,12,24,15,28,48,63,160,387,735,1007,1222,1006,720,471
4,2,7,15,13,25,60,145,282,476,819,1230,1216,902,616
5,5,15,33,72,192,359,728,1049,1397,1238,807,448,206,99
5,5,5,14,19,48,140,382,743,1264,1579,1193,746,450,208
6,6,7,34,74,157,522,938,1354,1436,1093,696,366,149,47
6,19,25,39,53,158,312,626,1027,1275,1259,942,562,278,133
8,12,17,51,67,165,351,657,1043,1291,1090,910,498,267,173
4,17,24,75,143,355,658,1021,1298,1201,899,565,288,105,50
7,21,35,78,173,281,551,865,1190,1293,928,638,374,212,89
6,17,15,27,77,177,344,659,1020,1137,1144,747,522,286,182
7,8,12,35,91,189,366,701,1044,1228,1108,922,483,245,108
4,13,15,28,77,164,304,535,847,1093,1148,1011,662,416,212
5,30,45,111,217,269,566,845,1096,1116,896,632,348,189,81
5,10,8,43,81,156,408,647,1116,1438,1243,727,402,199,96
8,15,43,100,325,591,861,1105,1227,975,697,407,208,126,57
5,11,18,25,37,65,153,305,603,971,1287,1192,930,573,274
8,20,16,19,68,142,287,587,962,1227,1256,900,568,277,148
15,18,37,82,157,311,709,1165,1393,1207,863,417,214,117,56
2,15,36,133,234,600,948,1212,1274,993,539,339,165,78,26
6,15,41,85,176,386,743,1157,1430,1231,748,394,175,59,24
9,22,52,136,291,563,960,1292,1400,1044,616,285,127,54,35
13,16,21,27,45,155,282,548,966,1339,1195,904,586,332,176
3,7,7,21,36,87,183,437,925,1336,1343,1048,743,376,202
3,30,75,220,449,857,1220,1309,1049,656,363,195,97,59,40
4,9,38,82,161,374,656,1070,1342,1291,805,442,241,133,43
4,15,41,116,238,581,992,1239,1211,1063,604,336,177,78,49
11,13,16,30,57,168,386,766,1112,1266,1086,767,514,328,174
4,16,25,36,58,147,260,516,856,1328,1322,1051,578,303,191
