"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",1,1,36.4042109739177,33.403548652878,7.68723844956457,4.76402148932427,4.39629072356723,4.37510647007062,1,1,1,1,1,1,1
"2",1,1,11.4362659539077,11.4362659539077,5.43477564721288,6.23952808487388,1.83869590871468,1,1,1,1,1,1,1,1
"3",10.3747876058376,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4",1,15.8239145477059,2.20536078472734,1.18067452516403,2.42682331938887,1.66396671404696,1,1,1,1,1,1,1,1,1
"5",1,1,21.419056396292,2.22516705556128,2.37539147807522,1.98224890691099,2.11622504291702,1.79354931904295,1,1,1,1,1,1,1
"6",1,3.74767627661312,14.4315375120839,38.4050925241567,54.3884806859434,42.4119057185663,8.68271368346246,1,1,1,1,1,1,1,1
"7",1,1,1,6.49049714759709,1.64225089468946,21.419056396292,41.4002754074368,7.47069061833734,7.47069061833734,8.45763848183588,8.45763848183588,95.367458878008,33.4548708666819,1.01732613403122,1.00719439540021
"8",1,13.5344294372907,26.4128514580538,27.4120943223182,4.45584370294562,9.44936076139022,26.4128514580538,4.51535393209418,4.45863697310899,1,1,1,1,1,1
"9",1,1,25.4137583817701,24.9158737643884,10.7286937117636,8.29344342447785,2.9934959932389,1.4629141800379,1,1,1,1,1,1,1
"10",1,1.92768194536675,21.419056396292,2.63016487690662,1.43101845644595,13.4301351643093,12.617273152592,9.44936076139022,1,1,1,1,1,1,1
"11",1,1,16.4244530184947,49.3950758207442,53.3867748400548,51.3908567723476,10.3246979364387,1,1,1,1,1,1,1,1
"12",1,1,31.4104087014112,38.4050925241567,50.3893386254341,47.3924236289881,8.68271368346246,1,1,1,1,1,1,1,1
"13",10.3747876058376,1,2.69630190694978,9.44936076139022,9.44936076139022,7.47069061833734,11.2762200057521,1,1,1,1,1,1,1,1
"14",1,22.6755466189265,2.46112675736945,1.92028928067328,1.89942087850472,1.94105020316088,1.96170326237793,1.53216573873722,1,1,1,1,1,1,1
"15",1,1,11.4362659539077,12.4354855904466,12.4354855904466,9.44936076139022,1.36670975564778,1.49808823924522,53.3867748400548,1,1,1,1,1,1
"16",1,14.864301580144,3.2456799176363,3.68319221335393,2.38335678914102,1.77210152677037,1.33109354450257,1,1,1,1,1,1,1,1
"17",1,3.74767627661312,1.4629141800379,1.70735271011667,10.4444419470495,1.4629141800379,1.68567262644676,7.28940981766659,1,1,1,1,1,1,1
"18",1,14.864301580144,3.29512306409131,3.7823251809805,1.64225089468946,1.44979964648167,1.4629141800379,1,1,1,1,1,1,1,1
"19",1,13.5344294372907,1.83618896031549,1.98224890691099,2.02302336805241,2.06339040831889,21.419056396292,1.68567262644676,1.70735271011667,1.62054260238083,8.45763848183588,43.7890137517855,19.4796115469597,1.00487571854572,1.00280026170485
