"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",1,1,14.4315375120839,56.3847003748875,67.3782626059949,42.6766883804665,10.4882333228887,1,1,1,1,1,1,1,1
"2",1,1,18.425088792663,18.425088792663,6.55484971801595,42.4011029231925,6.49049714759709,68.3806450555936,11.4849166645801,1,1,1,1,1,1
"3",1,1,1,1.80848591671123,1.4629141800379,1,1,1,1,1,1,1,1,1,1
"4",52.2457387227247,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"5",45.5566497088485,1,11.4362659539077,8.45763848183588,3.93225109614886,1,1,1,1,1,1,1,1,1,1.0010161408836
"6",1,1,1,18.425088792663,53.3867748400548,71.3805334156783,4.5577716174235,18.2980705525753,15.4787511330829,1,1,1,1,1,1
"7",10.3747876058376,2.38671972445245,18.425088792663,19.4228528897712,1,1,1,1,1,1,1,1,1,1.0010161408836,1.0097092686455
"8",10.3747876058376,1,9.44936076139022,19.4228528897712,1,1.80848591671123,2.69630190694978,10.4882333228887,1,1,1,1,1,1,1
"9",1,12.3662607180321,33.403548652878,3.89841984716407,1,1,1,1,1,1,1,1,1,1,1
"10",1,1,3.61524564631341,10.4444419470495,1,1,1.80848591671123,40.6176852828861,13.4853770060959,1,1,1,1,1,1
"11",1,1,1,1,1,1,1,1,1,1,1,1,1,1.0010161408836,1.0010161408836
"12",1,1,1,1,8.45763848183588,32.410286343985,2.69630190694978,2.69630190694978,2.69630190694978,49.4377168431928,19.4796115469597,1.00105135110802,1.0010161408836,1.0010161408836,1.0010161408836
"13",1,3.74767627661312,1.55565933095065,1.55565933095065,34.403672999302,58.3884506593591,1.12240353400653,90.3666789691352,17.4793688105086,1,1,1,1,1,1
"14",1,1,1,3.61524564631341,1.7289925635092,1,1,1,1,1,1,1,1,1.0010161408836,1.0010161408836
"15",10.3747876058376,1,1,6.49049714759709,1,1,1,69.3830036548766,11.4849166645801,1,1,1,1,1,1
"16",45.5566497088485,1,1,19.4228528897712,11.4362659539077,32.410286343985,1,1,1,1,1,1,1,1,1.0010161408836
"17",1,1,22.4174625637233,33.403548652878,12.0229711189593,3.01955301667376,8.25744947581171,78.3765619699118,14.4821745156314,1,1,1,1,1,1
"18",79.5519328053381,1,1,1.04530652015593,1.4629141800379,1,1,1,1,1,1,1,1,1,1
"19",1,1,1.80848591671123,1.01807675967624,9.44936076139022,1,1,1,14.4821745156314,1,1,1,1,1,1
"20",1,1.94105020316088,43.395030061357,45.3971393040169,11.6797199491839,7.96348440168402,1.4629141800379,1,1,1,1,1,1,1,1
"21",52.2457387227247,1,1,1.80848591671123,2.89875108418906,1,1,1,1,1,1,1,1,1,1.0010161408836
"22",10.3747876058376,1,4.5577716174235,3.50553719449739,14.4315375120839,1,1,80.3746483751367,12.4883318263752,1,1,1,1,1,1
"23",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1.0010161408836
"24",1,13.5344294372907,1.87844630115509,1,1.80848591671123,12.4354855904466,1.80848591671123,1.80848591671123,97.3664162331687,19.4796115469597,13.4853770060959,1.0010161408836,1.0010161408836,1.0010161408836,1.0010161408836
"25",10.3747876058376,1,1,1.80848591671123,27.4120943223182,1,1,12.4883318263752,1,1,1,1,1,1,1
"26",1,1,10.4444419470495,1.77210152677037,32.410286343985,57.3865735818298,9.44936076139022,65.9388529163394,12.4883318263752,1,1,1,1,1,1
"27",1,1,13.4301351643093,18.425088792663,1.20952103208818,1.08306190382855,79.3718280103112,12.4883318263752,1,1,1,1,1,1,1
"28",1,1,1,1,28.4114790429681,2.69630190694978,5.51980891299069,22.572043198693,12.4883318263752,1,1,1,1,1,1
"29",79.5519328053381,1,14.4315375120839,12.4354855904466,3.85616533472177,1,1,1,1,1,1,1,1,1,1
"30",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"31",1,1,7.47069061833734,30.4106435684764,47.3924236289881,2.69630190694978,78.3765619699118,14.4821745156314,1,1,1,1,1,1,1
"32",1,3.74767627661312,31.4104087014112,4.98966053020415,3.0961786909095,2.48075859207574,1,1,1,1,1,1,1,1,1
"33",79.5519328053381,1,5.51980891299069,1.4629141800379,2.10337447185308,2.50039712653199,1,1,1,1,1,1,1,1,1
"34",55.1622676752603,1,19.0607562373955,2.10337447185308,1,1,1,1,1,1,1,1,1,1,1.0010161408836
"35",10.3747876058376,1,1,35.4038959485813,48.3937330386573,49.3950758207442,8.49386186381036,1,1,1,1,1,1,1,1
"36",1,3.74767627661312,38.4050925241567,44.3960600940014,47.3924236289881,46.3982631394518,10.4882333228887,1,1,1,1,1,1,1,1
