V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
0,2.623188503,2.698838425,1.979253777,1.994993193,2.42122252,2.342133915,2.45909615,2.443865925,2.537341022,2.563706228,2.559940916,2.541351164,2.537182383,2.531825231
2.654502114,2.156956888,2.091187552,2.0999651,2.15095054,2.253461034,2.44026665,2.456152265,2.52495457,2.561548633,2.580142921,2.567577535,2.55777978,2.55823679,2.555049097
2.356433402,2.348891975,2.10291991,2.056346493,2.216420886,2.378501119,2.526730906,2.489582762,2.533529866,2.558635488,2.549611892,2.54126303,2.534460018,2.535289961,2.534462612
2.28541188,3.018868495,2.327783386,1.901454491,2.239811512,2.358892884,2.458109138,2.540891176,2.5406615,2.565835463,2.559635223,2.552347972,2.5454886,2.542022655,2.541644539
2.389549047,2.133271626,2.34055658,1.856398734,2.134204036,2.105077895,2.354430584,2.377754155,2.445434661,2.499220544,2.523444944,2.519343571,2.512500826,2.506141033,2.503351719
0,2.424621712,2.159755704,2.428239491,2.424783942,2.153570449,2.210923299,2.353236553,2.441268369,2.502422475,2.525287483,2.531971494,2.516020523,2.50999969,2.507858634
0,2.400469845,2.346612266,2.375502326,2.279005735,2.338055569,2.02928122,1.932855738,2.005682633,2.018134038,2.207145866,2.39031149,2.418998725,2.487516767,2.484820873
0,2.103798148,2.481273812,2.080111961,1.7220603,1.876178671,2.21521844,2.181356271,2.4116524,2.487879297,2.541348041,2.542765557,2.539819694,2.52433294,2.517678631
2.282450114,2.021556442,2.504766561,2.044264171,2.217894035,2.212318268,2.393555113,2.421721221,2.441830851,2.519902246,2.536671337,2.527542666,2.52294436,2.517277377,2.515842403
2.415269118,2.650530941,2.407137267,1.841413991,1.88496574,2.161554673,2.204445303,2.372929054,2.454486803,2.501582139,2.526909685,2.52482808,2.512253687,2.502171411,2.49872926
0,2.893749314,2.548204287,2.790452319,2.208695413,2.195112424,2.193155343,2.295585606,2.369385862,2.416348372,2.481964109,2.488722155,2.475665106,2.470257235,2.469130608
0,2.297610763,2.930117015,2.377193424,2.414581836,2.220891972,2.318201681,2.291859813,2.372882977,2.447813709,2.47578623,2.475655624,2.470336385,2.467243997,2.461291828
2.453348723,2.16381387,2.125837137,2.19517684,2.281046254,2.541692778,2.46568516,2.522917265,2.561996336,2.571115755,2.574493411,2.564375132,2.559039977,2.557955823,2.558633612
0,2.48725271,1.831796123,1.892648339,1.975499201,2.155675668,2.312580577,2.460738007,2.499187425,2.558387348,2.571274021,2.561597691,2.553819694,2.553101189,2.549061317
2.34459821,1.936392262,2.203718128,1.943587885,1.793693499,1.990327297,2.152810332,2.269065836,2.245470942,2.388343483,2.49483026,2.537784546,2.543666111,2.529045312,2.519463578
0,2.37414091,2.127933426,1.921028948,2.233508599,2.260949871,2.338120068,2.455564818,2.513390949,2.538095445,2.533343971,2.522479423,2.516740184,2.512829084,2.511988279
2.321587882,2.6270551,2.213804163,2.025416506,1.964344887,2.310479996,2.400747287,2.400612488,2.435964471,2.528366357,2.513538251,2.520217946,2.510416378,2.503284121,2.501873166
0,2.607875353,2.299384323,2.172464345,2.037702822,2.177863987,2.320175429,2.376602118,2.4406945,2.486868386,2.494934283,2.485172467,2.476386278,2.474688429,2.472870019
0,2.333650917,2.047572837,1.988123558,1.624848761,1.810413143,1.791488556,1.7219056,2.175948269,2.262528346,2.374111482,2.461143888,2.519217346,2.527174901,2.548238686
2.561379996,2.611839631,2.881589463,1.94756827,1.872584788,2.177829625,2.438605828,2.469585878,2.505655408,2.511128942,2.526716676,2.528570412,2.515126216,2.512348061,2.509727975
0,2.463836944,2.292999037,2.124557978,2.310341128,2.521425484,2.476690134,2.494186127,2.554951708,2.546781272,2.543612755,2.537974697,2.52910326,2.527601609,2.527418638
2.411040136,2.640687985,1.851145681,1.80896882,1.695089027,1.977612355,1.999962892,2.133651392,2.296455239,2.337547031,2.489054529,2.494694379,2.53196034,2.515842409,2.499225242
2.842929901,2.634136542,2.344446879,2.632489364,2.644885724,2.285404512,2.337748612,2.353031998,2.439667662,2.495620915,2.506042334,2.500077626,2.497181079,2.489025013,2.485486376
2.408100545,2.565569993,2.415594135,2.323941786,2.415155474,2.494778793,2.474691396,2.475503075,2.517867901,2.519641316,2.517129926,2.498941317,2.497815549,2.496857425,2.495218838
0,2.415544782,1.863815395,1.969798657,2.156104751,2.209256487,2.2623665,2.441732236,2.444765643,2.538972341,2.541798961,2.522706314,2.515571066,2.51612968,2.51581248
2.646816055,2.552507718,2.343129594,1.854327732,1.969592269,2.01628197,2.096384058,2.197785865,2.288490806,2.386165295,2.469238756,2.484336636,2.483385944,2.46584905,2.464627469
2.849875585,2.854206907,2.493665483,1.860602922,2.347380356,2.350718973,2.369126768,2.438965333,2.555787642,2.567690844,2.559736705,2.55658777,2.550348904,2.54606001,2.544182842
2.526671549,2.32674903,2.243302429,2.021358472,2.241617249,2.251468552,2.434981221,2.494305254,2.509924213,2.522001208,2.535618474,2.523709065,2.519183315,2.515478786,2.513424806
2.468131249,2.470908409,2.261523776,2.273536269,2.204728035,2.201335609,2.250890333,2.329908679,2.411345006,2.518571044,2.545484919,2.554807408,2.543625326,2.533879384,2.535272287
2.570805816,2.139207701,1.778830734,1.754939374,1.86702351,1.960155321,2.070793546,2.273517367,2.241029461,2.382228237,2.467853097,2.466440323,2.473172572,2.463730869,2.459097659
2.359008974,2.328522187,2.260347784,2.115254162,2.166650284,2.235801075,2.274932044,2.437452673,2.481022985,2.507392721,2.505204622,2.498779267,2.490589837,2.487636097,2.488928294
2.311308545,2.188281084,2.267184722,1.949328233,2.02664639,2.302933623,2.379808148,2.441626111,2.51278484,2.508735817,2.515682799,2.506648452,2.499992099,2.496894808,2.496467847
2.569229531,2.423102794,2.223623528,2.090484304,2.360717989,2.390472658,2.412169475,2.455740426,2.50692282,2.527405871,2.510927501,2.498068514,2.496402323,2.494511993,2.493813038
0,2.129684275,2.4873358,2.167354354,2.431281173,2.461950358,2.377258823,2.4184491,2.451082256,2.477709185,2.478889677,2.472531014,2.470293556,2.466809568,2.466572581
2.141492356,2.439001609,2.028763427,1.985902072,2.010894632,2.179475194,2.199053081,2.369204181,2.451733335,2.481664664,2.517428295,2.515867813,2.503633787,2.496847505,2.497316601
2.6468108,2.483897644,2.254252803,2.278531401,1.995685179,2.260126774,2.244080607,2.375275851,2.489731945,2.532000136,2.539054193,2.523458015,2.519879733,2.510288117,2.508007879
2.630443261,2.669509875,2.268164912,1.973671698,2.491039399,2.298172545,2.419198927,2.512508278,2.527200289,2.545086324,2.551285416,2.531114311,2.525088464,2.51958142,2.519914246
2.391377592,1.920500239,2.124325886,2.061611818,1.815358226,1.919655404,1.777901037,2.067664371,2.247006202,2.309130874,2.424978186,2.472057609,2.51186891,2.508205767,2.487479448
2.685099845,2.058773071,1.925540433,1.974592712,1.850294395,1.981175407,2.268347201,2.244171585,2.34942268,2.426045857,2.463794924,2.50386131,2.483174033,2.475113306,2.47458214
2.474487787,2.194858394,2.157876446,1.920767732,2.164069014,2.337508999,2.400733941,2.503144745,2.53809978,2.579668018,2.573168754,2.562650201,2.547353941,2.548117697,2.546845469
2.44234322,2.292068892,2.379069766,2.251407753,2.250316155,2.267582084,2.417534917,2.464840775,2.495889719,2.502802046,2.503861409,2.495400998,2.4892319,2.487098744,2.487871632
2.104147248,1.815954403,2.246746445,1.987055604,2.147074855,2.275716321,2.257089684,2.355181406,2.462743085,2.501186938,2.502272341,2.511050279,2.497215877,2.491261728,2.490804951
2.549167658,2.678391099,2.167039985,2.066606056,1.989990126,2.190931306,2.40116378,2.460507425,2.54058555,2.524169868,2.528558322,2.515809126,2.505316734,2.505998943,2.502769374
2.663598674,2.153151933,2.368930054,2.100488591,2.193678086,2.339265563,2.30384508,2.497658693,2.547816642,2.547999664,2.546221977,2.540911442,2.534978276,2.532437585,2.532335634
2.526933437,3.273695585,1.933654676,2.044086141,2.300950874,2.335650635,2.472228036,2.555121079,2.600503674,2.585585115,2.575912527,2.562077493,2.557917385,2.556006372,2.555521266
2.624271392,2.392562655,1.968859735,1.857556203,2.122437417,2.121721597,2.306183496,2.393737732,2.465597819,2.490454972,2.500566496,2.48446099,2.478164059,2.477126548,2.474505103
2.263837853,3.049985443,1.888565392,1.885210174,2.027974994,2.175776939,2.303147401,2.393777467,2.446648713,2.493561549,2.499288569,2.489963906,2.485081322,2.479091658,2.478326823
2.438540643,2.385724777,3.101082819,2.333583049,2.207882859,2.413026523,2.474077351,2.554551955,2.552800883,2.564627987,2.557628918,2.550950602,2.546925039,2.544455945,2.545025836
2.321313655,2.054309835,2.07787953,1.948525065,2.220104818,2.449983573,2.38812182,2.41404775,2.480503457,2.512136879,2.525796921,2.523534762,2.508972432,2.511908524,2.509321732
2.695655231,2.202217521,2.205957021,2.115031898,2.1284484,2.384502309,2.319986345,2.413363983,2.514773708,2.566104226,2.537868797,2.535363689,2.522783795,2.513692991,2.514122407
2.594642837,2.095355315,2.034637421,1.876546703,1.97804283,2.014225382,2.194518137,2.369404294,2.446499181,2.531088606,2.520096059,2.521662554,2.512232806,2.504256027,2.503530904
0,2.195513415,1.821425979,1.861170445,2.22870582,2.084597144,1.885840519,2.228876877,2.204581895,2.339040807,2.461160027,2.529061873,2.537761084,2.5407088,2.518941552
2.847735529,3.467561717,1.934658987,2.274736296,2.37578989,2.39787841,2.362989093,2.45490582,2.535527331,2.526787734,2.524022488,2.512244756,2.51009037,2.508172361,2.510057838
2.358629362,2.305205169,2.278095196,2.183594885,2.328716816,2.25700568,2.328930453,2.442312521,2.529268193,2.550034949,2.548445944,2.536910949,2.528003033,2.527188529,2.525854023
2.674774386,2.230253313,2.494727207,2.115300851,2.231372949,2.175560366,2.288599921,2.380955928,2.471250249,2.520040298,2.496671153,2.490255474,2.480068708,2.476862094,2.474785364
2.700139529,2.795237535,2.232472931,2.077405189,2.199387729,2.337200947,2.262739302,2.435631542,2.480259264,2.506870326,2.523023937,2.514430426,2.505272851,2.499132486,2.500996942
2.529987607,3.509715226,2.106643004,2.368299776,2.300636426,2.420234072,2.47230639,2.519016719,2.533741921,2.51999029,2.519647147,2.512150633,2.506750958,2.507712161,2.508052847
2.494376054,2.839625424,2.556959686,2.497594534,2.352398631,2.394025738,2.457660494,2.526270688,2.543034951,2.539046015,2.523814441,2.523881169,2.521200475,2.520249479,2.520059643
0,2.369468491,2.615614944,2.334318297,2.37859007,2.26648577,2.307879216,2.377108405,2.474192654,2.498661271,2.514315717,2.505439765,2.492907851,2.490194667,2.488281352
2.697628938,2.302848621,1.85180445,2.290871609,2.076654374,2.323662317,2.40419692,2.452803262,2.499859098,2.518878387,2.524808168,2.524773006,2.519638541,2.510036593,2.509741467
2.427436974,2.699915351,2.296228381,2.35316269,1.984155328,2.139713286,2.217479715,2.356429766,2.433299213,2.500016502,2.519471905,2.537325702,2.516849972,2.509021576,2.509638761
2.74211919,2.549866802,2.464184321,2.714611033,2.45716087,2.281683969,2.439098674,2.460019197,2.570804795,2.586906942,2.588479379,2.5827317,2.568333492,2.56734069,2.566148296
2.665781545,2.625396355,1.96773651,2.059892143,2.124440815,2.323567051,2.428746202,2.441989637,2.476756946,2.4865717,2.486071328,2.468776997,2.465482208,2.463148684,2.46242701
2.622411976,2.598015623,1.919607075,1.92358038,1.959104361,1.941637732,2.214464983,2.356179368,2.491577032,2.523094587,2.578870711,2.589091225,2.576493516,2.568972493,2.563326503
2.622976026,2.360389647,2.361262342,2.070914127,2.339848066,2.374258528,2.394439838,2.519272397,2.550317075,2.556622982,2.551825093,2.539051949,2.530435817,2.530004698,2.526864364
0,2.843795276,2.25907092,2.309228663,2.43105123,2.33966939,2.362373284,2.416758669,2.488172051,2.488129102,2.487639252,2.479624307,2.478989664,2.477292461,2.476541746
