V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
3.000501319,2.286395136,3.002157596,8.483371838,5.580246736,4.569516277,4.615713269,4.379008581,4.1946692,4.074984805,4.025993996,4.026983782,4.023590931,4.022971495,4.022322623
2.800296111,2.666895827,3.378775831,2.641282816,2.39891444,4.367691203,4.834158639,5.07426899,4.743849461,4.616167911,4.479313156,4.426250847,4.411901458,4.405064436,4.40457478
4.40365264,4.81242087,3.806004134,4.46867256,5.161917184,4.857295606,4.603541848,4.484613497,4.379003122,4.364111267,4.356082064,4.353883327,4.354236987,4.35444704,4.355268074
3.80183859,4.378815496,4.733598101,4.839935453,4.929072067,4.559096851,4.272175336,4.08703088,3.995624154,3.971207198,3.960627396,3.960093742,3.959255127,3.959704259,3.959642058
3.401088512,3.784771735,4.507413877,5.121108456,4.889276023,4.990018705,4.684629571,4.473396394,4.369850802,4.324964169,4.312965994,4.310512166,4.308736784,4.30837547,4.30837547
2.800321373,2.667133959,2.125565096,3.225731687,5.387430878,4.581663172,5.066789813,4.825660729,4.450200492,4.290782944,4.146986072,4.115109936,4.101717961,4.098538233,4.096609788
3.200755402,4.634477686,5.710653274,5.982752096,4.849685564,4.925860631,4.547674652,4.373913227,4.301940325,4.266388136,4.256022802,4.25539449,4.253957843,4.253735945,4.255592008
3.200780228,2.250804195,2.602508897,3.403839303,4.31679626,4.397370763,4.833797896,4.741470428,4.564787586,4.321713873,4.234627506,4.200084798,4.198323069,4.198798133,4.19797385
2.800324708,5.508197007,6.008448852,5.050980715,5.191932717,4.947008451,4.540556682,4.333843885,4.23049272,4.206451569,4.188192077,4.187206633,4.186852986,4.18678833,4.186923629
2.80029693,2.666917652,2.501154916,2.670851044,3.479975018,5.504219075,5.150656908,5.009094114,4.773250673,4.613509059,4.45898308,4.414027309,4.404403599,4.401566862,4.399133188
6.212081108,6.085855034,4.833961711,5.553048917,5.272112388,4.849013162,4.733421042,4.628391039,4.596860951,4.583236267,4.585054213,4.585429163,4.584341576,4.584934659,4.584480781
2.800301191,2.500503594,2.286297114,2.000561177,2.375738437,3.918330308,3.99036179,5.131888237,5.542606865,5.06563789,4.797368339,4.583226091,4.462873815,4.434457487,4.420526209
0,3.000125567,2.572262663,2.301985151,3.881673875,3.926569334,5.091639769,4.789412734,4.758079869,4.475921518,4.3452335,4.235789169,4.204779582,4.200323858,4.198368436
4.203053623,4.560803465,3.769803624,4.466388182,4.745095269,4.503013104,4.333703056,4.165122394,4.058438778,4.03369962,4.028738408,4.025297502,4.022599272,4.023201921,4.02280023
3.200752121,2.501459988,2.085337508,2.417109922,3.545582816,3.811609109,4.746929404,4.684122251,4.444754253,4.26928456,4.146567954,4.090247281,4.071236068,4.071343168,4.069186053
3.40109017,3.896867969,2.53252824,4.086030264,4.698197192,4.994764076,4.459518533,4.247521628,4.082890427,4.005067429,3.987299593,3.981931143,3.979578589,3.979356834,3.979948613
0,2.800296133,3.334819354,3.424807547,2.317259836,4.017356741,4.328047,4.568353048,4.445215951,4.20144877,4.093482351,3.999812113,3.9775736,3.964998512,3.966215842
3.601438396,5.421541631,4.660033269,5.174951855,4.803209635,4.389671357,4.130068487,3.972675949,3.902691824,3.876993083,3.863598654,3.862209286,3.862058922,3.862066011,3.863016994
2.800315873,2.8339231,2.557514161,2.203818075,2.409712724,3.812371008,4.40234366,5.210533003,4.569804438,4.402939206,4.221109603,4.13587589,4.090421466,4.082345633,4.078264613
0,3.400372876,5.575511994,4.533034638,4.190898114,5.365741458,4.880505637,4.572984518,4.433554832,4.324651356,4.283258305,4.277408338,4.276562633,4.276482659,4.274958365
3.801905469,3.828860407,3.957944536,4.511919473,4.834289616,4.829345865,4.401280966,4.214731552,4.079467999,4.035705143,4.027044,4.022339816,4.021327351,4.020668796,4.021775662
3.200814882,2.376152982,2.366138988,2.115539028,2.917958133,3.641183333,5.346423813,5.298708502,4.818341096,4.569379712,4.428921162,4.369726122,4.349979399,4.344142377,4.345716306
5.005458698,4.917565917,4.899656839,5.041090589,4.677409924,4.229668549,4.077039485,3.981397687,3.909124134,3.894904736,3.888327261,3.888379779,3.887564598,3.887322277,3.887322277
2.800292495,3.668408699,1.85954643,1.446408465,1.50205805,2.479569799,5.390821237,5.415948065,5.154160963,4.803401281,4.528140833,4.377954067,4.310727525,4.27977283,4.276210822
3.200766584,2.501368917,2.25266867,2.215951406,3.86233451,5.084032962,5.324161457,4.80852715,4.416507609,4.236536937,4.14934953,4.09641447,4.083307395,4.081459984,4.080684221
2.800301973,2.833827292,2.891884674,1.948444463,4.413964656,4.262799045,4.940009576,5.142186839,4.716826009,4.498790665,4.384113494,4.329825337,4.316459164,4.315526165,4.312875665
3.000509724,2.286025705,2.876912764,3.142910893,4.640959336,5.767366086,5.393694379,4.999966612,4.624204237,4.409212652,4.335144334,4.31528045,4.310224267,4.307775568,4.308406483
3.000528492,2.858516188,2.085589936,1.826295347,4.247302107,5.502558613,5.44629541,5.108880716,4.704040935,4.486958266,4.378951884,4.344210466,4.330489576,4.323671056,4.322980657
