V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
0,2.800271585,4.504424208,2.960429028,2.79970855,3.54603066,3.233643538,3.294536962,3.083924401,3.176931756,3.192805399,3.179034083,3.1556892,3.148504238,3.141829111
3.000221215,3.001992843,3.316544925,3.141045416,2.858463699,3.029284007,3.336707698,3.203659,3.210795474,3.244429746,3.250266943,3.217193733,3.205650452,3.203911127,3.198805346
3.200537575,3.755500774,3.521804432,3.144264657,3.089071261,3.286704183,3.349657227,3.158326032,3.19468438,3.20075003,3.176205779,3.166322668,3.15924901,3.160677281,3.157595207
2.800224391,4.838386778,3.740732235,2.729958144,3.160985665,3.23549459,3.248263257,3.231121156,3.191157842,3.211047368,3.193373974,3.178722084,3.169422484,3.163528205,3.162261594
3.000269864,3.001818403,4.169483361,2.500291881,2.960430148,2.798801642,3.152742055,3.037842161,3.053015663,3.12177873,3.135114128,3.120753368,3.108282465,3.098582486,3.092973462
0,3.000198274,2.858657217,4.348583055,4.182627475,2.916954314,2.986721271,3.10109456,3.086889471,3.109934255,3.137865428,3.122909123,3.098819502,3.090350389,3.086395491
0,2.800203889,2.333598016,2.500326133,2.143227705,3.287519998,2.942516377,2.800250736,2.683397509,2.648333041,2.929350713,3.114292352,3.026846213,3.080949182,3.05529803
0,3.200174865,3.629901484,3.207984032,2.19182815,2.394238293,3.022455363,2.825497487,3.120812147,3.124917081,3.166519009,3.153150075,3.132885017,3.111218296,3.106473683
3.000228169,2.429299398,4.455240204,3.055716515,3.035600848,2.97838359,3.252885084,3.116541667,3.052800003,3.171629712,3.171318795,3.144455644,3.137074609,3.128230679,3.124971536
2.800152513,3.501293093,4.015443283,2.476449534,2.355195272,2.900438952,2.916624951,3.097153175,3.105922615,3.125615683,3.137651315,3.127069311,3.107176132,3.094479589,3.089128175
0,2.800259468,3.000634358,5.219550505,3.572882961,3.013141029,2.960240404,3.0179617,2.994369398,2.988496252,3.054201029,3.048525534,3.028514436,3.018607475,3.014753179
0,2.800141189,4.003082051,3.515218307,4.006634079,3.057832975,3.167378721,2.950506786,2.961184544,3.015651068,3.042016837,3.022813818,3.008558602,3.004215098,2.995369569
3.200481829,2.877472857,2.807110484,3.292381393,3.17365892,3.684878211,3.319140176,3.2601612,3.271502004,3.259272565,3.244814833,3.226570168,3.221331067,3.218342614,3.216841014
0,5.204352646,2.789306503,2.837251384,2.606387841,2.952466068,3.127617443,3.213157543,3.15996907,3.209455578,3.211463221,3.177665643,3.163413604,3.160708729,3.154041466
3.000309752,2.285995922,2.750986235,2.433320051,2.395517444,2.868039231,3.01141914,3.114909687,2.906752086,3.016541018,3.101322554,3.143776205,3.134706529,3.1163861,3.110233268
0,4.602602575,3.615894979,2.856967468,3.133072632,3.089040822,3.114058963,3.145845524,3.19118632,3.192348475,3.170724006,3.147897733,3.14088271,3.132130303,3.13123438
2.800212168,3.334268263,2.671615973,2.806296018,2.764505351,3.309613753,3.383373011,3.160867791,3.0794911,3.138557873,3.095129397,3.08673449,3.068375384,3.059909792,3.057857023
0,4.602477225,3.683045097,3.452071295,2.699463771,2.930337636,3.053700536,3.018474968,3.042302243,3.062735652,3.058278483,3.046301693,3.033431642,3.027463812,3.022854424
0,3.20023686,2.000432565,2.625886037,1.770538751,2.404353508,2.440855571,2.290808672,3.159813015,3.107975371,3.143772302,3.143661387,3.170931709,3.147772394,3.160490553
2.80024254,2.500500752,4.147692758,2.534076899,2.645604437,2.956338017,3.504575739,3.323070048,3.207126107,3.144845856,3.135716153,3.127060663,3.104232228,3.104654734,3.100405055
0,4.803439984,4.146963151,3.33071284,3.266726828,3.554443105,3.270050133,3.192047047,3.227134247,3.186721503,3.182684429,3.175572282,3.161616608,3.159527689,3.159440572
2.800125769,3.167572552,2.001642922,2.074077528,1.8610411,2.659891707,2.828336006,2.958543203,3.141961262,3.012811089,3.116896021,3.082612029,3.125660093,3.096342007,3.076190521
2.800232924,2.833948961,2.668981819,4.14357225,4.121626893,3.184671451,3.164841066,3.022674272,3.050621427,3.106661744,3.092014782,3.071708944,3.070530514,3.057071377,3.053413994
2.800229672,3.669009662,3.873204291,4.022678738,3.527205241,3.521593171,3.262334157,3.152084818,3.173178621,3.154184858,3.139125863,3.112960127,3.112135695,3.110584222,3.10865772
0,4.803347147,2.948899471,3.185571163,2.888165366,2.993272241,2.973889896,3.156970633,3.050836094,3.149096625,3.120399776,3.086238418,3.079595933,3.076021182,3.072758889
2.800235223,2.834107605,3.115148959,2.156160151,2.589230205,2.755565797,2.798092442,2.895475993,2.933402582,2.95326534,3.02017598,3.033322238,3.013071154,2.990569367,2.990600292
2.800210005,3.167432516,4.377492092,2.698385856,3.50865339,3.315016582,3.163958352,3.145255827,3.249647854,3.247995085,3.221849078,3.208543514,3.197617223,3.188630075,3.183273357
3.200413576,3.755436385,3.844395803,2.867095541,3.110297971,2.969612272,3.178876513,3.147591942,3.116885962,3.103279956,3.111423204,3.090944216,3.08394018,3.079579079,3.076978283
2.800217674,2.667175069,2.626630505,3.083736632,3.403093842,3.026786977,3.063448135,3.114221761,3.105060557,3.186095328,3.197291614,3.191116378,3.173654546,3.160560899,3.162258885
3.200361502,2.877491459,1.802478531,2.003817097,2.680626215,2.921736884,2.791702494,3.1025566,2.848411025,2.983662528,3.042621646,3.012033227,3.007507404,2.991053289,2.982042269
3.000296662,3.431596502,3.893138897,3.269751667,2.965496049,3.017863228,2.943375434,3.070060006,3.100568224,3.108040898,3.086038489,3.073781967,3.065157683,3.061026592,3.061585345
3.400789426,3.450051265,3.544648024,2.913039043,2.628488447,3.139769612,3.096508536,3.083797544,3.128681181,3.114976883,3.108852009,3.099282598,3.091413489,3.089024847,3.088158677
3.000331748,4.435382631,3.634336944,3.015972903,3.40960146,3.225972658,3.116444751,3.106663361,3.151089094,3.148805327,3.118195666,3.094800332,3.092769799,3.087388205,3.086359671
0,3.600703042,4.614054446,3.568825316,3.56091402,3.453852544,3.120983866,3.070700756,3.042421716,3.050742774,3.036399881,3.026845091,3.026896663,3.02271039,3.020129002
3.000318916,3.861184018,2.64079547,2.810375424,2.61013517,2.903231477,2.880552526,3.042080378,3.046917566,3.056178919,3.085554401,3.064404467,3.055845288,3.047641634,3.045774516
2.800206051,3.000565536,3.004473213,3.520716698,2.99221914,3.222655338,3.002041268,3.094496319,3.168283382,3.184273383,3.150136837,3.108928604,3.104792672,3.096592183,3.093262412
2.800157034,3.501717474,3.239381762,2.814365769,3.79318215,3.187653309,3.272904569,3.269937346,3.195235488,3.193268406,3.181059411,3.150751432,3.144779897,3.13457708,3.132812488
3.200486642,2.125848406,2.223341711,2.336026318,2.004478069,2.418755556,2.330505996,2.813646192,3.059784761,3.009125226,3.082086604,3.063221009,3.103090635,3.090964794,3.054874929
3.000308032,2.572311121,2.602773535,2.954634764,2.690577981,2.549604028,3.136703214,2.941496633,3.018401982,3.010773779,3.033695232,3.077260321,3.042157671,3.031169437,3.024111195
3.000308095,3.431634849,3.325046662,2.805644556,3.009604476,3.294012978,3.209438143,3.204390358,3.179766044,3.225037084,3.191234214,3.169033768,3.148795254,3.148242852,3.146352404
3.000321695,3.718149493,3.910911409,3.616841774,3.197370384,3.008191753,3.161367571,3.103862198,3.109550671,3.102862375,3.080774017,3.069330494,3.058606327,3.058694812,3.058153526
