V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
16.22174504,9.64050215,6.999396657,5.366686837,3.205164697,2.421966707,2.329246548,2.318752421,2.314941315,2.312868895,2.312743786,2.314112341,2.313175762,2.313444431,2.313299446
10.63024492,9.65491377,5.811219109,6.122288951,3.651034203,2.529848685,2.3509833,2.318697746,2.316020947,2.309355086,2.308535426,2.308423131,2.309032349,2.308771102,2.309833316
19.3958903,3.895376472,4.792028213,8.355704365,4.212806659,2.601724731,2.399094989,2.366870318,2.356711533,2.357514829,2.357522417,2.357703046,2.357671398,2.358096349,2.357730987
11.46106688,5.762014005,6.443960157,7.391505046,4.73718248,2.641634709,2.415262078,2.380520206,2.368012247,2.366567465,2.367595102,2.367394618,2.367325805,2.366897346,2.366912501
6.079487526,3.647707952,4.463265406,6.348023676,6.615880913,3.513436272,2.522555535,2.352145322,2.325746193,2.324573926,2.323709736,2.326828708,2.325219822,2.325757939,2.325476996
62.78308652,8.18726029,7.550494316,3.627429136,2.514515522,2.361763411,2.330852749,2.322815037,2.324857695,2.326235043,2.323461897,2.324122304,2.324298989,2.324096609,2.324494439
23.34954609,7.863832633,11.26796387,4.812740904,2.696096586,2.404609313,2.358390967,2.346798446,2.346092942,2.344445848,2.343441692,2.343619246,2.343966347,2.344218521,2.34430611
4.209300048,4.690773213,5.013095941,9.504255126,6.23777973,3.286895982,2.452679723,2.374835606,2.369694075,2.362420117,2.359184119,2.358023488,2.357790375,2.358557791,2.358326554
24.4509264,4.435882009,6.87171451,6.371582912,3.363299825,2.473016199,2.334158357,2.314887827,2.307749139,2.304387396,2.305269123,2.304664437,2.305144875,2.305961035,2.305514423
13.25241351,5.391968998,8.28986632,7.102113349,3.652060603,2.540069466,2.395302722,2.359798855,2.353677876,2.352866716,2.352098216,2.352047123,2.352504917,2.35210979,2.352515416
20.4428241,7.301713426,6.992622117,5.567824991,3.075402064,2.411304618,2.290057991,2.278513356,2.278823056,2.277500358,2.275744542,2.275717599,2.27578449,2.275598925,2.275959166
3.933693883,5.225749779,7.33872763,6.427762272,5.866386653,3.282028478,2.509997019,2.391799045,2.381540216,2.373215905,2.373391807,2.372594707,2.373566665,2.37341043,2.373846529
4.119704659,2.149938045,1.728035809,5.321719073,10.03739654,5.942899289,3.382601017,2.461854242,2.371526145,2.348615077,2.340777197,2.340335149,2.34014259,2.339651327,2.339684651
5.714489706,1.905652857,7.919432711,5.301357344,7.040920827,3.962175415,2.589719231,2.355481486,2.317192785,2.314190825,2.31654444,2.311198259,2.31285232,2.312977089,2.312179872
1.444441405,7.12194641,14.96350151,7.285583042,5.532949823,2.857701534,2.407736001,2.357799269,2.348788971,2.34769747,2.347510419,2.346067373,2.345491372,2.346088348,2.346307126
16.38209902,14.31699159,8.739138515,4.983280555,2.771276319,2.425749709,2.372374559,2.362661952,2.358837665,2.357696713,2.358390822,2.358381404,2.35966769,2.358671161,2.358460456
12.13420108,3.228804855,7.610184123,6.228815938,4.80736581,2.771835164,2.377274886,2.332566236,2.319716394,2.314569407,2.313035643,2.313441532,2.313281548,2.314395498,2.314116862
11.5180409,5.825935937,12.02774783,7.604065424,3.170213014,2.512721048,2.393045527,2.378455971,2.374184158,2.372018923,2.375170834,2.373600943,2.373940224,2.373731798,2.373731798
3.756657507,3.703736316,8.454615274,8.82597967,5.339358743,3.269419277,2.467937675,2.380077919,2.367943557,2.361651345,2.359938569,2.360596033,2.359923164,2.359988482,2.359988482
