V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
0,2.781767623,7.935512027,2.984840087,2.782734553,3.511751752,3.082106856,2.908606938,2.459912072,2.284649086,2.187108343,2.146034168,2.127503832,2.125554672,2.120844926
4.496438408,3.241069102,3.525676105,3.165261806,2.829879678,2.941702815,3.062925778,2.641648371,2.369190882,2.219128637,2.171321504,2.149872287,2.14322583,2.143655312,2.139567577
6.433721269,4.701074329,3.661490183,3.136069387,3.02389563,3.085922619,2.844325029,2.375572306,2.219299743,2.161424269,2.14250377,2.135204713,2.131247186,2.132596155,2.13158968
2.76201998,9.07354685,3.936829602,2.701830989,3.103709715,3.050922394,2.80686692,2.480621874,2.232468472,2.170121128,2.147224644,2.137240427,2.132541899,2.130898306,2.129834301
4.84077528,3.329446713,4.760825707,2.45663798,2.933578563,2.721215325,2.930419597,2.562691082,2.319813701,2.191528478,2.148797677,2.127942423,2.123023158,2.118843831,2.116840531
0,3.97612381,2.895110644,5.101490894,4.281929749,2.864319834,2.850975719,2.756285651,2.471942038,2.265879142,2.166472639,2.139924304,2.124156843,2.120713066,2.119452116
0,2.750745016,1.2605922,1.830070661,1.18207424,3.94613698,2.977021495,2.78365041,2.653481003,2.590544879,2.77458713,2.724977406,2.377913685,2.229509103,2.130031518
0,4.903608469,4.439928822,3.284909857,2.134093248,2.358170557,2.942280681,2.647691836,2.673979675,2.387730402,2.229316431,2.150780352,2.1353363,2.120817555,2.119105276
4.787580916,1.842465549,5.785476054,3.074190902,3.013482444,2.896541054,3.018599782,2.640700578,2.334483332,2.227413941,2.169486581,2.141903285,2.140687817,2.135387827,2.133925429
3.082332569,4.878427678,4.55159396,2.42803696,2.313821064,2.835419638,2.749648176,2.701334168,2.427181419,2.234978464,2.161916865,2.136877866,2.128753392,2.119613297,2.116002564
0,2.737339862,3.437042349,6.811079488,3.622606803,2.968204775,2.841793956,2.725154164,2.461571489,2.236467988,2.171911209,2.133091217,2.110549587,2.106524393,2.105236444
0,2.906861643,6.432263831,3.73213959,4.078347168,2.997341656,2.996936887,2.607393303,2.374509402,2.222628423,2.138659594,2.10681802,2.099954015,2.099436457,2.094083811
