V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
4.667127766,1.494022485,3.200599449,10.30736705,5.50137885,4.087799108,3.362316658,2.604276433,2.324479553,2.25839187,2.236907301,2.237454619,2.236113819,2.235664855,2.235484515
2.560578758,2.598308357,3.973965809,2.584186967,2.343691746,4.368395812,4.491977237,3.916731583,2.811394264,2.404816808,2.305300994,2.283795479,2.280221486,2.277211671,2.276798609
11.63443407,5.591354212,3.837396153,4.317988151,4.360398567,3.240845525,2.505069062,2.348390086,2.290052781,2.283263503,2.281107204,2.280277525,2.280610893,2.28080749,2.281316583
8.539480888,5.268186598,4.901412063,4.695469325,4.251207101,3.173590754,2.481603293,2.287444992,2.230918119,2.221438083,2.219572899,2.219687902,2.219073029,2.219564602,2.2196232
6.880419499,4.563251899,4.786964903,5.083446252,4.41228891,3.648955607,2.673339037,2.348432375,2.280236973,2.261046121,2.257262235,2.258103325,2.257810163,2.257674117,2.257674117
2.543646305,2.632922589,1.428418363,3.550757077,5.964258276,4.552269247,4.625913952,3.638126313,2.699954287,2.361301167,2.269417869,2.259305908,2.254367116,2.253955406,2.252675774
6.449081528,6.457790524,6.123532438,5.816407762,4.149047677,3.318462327,2.503791397,2.315782215,2.28010722,2.266616493,2.261173716,2.260319741,2.259631013,2.259750825,2.260823195
5.087670826,1.649862346,2.440955641,3.557556094,4.391843458,4.253062341,4.149707982,3.214583978,2.522554857,2.295268039,2.254730988,2.238787158,2.238958507,2.239494037,2.239470268
3.122117939,11.06106405,6.567407946,4.95443108,4.549368861,3.435682914,2.549717818,2.320230347,2.265962874,2.254981408,2.248790822,2.249344751,2.249099726,2.249445001,2.249552391
2.691104075,2.251643187,2.136626547,2.572764227,3.595626861,5.551610118,4.758668033,3.815401586,2.808893382,2.412212374,2.307460299,2.291672163,2.287055826,2.284456151,2.283580446
20.59850313,6.721971327,4.760703926,4.892947415,3.591493583,2.61010406,2.384125461,2.317428701,2.306564009,2.301725557,2.301757904,2.302271813,2.302047489,2.302313251,2.302137725
2.490832415,1.831124969,1.548352791,1.129569947,1.914913734,4.550268686,4.117817982,5.057491202,4.834727528,3.467144302,2.602985889,2.34752251,2.293789388,2.284785766,2.278471374
0,3.973002255,2.221783583,1.932535312,4.259520114,3.990881801,4.933448504,4.107362163,3.248240383,2.49537465,2.306298667,2.253074024,2.240047553,2.238632015,2.237925754
11.2548743,5.317398371,3.818139864,4.354022686,4.154904301,3.20750284,2.550969151,2.295599223,2.24502535,2.227258702,2.226689123,2.226469399,2.225518109,2.225784318,2.225706382
6.007519259,2.195693775,1.691249553,2.279304024,3.628662288,3.788455633,4.429232623,3.691921616,2.792356984,2.363854605,2.255721138,2.231825795,2.224867934,2.226692746,2.226179393
6.440327381,4.765362708,2.466616843,4.133152112,4.521795704,4.179860583,2.997123146,2.455837512,2.292409793,2.241564944,2.234516763,2.232615987,2.230864246,2.23026309,2.230581322
0,2.996854952,4.473138408,3.724211431,2.23598144,4.051509452,4.166205334,3.899257663,3.05746801,2.428675385,2.282998954,2.234164045,2.226839469,2.220795783,2.221819949
