V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
2.085235347,2.444738443,2.309068135,2.712257533,3.862954779,2.508375316,2.523881263,2.489973867,2.371070002,2.670443465,4.009300014,2.299779178,3.570664617,3.277414836,2.561538519
1.95264582,3.299759045,2.317267496,2.432037363,2.299056329,3.525335204,2.196932088,2.30189788,2.31897035,3.267464248,3.51888259,2.570742325,2.859935546,2.6352468,3.117139242
3.073160491,5.405879161,2.45846576,2.957011708,2.951891731,2.991206547,3.696990945,3.80678974,2.269492369,3.005621152,5.052464964,2.365187505,3.046289059,3.226006752,2.809028586
2.378426609,2.901655252,4.227621054,3.771223886,2.310770568,2.055827936,1.887676943,2.31278551,2.692948909,4.035310415,2.686001469,2.532316412,2.097922705,2.978052825,3.472550852
2.596514969,3.415288214,2.263050217,2.660758126,2.825192481,2.652560521,2.516094585,2.105276092,2.872131849,2.352724027,2.854870217,3.720783557,3.394457002,4.415962338,2.111345045
2.085235347,2.446150018,2.284661591,2.500159238,2.577744549,2.035685725,2.962573965,3.966476354,2.259797173,3.21575548,2.260304257,2.413521687,2.920663192,2.1563556,3.072862569
3.504657127,2.762473864,3.352567841,4.345299204,3.886466624,2.826390602,2.882969025,3.950079623,11.31883049,3.066002954,2.913804012,5.00035512,2.824556689,2.53534184,2.371416077
2.722180671,3.228439345,3.285471966,3.736222947,2.524708291,2.581177979,2.229240232,2.208457806,2.287168143,2.274833272,2.232301626,3.700014728,2.69711964,3.433607992,3.183056562
3.014861356,2.881226298,3.679299602,1.82571502,3.240507163,2.709985848,2.487638901,2.448040038,2.561177017,3.258533299,3.514699315,2.397900158,4.501813848,1.499977744,3.776984188
2.729933467,2.87966604,2.548680306,3.06256632,1.91419389,2.196569545,2.186444361,2.343224121,3.089489978,3.146222311,2.168236204,2.763162074,2.081652234,1.975349883,2.075742066
2.974686606,3.193374768,2.798425181,2.338097006,2.966013921,3.87903371,2.759229653,3.151530608,3.286226023,3.009912139,2.838193337,4.573084685,2.678006397,2.479133244,3.03040836
