V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
2.184387834,2.388083751,2.683248804,2.545616211,2.507439442,2.486228207,3.597495804,2.736984705,2.9986589,2.850837643,3.011807447,2.350284588,2.749057988,2.802650228,3.27340337
2.87909078,2.915518964,1.999333017,2.908247579,2.94790498,3.855455531,2.382409966,3.54562539,2.599303385,2.87988288,2.094625794,3.01440585,2.115091619,2.938420904,2.780735565
2.301828994,3.900109944,3.35844572,2.271761988,2.503880307,2.306877461,1.786142366,3.074763276,2.673643104,2.424426008,2.723711017,2.621637263,2.307411014,3.499394602,2.871177811
2.523202618,2.19587173,3.41134399,4.010080281,3.216864752,3.51124337,2.629968771,2.496046346,2.105964311,3.005489676,4.075614411,2.267865498,2.612281565,2.670626333,2.363830574
1.992829823,2.168415424,1.657317333,2.813303774,1.847154354,2.239777208,2.664569366,2.389685187,2.943338554,2.186344131,3.145214805,2.505526604,3.131715765,2.916508769,2.741997731
2.662452826,2.656298852,3.435649524,2.679915747,2.425204311,2.231793744,2.794670887,2.856978894,2.598971441,3.782323243,2.870818401,2.074389392,2.489369019,3.42158833,2.716429743
2.261021061,2.25788597,2.710026189,2.669050191,2.492640021,2.931614678,2.738315546,2.733194537,2.860418912,2.673722207,2.819979664,2.370696292,3.385776131,2.513953836,3.07638189
3.114978241,3.121475521,2.551449277,2.910671984,3.153821501,4.506057442,2.78144949,2.848173369,2.409325785,2.128355423,2.750375395,4.11898893,2.796471644,2.885495767,2.610437118
2.62374438,2.513112477,2.345043057,3.136197441,2.186746995,2.860184927,2.521371827,2.359527172,2.360738381,2.824465283,3.23888006,3.644123593,3.490542911,2.449266732,2.67822983
2.37297304,2.469668311,3.190807781,2.535398847,2.890925739,2.55275418,2.689649998,2.857843856,2.376624616,2.66834794,2.571401986,2.994117661,3.024469339,3.286436778,2.38841569
2.184387834,2.460823112,2.966689623,3.280543555,2.499942527,2.816400967,2.406593437,2.198019707,3.439005769,2.673186607,2.692339801,2.740136766,2.312314252,2.167389926,2.022751661
2.300358425,2.531687408,3.495046987,1.986096037,1.824493445,2.244068104,2.831361243,2.844974071,2.525778602,2.605840768,3.062592317,2.430969563,4.011634925,2.179626489,3.055613091
2.703637761,3.069739047,2.937370354,2.905178404,2.733428964,2.050176381,2.123740442,2.850670434,2.565194058,2.351369941,2.942532068,3.169871667,2.375225027,2.979993101,2.548165723
2.220684925,3.203539449,2.796134877,2.431069153,2.225000184,2.387609293,3.146472107,2.752033471,3.455393573,2.225787339,3.672040903,3.326102495,2.896312708,3.656001777,2.424651196
3.670538039,3.063495982,2.20459756,2.461022512,2.517763227,3.481506559,2.546941687,3.328469429,2.541874976,2.871168392,3.425938796,4.384225609,2.702182249,2.440945942,2.635115646
2.7247879,1.939863112,2.648089419,2.988507141,3.274943439,2.641698603,2.929744883,2.686543561,3.176204904,2.840048516,2.926425455,2.562399411,2.299981825,2.890736837,3.859134716
2.329448709,3.003557629,2.825406194,3.026233096,3.420690007,4.107517789,2.788181868,2.209708182,2.723571637,2.887119284,2.399638931,2.614768812,2.962617062,2.663476477,2.79366003
3.131601893,2.979039993,2.278661408,3.001653276,2.427329272,3.180762279,2.545096251,3.131207247,2.377645835,2.258210718,3.474954198,2.129454496,1.767852096,2.51629673,2.455903446
2.303346765,2.613702152,2.293900944,2.584407242,2.284813659,3.069786698,2.351261442,2.544889059,2.646542602,2.665121071,3.054323654,2.217386056,2.330424998,3.303754861,2.659033337
3.187731267,2.747715386,3.300786854,2.568263988,3.465405735,1.995642616,2.284489541,2.703514376,2.390682303,2.849668646,2.560214736,2.064539953,3.411595598,3.259770541,2.605183006
2.392919421,3.290720563,2.470573033,3.088807939,2.54845697,3.026330608,3.483048983,2.684016198,3.230290351,2.951712904,2.648037717,2.810473535,2.549159109,3.041432686,2.89884701
2.608125377,2.894391351,2.309424205,3.170983084,2.406696152,3.202746326,2.575696645,3.233968431,2.841761146,2.368369602,2.64843888,2.223347872,3.062284505,2.080077311,2.104438034
2.926019597,3.114749343,2.687958855,3.64422242,1.823649016,2.427209053,2.627024262,2.366971576,3.051936392,3.017748581,2.817070608,1.819972078,2.847291598,2.571032324,2.929986345
2.833544827,3.180811899,3.373694495,2.455597392,2.067707732,2.987146278,3.40296797,2.886260435,2.829464312,3.683762345,2.315687997,3.159806421,3.284750906,2.242332253,2.88978127
2.593229118,3.082011854,2.238737647,3.145802513,2.617502898,2.435591145,3.014600493,2.486820494,2.206140824,2.557098557,3.261807543,3.034425371,2.582031295,3.926048314,3.30832739
2.906669745,2.489122523,2.424691005,2.098197802,2.546299313,3.540741981,3.087742315,3.85062118,2.035416819,2.49660958,2.415247752,3.376159125,2.187788313,3.229821851,3.153827459
2.46537756,2.073651902,2.646590554,2.43662609,2.663388328,2.732635194,2.369426387,2.984587892,2.695025494,2.695186335,2.191484792,3.943003383,4.060450664,2.919172481,4.065348109
2.603191347,2.560511038,3.050793421,3.018113338,2.34912256,2.917419292,3.305126903,2.841673761,2.984716583,3.124237139,3.046572461,2.894510793,2.974871324,2.933719155,2.43174424
2.391013516,2.126107567,2.698284063,3.344963092,2.809252249,2.382532243,3.115989124,2.443105803,2.194367873,3.126515541,3.078992543,2.334112836,1.761184614,2.955283743,3.170955698
2.127147306,2.107227686,2.355021115,2.844723257,3.088097635,2.695275919,2.657372433,2.913369402,3.062871677,3.003643871,2.892910635,3.192224143,3.455497982,2.699962965,2.790110433
2.772297623,3.74675483,2.542751887,2.831474201,2.549080653,2.577401718,2.616669656,3.174536883,2.391516351,2.2905459,1.964994967,2.959043334,2.383826055,3.076384421,3.052869726
3.136447101,2.34333909,2.90766425,2.980319598,3.666823404,2.430704599,2.521860926,2.214956404,3.550877841,2.894017898,1.865021194,2.13766365,3.109461219,3.028352347,2.778457978
2.930358732,2.880361783,2.151952894,2.132534129,2.203868776,2.191396033,2.24304238,2.714825644,1.955921328,3.574803352,2.193897541,2.268578933,2.33638078,3.218587258,2.478179909
2.648379766,2.412794805,3.042227191,3.171299758,2.663533683,3.046960001,2.696342134,2.358748107,2.657075788,2.716657407,2.013435421,3.546243856,1.803260567,2.716748156,2.305482206
2.2012972,2.777233352,2.216730023,2.70081011,3.19116826,2.485692996,2.380933942,2.883361825,3.031055776,2.924540305,3.157396341,2.179382958,2.157021272,2.979541196,2.379520669
1.809258462,2.823549934,2.848704846,3.436446215,2.088724536,2.119669386,2.382819261,2.34234716,2.930179794,2.73960704,2.113167929,2.918671177,3.192429896,2.961904356,2.201610129
2.408427306,2.963246855,2.494594252,3.154050892,2.512221824,2.922399677,2.918117726,2.358225821,2.84283541,2.755922923,3.43900401,2.622316347,3.772570463,3.273904278,2.287082335
2.544276136,2.267229946,3.062001339,1.826102514,2.16619559,3.111440242,2.260849891,3.154639068,2.032396368,2.908008839,3.256930384,2.531916043,3.133904683,2.00364039,2.917201346
2.568229552,2.842275975,2.613017616,3.550523843,2.27728223,3.373646186,2.229582494,2.59193067,2.994724441,2.662130956,2.393366024,2.582086773,2.340611412,3.037312472,2.904864284
2.718718359,1.96327353,3.202616314,2.110166993,2.388864231,2.323109547,2.211300323,2.710188596,2.495070987,3.001976115,2.29581694,3.182188933,3.169306531,2.963969869,2.698636838
2.65012098,2.302230316,2.517968143,2.349424358,3.162641972,3.406627675,1.927106436,3.091228727,2.6821087,2.626676554,3.493645041,2.014902449,2.365982012,2.708386452,3.059826527
2.89943928,3.470355818,1.901794504,2.767878131,3.307564424,2.39608185,3.246478064,2.616480357,3.207354757,1.924056131,2.343500763,2.732572432,3.876210442,2.20136307,3.138306191
2.127813515,3.338264611,2.22086807,2.2857756,3.001976761,2.985461314,2.491730314,2.70653923,2.259837582,3.047235852,3.001584646,2.259649826,3.084522249,2.546200381,2.37365656
2.433550069,2.936983682,2.283805267,2.510347157,2.884640941,2.851993351,2.515734634,2.794317079,2.835779211,2.976173415,3.067401988,2.631787427,2.787739634,3.139552723,2.427333578
3.068412077,2.441175437,2.327108084,2.314742628,2.693057965,2.944101471,2.567864357,2.695493755,3.885183955,3.500399233,2.283530559,3.030345579,2.829646371,3.312453136,2.55774569
2.534068809,2.200744862,2.469925887,2.557728088,1.992011286,1.775127933,2.749446971,3.097328786,2.565527871,2.892770265,3.194435488,2.583006043,2.504853301,2.717539173,2.696287709
3.231315874,3.177367377,2.825002536,3.126982914,3.180330168,2.469415656,2.468739995,2.626114876,3.437873429,3.170666365,2.738153997,2.267836126,3.647636111,2.308971195,2.864551953
2.502433466,2.464178609,2.69703941,2.682889549,2.042418169,2.341618551,2.799031102,2.957921915,2.253019806,3.06817286,3.529870513,2.39375878,2.815944987,2.896236069,3.175524183
3.410349725,3.531651318,2.528919464,2.607777674,1.753952567,2.939771815,2.877874865,2.251790865,3.466874749,3.038593551,3.277778572,2.012506762,2.336410698,2.674716571,2.152708552
2.681804389,2.199369308,2.114415014,2.979819426,3.342993298,2.365603516,4.04749861,2.445749554,2.216671205,2.183712451,3.051051001,3.252848917,3.06323195,2.812786369,2.935299206
2.499559919,2.722300477,2.855264595,2.435119287,3.192650344,2.548757616,2.727830093,3.614923951,2.702116854,2.97617386,2.538934567,3.373277761,2.730644709,2.66249129,2.898055667
2.791321524,2.673872337,2.985588069,2.502798264,2.313177271,3.605803069,2.203073814,2.976164386,2.695218024,3.303793262,2.555904099,2.751418527,1.929914584,1.867467839,2.427443041
2.408511603,2.383096576,1.896949863,3.111568249,2.650814871,2.875502953,2.297948431,2.246512761,2.740833446,3.228083622,1.564135439,2.814924919,3.838507976,2.649400007,2.337773385
2.579511092,2.945758282,2.648157197,2.784711556,2.543727193,2.958903586,3.378156092,2.917038908,2.255367192,2.516622207,5.059473383,3.58971099,2.574985776,2.615008044,2.264936485
2.389460978,1.826139024,2.523625185,2.666471969,2.715965303,3.082532282,2.790305168,2.835068823,3.245415576,2.462207951,3.310392573,1.699263319,3.345914895,3.034698227,2.153246358
3.590209289,2.609436285,2.706308237,2.876245531,2.926106286,2.672704266,3.331666961,2.957611453,1.975086215,2.778325625,2.409038294,1.799303245,2.425888563,2.382476134,1.883958095
2.929947006,2.935991747,2.861800673,3.396313578,3.559111412,2.862765702,2.8910648,2.758659423,2.971479892,2.749406023,2.616181948,2.510769013,2.862777608,3.552581141,2.406586843
