V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
2.186658268,2.613773533,2.173197035,2.791491395,2.688335393,2.76348568,2.973022746,2.682573029,2.854679168,2.234286267,2.418765174,3.065454313,2.446612171,2.260972801,2.241082333
2.62728257,4.330503563,2.081760954,2.533445264,2.184264284,2.395445205,3.674062499,2.718448602,2.390554707,2.762552435,2.45468267,2.854324471,2.506091586,2.009530237,2.719918058
2.942617354,1.878556659,3.895975831,3.07739851,3.44030733,2.706715805,3.531318643,2.57647972,3.084464007,2.873361514,2.362322084,2.205564435,2.600888749,2.551481193,2.941453194
2.706199919,2.117020001,2.885925483,2.83742676,3.090439657,2.747524641,2.265022448,3.136462745,3.181480587,2.688807928,2.712410881,2.346482326,2.733034251,3.719668443,2.424659279
2.949413191,1.983573617,3.079269908,2.416846283,2.364259612,3.152690057,2.911237464,3.034377252,2.58155525,2.717763363,2.391652101,2.515375618,3.363105917,2.174066909,2.313334956
2.229827747,2.679509372,2.372996683,2.039014307,2.432035902,2.651901672,2.424630637,2.516215664,2.22044896,2.296917845,2.228778371,3.182790029,2.932443627,3.436657333,2.867679159
2.319592282,2.272319069,2.331140648,2.116022988,2.083044578,3.750513363,2.386943558,3.192720964,2.727685423,3.958196314,2.354023644,2.874467292,2.846431772,3.036735498,2.019121153
2.954759651,2.867400762,2.499774082,2.09843896,2.597315412,4.174599582,3.19368491,2.74011391,2.553793449,3.126960561,2.435787508,3.703827244,2.692354265,2.796292692,2.601712068
2.810506906,2.633338677,2.484548259,2.681932645,2.588309003,2.713768685,2.276012407,2.081048719,1.83935872,2.79576374,3.495945884,2.547038366,2.992947839,3.190984293,1.939113984
2.472667994,3.089089791,2.793591384,1.671663349,2.468810889,1.693904315,2.694052732,3.639348983,2.781608593,2.516831898,3.291425307,2.593132645,2.206207249,3.091302289,2.739237146
2.906505678,2.939135659,2.617068775,2.4718261,3.075620318,1.995976489,3.797643388,2.44226054,3.243397834,2.256740651,2.181113187,2.718235205,2.623761271,2.306366883,2.832636888
2.432227059,2.626338903,3.195728594,2.997873511,2.695693264,3.048374967,2.934828393,2.391164368,2.581737539,2.677031173,2.488188372,2.835002039,2.923515721,3.453779966,2.333848073
2.608816742,2.566771218,3.864776916,2.399853752,2.83238944,2.290155466,3.010201944,2.400789494,2.733603523,2.73456228,1.928301696,3.181673542,2.041406573,2.548832112,2.630352142
2.198512568,2.646491894,2.425572645,2.351434109,2.814206623,2.002955021,2.235070501,2.794750408,2.464632673,2.729123009,2.662390045,2.456582279,2.099014252,2.874949639,2.450872108
1.975132242,2.338346931,4.028043791,2.614892722,3.559909289,1.922637521,2.634376191,2.85195139,2.424575738,2.45645378,2.225534339,2.591988508,3.286762503,3.336222954,2.505474742
2.400481954,3.907449117,2.449277833,2.477941847,2.654601235,3.37475761,4.030526284,3.924514098,2.381150382,2.201400776,2.560041342,3.294925356,2.562048037,2.818208337,2.802193338
2.5900954,2.813949203,2.609655487,2.966950692,3.074543369,2.264018983,3.005107997,2.820933783,1.844981715,2.726893112,2.988836736,2.769401868,3.637095865,2.379874629,2.556208276
2.433437922,2.841099475,2.750559466,2.764210432,2.219734857,2.279548368,2.758825265,2.739571488,2.036067883,2.395377276,2.547992976,2.726848411,2.696068692,2.588681081,2.694796163
3.068444686,2.981820576,2.511309221,2.161837743,2.602550172,1.601702701,3.105835485,2.754348805,2.813679594,3.007100935,3.592006528,2.134329855,2.943755398,2.482445055,2.290986107
