V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
2.318846317,1.400454268,2.647654876,3.425283888,1.940940639,2.259936139,1.962793725,3.129358128,2.055467784,1.382369503,6.958032409,3.133299531,1.949120474,6.909300704,3.084101733
1.462036246,1.97779548,3.342555082,2.551603112,2.20211488,3.731164857,1.784823454,4.905387348,1.925020004,3.204251481,5.931459783,3.706746556,3.386786807,2.084777049,2.42864144
3.78099494,1.938476745,2.971638885,2.432302742,1.045819032,3.802154197,3.441800811,3.515880402,1.628274739,1.074015067,1.876850396,3.738477983,3.685608524,3.987245992,2.844599622
2.258868842,1.770706306,2.262178574,1.382263524,2.445356677,6.048670404,2.409337352,2.77897526,1.488290703,2.939252797,0.936987973,1.234974584,1.792094559,1.592152331,4.713478325
4.192970577,6.586878955,1.033369375,4.307791177,3.369905912,1.718079285,1.894720031,2.377585022,3.956130457,2.421571893,3.113588978,4.169741463,1.252752967,2.701245769,6.186714162
2.459712866,1.977070009,1.408267674,3.73558701,2.485222433,3.318955309,3.839424688,1.027141375,3.809284945,3.585084957,3.01096727,1.682216781,1.646229664,2.03685443,2.254901567
1.570899771,2.550622951,2.965149394,2.974305804,2.381320351,2.113401683,2.915255728,5.020253209,3.100244423,1.657022354,2.784120634,3.23196483,1.49673115,2.019216682,2.056717124
1.938196504,3.566159854,2.354992057,2.635167182,1.585153547,2.276457702,4.923576963,1.076203686,1.919672416,1.852910237,1.788282514,1.690851114,5.566625382,2.456269394,2.750910744
3.110666235,5.541921662,1.760528553,3.451738457,4.984477619,2.215910021,1.252083446,3.146087847,2.26376084,3.393812077,2.013737432,3.147082171,3.486195718,2.476049765,1.792683836
2.266694868,4.855265138,2.469761802,1.843593939,3.297815217,1.058083714,2.636225757,1.602955999,2.177078739,2.710655502,2.819291159,4.659548764,2.980287681,3.541906137,3.616831885
