V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
2.319215005,2.672782963,3.014148384,2.36177335,4.36796201,3.003295198,4.030597159,2.81483375,2.490556059,2.982260714,1.727770825,3.965051902,1.518332648,3.212253509,4.107413076
2.883418723,2.230607537,6.787258046,1.836058951,4.131305518,1.995394955,3.265452791,3.810468049,4.942386207,4.692711309,2.627266476,5.055266416,1.488008421,3.914165085,4.482887075
3.087287546,1.966286017,1.415555999,1.77300018,3.362582769,1.362408043,3.463211156,2.717292877,3.704803938,2.092353331,3.907758217,4.282445894,3.607026281,0.96592438,4.306352994
3.715806374,6.727450475,3.324323212,1.622865632,2.288967717,3.739167472,5.318589646,5.892063348,3.4649715,3.584234358,4.427893132,4.77812641,1.810259169,6.827202318,4.83638144
2.865237643,5.07912957,3.650435539,3.117482833,4.084766964,2.375821195,2.932332695,2.498947923,3.692791698,2.917728392,1.985578961,2.141300895,3.327455424,3.67154761,2.159988204
3.078052858,1.144239572,3.084192986,3.042580435,4.185216578,3.241722188,2.726085537,4.206075503,3.288291491,5.684061866,4.495072909,2.811984395,2.008325446,2.095490424,2.746957346
1.978256803,3.318381119,1.414581387,1.64293768,2.12382794,3.095486271,1.998166116,1.296995438,5.050090788,2.550043273,3.786567977,2.498264969,0.620940309,1.044149339,1.688737175
3.497206873,3.393571462,2.973584223,2.156604413,2.12501402,2.593780323,1.407892256,3.189882054,5.430346703,6.13756886,5.554590188,2.468970094,2.243351201,4.794619934,3.900643615
2.491049123,4.19480957,2.507678331,2.014486741,6.299416339,6.318541306,1.893311935,2.865409809,1.600347046,2.260137012,2.574587302,2.754505222,1.996870926,4.12526043,4.654176596
3.152354304,1.810202003,4.043195768,2.210755665,3.390678357,2.97074118,4.031766076,2.024130905,14.26219989,3.447465048,2.891711008,3.503889377,7.076480488,5.043542356,1.921340212
2.319215005,2.672782963,3.016449258,1.938104674,6.82600954,1.952616879,3.737012965,3.5721684,1.913948545,3.08338925,4.643111629,2.86684692,3.219026345,2.681139767,4.441165975
6.162450311,1.753837356,1.762741328,2.563263889,2.195572497,3.372278485,4.993237631,3.428306274,1.150965981,3.226601397,1.894164496,2.700524523,3.354812851,3.633912491,2.196060867
5.812559244,2.377591045,3.026020786,1.197334394,2.877342402,2.31868833,3.474697575,2.267726762,2.22070899,2.359835418,2.925759111,2.209513934,2.815868327,3.571743417,2.824649786
4.225497901,3.642525684,4.468027378,2.604384719,3.853026571,2.107801677,2.123943197,2.109502271,2.090334961,1.756724783,1.321346733,1.709430558,2.217007046,2.935935303,2.416613723
5.583805316,1.539307137,2.654586678,1.66815442,2.15748771,4.473245106,4.197681295,4.529747937,2.596143017,2.393473591,4.599834476,4.586176193,3.090437831,1.46631063,2.277832367
1.230239162,1.896300681,4.335920303,5.403997555,2.877600458,3.690553711,4.075727775,3.167687883,8.657085059,3.622552343,1.856158745,1.613392521,2.331585341,2.507756523,2.160681062
1.515359089,1.846726464,5.983882309,2.017112453,2.200429828,2.116496407,3.914246156,3.35762529,4.27810975,4.161548071,2.730437529,1.523818673,1.710368762,3.672433466,4.094927028
3.014249589,4.328572096,8.07615561,2.727536683,1.743995122,2.37713068,2.961517607,2.682245487,4.037736017,2.635222921,3.636812807,1.519344323,1.437245118,6.928359257,1.467192863
2.885125112,4.559635638,2.284271952,1.385944044,2.168085853,2.577786416,3.681390373,2.742507513,4.723622543,1.172781589,4.203203369,2.757282282,3.435414461,4.548907046,0.927123852
0.79628444,2.64438363,2.920987406,1.516738861,2.658964434,2.228450531,2.584512459,0.814758394,2.103919359,1.864568428,1.086758462,3.189391716,2.343323108,2.142276114,7.417823534
2.777386123,1.206262864,2.319181782,1.989998935,1.998071243,2.088455323,3.609699385,2.357569237,3.674963681,2.84595541,2.452075874,4.606339892,2.490594206,1.368062556,1.123194126
2.407525202,1.587478655,2.988539878,2.474218528,3.483118436,1.162621561,4.156303413,1.57465597,1.888108383,2.620611636,2.59240639,6.952151913,1.992606748,4.642339387,4.368610767
2.495357188,2.853659084,2.576538997,2.555402742,3.170472915,2.678624815,4.323096803,3.469595028,2.105397866,2.879881667,2.237308265,2.652714141,2.911136502,3.177665861,1.513547174
3.677467842,3.622552469,2.642977187,1.507488297,3.303449921,7.38486404,1.625582594,1.730076835,2.860144678,3.151263833,3.390014381,3.317544176,1.852264505,2.228171704,2.376806731
4.366252541,2.36752399,2.287245957,2.528055108,1.439930081,2.037041208,1.360227093,2.279909205,4.286133078,2.475552775,2.81856005,1.155653839,6.044031954,1.291848921,1.929544922
1.819401053,2.297893586,4.051793699,1.445559738,2.594266063,2.97001462,2.720414251,2.565317963,2.979975612,2.101181395,3.479251119,2.530433674,2.506493294,1.369689354,3.484657094
3.329567475,3.791637742,3.90728453,2.905276971,1.076067064,1.938767425,4.133563358,2.007915114,1.959049707,2.605419889,4.76172289,3.360481833,4.824782033,2.074657504,3.288846268
2.786013644,3.126324612,6.091029966,1.654386752,4.431283902,4.830561122,2.244939416,3.712360219,2.049070383,1.431839379,2.45510748,2.17474378,1.31713964,2.935742463,3.130865415
2.100186383,1.874418686,2.580845606,3.25154639,2.500032275,1.735697989,1.813974249,1.872477756,3.498993934,2.042551379,2.19545263,2.114961128,1.752612323,3.641419078,2.142915849
1.783850929,1.51609259,3.662680359,2.065884522,0.669079485,2.115816968,2.156071852,4.628815738,1.80235359,1.826622089,1.679274764,1.978549907,2.564301524,4.609186141,1.764114121
2.055797581,3.354215855,2.506432095,4.214181314,3.173623404,3.519334908,3.975072463,4.665963192,3.60154512,1.083685238,2.01190508,1.49122198,2.505811034,2.662350995,4.290096031
3.744073192,5.906045104,1.594068014,2.944326306,1.893330193,4.497524199,2.771836918,2.538163235,2.939867816,1.748336837,2.368647464,8.812891215,9.168875157,5.180801698,2.036213855
2.139411124,1.742195544,2.424111362,2.756802222,1.108523201,3.802929141,2.463597335,1.052843081,3.414603454,1.599816448,2.474954886,3.813821238,2.77186751,2.598265882,6.266937845
1.296942199,2.95266209,4.288151514,2.332887389,2.713589861,8.411297329,3.803348322,2.738938114,2.249144856,1.861086618,2.510454877,2.146367717,1.873857832,4.133701852,1.794154217
1.115804271,2.360553622,2.749629405,3.379851366,1.596354343,3.697346854,2.398367064,3.8682731,2.372155529,2.282562893,2.838386211,1.579403951,3.376704113,4.4290701,3.368731462
6.086586104,2.048921676,3.661834171,3.344986298,2.712555048,1.78670187,2.511210004,4.530089711,9.956262837,3.697777867,1.321920295,2.012183731,2.173674529,2.645115168,1.450548134
2.944002583,0.806998124,1.319491388,2.697191557,4.662350664,3.208827698,2.585831125,1.431583487,3.719576733,1.904413845,2.769384468,2.784535969,2.054832956,1.745436648,3.036943541
2.903763842,4.45392127,1.867034929,3.09936019,5.227317292,4.298472528,4.307264366,2.844813571,1.150868654,4.179881333,2.205558109,3.359049419,5.334635194,2.173300712,4.529623793
4.175147187,7.062022401,1.27945185,1.313955629,1.769137297,2.053364141,3.076429409,2.060794006,4.182561517,0.850340379,1.657279061,2.762773441,2.84061383,2.483720189,2.403842335
2.443253674,2.30076621,2.34191504,1.607243263,3.305738959,1.707561093,2.284839674,1.390708462,2.438795951,4.015779026,1.1705584,3.687176635,5.932963511,1.17688013,3.059556434
2.288836226,1.277510007,2.805117331,2.589704903,2.185279294,3.43311476,2.440271817,3.046166085,1.554284651,2.139039565,5.462272027,1.691843959,1.176223986,2.466603903,2.471419613
2.647723114,1.276737717,2.553378455,1.879877926,1.449748435,2.986081834,2.145313697,2.523768467,1.916641993,2.20313415,1.944369773,2.4792978,3.17458731,1.387444421,3.549448275
3.418892806,2.074172624,1.425461596,3.729945205,2.911806668,4.139522525,4.97631643,3.568558344,5.976219089,3.194092778,1.157927577,2.208370396,1.934793212,3.681858915,2.169776049
7.094368427,3.653953845,4.610581898,2.828935773,2.076141446,1.552113065,2.597259563,2.213100028,3.583863982,2.672816713,4.482409274,4.073667793,1.808305695,10.33365718,2.62320468
1.53074929,3.491701017,3.418938736,2.261190801,1.758992691,2.607171878,6.967975987,1.480608709,3.559857681,3.47179269,5.217686873,2.100078461,4.110974171,2.467083581,1.962254203
1.561712892,3.553878283,2.381679244,1.86265508,4.085609951,2.885032814,1.877867828,1.147823469,2.324433124,1.057667964,2.645515808,1.140266492,3.268454345,2.686737809,1.484443961
1.558721307,2.698166001,4.297450026,3.632230607,2.281164814,3.63840911,2.76214312,2.172376635,2.926319817,3.160242987,3.394032961,3.476076158,3.437339388,1.501313687,2.487558875
2.158343611,3.005955079,3.219487601,2.323817896,2.229923882,2.46062182,2.061908949,8.7637273,2.131210633,5.168845789,5.434247435,4.727710802,6.22412051,2.056685034,3.684151372
