V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
2.315977516,2.853180956,2.010462177,4.46654632,5.276708479,1.954820425,1.349675302,8.850858679,2.440222606,1.598657659,1.641444486,2.417113413,1.844285836,3.942370833,1.693162817
2.158954326,1.722408164,6.300743125,5.598317661,1.766514823,3.498179473,5.669024508,3.085626206,3.655154361,1.103782606,3.157273231,3.318845742,4.058501319,5.208887567,2.894614061
5.07650849,5.485735454,6.364124616,2.148339152,2.077036225,5.658943467,2.608404178,2.800807168,3.824009862,1.068309974,4.409711774,2.912093832,2.767621744,1.902751527,3.019381535
3.808544323,1.383367392,2.87457389,4.798392457,2.72808784,3.75383079,2.308711642,2.592889737,2.536745753,1.839869269,0.97092304,3.185485444,1.463430469,2.872615372,1.43446094
1.553229091,4.404799434,2.369587937,4.589118954,2.219310212,9.70840808,3.132323729,2.240761174,5.039649006,2.592086323,3.480416547,2.018994489,1.905053725,3.128688361,3.168749812
2.70278663,2.02479706,1.607926647,1.814871565,4.874030539,2.424861767,3.485419906,2.366860086,1.190241391,0.871857506,5.468658132,1.232230256,2.400070035,3.001674972,2.312214393
1.992867732,2.731347843,1.857805128,3.498515183,2.910310554,3.472600761,1.878000598,3.434707671,1.441858972,0.691559494,1.811003502,1.716108594,1.987076788,2.632339995,6.361553401
2.549683871,2.980993321,5.031428026,5.036735928,3.096807255,4.401633371,4.357200285,1.071655954,2.798998031,3.076469401,2.51760437,2.390862646,2.091833318,3.032955161,6.430849859
2.995092657,3.527351986,2.546965712,4.532816996,2.223455768,7.16318339,4.277573154,1.830185923,3.390600801,2.181247217,3.662582364,2.390745641,2.750138051,2.686747967,2.889947928
2.0649098,1.392501469,4.550908694,1.729745125,3.597069619,1.345341035,2.632316493,1.686000291,2.424271772,2.184100535,2.788589629,4.815832773,2.2858717,5.34770578,1.627901742
2.318846317,1.400454268,2.647654876,3.425283888,1.940940639,2.259936139,1.962793725,3.129358128,2.075928335,1.808755671,6.359486265,2.914347144,2.639489378,3.137115129,1.259676198
2.379388745,2.703904833,3.472612162,4.561121789,0.601242889,3.130666041,8.902685204,3.986108832,7.583799207,1.811035024,4.65439679,5.577015446,1.443016763,1.429771333,3.127036594
2.264522482,6.933181812,3.549695605,4.794261242,5.831156194,1.557783071,2.253390746,4.389801998,2.73705936,2.000657142,3.29547528,3.024562105,3.72602633,1.324583666,3.919061186
2.13201233,2.066067995,2.564035886,3.405955555,2.252691002,2.628475697,2.339735655,3.697783655,1.638766467,2.369535099,2.825406105,2.742508229,3.066951858,2.835514364,2.526755926
1.756451087,5.775078988,4.541860675,4.815389096,1.029452519,4.890828828,2.149251592,1.590987842,4.113243762,7.417642255,1.298781182,1.655858763,2.751624539,1.103664571,2.658328294
3.075671805,1.487536954,3.301723436,3.93017275,3.737710821,1.75177525,1.482761994,2.958730971,1.768445378,3.242588261,1.581579596,3.467635912,4.179904263,3.05372833,0.989385968
2.084425249,3.756242032,7.22257834,5.122016447,4.040098543,1.44162715,3.734121713,3.269962278,3.532108788,1.823254961,1.695735745,1.601648558,2.497794138,5.028137178,1.019666348
1.952023497,4.19355448,2.964503505,4.709225073,3.136439896,3.530630896,2.333350764,3.104367789,3.162133706,1.734735895,7.443687024,2.691576694,2.920120675,2.365253065,2.694405298
4.321336212,4.195692517,2.873760675,4.770385388,1.819694199,2.736735711,1.80829753,4.0684169,1.900046109,3.326604163,2.484947736,3.366653916,1.532637117,4.895625787,2.307873203
3.109818499,1.626445693,2.879421389,4.145505057,4.936428186,0.884726715,3.177569791,2.099331463,3.482167302,1.562728742,2.971041762,2.679676606,1.586718403,2.616570463,1.771863592
3.253011453,3.315424132,2.819395288,2.068963807,2.025212832,2.315206171,2.566999928,2.33227918,3.178660176,2.143577491,1.475742049,2.160576393,4.73998136,7.76889871,2.056341868
1.543710605,3.13935858,2.733609375,2.737232429,1.51983452,1.136641887,2.491894227,1.632185934,3.87170897,4.645702787,2.488011369,3.561540321,3.09618162,5.843590358,4.406495144
