V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
5.141958948,6.180780111,5.211689759,5.792041101,4.982618503,4.592930298,3.45712048,6.473619268,5.156045374,5.598719542,4.113925885,11.31229535,4.846401319,7.110244118,6.203847906
4.386426075,5.069962461,4.632326788,6.253433878,6.097418481,8.414104412,5.624534105,5.464719723,6.631673747,4.770615263,7.530247118,5.512508445,5.189882802,5.438790781,4.998128389
5.398850481,4.19030513,4.857656428,4.45625982,8.154291657,5.175969713,7.67058966,4.055976667,4.447509065,4.749450317,6.400131815,3.768111437,3.651876645,4.907575383,4.683482276
4.179274895,3.969476889,4.34753248,4.57859711,5.964106674,4.997830112,5.754848601,5.012930025,6.160547676,5.746334665,4.482820163,4.38996526,5.524692017,4.626053003,5.746267662
5.776224155,5.590579072,6.370530122,7.379903455,4.214237184,7.59028409,4.409682132,6.092974012,4.792489508,5.122721768,5.248502631,4.452217486,4.816706305,5.382542747,6.478960998
5.141958948,6.1730044,6.530171919,4.514673667,4.319678663,6.307014616,5.568950843,9.192975626,6.396663634,5.201928329,8.173096102,4.969377647,5.006904998,4.804843281,6.439186927
7.454720204,5.488710392,5.788644964,5.47257823,6.08769218,7.177180572,5.370801941,3.819432155,4.525144561,4.522657438,5.267087963,5.763474927,6.147377996,8.892246318,7.244557991
6.459798167,6.934510145,4.362850675,5.409737196,4.731725843,6.071699095,5.355129599,3.750019411,6.101702861,4.736855438,6.332439613,4.993884127,7.998459811,6.943269131,6.985460599
4.897813306,6.787407849,3.65985119,4.110306117,5.156856158,5.106032,5.830741583,6.65208483,4.43899954,6.459981479,4.527624738,5.361520951,7.477289526,4.401490392,6.670063911
7.56364483,5.031473768,4.85152869,4.141293737,5.649880064,5.194079262,4.947575478,4.88460798,5.259241736,4.251931855,6.840021735,5.946620548,5.548527924,4.937463806,7.775517479
5.025781027,5.017976158,4.99940318,6.650757804,5.020381566,4.911698878,5.453463025,5.130044956,5.57766802,5.205425772,3.996600361,6.175962746,8.356922237,7.875183673,5.64221302
4.647191572,6.212012161,4.9819286,5.604666586,10.15899035,5.956562649,6.398615612,5.06197219,4.54265733,6.276615641,6.641208137,6.468161065,8.318600863,4.733674136,6.420580127
5.723563507,4.835913124,4.706058947,4.713204628,5.185816235,6.323626072,5.500703494,5.816383766,5.832748246,5.048164774,5.999562546,3.932873288,5.843677409,5.26978215,6.382528583
6.195926933,6.581435981,4.430960326,4.080996382,4.9694636,5.776931912,5.388861652,4.528862983,5.832379475,4.262153879,4.437537141,4.465933966,6.228168202,4.90033649,6.722041482
6.892798964,5.50293759,7.05385929,4.386015489,4.068846268,3.899764512,5.581770374,4.091863897,5.616793511,4.978703572,5.920806605,6.703682949,4.270309138,5.132720318,6.333299914
5.56639356,4.760759301,5.771622182,4.828238786,3.720052494,3.935887893,5.505001705,4.128525644,4.819799495,5.134071081,4.563218804,3.672712867,3.815884357,4.100156723,5.15961059
6.880475958,4.750299823,4.271853889,6.12437581,7.728691989,5.322814502,3.900831048,6.770632767,5.222440501,4.406472264,5.338450746,5.707218096,5.714417607,6.33364419,5.48032836
9.677726883,6.473813319,8.413766459,3.829040997,3.860693967,5.044415728,5.486447852,3.821863895,4.873216762,5.168550468,5.583925962,5.953748751,6.898550624,4.936196891,5.57183661
