V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
5.141952855,4.942825385,5.37185647,6.288728417,4.446672823,7.322244744,6.359699211,4.613926351,8.452850921,7.324209376,4.918373137,4.852499669,5.060148824,7.690259227,6.160493412
5.57654653,4.686379832,5.440246901,4.990443839,4.369975832,6.910550945,7.42087366,5.959562012,5.46371529,6.015593934,8.651119494,5.63164805,4.673880302,5.617277173,4.340518596
7.159247174,7.153891565,6.599841337,6.031697351,4.755314364,6.752240262,4.63123159,3.764091227,5.337883019,7.241272026,4.475584288,6.14820269,3.874284712,5.245203712,6.025914095
5.286374474,5.261967204,6.654225966,8.921693028,9.452496254,7.885905997,6.071502832,5.133900201,4.191649096,6.500251162,9.681911955,4.19404116,3.697639437,4.942939664,5.077891438
4.630720461,8.506777652,3.737277951,4.671374038,5.578388023,5.84205681,4.988949031,6.702479061,6.427188327,4.713729617,5.568123613,4.941322624,6.15146931,3.925842188,4.94405493
5.058066041,5.016346799,5.337289088,5.215816637,5.23226541,7.993529355,4.942323038,6.626026398,5.912230922,7.108750718,4.941694309,4.131181583,3.778071711,5.176577358,5.005404151
6.103820217,4.947462224,8.19339766,4.122080191,4.676779304,4.184664046,5.256370542,5.62857124,4.661534348,9.022554862,5.910237218,5.816070975,6.709639935,5.440405567,4.736988599
4.755835215,5.974149826,4.948249063,6.583807586,5.631962345,5.396706829,4.87028065,5.344829236,6.035481998,3.891527211,4.957662392,6.88601143,5.029022138,5.557829876,8.3703645
4.842025247,4.491371741,4.195545336,8.344602848,4.145519846,10.13166848,3.776175114,5.852538076,4.244838967,6.674012714,8.704433946,4.618914469,6.061122452,5.70167944,5.846879721
4.92189401,5.107771133,5.806228988,6.389455369,7.124137219,5.024100374,6.561428937,5.702458289,5.350880606,3.70857399,4.308837016,5.207252512,5.529126529,5.828348437,7.217589261
5.141952855,4.961128933,4.138576096,5.953565798,5.457691843,6.092452978,5.204702361,7.607221465,6.098928336,4.987429902,5.029334949,5.720861107,4.365786802,4.785144719,4.426497274
4.776232961,4.492348348,5.544076258,6.448179458,7.582864407,4.203778987,5.448970587,6.077323778,5.616366411,6.658335148,5.648584787,4.459271194,6.808649393,4.842038626,4.743237551
4.177199851,5.758694623,5.15578948,6.637108157,5.769623676,5.740744962,6.141491575,4.099176019,6.047637231,5.830790187,4.455270587,6.021944268,4.964532082,6.149094014,4.510063222
5.640959021,6.104330393,4.158944917,7.235830294,4.693160592,5.179861262,6.475423265,6.281985765,8.748316321,3.343852977,5.298860778,6.380995304,5.874892974,4.904004454,6.74056338
6.107519346,4.743455356,4.331647315,4.992656504,4.498050064,5.610627034,4.875943216,4.02331092,5.271505472,3.96841508,6.008114543,5.913102685,5.09743849,4.875553691,5.322785188
7.176772838,5.074733877,5.070969259,4.57011311,9.577706881,4.462727881,6.554392541,4.967135262,6.487200206,6.074166925,5.776391653,6.858052547,4.271688792,5.263738434,6.272364602
4.405219866,5.643476906,6.350681314,5.844000645,5.995152781,5.917825203,4.85995074,3.320872803,5.622889707,4.967198339,8.084502294,5.939472455,4.870163019,6.225269969,6.769169309
4.986723157,4.614056399,5.452521582,4.610438145,5.074510191,6.731935356,5.290748223,5.020625872,3.846875372,6.08132117,10.16270988,6.312912934,4.560716304,4.986310432,5.860127618
4.016847,6.572501257,5.659014853,5.291809288,5.639354041,4.961412315,4.434155036,5.546949859,3.792575309,6.4825629,5.901754548,4.487732523,4.548705553,5.03782328,5.446886904
6.460798337,4.259456987,7.315440657,4.987936107,5.442709777,4.850846413,7.265653126,4.648907812,7.08948656,3.852188026,4.825929954,4.152705421,4.442393854,8.601495589,4.702611198
4.857889426,6.547864551,4.520398397,5.934637939,4.046340129,4.175899187,6.116461366,5.997704698,4.700605739,5.684201528,4.214543042,5.238849383,7.121366402,6.601948955,5.476774042
5.535253012,4.191043742,6.698409265,6.650322048,4.780392235,6.190098799,5.520744711,6.418758999,3.9897721,5.7748286,4.575210521,8.050787672,7.402383451,4.687633799,6.028667849
5.475526829,5.818616779,6.060650508,5.737670683,5.441272668,4.842832174,4.446706133,4.940679116,7.608994484,5.374641998,4.194932849,4.516459641,5.986563374,4.462197314,5.423611249
7.348658431,5.00431652,5.619956758,5.17402246,6.191005015,5.289317633,3.720511669,5.274398451,6.67703807,5.01634236,3.980165158,7.070387007,4.453842765,3.961988165,5.692687846
5.035595504,5.639058177,5.701192643,5.184501666,6.451268893,5.095718698,7.805192275,6.601544316,4.1975506,4.383730956,6.563885943,5.830412219,8.10185069,5.725688352,4.890068796
5.798728262,5.64887659,5.130795478,4.344643021,5.240777607,4.870904573,6.20701595,9.384379442,4.359008807,5.138869308,4.442225846,7.387271898,4.852359643,5.208493926,8.492818366
4.415124667,5.030849977,5.810168122,4.708938877,4.663384707,5.617233708,3.856273236,4.685131301,5.276274152,4.827699042,5.999860413,6.014579112,5.726350715,5.960564989,6.822810603
5.625954394,5.312585268,7.051536635,4.885833732,5.525946022,5.413204772,5.225025203,4.702998249,6.160092472,5.000326154,5.788108091,6.255557534,8.517345131,6.194667296,7.197679555
10.07603635,4.399894549,6.044407503,5.371579166,5.976012916,7.375828827,6.599701809,7.218682267,6.074225883,6.53353217,5.225077181,4.456742662,4.761912919,6.641158836,5.318169922
4.27733445,4.762296293,6.381456938,4.861528525,4.39045207,4.861097515,4.775818685,5.200305887,4.600424798,5.639599267,5.845045938,5.109761192,7.251402178,4.833493998,5.15068917
5.007591375,4.868406006,4.615426601,4.436188157,4.873277561,6.948243476,5.564139022,6.72447418,4.16080868,4.434652052,6.558089345,4.901882211,4.990208723,4.160362816,5.244226639
4.066578872,4.742978245,6.841089447,6.614579815,6.383038319,6.140373774,7.484126041,4.625541331,5.398351831,5.142072489,4.095597709,3.688350222,5.738854949,5.895781323,6.380240858
6.632406824,7.8465098,4.758683324,4.507524466,6.093084225,5.57283123,4.362459951,5.82064611,5.066136667,7.443584184,6.678699116,4.332341896,3.365951349,5.255838511,4.334861296
5.214778433,6.002028358,5.335512288,5.767719939,4.899875247,6.6455316,5.397349854,6.324729264,6.487055762,5.746477678,6.042145968,6.497416019,3.801692043,5.329863115,5.594401063
6.455676184,5.020792333,4.556770956,5.163821945,7.21789866,5.128512818,4.362498441,5.151345845,4.462839623,5.472091268,6.176092222,4.545397025,3.612430193,7.585838292,6.860415287
4.708330748,4.299792967,4.444531277,6.529813713,5.92884456,4.676018522,4.532494366,7.786579354,5.218534478,6.85361903,5.589375467,5.955784161,6.801713274,5.216467838,8.713959444
5.731114398,5.10480113,4.265264192,6.531360687,5.136984994,5.370766401,6.100153233,6.513984969,5.266716736,6.639787826,5.261556445,7.587561236,5.869591303,6.734246917,8.209268104
4.707799521,5.198366036,7.678073157,3.676903102,6.098074182,5.316807485,4.202652951,4.514970976,4.289512842,7.553345855,4.270766776,5.06690389,11.56223991,4.968410158,6.531787406
5.551633093,4.837323349,5.476194827,5.687527371,7.785418576,4.935636841,5.785086983,5.302568254,4.372857996,6.243249487,4.726287022,7.023796606,4.253833452,7.244285828,4.052676342
4.697368242,5.189509722,6.383794707,4.510779022,4.91853212,5.137114969,4.46160048,5.477377985,5.428887361,6.595500666,7.870239192,6.346309779,5.807787757,7.488842526,4.81329943
5.444663398,6.850295283,5.980832503,4.079093566,7.334586938,5.581238979,3.980429342,4.73617438,4.383428625,4.673808274,7.305022919,4.048371549,5.049551537,5.562954546,5.510782111
