V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
5.143549291,4.469329896,6.581078561,5.030609824,4.526729124,5.717926218,5.176784055,5.848338556,4.420126067,4.802746124,5.098133731,7.456242534,4.605079492,6.170788564,5.390425434
5.722635667,10.60230107,5.538075893,3.632777493,6.887472576,6.296646582,4.385447982,5.170583238,4.533739823,6.046565218,5.462815407,7.060232146,7.720771592,5.241023118,6.648778634
9.50627158,4.195899332,6.10084009,5.140725067,5.229137431,5.544452908,7.554666948,5.091148061,7.472445626,6.687330498,5.932705757,4.133435671,4.890114918,4.865751567,5.410754309
4.617270639,5.339427965,4.773157352,4.944741864,8.742820561,6.262054527,7.126820042,5.444654932,6.813140188,7.507396828,4.83373754,4.870539588,4.960335436,6.37139149,5.135766583
5.083611853,5.646478139,6.173922251,5.154607227,5.978197309,4.658402963,7.891694894,5.740429154,4.108789509,6.309471204,5.412356733,4.454039537,5.535041475,5.600387996,4.240188718
6.037220081,4.062062447,4.084966764,4.769434371,5.792661618,5.392268886,4.530359137,9.707633634,3.448379465,5.509162163,5.651795579,5.103058804,5.80496252,7.055578789,8.273696822
6.261468268,3.787820525,5.258969107,5.155122753,4.255404059,4.861533808,4.319669953,5.287790617,4.633176936,5.291355011,4.146453854,4.328151458,5.799042659,5.471336357,4.599465331
5.380257449,5.536708831,5.394252076,5.81629099,4.577855571,6.875980463,7.36327382,5.65345592,4.53403951,5.063344821,4.897227107,5.531674596,4.920474184,4.980643751,5.91376151
7.369376927,5.689793601,7.378606956,4.800425352,4.728581276,4.322976426,4.601128805,6.367255616,4.366572989,5.713329669,4.155154737,5.289601037,4.150455951,5.410481152,4.562761592
5.48094705,6.446023926,5.449183943,5.835117742,5.546326532,4.561028208,5.691505892,4.872791608,5.590051573,4.024589453,5.202632968,4.77628058,4.073675765,4.04001931,4.401306224
6.096871664,4.157392938,5.578517419,5.681695356,5.227909128,5.398898071,7.367427457,4.918762132,3.80081506,4.48832252,5.035395373,5.833951219,4.57052492,4.283832737,4.298247885
4.597963577,4.840894091,5.450157494,4.619870346,5.323925544,6.259619229,5.665530269,4.769874603,4.559446609,7.325630139,7.614715851,5.815577562,4.770010223,6.6057257,4.455674288
4.407240243,4.778087659,7.512453918,4.134316399,4.380110082,6.426759278,5.499509195,5.56855832,5.289085943,5.279916576,4.260692252,6.277371006,4.736446665,5.922738033,4.551151442
4.269772404,4.88509817,4.374154606,5.536407221,4.225769348,5.715849839,5.075839816,5.037340827,4.747414478,5.063102992,6.944631247,6.808661437,5.607756665,6.315365146,5.459689103
5.83684445,5.31867363,5.99263454,4.034516528,7.221746726,4.584480562,5.640088926,5.662900878,4.412248891,5.322109927,4.310769937,6.608510035,6.624973978,4.811715851,5.351418717
6.145176052,6.25424207,4.407733904,4.780977557,4.584086476,4.341675862,6.590673558,6.61062898,5.780734518,4.284023215,4.767392348,4.096634638,5.004117494,5.281838587,3.850955488
4.910001812,4.831851407,6.483684879,6.24017053,4.326634367,6.597862567,6.413169807,4.136801594,6.160261648,5.003518358,4.890328699,4.857069743,5.602437287,4.626434847,5.025187987
4.806830404,5.219502043,5.441836541,4.605575511,4.650334117,4.276255783,5.498913467,5.892006995,7.415509904,6.120021365,5.48513196,4.043976611,5.203315228,5.563012642,4.286038466
6.007274794,4.774873948,5.137740209,8.264425522,4.049609016,4.867265093,6.309679567,5.969469863,7.677929508,5.542154026,9.435225507,6.593772322,6.290528463,4.696977768,4.813807176
5.072368975,6.178919066,4.671981531,8.024960168,5.678494525,7.018214235,5.245560903,4.6738908,4.638435096,4.290500447,5.160402743,5.404351838,4.694332892,5.400379389,6.247359302
8.899411976,3.916466239,7.881934999,5.873116144,6.81505034,4.728847903,5.147014905,4.081263132,4.099667651,4.059384254,4.48961622,6.362148704,6.514796625,3.905730901,6.529410035
6.825334751,4.978977108,7.528026147,4.559114549,5.627677866,5.207317763,5.1545543,6.487958275,4.100315085,5.820503817,10.7459923,4.172244311,3.978779646,5.199663878,4.7060314
6.932484812,3.955424465,4.805821868,5.895155074,4.515809948,3.983523845,5.348127479,5.012230743,3.97320769,6.527639356,4.67955013,6.752465068,4.374276908,5.815106265,4.140324615
6.368760178,6.042076616,4.345034654,5.23632894,6.571090305,5.381146867,4.082773038,4.399392442,6.324035571,5.764065941,4.802399305,3.275488193,5.443183785,9.616267861,6.149924491
5.7004122,4.492161632,4.662321134,3.868871255,8.907526143,4.414519865,6.772030485,9.162296621,5.596582142,5.026827621,6.182580558,5.050841056,5.055433217,5.687097369,6.590947942
4.961427891,5.637901859,5.496549504,5.214027083,5.487272894,5.528989046,7.13001011,5.323012998,4.270814556,5.718112727,3.530906814,5.479734152,8.088414272,6.693442785,4.784285124
4.234729453,4.283118378,6.017811849,9.073501051,4.858478712,3.421851728,4.789674135,6.162766095,5.547872172,5.374767823,5.889719991,5.689277356,5.207971372,4.848987501,5.753398265
4.836741569,5.629589227,6.390467763,5.063916605,5.254289075,4.366599171,6.347702335,4.789776188,7.486297948,4.357676886,4.193538119,4.380513993,6.611142233,4.297219148,8.403953559
3.845144802,5.703674646,5.089077992,6.283380591,7.213644823,4.91263334,4.33038217,4.686849621,5.493449533,8.988462352,10.69578985,5.708128687,5.481855748,6.90844069,5.213936097
7.055241053,4.811509988,5.3383342,6.013624319,3.938536466,7.350218218,4.394287996,5.17296654,4.515358349,6.119006813,4.253766366,6.500055275,5.529800719,7.112560089,6.389930031
4.166938971,5.486870517,5.898262472,4.36941078,6.02493035,4.904621288,5.23891014,5.722805348,5.392272011,4.203755651,4.842281625,4.672068186,3.963954733,5.518020926,7.304135918
5.212835764,5.483899191,5.341366313,3.783238273,6.997526,4.371180808,6.113946421,4.656066647,5.30646241,5.286145956,4.269593037,5.439171488,4.310986567,6.318110029,4.944016898
4.630398818,5.216207665,4.727947011,8.213084475,4.256275388,6.004268847,5.960979936,7.970383638,5.170579032,5.737860662,5.747335954,4.502517808,4.158484974,3.823645501,5.312403224
4.26239444,4.104291961,4.658036632,4.674936078,4.586028666,6.567773963,3.763320577,4.348720953,5.361235315,6.993799056,4.927348886,5.482609528,10.00256686,5.645895278,7.856199273
6.180210194,5.698887576,5.329262101,5.601471873,4.22743135,4.987095859,4.964318312,7.432542478,7.463957577,6.768453422,7.222860376,8.547946825,5.973577075,3.827530178,6.436327188
6.295863803,7.891255522,5.436386021,3.941924938,4.83250138,9.290373777,5.388614041,6.604112304,5.118531227,5.452637542,8.382620302,4.644028852,6.347182705,5.467315795,8.531149697
4.955286255,4.731447451,5.96250421,6.04982209,5.699140378,4.961730211,6.600369681,5.715036315,9.071951546,5.058760958,7.122462567,6.56002907,5.98061752,5.039626766,5.282805773
7.485948027,9.166216703,5.377677461,5.633246339,4.858904829,5.885248317,6.190408448,4.474486485,5.07066257,4.609596643,5.755701182,6.47724075,5.217501828,3.978053056,4.386373575
4.815334611,4.898721767,4.623589672,6.062242824,5.051425053,6.412754581,4.720118793,5.518537315,6.952271082,5.947988422,3.893495485,5.117449735,5.98509451,4.604385538,5.629962613
4.509833181,5.849187872,6.225886586,5.358655451,6.594509847,7.870879955,4.296644075,5.668713652,4.669482906,4.200888044,5.2965164,5.078984005,6.071630843,4.500303214,4.587015568
4.297264495,4.180784699,5.376519646,4.903385917,5.268066592,5.149547696,5.382743155,8.015706625,5.568143545,4.444334126,5.731289679,4.914722745,4.142397092,4.085272624,4.652726042
4.818334736,3.89532081,5.643858591,6.662162842,5.306738169,5.356148313,6.591501719,5.5358652,6.337403841,5.626013797,4.683114299,4.603458232,4.908196308,5.219938398,4.55376334
5.649989605,5.450045904,6.178704473,4.710577152,4.780190647,5.174983239,4.799386435,5.372027656,4.771491018,4.46303564,3.441645698,4.753295181,5.102368192,3.26251084,5.46179257
4.277105106,3.342920892,5.034335018,6.026182399,5.651644371,4.923595552,3.845993109,5.273444362,5.130298286,7.547052268,4.720437656,5.151858844,5.518367849,5.646220677,5.094685702
4.36472615,4.083928795,4.350768869,4.839899339,4.546050553,5.429621516,5.067558744,6.232479838,5.609652693,5.061625392,5.464773003,5.383186998,4.689359289,4.522202485,6.587293134
5.117335254,6.078974072,8.707056908,5.816354406,4.721274848,4.875991615,4.520123495,5.34592203,8.551154969,7.492015083,5.977554212,6.246312492,6.152205409,6.867966007,7.839293142
5.460137383,5.2309338,5.248204198,5.439575638,4.160732684,5.330380469,4.663976042,5.085785621,5.397989949,6.749040808,4.563101996,4.574077433,6.535696375,6.443752817,6.852843449
3.967824018,3.375864888,6.785069876,5.61824499,4.366949489,5.007902787,9.043539829,5.807109821,6.482288517,5.829998922,6.279159654,4.687455563,4.772800061,7.662215995,5.211911365
4.620207106,5.449196524,5.481551486,4.538721223,4.561292935,3.83782508,4.94403815,5.21875575,5.001957363,5.566382031,4.863535898,5.334871528,5.654817114,4.593356425,4.722949004
6.01427334,4.313270741,9.527440235,5.544685371,6.008703438,4.56739197,5.647752647,5.120559911,4.401422958,4.793617503,5.563078345,5.455397952,6.451997595,5.700535037,5.190872465
5.668233379,6.766252698,6.670394486,6.25597026,5.318611967,3.825178331,5.359413457,4.627349423,6.149655504,4.28097889,5.33407619,7.955401724,5.123945231,6.238984995,5.144530616
4.327534156,5.102626033,5.612789775,4.657656952,6.773298022,6.805081956,4.436640491,4.909359041,4.878386726,4.530206549,4.71871288,6.23567151,4.810805852,4.586207757,5.33553915
5.051709081,4.799396437,6.809298596,4.178709958,4.57336832,5.506379408,4.553877015,6.063971059,5.974084195,9.177970559,4.328103013,4.632049385,4.9040362,4.364825617,4.463460443
7.08573395,4.17119251,4.645378077,4.352461879,4.907689421,6.119285047,4.593359136,4.78641429,4.926183962,4.855815153,5.179033608,6.265030999,6.637370573,5.762610602,4.974802043
5.657072395,4.284019387,4.07544859,6.055103726,5.387917535,5.278288001,4.760702715,6.016726883,4.91369042,6.531034907,4.741129596,5.208526759,4.961587419,3.922727005,5.347159877
4.651894854,5.924663879,5.881379265,4.130877328,5.163218563,5.362773195,4.997010218,7.464528926,6.032444134,4.706923724,4.460321104,5.625716481,6.454796297,7.806848188,5.431185702
6.844086569,4.924636624,5.708624804,4.802597873,6.048688064,6.597131272,5.284155685,7.219670222,5.369822261,4.484967352,6.541336239,6.130383237,5.838594503,8.253201435,4.989491604
5.791782659,5.200125176,5.824349564,6.822619549,5.497524878,3.847319595,6.892499218,5.233194861,6.902838407,6.010484836,4.485571714,5.116654786,6.330548806,5.891684222,4.260524566
5.186769762,6.945212778,5.035879991,4.745231682,4.873670957,4.708191993,8.508540681,4.220427086,4.872830328,4.044894385,5.483332047,8.452699612,3.864451551,7.153405367,5.02283122
4.947655671,4.860470308,5.276002149,4.112742214,5.677729846,6.102469682,6.138321761,5.385815735,4.593529882,5.566276859,7.833133392,8.27343909,4.154931215,4.545861777,8.953445444
5.164411475,5.430248486,4.772255449,5.809869304,7.066874618,5.141216242,4.704807674,5.55817539,3.917323355,6.378788682,6.261514368,3.538641271,4.295056061,5.313183881,5.718217044
6.921773626,10.65054256,6.939693024,5.548591016,6.236705804,4.661733946,3.863140166,8.473713318,4.302679455,4.753700769,11.4125703,4.869334544,7.341455026,5.220096267,7.30524889
5.205392274,7.126429591,4.942789818,6.261042842,4.279226337,5.01979394,5.756468661,4.62572737,4.427326213,5.640599576,5.824296905,4.181963311,4.521056372,6.19666922,3.681260014
