V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
4.91563583,2.951451845,5.996662127,6.849336855,5.801267073,5.645852918,5.277442019,7.049142314,4.63800439,3.694211827,14.78443667,4.26449361,7.968137843,11.83029629,6.591799349
5.126112082,3.853965644,4.868254845,5.568376298,4.219162327,10.16360295,4.174520691,7.449815198,4.271571704,4.54758569,6.307349367,4.534422076,4.783237374,3.828644137,3.867574351
5.191401239,8.596439413,6.178857766,4.477084831,3.269210244,7.548818673,6.740163509,6.822171944,5.245504022,4.751308792,4.039000777,5.292185332,7.719491284,7.193079578,6.211877314
4.355864505,3.367753833,5.629000586,3.215921567,5.402191993,7.441419404,4.919085607,4.645809339,4.82830518,5.82719544,3.68429518,4.14150555,3.94074085,5.494230619,9.907515041
7.269491236,11.11580362,3.83249648,8.831045857,7.623693169,5.265241986,4.985280298,6.686330793,6.36972125,3.112100077,5.555715737,7.995051052,4.472769583,5.397115723,8.907439305
7.141128832,4.457004305,3.371876407,10.52934198,3.830772237,5.691360329,4.269025943,3.188558492,9.91819028,6.00473526,7.585067884,3.25385977,2.606381108,3.493501056,4.483188025
5.215752075,4.12551374,5.860414577,6.214166793,4.92913036,4.203124718,4.88835465,8.257902907,5.252063611,3.531051448,5.322379939,7.795826299,3.044172536,4.480217043,3.608541226
4.467292311,12.31812757,4.367310851,5.201852046,4.255736425,4.390737268,10.39418231,3.059297477,4.764415098,4.259228334,4.466833005,6.339609126,10.87334643,4.782633067,5.57150756
4.722982368,9.256964891,4.402055988,6.468277711,7.734714569,5.092655151,3.553375251,5.389081788,5.008974529,6.047928984,4.52205288,5.125564111,5.521332942,6.517085123,4.858816103
4.711430293,5.336225797,5.552531971,7.969034674,6.685520836,2.666038522,7.433556943,4.830766899,5.228251373,4.363733492,5.856474065,9.482524837,6.284642395,7.993328127,4.430583563
4.91563583,2.951451845,5.996662127,6.849336855,5.801267073,5.645852918,5.277442019,7.049142314,4.73383953,5.413391331,9.961003554,3.882799535,3.790445605,4.46116303,4.31051212
8.610099132,3.706547392,15.07117091,5.978912557,4.218593803,5.793529307,4.389795009,4.067030306,6.623005564,3.130687436,5.033482832,6.241922995,5.282209716,5.680061008,6.210882364
3.299470027,5.866851072,5.465043739,4.049824336,5.97338957,5.699182442,2.765754884,4.848282205,8.228081282,5.073085835,5.362230798,6.511559339,4.135415267,7.323790702,5.48568831
