V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
4.916502697,5.657520058,5.350108573,4.651389637,6.276947081,3.729914234,5.380309201,4.456964863,4.744517037,3.895231093,5.317508081,5.548998537,5.992390119,4.609826895,5.624494441
5.876185104,2.788866666,8.75800273,4.521412879,8.566550658,6.683109185,5.049871707,8.826170491,11.10164589,9.078283831,5.754013735,9.88778861,5.400476336,6.092820274,11.36384263
4.277550941,3.844744284,3.198097672,4.900402026,6.042559837,3.154419815,5.986722722,5.568019242,4.992942241,5.747048034,9.31176899,4.034477769,6.584603227,5.047003821,7.905324822
6.1895025,10.86079259,4.49263708,3.546497083,4.149378417,4.856895516,5.769856846,9.393867928,9.01945061,7.71970321,6.748443478,6.681117154,5.583564491,10.88118122,7.544831987
6.153618539,8.326123417,6.298782889,7.250548714,4.573584142,6.138754425,8.307669569,3.821098431,6.367104917,7.50091631,4.80849687,4.975796794,5.144765229,5.438526734,4.864662048
7.843965899,5.865988272,6.292718912,4.473314216,9.952027013,3.739014991,4.881291607,9.213853275,6.036381261,6.409762506,7.413689298,4.181057489,5.455645048,3.777136903,6.128695083
4.323256344,4.320088724,5.849332795,4.217322992,5.823458692,5.160234288,6.406542995,3.908136518,11.27696423,4.187461015,10.43194642,3.992347797,3.249715539,4.162897655,4.014863414
7.187412144,4.96885295,5.013797834,6.144776184,5.476763321,9.330404471,5.499074967,4.641754698,6.934158486,7.843545603,8.877550364,4.779157025,3.37073837,6.680748246,5.359082569
3.62165952,8.934694307,4.825718718,7.122182128,14.52401596,7.907052489,4.595045151,5.348672134,5.030845253,5.364339676,4.024424026,4.218378883,4.754150551,5.393709657,5.025364407
5.21303333,3.796497667,6.161585807,6.429297128,5.245903681,5.87388448,6.228790375,6.303252052,17.62486267,6.158670282,6.827613382,6.233533571,9.260576652,10.28378997,3.310956487
4.916502697,5.657520058,5.35021173,3.446679331,8.556932727,5.097932912,7.139092697,7.697064263,4.338975431,6.106176522,8.427250254,4.893652448,8.00426207,6.672645464,6.042437068
10.67971002,4.836310867,4.391470627,3.470851305,3.869188217,7.757039465,5.952252158,5.410678101,3.17587069,5.698633893,3.575110635,5.992560313,3.815065604,5.511823453,4.491782664
7.124404705,3.553627195,6.453087895,5.136551619,5.765914263,4.752506788,6.973416928,7.829158116,5.691750839,4.20602775,8.105918699,5.361789029,5.688219667,8.099663119,5.288073663
5.611028863,6.458970309,9.371135543,5.760418614,5.782008319,5.724254076,8.217094832,4.125466153,5.235264777,3.914927864,5.66542965,2.8768254,5.960694154,4.788814446,7.319569783
7.109261857,4.29967062,5.725670189,3.846920158,5.60550549,5.07022494,6.893308262,9.125556496,5.493742108,5.106754387,6.973447327,8.010221071,7.071713166,3.534802827,4.462094825
6.49746853,4.916986205,6.730964827,11.32665917,4.318203329,5.116294502,4.945048988,5.08498727,8.858731152,4.401651997,6.550115578,6.089022824,4.298401033,5.775678314,5.5858703
2.869757453,5.619922401,11.48404721,4.599470682,5.722817063,5.792639295,6.122437036,6.849030906,7.61140429,6.642754321,5.100632664,3.977575819,6.482151272,6.802530165,6.287239521
5.83784925,5.865301054,8.626186632,5.250007676,3.786991662,4.969942451,5.492548155,8.616579624,6.132697278,6.337184119,6.631408133,6.367321001,4.730770721,6.738209431,3.915722716
7.312122927,6.448817155,5.906571368,4.210904515,4.673796354,4.584878144,5.650318475,7.229050238,10.97239955,4.864091509,7.442100075,6.068873048,4.39385658,9.07075535,3.135954094
6.231925411,8.050784074,4.746235917,3.793839288,7.660740669,5.459805957,11.14316361,3.745313646,3.943784353,6.796473423,2.970077499,5.092620597,6.12152939,4.657219888,7.661199912
5.354399838,5.133759596,5.724623378,6.168061503,7.666706786,5.685151522,4.98451079,4.834292052,8.08573315,8.604364236,3.124929697,7.903587387,5.248107568,4.475557416,4.142236112
5.644280139,5.951140077,6.874073761,7.592210461,5.552657883,3.850050376,8.613588411,6.032939388,4.475018271,4.260642714,5.456955174,10.95431057,4.14614288,9.380966373,5.338069877
5.907485043,6.577628827,5.320924515,5.430061278,7.17738181,5.539402458,5.251049184,7.20002047,8.091268333,11.19142277,4.616840628,5.208902415,4.530433846,7.596606417,4.274241739
6.256952596,5.717700885,4.009707699,4.105417225,5.212886406,8.89869704,4.264199288,5.4202989,4.774069011,4.960039176,4.453297551,7.818391837,5.277308133,3.574774265,4.608069559
6.133690266,3.272297625,4.512316148,5.46269314,4.05469105,5.58898298,4.485960889,3.223105661,5.838877707,2.869327572,8.092768457,3.417170914,7.691615918,4.685795137,3.604775901
4.35049203,4.374478801,5.198465524,3.776876575,7.357890665,7.717895651,9.085719429,4.433616072,6.98249484,6.216654562,4.698963028,5.656075622,7.028024856,3.432274964,4.872606646
6.229021977,6.805419851,8.288286534,5.066376065,2.146658774,5.886781724,7.273878507,5.632635492,4.759986152,5.592504545,8.200685818,6.352119296,9.626908714,2.347180389,6.638548889
