V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
4.907988721,5.249949827,7.194996058,6.737221121,7.468265117,5.317071125,4.67918977,10.5936465,6.130193792,3.768158274,3.522999288,8.204300834,5.239559843,5.936430221,4.483759776
6.685646642,6.65446575,6.638874769,8.709495931,6.432940606,10.72592782,8.440754122,8.730798701,8.131090841,3.507724851,5.846847972,9.625443172,7.576581649,7.727665286,5.368833087
6.214933729,7.879756083,7.064455989,4.253098503,4.028948923,6.672319296,3.897359263,4.701095726,6.354597734,2.741263255,5.478268984,5.808435364,5.690701897,5.823484865,4.699332544
6.689072101,3.254322669,4.293244001,6.83069963,3.893193634,4.857006504,5.447224009,7.081912571,7.372660329,5.577518745,3.877104314,7.63348743,4.07147818,8.963021762,3.610222377
5.196662451,7.771649149,3.95296763,7.386672726,5.377663496,9.266577738,7.213606482,4.116316638,4.256810484,5.667438214,6.390588738,4.42678769,10.49395612,6.128563516,5.451129822
7.068813873,5.069613417,4.071291045,5.860971771,7.918604019,4.962929554,5.320190965,4.283839512,3.717377557,2.31747453,7.118796287,3.40503181,7.813695496,6.393505418,5.299045995
4.368293326,5.001691586,5.489086272,5.119257985,5.298053064,7.035497539,4.695232052,7.944087383,2.858223163,3.57044685,5.174207448,7.740854253,3.638439852,4.781420231,12.41492078
3.616970067,5.001236939,8.615706334,9.671622504,5.364169035,5.990773496,6.204631539,4.260446395,3.776893025,5.354637479,5.382361041,4.293276622,3.454894669,7.7961078,7.322605905
6.725069643,5.834356775,6.75191391,9.006868221,5.821132701,11.52599593,7.034537679,4.976750297,7.847907299,4.486675024,6.060145424,3.6523878,7.56350161,6.91073838,4.164025349
4.283698809,5.689230767,6.767655622,3.562842264,7.874582104,3.125894861,5.436175171,3.721833596,4.772260659,4.764832605,7.442469207,7.296147139,3.425017009,5.656028229,3.860792304
4.91563583,2.951451845,5.996662127,6.849336855,5.801267073,5.645852918,5.277442019,7.049142314,4.681747385,4.558538628,10.67249275,7.35626328,3.484271265,7.311828926,4.254411999
5.006275823,4.88875866,5.705129438,9.026795535,4.325697816,5.550473505,13.96131547,5.082445766,8.849050066,5.05854183,9.33058467,8.537641673,6.998298919,4.698109588,3.41830689
6.011162162,8.204020868,6.682296884,6.542578102,6.802506479,4.306786653,4.238564762,8.379088239,7.501214472,3.388256174,6.409296681,6.867187416,6.385947161,2.489024924,6.968021776
