V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
#DIV/0!,5.870305458,7.408664788,5.782182934,7.05729419,10.25281192,10.80400571,10.95296148,10.4730816,9.985474196,9.51015428,9.210366409,9.030197116,8.963196419,8.934940889
5.618722917,5.265420468,5.933933111,6.953538079,9.521318274,10.62126047,11.0802421,10.76918228,10.22814824,9.676068978,9.314589263,9.096094736,8.987444069,8.956009855,8.940394877
5.843286298,6.338308777,6.568576849,7.42331494,9.996274006,10.73367986,10.91902265,10.27388725,9.741593191,9.367424432,9.109888116,8.983976411,8.927142068,8.914410923,8.906759272
5.21507843,8.19652409,7.127567766,6.742852174,9.69026132,10.78169121,10.86275712,10.41948115,9.756329875,9.355069125,9.091213717,8.961920235,8.899328311,8.877159611,8.874145094
5.806048548,5.171457895,6.737636055,6.843855942,9.101683741,9.930936674,10.74466235,10.60390148,10.15167247,9.653638334,9.305643894,9.083992846,8.966734035,8.91145763,8.89269501
#DIV/0!,5.025433829,5.599500708,6.759090075,8.155761316,9.972155431,10.36734186,10.7471568,10.45157046,9.91350861,9.457405944,9.178293502,9.012359438,8.935487641,8.908742185
#DIV/0!,5.197697102,5.45433169,5.915205304,5.963599172,6.438474914,5.992385978,6.41525598,8.726708525,9.602316302,10.39869798,10.82045883,10.37355158,9.850569296,9.409177806
#DIV/0!,4.605265803,6.909370142,6.433062196,6.455425281,8.558107181,10.20539066,10.57273232,10.74669669,10.25926646,9.724959221,9.331374774,9.111300138,8.97794894,8.924990135
5.22819133,5.243202483,7.041836516,6.754176995,9.468031906,10.47853234,11.03753823,10.88100435,10.24266596,9.749292026,9.358588216,9.120979296,9.003605465,8.953901421,8.937885201
5.285465253,7.775033133,6.991719936,6.403581226,8.529094083,9.963058576,10.52406413,10.74290842,10.34569911,9.817591531,9.412531546,9.152053157,8.996121243,8.929597271,8.910796425
