V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
6.07693741,12.17341231,13.40403937,35.64060166,26.10475067,21.8828933,19.34814391,19.70108152,24.04041488,30.16955387,36.91397452,43.76512902,50.62027342,57.32737298,63.65008048
5.520465872,9.405735606,13.54768792,17.04349655,19.17719551,24.07061691,23.94856846,20.36132096,18.95778647,22.44061153,28.27569631,34.87942811,41.70885873,48.49695456,55.121033
10.11826298,21.39868787,21.45423972,23.23995868,22.06120379,18.77963583,20.47119213,25.61156991,32.01429064,38.83265941,45.78954237,52.71696235,57.78065982,66.31632215,72.94882273
9.806042933,18.4892396,23.50973782,24.62642144,22.22807038,18.94751536,20.28285324,25.09955088,31.38427522,38.14046159,44.89936015,51.6908791,58.38018473,64.95585035,70.5979983
6.663304765,14.63534828,22.52739922,25.0114021,22.70728696,19.58300291,19.30845597,23.47383681,29.55809514,36.25273383,43.18576232,49.89841706,56.58506709,62.04329783,62.04329783
6.045642576,9.836159421,12.3013939,15.93782738,24.76213053,23.97875868,23.4079909,19.755242,19.14255165,23.03920319,28.98061465,35.58433588,42.43921019,49.24539684,56.00633396
6.306681342,17.08087152,26.53119832,27.25916485,21.52881471,18.90398474,20.2314282,25.31734066,31.65822584,38.44776496,45.36163191,52.00666066,58.21621989,55.96931892,71.96630351
6.444017414,10.96510275,13.43802549,19.75667494,23.56611966,22.99705901,21.72311858,18.95717432,20.4029649,25.498218,31.92058735,38.76071157,45.64972917,52.46006343,59.43996605
8.160791774,14.8312426,26.86780743,25.08968009,22.97954458,19.15527166,19.86812158,24.59848048,30.8444322,37.52663348,44.39460343,51.10801904,58.21163047,64.03223242,69.68861082
6.303789488,7.852034405,11.42348447,17.32950036,22.51817243,27.46626945,23.80878395,19.93399485,18.97954469,22.58444658,28.5132147,35.18466117,42.07916878,48.83644048,54.61979552
15.12605386,26.26337468,24.73461626,23.95922177,19.3644552,19.70037789,24.41974693,30.7046342,37.46301591,44.33818936,51.25436182,57.93868473,63.24481706,68.95408637,76.19341104
7.122157106,15.34719933,18.5427874,22.38433037,22.76357106,20.76537509,22.33541702,25.5256551,23.42051008,18.98794816,19.74298627,24.56161181,30.89051481,37.64030602,44.39655391
#DIV/0!,9.903064915,9.990101524,14.76452655,21.56048898,22.23005371,25.37683043,21.58314709,18.97654362,20.41163157,25.44629805,31.81369251,38.64328852,45.38351725,52.42044186
8.152548314,19.05922542,20.34941239,22.87545247,21.91606839,19.04475386,20.01462064,24.66562525,30.88299353,37.63661853,44.50921175,51.40308167,57.866086,64.1668412,68.20768503
6.031818138,13.03007859,17.79486692,20.88748556,23.69082314,23.24268906,23.41494664,20.1182128,18.99741281,22.37893897,28.1662427,34.74924041,41.61024556,48.5119816,55.24891002
7.84471652,16.45605642,18.59532162,23.90418567,23.97923819,21.57006977,18.77934203,20.82304953,25.95279882,32.40901865,39.11220814,46.03001034,52.81319077,59.41620419,63.98901492
#DIV/0!,13.72555373,12.59075185,17.78468938,19.78387519,24.15938282,23.50531308,21.04290142,18.82191733,20.83896687,25.99092284,32.335353,39.12475192,46.02584759,52.4500815
7.515621435,20.45639391,23.61074408,25.53090977,21.46366227,18.83308893,20.68291875,25.73028516,31.99506779,38.7660321,45.64181481,52.22429853,59.65648489,62.41369144,72.14796572
5.697373427,12.04239681,13.0734098,16.41612383,20.2073114,23.32889243,23.60471335,22.82377746,18.88791373,20.29265423,25.17288183,31.41878542,38.18939633,45.12965062,51.81898994
#DIV/0!,6.810363165,19.46338984,22.53088871,22.63040261,23.02353598,18.94862076,20.05092435,24.91361032,31.19186988,38.0087756,44.93073661,51.60999941,58.34922428,63.61749526
8.232922956,17.60797574,21.39815256,24.06640331,22.85307082,19.64348786,19.43018174,23.58841751,29.65517428,36.35938532,43.20465406,49.9522797,56.73701432,62.45778533,69.59558035
6.962648068,7.957090439,15.89797478,18.9261524,22.57144657,23.07146847,26.08752049,21.37864981,18.87355224,21.84635786,27.47598686,34.03498244,40.88521998,47.83578636,54.10179299
11.7246592,23.72824021,24.76231103,23.77859444,20.04364193,18.84174864,22.11774417,27.68049418,34.17742561,40.9732369,47.85851245,54.49980286,60.66678831,66.68835452,66.68835452
6.542664476,8.806558107,12.68483734,16.33201102,24.68779136,21.82441118,27.64111397,26.16861527,21.82958563,18.73646396,20.82052502,26.15667345,32.59566955,39.41065838,46.25862509
7.75102639,10.86024164,15.95617187,20.13998588,23.57096941,26.39524126,23.35238105,19.09660166,19.66816977,24.23620799,30.31293218,36.99242325,43.87245129,50.72174827,57.34794659
8.650599436,9.404761945,14.00582509,17.58320432,24.47714945,23.23899423,23.49542605,20.1351699,19.16283792,23.14023335,29.12132562,35.80804577,42.71643197,49.35137195,55.62460603
5.995544607,12.27892852,12.85135228,16.89753374,23.41727233,26.50977216,22.11779135,18.76936645,20.65538953,25.95174028,32.40739228,39.21645034,46.12666075,52.9139591,59.28982359
6.409285611,10.71072641,15.89853179,19.21894348,25.07120811,27.11807748,24.40263619,19.58810844,19.24186273,23.41503624,29.50145513,36.17684964,42.98237881,49.89988981,55.01223207
8.260431313,15.40911489,23.03448562,26.45009155,22.43035403,19.15260438,19.65639306,24.19188755,30.38793551,37.20531052,44.11141222,50.91749585,57.80501814,64.00067285,70.0523344
12.1506812,23.4472784,24.23625218,25.00697613,19.51205831,19.22987973,23.60594169,29.71361946,36.42020808,43.28600238,50.1471419,56.71612439,63.391762,70.31377886,77.19774236
6.375126492,12.18051263,11.8376609,15.79333622,21.07874056,24.79381791,21.65466962,19.3148589,19.40473821,23.26070451,29.15105511,35.72525287,42.52569843,49.29062497,56.36842944
5.863363922,7.35380364,20.97998086,19.91273884,24.93438696,21.40622964,18.90887453,20.15849772,25.01411367,31.26292145,38.00310442,44.85590887,51.65298951,57.09720628,65.29473396
7.032081723,14.9057712,21.9211627,21.1765037,24.34358065,20.66801011,18.74830691,22.34453157,28.18355329,34.80769157,41.71386965,48.53838553,55.26370501,62.31276587,68.90737898
11.14028567,16.18449056,29.23227751,24.03235655,20.78126949,18.72184661,21.89208101,27.66376036,34.29118865,41.19223608,47.96239159,54.48112042,61.3063924,67.16387952,64.19297021
7.254449583,10.20614893,17.63220459,28.06761866,24.45363922,22.29970033,18.89047201,20.1443454,25.09010603,31.38648849,38.13549708,45.02185875,51.52672447,58.08864726,61.46195184
#DIV/0!,8.789747683,15.07918277,21.10520066,22.629054,22.53434468,20.2831721,18.98925309,22.04828951,27.66929625,34.16287632,40.88777419,47.78578395,54.2202195,59.36440774
9.288398741,10.29739113,20.14282378,28.82206305,23.57211398,19.84008234,19.15896715,23.34086767,29.40353107,36.08532228,42.9556381,49.7090773,56.55421736,63.31697923,70.16094619
6.781075296,13.94035692,12.6626628,17.28311706,23.2778837,23.63072608,25.44902215,20.88570993,18.85313696,21.95728162,27.60939026,34.15534628,41.01562808,47.82095295,54.60496238
9.362252522,12.7225396,12.35291791,18.48724982,23.82463457,25.6584416,21.69720712,18.70363526,20.54594565,25.78413557,32.165198,38.90805165,45.74326777,52.52544111,58.40356002
6.235728172,17.63366812,23.77625997,24.24279657,22.72887787,19.08968725,20.02276456,24.76543014,31.024898,37.76126381,44.65471044,51.43924982,58.3391933,65.14008939,72.01837747
6.053252568,16.10420568,22.45191564,23.55340677,23.98896682,19.92349787,19.32508217,23.15821474,29.10848319,35.77790158,42.55556055,49.46225105,56.0546154,63.61099107,70.15553329
10.27823367,13.81690154,20.42089473,24.39608674,26.29665668,20.35949229,18.90842325,22.22732717,27.88553516,34.42985807,41.23136382,48.16883732,54.82810327,60.67396492,60.64398237
5.686922267,10.77145807,16.59478231,22.35100594,23.27722394,23.27136019,20.71325117,18.90488609,21.70078,27.28901591,33.8129124,40.64107209,47.36132013,53.75153759,60.79571521
7.486914507,9.197618629,13.64929158,18.78763068,22.91060894,23.76336951,21.74137841,18.79651384,20.74275254,25.88581286,32.21891256,38.96625721,45.88967382,52.65873941,59.37700093
8.923123756,14.15619908,22.85268687,23.64807474,24.35323934,21.22364562,18.76719435,21.6693265,27.24194175,33.76380417,40.55324612,47.37685528,54.17465167,60.55896541,67.40028403
6.922226172,12.68604885,16.31534413,21.0961525,23.56386359,24.48281436,26.10543665,24.44933343,20.68303674,18.88751007,21.81990304,27.40662605,33.96812171,40.7526876,47.58188843
9.013958684,9.893257506,14.65980123,21.76371502,22.96622068,23.95980882,20.91410135,18.73444352,21.51507371,27.02244109,33.55816795,40.33721514,47.20582762,53.89385748,60.15613592
8.407394136,19.84134343,26.19660741,23.75599124,21.26707324,18.6369845,21.24644341,26.87065659,33.45995538,40.39551271,46.92691099,53.37322893,58.78573194,60.1381413,75.39532142
5.499174974,10.42260388,14.6399945,17.01981931,19.7098363,20.56436228,22.94336829,23.63795855,20.94288143,18.94169872,21.83099107,27.5361166,34.11126864,40.90213134,47.83150326
6.83209107,10.82187409,18.06060841,21.06452593,21.97532296,23.04212754,19.8953139,19.07754475,22.68461162,28.45844663,35.06953264,41.9498199,48.89490769,55.3176983,62.11414054
6.300600283,12.0940964,18.76969247,23.00900994,24.44802919,22.89667528,19.35487729,19.72273814,24.35545908,30.54874682,37.32521072,44.19629178,50.99099669,57.61801412,62.90177173
7.038256817,11.97626117,16.73028154,20.22768887,24.89014136,24.8920776,21.03462049,18.80406338,21.31850541,26.68764904,33.14958762,39.98192043,46.90532098,53.62772229,60.22105156
6.02488312,12.13838593,25.48774092,27.12642147,23.25122325,19.32051052,19.35004367,23.62679704,29.77386689,36.51447859,43.41319011,50.06730436,56.74100657,63.64069631,71.21940614
6.286252748,12.43122637,18.24821406,21.16946345,23.32617304,22.92645698,20.36537267,18.87791577,21.69961354,27.2569189,33.80164483,40.63847316,47.48884495,54.37612609,59.38657077
6.442749007,11.78478003,16.18912249,21.80774321,21.60804649,23.72970934,19.94190117,19.04695944,22.33908119,28.01323313,34.51316036,41.3552319,48.30327195,55.1260827,59.9217983
6.39730987,12.02006695,17.45433259,19.46010189,21.94069287,22.60469298,20.91850501,18.95697933,22.07431487,27.73555945,34.31504541,41.14572346,48.12314517,54.73476322,61.02703217
5.991331397,9.491387256,14.31276833,20.64917834,26.59794963,25.04964952,19.38011847,19.20377557,23.23079585,29.17334673,35.82768657,42.68340819,49.52218031,55.84903577,61.97181365
9.213858786,16.44899607,26.41223033,22.35584996,21.79770432,19.2062387,19.82729531,24.35573851,30.54177847,37.24573234,44.19016644,50.97106949,56.29441651,63.86381293,71.65038708
6.251224077,18.1457184,25.32845306,24.76541603,22.08203836,19.44657175,19.81331273,24.38034383,30.61291889,37.34054466,44.22648907,50.95469273,57.09766235,58.84077874,70.778066
