V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
#DIV/0!,9.550060391,12.84678529,18.29060396,20.29574287,21.84064222,20.7767449,20.01608375,19.57236455,21.52448608,25.44490304,30.90591535,37.23157483,43.86953948,50.73529738
4.747232635,11.93407415,18.68859455,21.09971214,20.01272303,20.68342223,20.34461604,19.57634198,20.4739111,23.61194565,28.50000342,34.4932383,41.06961654,47.83412452,54.74453716
4.878301976,15.18445806,20.70874297,20.88680533,20.70910746,20.64634785,19.7685956,19.98766891,22.7715176,27.33218615,33.10351428,39.52816357,46.27185788,53.12200882,59.98578416
7.357168799,9.559579559,18.89394164,18.8623649,21.14987805,20.48067804,19.76514078,19.8087936,22.2573912,26.71882934,32.42408481,38.79631442,45.53328999,52.3175502,59.07584834
5.009627656,11.31925131,21.49165674,19.06736498,20.53030553,20.15130522,20.23134553,19.57988478,20.5769911,23.60025086,28.30109546,34.12822919,40.5557167,47.25765131,54.04430906
#DIV/0!,8.503115036,12.66752164,21.32467622,22.84455967,20.08804988,20.29237782,19.91201758,19.82461514,21.69098403,25.69435985,31.08774796,37.35670796,44.01285084,50.72969568
#DIV/0!,10.80040166,17.52727854,21.52831314,23.67905098,16.91466153,17.67427152,20.22391802,20.3626201,20.20252755,20.49596895,20.02702458,20.17271675,22.45332012,26.7316743
#DIV/0!,6.954276309,13.35732049,19.09850884,18.31631779,20.04515408,21.18448355,19.97754188,19.86078572,20.36832211,23.15447216,27.90896344,33.74992911,40.26155188,46.98519952
5.043109731,12.74209192,17.07212007,18.15062223,19.78698753,20.65510665,20.37747161,19.54818641,20.25866149,23.24232354,27.8891871,33.75138539,40.18242485,46.95528423,53.82565175
7.994270405,7.422543574,16.19724178,16.87281139,18.77653021,20.26281238,20.21711248,19.98519523,20.21254206,22.50911619,26.828806,32.4511256,38.78740679,45.52282722,52.40244755
#DIV/0!,8.190370702,9.360144517,18.77047225,19.79597701,20.05791136,20.04661863,19.87338985,19.79257591,21.41255072,25.00085435,30.0751538,36.17872441,42.7284689,49.48828915
#DIV/0!,11.86302165,11.14682737,19.23403964,23.17081943,20.51424468,20.20086263,19.40471699,19.88450677,22.03778692,26.11243573,31.54029066,37.76081151,44.36639655,51.19718909
4.873124969,11.56593583,18.06658007,20.87498338,20.78506507,21.86118829,19.83652067,19.42522364,20.97695656,24.79823483,30.17805117,36.39489406,43.0279989,49.77934074,56.59964509
#DIV/0!,8.803783045,15.65668572,18.57308936,19.29205988,20.20000103,20.19438787,19.64838523,20.38463473,23.341847,28.15853018,34.09670225,40.58740434,47.34259749,54.1396321
5.686239085,8.745408784,12.17063299,13.7658103,18.63689046,20.78373457,21.37083692,20.91291109,19.78809933,19.86814823,21.35193997,24.9501717,30.14746908,36.30029434,42.94642853
#DIV/0!,8.242540236,18.46677736,18.99307545,20.48899697,20.30047577,19.80064374,19.54820402,21.03353393,24.63014215,29.88179945,36.04663545,42.64701433,49.43849967,56.34076207
7.107841568,7.523702581,13.00039828,18.78204781,19.90079734,21.65015876,21.02226648,19.69711047,19.89924799,22.02688704,26.28020133,31.83646658,38.1296817,44.77567246,51.63781465
#DIV/0!,7.559206351,17.46129594,20.17018881,19.45246234,20.39880941,19.92494317,19.74980629,21.20783241,24.66182891,29.74180465,35.80043273,42.3527591,49.17203546,56.04075761
#DIV/0!,8.805253236,11.94838182,13.25583195,13.99184725,17.70961411,19.45356289,19.9249896,21.61074259,20.91903264,20.00195697,19.71789826,21.22059873,24.96177774,30.19639623
6.500618213,13.27967727,15.0774352,18.46547254,20.73612115,20.78895574,21.89087265,20.26949062,19.5414194,20.96180933,24.70987506,29.98412738,36.15553726,42.70638653,49.45231613
#DIV/0!,9.6282674,19.8288601,20.1193002,20.62658111,20.49765523,19.39998113,19.88996943,22.52897245,27.16235541,32.9889644,39.3851549,46.1186219,53.00312804,59.84817012
7.575779916,9.175922965,12.85167178,17.371601,20.59831927,22.46061915,21.68702034,20.88447981,20.6273816,19.5067319,19.84131701,22.16719422,26.49192057,32.15267449,38.57468259
6.798344981,8.821843688,14.42112295,22.02726326,23.06914168,20.47467171,19.99975832,19.39873155,20.1564589,22.88459043,27.40160202,33.17660427,39.5385454,46.24267277,53.19080039
