V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
#DIV/0!,11.39038318,29.60612018,14.3655302,13.51222583,15.14303689,13.65234756,12.09861704,9.750994984,8.366227527,7.590442149,7.231503495,7.087660619,7.042536958,7.020216912
9.863830316,14.46582643,16.48101246,15.96538526,14.05030425,13.44123635,13.04084645,10.64531551,8.836644448,7.778493823,7.29435884,7.09866214,7.025047251,7.000867498,6.98355224
8.683859794,19.09788833,17.29283773,14.86500656,13.81440316,13.24771564,11.44413951,9.026973092,7.901683524,7.349986428,7.129319533,7.033043651,6.998103962,6.991120173,6.984651445
11.60259739,25.64879131,18.33627025,13.42172524,14.49132213,13.39830331,11.57582653,9.480625366,8.032871151,7.444782199,7.194621313,7.080705291,7.039599047,7.028192336,7.02301723
8.748440492,10.86550494,20.09413903,13.46302064,14.36149559,12.7906928,12.79278021,10.60573646,8.93723544,7.894629745,7.417305169,7.187172788,7.100996364,7.063627411,7.051163958
#DIV/0!,13.15246744,13.61577739,22.37465328,19.13281401,13.3620548,12.87634913,11.54170041,9.635419432,8.259811103,7.495862303,7.183719783,7.053871396,7.003094191,6.984354599
#DIV/0!,11.72883483,7.744300483,8.878143967,6.932500901,15.18619882,13.78551134,13.50333109,13.2112049,12.6917068,12.57933266,11.37667546,9.314790417,8.138254888,7.449423369
#DIV/0!,17.49606164,19.10216136,15.47542374,10.53262583,11.35589848,13.2420732,11.82206795,10.9064406,9.076909443,7.930274929,7.358605571,7.148340942,7.046697307,7.02299099
8.858607727,11.24375873,20.72234875,14.62418477,14.10440617,13.02796343,12.75802613,10.70908561,8.88520907,7.887928563,7.363660717,7.119973903,7.046727796,7.007534494,6.995081793
9.115012831,20.76252016,16.54317709,12.82885569,11.98441058,12.92521819,12.08361947,11.11417739,9.391078701,8.077909172,7.445943696,7.168133415,7.066140709,7.012638212,6.99524327
#DIV/0!,11.88391935,12.65647869,28.12427747,15.68987814,13.67469044,12.94841796,11.59227744,9.903835442,8.434903987,7.698212577,7.302073483,7.11310283,7.047722554,7.022351287
#DIV/0!,10.26030759,24.06071365,17.59965488,18.52319254,13.57385112,13.18255374,11.10450171,9.437933764,8.219728939,7.509211738,7.191224807,7.071719784,7.028085445,7.002071052
11.84930279,12.75403389,12.69241688,15.86711859,14.6716112,15.32803419,12.51633413,10.21320494,8.523750946,7.646259915,7.280361062,7.127727066,7.079767815,7.058111607,7.048431074
#DIV/0!,50.89924977,13.7847592,13.7958946,12.64726779,13.24114267,12.69246634,10.92736062,8.843072342,7.79514162,7.306035996,7.098801776,7.021554769,6.993977542,6.98013421
8.133716278,9.880528991,11.65171142,11.88937846,13.54780924,15.17751723,14.14059861,13.45112918,11.31372829,9.91105728,8.491018625,7.679427166,7.289877412,7.128171328,7.071885218
#DIV/0!,38.55853245,17.62210054,13.7590923,14.04947399,13.49002319,12.16356699,10.32912486,8.663028264,7.700036337,7.303818966,7.148045092,7.092722688,7.064212077,7.058865168
