V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
9.266791788,9.955307935,12.868856,36.77859521,21.22374321,15.68040082,11.66642231,8.481302159,7.357458223,7.074771563,6.992526758,6.981674222,6.974854665,6.971612965,6.97055367
14.62394589,7.006826562,14.42061814,12.13648364,11.65916452,18.09379156,18.06525622,13.89182392,9.23603576,7.593437399,7.165710641,7.058276704,7.037906821,7.026679332,7.023164954
23.0558697,23.68127448,16.96158021,17.90420374,15.97285177,10.80084671,8.026956253,7.314957079,7.087001296,7.044521857,7.034113813,7.031335195,7.032053132,7.032042302,7.032271509
18.03302409,20.84665478,21.46314933,19.59847046,16.11190686,10.87921461,8.133286808,7.304117501,7.058256677,7.005710649,6.994008163,6.992552868,6.989401928,6.989843722,6.989529238
12.019585,18.46449755,19.10074933,21.04730019,17.06946245,12.564303,8.686063515,7.400440742,7.085648879,7.001108745,6.983514931,6.983649196,6.982941157,6.982611008,6.982611008
14.97998569,6.717147643,6.44593175,15.38623307,23.44305142,18.87360085,17.94654067,12.73218395,8.858109831,7.48475464,7.10390703,7.028079864,6.998530547,6.992229878,6.986751847
8.7196894,25.86921801,23.29959226,22.95859044,15.74050679,11.06044383,8.033660653,7.252005103,7.070019229,7.010638749,6.98971386,6.98451641,6.982639872,6.983108217,6.984378648
15.20148081,8.855632643,12.2846866,16.61233602,19.56147133,18.19500327,16.05203659,11.0229735,8.169389347,7.302199961,7.118519383,7.060294612,7.051524389,7.049178594,7.047823237
8.905218289,32.1560024,24.15644603,19.39233235,17.1559433,11.59971804,8.249472155,7.314330012,7.068618073,6.999345806,6.977299774,6.978500934,6.977390227,6.977980911,6.977633558
12.46525901,14.3470545,12.59634948,14.63334144,17.48118836,22.65398143,18.47259496,13.28325546,9.036391147,7.491177528,7.077918254,6.996241409,6.973945007,6.961746318,6.958792218
41.84730579,26.46741082,20.01458503,18.2596221,11.92357376,8.328583542,7.370252056,7.090859113,7.035892678,7.018479312,7.014745493,7.014935977,7.014635469,7.014690579,7.014210412
16.24841724,8.856165554,7.692902294,6.989280827,9.331061257,18.17500355,17.39051951,20.36259261,17.75647947,11.56637026,8.236144834,7.273238198,7.050138803,7.001751593,6.979681122
#DIV/0!,13.18648564,10.74976262,10.51024938,18.31079342,17.914499,19.68176205,15.69772733,10.97166551,8.098073238,7.282890109,7.06390858,7.014379857,7.008435598,7.006354196
16.3362326,22.80684165,17.56605112,18.19748721,15.99304699,11.20248944,8.336840364,7.30693996,7.072183,6.989981358,6.978438941,6.975565835,6.973248172,6.973327531,6.973227652
9.726086086,9.045724627,10.40366079,12.35802147,17.01192945,16.76061157,17.42103493,13.27733696,9.329610309,7.615377152,7.146908521,7.032455874,7.003284043,7.003175604,7.000969592
14.69577188,19.03498018,14.22683936,18.99337397,19.07327969,15.49397208,10.30999676,8.033197671,7.310416377,7.104919411,7.065112344,7.054408764,7.049181477,7.046967297,7.047254143
#DIV/0!,9.621958356,15.23336146,15.95208835,11.56875981,18.26186992,17.36478304,14.7950784,10.46685809,8.00224908,7.319709159,7.102476318,7.061853896,7.042607834,7.043098247
12.62901406,24.11021086,19.65994739,20.20863149,15.26516849,10.5463483,8.140940322,7.34769719,7.141669483,7.072089971,7.05231121,7.046728342,7.045624158,7.045210823,7.045281057
13.95896581,10.35635782,11.41877438,11.2895083,13.05238271,18.01263954,18.39765682,16.76326863,10.98759069,8.17805965,7.280774885,7.053444805,6.989003125,6.984026902,6.978219609
#DIV/0!,19.40105227,28.72627963,19.18033013,17.25074349,17.25328199,11.31090659,8.202487593,7.329229878,7.088704604,7.03037664,7.017615661,7.01557369,7.01555794,7.015236758
9.88097213,19.28775453,18.84566389,18.70774248,17.22747703,12.48222313,8.679845345,7.479805665,7.137526583,7.053495501,7.037720089,7.03079926,7.029751801,7.02837703,7.029007209
12.70648192,10.00893417,11.82088079,12.06751271,15.6542855,16.59885591,19.99513039,14.87770253,9.73131404,7.64984622,7.189583272,7.05009576,7.012389483,7.005588933,7.003627676
34.15666261,22.76157183,21.2830744,18.65646616,13.58252246,9.372811829,7.714926254,7.230310119,7.081089156,7.038931245,7.027424122,7.02361744,7.022273916,7.021137253,7.021137253
9.070127697,17.60820187,9.818459434,7.788855711,7.545366269,12.04460943,22.80045753,20.80119202,15.62788017,10.44336011,7.875621321,7.230332703,7.066182401,7.021091506,7.010904017
11.78997151,11.64946526,10.57101818,10.87511152,18.25905798,20.23010613,17.85200531,11.7439459,8.418527853,7.372611521,7.12450447,7.033652157,7.010973667,7.008794572,7.007870245
15.82308274,11.76518438,13.28698373,10.04649649,21.1411422,18.21684719,17.8289343,13.33627069,8.958976515,7.488587468,7.183533852,7.07073219,7.05369541,7.049050494,7.045682089
8.92149111,9.749741586,11.4515684,16.02726045,21.45334805,22.0244015,16.33466221,10.59894354,7.913058217,7.25519287,7.070531314,7.024334345,7.013220123,7.005837965,7.002438935
9.25081147,13.72434053,10.31361241,9.734965373,18.400365,22.21220254,18.99286389,12.8359118,8.7295055,7.466273722,7.140503939,7.064273009,7.034021685,7.025768446,7.025319582
12.39937274,18.17898028,22.25192904,21.24107299,16.6642995,11.75278303,8.396699587,7.382310559,7.105692645,7.036969253,7.021157958,7.018783155,7.016778465,7.017140854,7.01602254
30.4879127,25.57933615,20.39820145,19.67728853,12.67651155,8.560265985,7.411675105,7.102202462,7.009341307,6.987896642,6.983871796,6.980051675,6.979190149,6.978585088,6.978393408
18.12742076,9.088901683,12.88754624,20.8376654,17.03861886,20.77077695,16.23063946,12.12412265,8.918883928,7.590301917,7.189373468,7.103186607,7.065748928,7.060705133,7.061390336
15.18893101,17.022036,26.34187694,15.86380077,19.49629261,15.62501611,11.07476827,8.120115213,7.287766732,7.057928883,6.992692664,6.976108711,6.964473011,6.962230817,6.96199549
19.07155985,19.08608205,18.43382499,15.78275729,18.64354559,14.29379559,9.271869001,7.57822624,7.158641333,7.044167352,7.013826089,7.014065867,7.013060619,7.011999361,7.011271748
38.93841271,14.98898931,25.96824214,18.72060222,14.41778345,9.595859164,7.644128865,7.196809102,7.080353802,7.04763131,7.03830627,7.036212586,7.036018519,7.035349812,7.034838702
11.19874866,14.25934265,14.37756412,24.34276542,18.90738352,16.39122981,11.10693934,8.162547802,7.292822419,7.078355477,7.025075332,7.005887243,7.001980496,7.001466086,7.001587512
#DIV/0!,13.31862495,28.35276878,18.88621066,17.41307008,17.13373867,13.77473384,9.535653077,7.744162245,7.201845453,7.077353857,7.032356173,7.01958821,7.018261101,7.017696476
14.27666431,29.41791305,18.12229698,25.73150487,18.35313738,13.08276472,8.796857959,7.489616602,7.158710363,7.085639239,7.058309734,7.044901461,7.042345617,7.039559948,7.039913047
9.656988127,10.25833893,13.06043178,11.57722873,17.97326427,17.91108272,19.48366685,14.39700436,9.553220888,7.671992669,7.218399238,7.075484331,7.035685907,7.024493919,7.022364257
13.43882506,11.69856207,5.981730706,20.16314688,20.19742702,21.04052818,16.12292583,10.60352845,7.963664919,7.201404147,7.052720205,7.006719731,6.979896843,6.977208105,6.974698556
8.056733519,25.15431227,22.03199989,18.47145189,16.98267721,11.24135053,8.288424027,7.325136037,7.088181392,7.037916579,7.015430713,7.01430645,7.012275008,7.0098013,7.010066111
11.48221001,24.02033485,19.52498751,18.94143624,18.104448,12.71723809,8.884309876,7.538113777,7.156260615,7.057564958,7.031663044,7.024034264,7.021164761,7.02158223,7.021749124
14.53187871,11.66662117,15.98204922,19.32056079,20.62535158,13.58390992,9.272846039,7.578209414,7.127109387,6.982130981,6.952319975,6.945316612,6.941497008,6.939750234,6.94007191
14.31360045,12.81638693,12.1010033,18.07570688,19.09477952,17.64926664,13.99988425,9.729856944,7.728846886,7.191254077,7.065781678,7.037857537,7.025523227,7.021656875,7.02236046
17.55174038,16.12648687,15.56543424,11.53391004,17.10755575,17.77484659,15.29037679,10.42506069,7.992598087,7.220867371,7.03477412,6.986440423,6.966021017,6.962763524,6.962691822
17.48165562,17.01288685,18.77523897,18.39640556,18.06226471,14.67100549,9.644258505,7.734567166,7.170112276,7.040761871,7.001352654,6.994639043,6.991293344,6.990455428,6.990960988
15.31956404,15.72010417,8.720682124,9.817882983,9.609790424,11.74894171,20.42835649,19.11546986,14.38956936,9.580154427,7.785623117,7.206936694,7.075299555,7.038241327,7.025297964
7.966266748,11.74751954,21.4541954,16.92085915,17.97936045,18.65748708,14.59997073,9.738969991,7.721492856,7.166528545,7.010346226,6.973138814,6.963255292,6.960497818,6.960105843
11.02624346,29.04679177,24.18455368,18.88412426,15.18168277,10.05827776,7.72991426,7.188751157,7.03505161,7.004816379,6.995920378,6.994422703,6.993847135,6.994247518,6.994966219
11.35607451,11.25733146,11.01492475,14.81280049,12.78523181,12.77011572,17.27675167,17.09517021,14.1612695,9.738772617,7.687964525,7.160591729,7.0370107,7.0019173,6.989998361
14.5308835,10.6274582,14.70142155,15.74712039,17.09334592,17.50310229,13.04307109,9.055920882,7.586103872,7.178961061,7.059023773,7.026341381,7.019061997,7.019555245,7.019456255
10.14280872,11.48013798,21.19185403,20.71998981,19.45814287,17.25151011,11.97527589,8.290490222,7.296630717,7.048332062,6.969927759,6.959760461,6.957929201,6.957396943,6.956583683
8.937999821,13.03121453,11.58986016,13.94753206,20.42333614,19.63423154,14.55444019,9.755820591,7.80805685,7.17424194,7.020613075,6.976503416,6.967427229,6.966751645,6.96689376
11.40527222,18.6865291,26.29062865,22.42478028,17.74218176,12.25981776,8.647367754,7.449206561,7.11319684,7.037813107,7.01186538,7.008147778,7.006878407,7.006273445,7.005123358
9.635842714,14.40522165,14.38894489,15.98139408,18.04772099,17.47158552,14.04406035,9.803558933,7.766295939,7.204447086,7.057555544,7.017135389,7.011037666,7.010442503,7.009995939
11.76594809,8.728920138,13.94645482,18.58617495,16.80579258,18.16372678,13.02243469,9.22533931,7.605906814,7.121301928,7.013351942,6.973931437,6.966430984,6.962605288,6.959966426
11.81280554,22.08711485,13.83757417,13.65463751,15.7187723,16.06140958,14.21082183,9.507308549,7.676126889,7.181810668,7.054919885,7.014197226,7.003012927,7.00036467,7.000389026
18.13248825,11.12742107,16.73585996,17.04922281,22.26469039,19.84898692,12.45384527,8.785176715,7.486031925,7.152486075,7.0579782,7.040108469,7.031420875,7.032020792,7.031786113
26.43538245,16.87810231,25.4382657,17.24049321,15.78102452,11.64563136,8.379255494,7.323991324,7.058099451,6.980360532,6.959380338,6.958846647,6.956774409,6.956807851,6.956855959
11.01734045,25.34203319,22.43998331,19.41569778,16.1795605,12.06732209,8.403580614,7.385427173,7.107484159,7.051309836,7.032326501,7.027660535,7.02736891,7.028030668,7.027729678
13.85086615,43.04625428,18.843884,23.30813638,17.78294068,11.39503305,8.418251959,7.369808935,7.143384376,7.064204841,7.050935059,7.054434841,7.054271814,7.053365403,7.052165638
13.01725461,21.70589823,24.63669801,21.71424214,16.67396236,10.50987017,7.96029513,7.268787484,7.086832944,7.051052788,7.032077263,7.027813591,7.02685496,7.027764992,7.026989662
#DIV/0!,19.11970982,15.92614347,15.23773023,23.09927874,20.14665719,13.79255574,9.110291485,7.553650901,7.102771586,7.013069718,6.982330863,6.977840778,6.977636236,6.978527573
13.79549435,15.3301093,21.60784399,15.51670913,18.92661382,14.30861973,9.743097038,7.746466037,7.210023039,7.071228477,7.040828695,7.038587359,7.035184003,7.033461199,7.031734492
20.71269912,17.12465383,15.1625128,19.12947535,19.67562838,15.19975318,10.47199019,7.954330814,7.226501889,7.048538435,7.008844384,7.000924941,6.997827273,6.997346424,6.997196944
25.36355871,18.17719093,14.67944295,15.86840497,18.20211254,13.18165936,8.950738652,7.48855797,7.131646093,7.046342037,7.024033426,7.010941029,7.00781313,7.007313035,7.008175184
8.30527769,13.29831709,9.600586604,10.35764095,11.55458214,13.20332826,20.64334915,18.61234854,12.70625395,9.00552971,7.505818924,7.134167574,7.026049571,6.991844293,6.983921058
13.68277836,9.993274027,12.22397964,19.02729319,21.91311629,17.44272368,12.1150565,8.392218735,7.35131405,7.06894656,7.005963813,6.989381508,6.98470828,6.985094981,6.984939242
8.760079972,9.475501342,9.252526333,14.12821017,18.47636742,18.16761441,17.82159355,12.72695323,8.780314486,7.465038166,7.128371172,7.044269075,7.024726778,7.02205749,7.021819039
#DIV/0!,16.77894888,10.22039839,13.55533043,11.2668273,10.50451163,12.47324769,14.94907053,15.26768861,11.29372576,8.192228076,7.318759877,7.116516779,7.037415496,7.016525306
16.19496037,9.499280933,17.87958908,14.06923598,16.16670041,17.52121947,13.98255062,9.607520583,7.653462133,7.145756993,7.012308052,6.984538899,6.973770651,6.970337117,6.970709934
23.05841462,13.05053537,13.36734807,20.10842948,19.77024758,13.87048026,9.933270869,7.821847413,7.245468975,7.078664376,7.037432137,7.025048781,7.022390985,7.022194474,7.022445477
9.696191087,21.41525267,16.93638911,27.08492288,22.00303241,14.6605472,9.714644273,7.759276636,7.193964247,7.043310018,7.002996498,6.992106478,6.988916473,6.989451122,6.989348582
25.63602464,23.29446,23.56671094,18.44606817,13.15441712,9.201441575,7.611247439,7.154220856,7.058030605,7.024930537,7.018705616,7.017418088,7.016019094,7.015087693,7.015569162
15.46913708,13.95655531,18.22380749,24.82947489,21.30014509,14.962091,10.2327269,7.83142752,7.195116456,7.055863686,7.012016619,6.996529721,6.996767976,6.997938044,6.999188206
11.46569499,7.453209255,5.891734558,6.934119156,6.985192956,12.01909599,13.07912433,16.48409189,17.65746031,13.5885421,9.080362415,7.486916015,7.116239054,7.019243847,6.995625509
9.586983086,10.13563312,23.19751213,17.47332474,20.46838795,15.11316595,10.57690882,8.040266168,7.339722714,7.126326255,7.070677845,7.064743535,7.061371937,7.063537701,7.061503378
12.93815432,9.122571546,13.11063951,22.0811999,17.15295965,16.60859996,17.46765501,12.0979152,8.626345266,7.431147778,7.118168082,7.020280192,7.002706672,6.995012262,6.993278215
10.61107493,16.54922427,12.037054,15.44664579,21.17243368,18.73430335,13.16573719,8.914984197,7.519228189,7.162833415,7.069367133,7.039594141,7.036893292,7.036358094,7.034056418
#DIV/0!,13.04865636,14.59744608,14.60691535,21.14118242,23.1453541,16.90942428,11.05389407,8.164358664,7.317945095,7.069706136,7.026633612,7.016206398,7.010901608,7.00888555
14.32474471,16.3450388,16.13045096,23.11318357,21.104396,14.00846436,9.106501906,7.489378376,7.082304803,6.995037119,6.982763816,6.974406154,6.971219349,6.971914076,6.971431436
8.648078792,13.35946677,9.686182507,13.80849068,18.33374089,17.05272065,15.9700652,11.66880846,8.343358992,7.353117273,7.097267893,7.011590798,6.997810133,6.987100841,6.986596376
25.81963062,41.4672369,18.90569454,18.70916071,14.62358961,9.720370694,7.714060631,7.215939144,7.085956306,7.050085322,7.041754052,7.039472136,7.038021242,7.039147572,7.038788999
19.34559239,14.75024175,9.032150926,10.33694951,12.70856454,13.91015945,16.09150868,14.90218467,9.627008858,7.667519898,7.187240871,7.077289543,7.045702889,7.038098466,7.038064039
11.83744629,20.37053639,21.50380818,22.45061432,17.53686152,11.29697561,8.094350076,7.304498228,7.082786964,7.028565242,7.013814036,7.008948331,7.009399872,7.009754915,7.009754915
39.79961372,20.8151084,20.36006407,18.59645558,13.03769015,9.114864363,7.590794652,7.176008457,7.055951807,7.024847384,7.007230495,7.006427535,7.004673644,7.004240031,7.004089324
8.47385743,9.199682964,7.345420708,7.345420708,16.47063129,14.55579604,22.59566071,19.06996396,15.09873182,10.64067142,8.055155454,7.3173135,7.136089938,7.075772552,7.059247865
12.25592134,13.80060336,17.45157176,21.03308586,18.47248133,15.88994699,10.7885585,8.076177282,7.271690885,7.066900431,7.006212184,6.98599247,6.981901571,6.981225272,6.981122925
11.75943586,15.48219681,18.47778834,24.58204017,19.85889106,16.26942718,10.6200533,7.989759557,7.242665995,7.067125872,7.016485823,7.004760884,7.004556772,7.004246261,7.002705495
9.490051423,13.95553101,21.82459555,18.03185576,19.35822228,14.94478775,10.06510725,7.765822432,7.216743607,7.057187175,7.01806029,7.007074013,7.003742113,7.00368742,7.004121456
10.99099879,11.65510022,12.57084962,14.51979664,16.64439009,16.67538956,13.80812211,9.451866864,7.779347702,7.241821234,7.073046527,7.029233944,7.023879991,7.020779626,7.019192606
9.89257201,9.78723874,8.511093913,15.34833687,13.11400922,20.23666906,17.79912439,13.82459874,9.294717142,7.622651783,7.174944005,7.035948172,7.002965896,7.002925584,6.998378763
13.67034544,11.0516283,12.86102985,15.83603195,20.81323599,19.38417409,12.22906506,8.553951431,7.414656745,7.088867065,7.027345601,7.000489341,6.991230878,6.989492793,6.989539155
29.1066415,24.95038055,20.79868186,19.04033295,12.89161304,8.849941202,7.507891526,7.116304483,7.027036671,6.996513763,6.992969339,6.988373506,6.986793633,6.986964881,6.986633376
#DIV/0!,42.76772349,18.83655846,16.29828256,17.13583321,15.81869473,10.88887332,8.126988552,7.279982477,7.066399358,6.995732295,6.990219851,6.981195786,6.980649291,6.979651552
12.14568619,16.30443085,21.90077338,16.46499897,17.43016391,14.10704872,9.49538288,7.663755135,7.211773572,7.097418708,7.066335493,7.058947584,7.054906396,7.056523053,7.056253227
13.47392966,18.60627675,21.79732598,22.47378427,15.57073138,11.61385179,8.359326939,7.340455655,7.076762707,6.99149199,6.980260403,6.97502134,6.973779843,6.972558235,6.972558235
19.69913201,12.6427301,16.74263302,19.22549368,21.80822505,15.4543098,10.46415047,8.06468139,7.283280773,7.066160632,7.014097354,7.002481301,7.001712276,7.001627465,7.001946667
15.61486229,22.6493892,18.74169075,20.60226986,16.98823816,11.0918463,8.046281568,7.247458679,7.04229151,6.990910307,6.982480099,6.98138299,6.980288127,6.978555917,6.977928665
14.30386855,16.93627351,22.79473114,23.1490007,18.23081067,14.15072506,9.696218258,7.772667568,7.179627966,7.035359562,6.985558775,6.982746457,6.975197217,6.973797108,6.973304725
8.895626476,11.92923914,20.97721958,15.14349484,20.22461007,18.77163701,12.65753232,8.635065252,7.413767981,7.115768986,7.035199545,7.010589306,7.00733356,7.005974169,7.004323776
10.24007372,18.13020643,11.15656158,11.4296513,16.41666332,23.11373917,16.84910172,12.33732375,8.567035494,7.454101778,7.135928106,7.055249539,7.042089619,7.03359848,7.031298955
9.263094009,9.1715899,9.01104786,12.36718249,11.98876102,14.32551096,16.82136123,17.26855794,12.37123646,8.635695516,7.468546701,7.147897176,7.054042465,7.038351746,7.030939996
#DIV/0!,16.2815844,8.240613453,15.53472915,25.39804257,16.88329824,16.04677597,12.85562879,9.10136184,7.592618308,7.145556887,7.028114045,7.002415007,6.996190651,6.993777482
11.33648741,10.71680841,11.182649,21.09980408,17.47998197,21.40972643,17.43098454,11.46152351,8.359675856,7.403954368,7.115601745,7.060097819,7.045092942,7.036170851,7.034608536
8.887886019,15.31392302,12.53092287,14.00910334,21.26581172,17.78570245,12.76258981,8.805337042,7.433551925,7.093710699,6.987793806,6.965065731,6.959519634,6.956075099,6.955939182
#DIV/0!,13.23029281,12.44544508,8.547254737,8.419798702,15.55998721,20.45605967,18.711133,13.31714022,8.962809923,7.497689306,7.125349396,7.030630651,7.006670392,7.000011067
9.624220946,11.47189665,11.07624702,12.98755914,19.47905337,21.68303172,20.53535675,13.71687621,9.140557859,7.56100268,7.112625082,6.992500306,6.960037684,6.952600472,6.943507264
24.0054938,23.31868656,10.35828017,12.28077391,17.72367849,16.60923167,11.7117573,8.479287665,7.392890454,7.133267993,7.058690178,7.035185736,7.036520986,7.034877353,7.034850678
13.29556948,8.373649525,14.3039776,10.83429899,13.60611804,19.52327977,18.01110922,14.15419232,9.454076436,7.71509583,7.210037543,7.079356027,7.052762634,7.040131715,7.042682778
9.634865665,15.62768576,12.62067097,14.14748927,16.54865736,19.59297629,13.5217702,9.448221502,7.69669546,7.20073262,7.099290017,7.075471565,7.066945878,7.064237478,7.063462712
32.60460838,21.93426866,18.77996378,17.76356913,13.75806895,9.478634532,7.745646958,7.21425763,7.090665338,7.041252919,7.029972852,7.02531899,7.023544283,7.022732057,7.022681949
11.98210367,20.07003237,21.69326945,16.83243019,16.86174412,12.16789762,8.463111624,7.383813989,7.115291639,7.031224946,7.013627598,7.009204775,7.007836703,7.008093949,7.008193405
16.2507855,24.70239664,27.88961125,20.58013084,14.23037379,9.628575486,7.731008227,7.198608204,7.051531201,7.011955405,7.00685327,7.00605133,7.006574809,7.005856567,7.005574062
23.82866163,8.393919737,16.71270683,20.51230045,16.21789244,13.99255702,9.455823057,7.691339175,7.1898194,7.039104365,7.006176645,6.996976334,6.992629636,6.992271582,6.991459338
15.20466883,31.58231105,16.32166343,15.8452359,19.18972278,14.59629615,9.840315493,7.816857043,7.172378499,7.003734707,6.960549416,6.946353727,6.944804417,6.944506559,6.944720979
9.070328845,9.477022906,10.75219496,12.62894022,16.1719534,18.7254763,18.15754023,15.82277955,10.69095332,7.987053306,7.258009244,7.072393272,7.025761091,7.008995001,7.005003625
8.206966296,10.65043087,9.398816101,18.99490367,20.68872047,17.76874683,17.74197306,12.89763788,8.912614348,7.44301684,7.080910907,6.996548861,6.966360081,6.962947219,6.962383945
23.37082177,19.09372877,18.05361943,18.5170087,17.07103102,13.0017301,9.004291328,7.572652501,7.154171414,7.042760302,7.010850982,6.99801919,6.997567303,6.995132535,6.994339879
20.57632052,23.30710422,10.21058953,11.95610083,14.62828211,17.68479287,15.9598919,10.53792104,7.930949348,7.248639911,7.049877914,7.015502472,7.005588786,7.003642784,7.001932008
15.05070915,10.96256038,16.46834064,22.14123353,20.26188774,15.67304277,9.967806576,7.765375154,7.212979566,7.046108189,7.006053784,6.993311422,6.988718852,6.989120993,6.988763299
9.045844585,10.93519995,11.85282536,16.30071055,22.95687698,20.19704194,16.43810603,10.83806849,8.049479247,7.307781825,7.117948188,7.069658954,7.054360144,7.051568743,7.046842157
15.10674425,13.31107934,12.54722729,13.64218569,18.93766946,18.43888813,15.94555499,10.62050017,7.991300798,7.282254474,7.083261866,7.048808764,7.02827947,7.024003725,7.022497998
61.53074085,17.138128,17.61563688,16.28559541,13.54895538,9.067968203,7.588366797,7.185030088,7.081090811,7.049829804,7.045807982,7.043723427,7.043604107,7.0436563,7.043393212
