"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",1,1,1.10096338483271,1.17088934107766,1.22613434024485,1.27677515580525,1.31816180646739,1.35094411208415,1.37303289650386,1.38519369308417,1.38817404912403,1.38373632617427,1.37364526171883,1.36045166438294,1.34359991119457
"2",1.17914764568137,1.25773421503393,1.33362125062922,1.39217894138868,1.43564364175362,1.47086987716739,1.49920562823199,1.51711236323352,1.52410177428643,1.52083479780406,1.5095549888701,1.49211169084297,1.47095488034731,1.44846955519221,1.42297177444598
"3",1.23114441334492,1.36966555749257,1.46273135436073,1.52523439541629,1.57003382181338,1.60323278381442,1.62378839802698,1.62912319352841,1.62187444947991,1.60503123203042,1.58143336139104,1.55401334188868,1.52398373830951,1.4942144027171,1.46383730062101
"4",1.10956947206785,1.28383462228557,1.39561029879252,1.46151998034818,1.51293644662905,1.55107564410002,1.57613451145981,1.58729227377622,1.58480914797556,1.57224169538124,1.55234817424426,1.52809932458517,1.50089218131345,1.4716476755936,1.4412097328929
"5",1.17914764568137,1.25773421503393,1.35405382822481,1.40599693357086,1.45002447155213,1.48277452044994,1.50900803965566,1.52522437129271,1.53113792335868,1.52750933029805,1.51618644239852,1.49918108796709,1.47867363836956,1.45564240223767,1.43070474289234
"6",1,1.04729412282063,1.09967126016641,1.1725568265008,1.23819224045837,1.2879531638157,1.32823814506502,1.35968116616643,1.38113587830711,1.39244659195091,1.39466889439289,1.38992589590826,1.37957945456304,1.36607912747853,1.35042546138219
"7",1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"8",1,1.07598962472535,1.1631318239858,1.2314533289131,1.27380748003172,1.30870056716163,1.34108357207059,1.36673870724984,1.38668735396169,1.39867754436884,1.40260414833935,1.39925301208277,1.3906963425464,1.3778708435383,1.36242457584581
"9",1.17914764568137,1.16890924050961,1.2644462935864,1.32941724086515,1.38069058523297,1.42092420943117,1.45332745976691,1.47520723342926,1.48589352028051,1.48680058153687,1.47924196799411,1.46530668756115,1.44768628886427,1.42699272182478,1.40472901961413
"10",1.10956947206785,1.22023328945111,1.32056023387886,1.37582464547403,1.41351684764654,1.44692667002101,1.47287997164283,1.49167055288177,1.50126258198752,1.50142518665334,1.49356783313898,1.47968419345874,1.4615923955058,1.44009577724532,1.41612868722262
"11",1,1,1.05336103595484,1.13453342080498,1.2001302020993,1.25228012527084,1.29452042968029,1.3278757713696,1.35158571995515,1.36540610064214,1.37075741004159,1.3688436246694,1.3612361275884,1.35011926720694,1.33668282269413
"12",1,1,1.09018449238513,1.16445738487141,1.23168748010317,1.28392071872114,1.32651432510309,1.35816679382168,1.37937564263934,1.39053362593323,1.39274126907969,1.38788818712803,1.37810533656515,1.36515576459726,1.34858902966203
"13",1.23114441334492,1.30781365773706,1.36572311952087,1.42043873629627,1.4642602129289,1.50287912043887,1.530440739614,1.54622015679435,1.54970422275013,1.54226939033404,1.52705652161819,1.50663320418648,1.48325098226788,1.45885823496613,1.43432027569999
"14",1,1.18648674323491,1.28072264689676,1.3487898380006,1.39672901353407,1.43589933289514,1.46655921821464,1.48766485409672,1.49741870250535,1.49700339049238,1.48808942703246,1.47292268807159,1.45392823896342,1.43312074464862,1.40943301284723
"15",1.17914764568137,1.1161231740339,1.16135439015132,1.1963883150793,1.22747532174059,1.25975160824922,1.28977237267034,1.31663561337397,1.33809038042551,1.35381645700084,1.36278103744556,1.36492844405988,1.36128908155882,1.35301643738509,1.34165971253994
"16",1,1.16591440117983,1.27622151993265,1.34859137263265,1.40573621980466,1.44944641579439,1.48152617009217,1.50172260345425,1.50960324443288,1.50653078571841,1.49499183542264,1.47768947338029,1.4573103508628,1.43425226409699,1.41047625287929
"17",1.10956947206785,1.20775751812885,1.26460271222603,1.3140773213326,1.35436658737922,1.39206058494773,1.42399494816182,1.44731577673854,1.46087906225833,1.46514762616296,1.46037104268286,1.44959115656633,1.43439351990219,1.4163169386506,1.39658598640689
"18",1,1.16591440117983,1.27774186374635,1.36038878362528,1.41557994807487,1.45789221352878,1.48896160999053,1.50779552716546,1.51481944821004,1.51156524942177,1.50024231324909,1.48322809412975,1.46256266125221,1.43995754799732,1.4151307991294
"19",1,1.07598962472535,0,0,0,0,0,0,0,0,0,0,0,0,0
"20",1.10956947206785,1.07177346253629,1.16293931027277,1.21778525308913,1.26335134810751,1.30367674826242,1.34052279507504,1.37010647166185,1.3907904042581,1.40161284235938,1.40359073114558,1.39865065616501,1.38841602459878,1.3754372219919,1.36016850744979
"21",1,1.17334622119341,1.29700449928944,1.38227771549485,1.44565038630152,1.49455074036818,1.52644256165032,1.54223071305594,1.54419354670118,1.5345458832027,1.51760159914646,1.49633365884859,1.47147764639345,1.44516516450333,1.41874172077837
"22",1.10956947206785,1.19316635847049,1.18964613218463,1.20397256438136,1.21296189771499,1.23557936813232,1.25896206775267,1.28163219347848,1.30267746136176,1.31977652380226,1.33198762193557,1.33788924957749,1.33834216794583,1.33379249499245,1.32543002195251
"23",1.10956947206785,1.15321712574501,1.19708362173675,1.26315770085384,1.32323343651112,1.36974810750005,1.40634586888711,1.43200580025081,1.44686635298429,1.45143361115643,1.44725599820956,1.43651252949186,1.42200438679787,1.4036572103077,1.38224992686683
"24",1.10956947206785,1.23114441334492,1.33099024722374,1.41225440438475,1.47325185454495,1.51912582832708,1.54853958662828,1.5618139446954,1.56148527456401,1.55022532533748,1.53187925551164,1.50811142742249,1.48273422699254,1.45607924029812,1.42765791651587
"25",1,1.17334622119341,1.26804430560981,1.34167420062146,1.3954782025702,1.43745453890696,1.46848437232861,1.48954342831571,1.49857141205449,1.49793019697245,1.4886165917923,1.47269381632925,1.45312958905093,1.43174803858129,1.40890398794083
"26",1.10956947206785,1.15321712574501,1.21754644818315,1.24915008167115,1.28345451338426,1.31481232659854,1.34228514690801,1.36579118917814,1.38414686967667,1.39609369394195,1.40113723975564,1.3993671921505,1.39226339543976,1.38091464388538,1.3674656864926
"27",1.10956947206785,1.19316635847049,1.29528600984351,1.3564162628112,1.41152840038213,1.45475539521461,1.48624453522265,1.50578916119234,1.51367554097594,1.51038354724894,1.49846333488298,1.48129684362885,1.460749765185,1.43728566304997,1.41037584421531
"28",1.23114441334492,1.36966555749257,1.47036672918219,1.52994272958453,1.57454199690323,1.60466240052043,1.62374203528241,1.62952095659369,1.62252655655558,1.60582731487259,1.58330073353611,1.55630395729281,1.5272956907315,1.4964823336074,1.46399872233337
"29",1.10956947206785,1.12246204830937,1.15835085781865,1.20715263336799,1.25509607176427,1.29538459767147,1.32990078221181,1.3583426392041,1.3792774119582,1.39186006425684,1.39581040621204,1.39259882317395,1.38389892506211,1.3711918697132,1.35691134318461
"30",1.23114441334492,1.30781365773706,1.28820995518121,1.29712773442911,1.32192386343176,1.34788269741273,1.37082477715963,1.39194953024512,1.40754184687586,1.41759603513393,1.42100622980362,1.41761655845679,1.40920397612551,1.39696049699405,1.38219871444457
"31",1.17914764568137,1.29219570371863,1.38911469131799,1.45670535286323,1.50445788379323,1.53973722919315,1.56280242102839,1.57482158331194,1.57487379323387,1.56488329419346,1.54733672055616,1.52528966406761,1.50024475458773,1.47310921381511,1.44679333481429
"32",1.27305011554642,1.40057231084843,1.49087257986485,1.54641289009503,1.58118914809713,1.60902906320162,1.62611604394931,1.63134362286817,1.62527229127931,1.60918293313493,1.58691104395187,1.56063911727509,1.53185375537721,1.50220282132594,1.4730326342751
"33",1.17914764568137,1.34272412171422,1.44657254636147,1.51253185546005,1.56379609727358,1.59927320922578,1.6195929017537,1.62522963385361,1.61823450252981,1.60152275139597,1.57774392068676,1.5498303315122,1.52061780585374,1.48993251281135,1.45799073115025
"34",1,1.1132635768448,1.22805247973614,1.31232416285433,1.37905063269889,1.4307390609671,1.46673018617317,1.48815740390686,1.49616175115209,1.49326530281071,1.48232092779887,1.46610205797609,1.44704702890336,1.42588519508584,1.40326764671296
"35",1.17914764568137,1.31721765147545,1.38295468613087,1.43374578935975,1.46951456245266,1.49920945234343,1.52113627549435,1.53566981362543,1.54089909421424,1.53666257596823,1.52513114311681,1.50795987836484,1.48699381746626,1.46328551941419,1.43927012510127
