V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
1.126187041,0.892566873,0.916285646,2.168162931,1.788031201,1.655287931,1.763010477,1.669849397,1.897770868,1.92715692,1.9198156,2.019776102,2.020765663,2.093569391,2.118300368
2.094955523,2.273671375,1.803139559,1.958836225,1.951499837,1.96977332,1.994073041,2.111806652,2.007689747,2.103438436,2.119306847,2.181279965,2.193136265,2.20588622,2.218584094
1.643978881,4.300624278,3.226917403,1.946535035,1.874704443,1.856279142,1.940310635,2.061264501,2.058731105,2.122123811,2.144109225,2.169445559,2.189369693,2.196170123,2.198238467
2.385712574,2.859689477,2.293921924,2.07669282,2.017438336,2.166326378,2.096675791,2.088532047,2.127853675,2.168996141,2.198025377,2.219966145,2.232694714,2.237247518,2.239082668
1.742687919,1.486733038,1.976737461,2.403001906,2.411092253,2.074486238,1.915477141,1.949360856,2.028012973,2.098048028,2.126604764,2.159141203,2.19884251,2.209332762,2.219063029
1.064279096,8.22712498,2.110362212,2.078720796,1.894343494,1.911266494,1.86349619,2.003320415,1.99201072,2.054517369,2.143785427,2.175146432,2.197811811,2.21534159,2.222567675
1.069765282,1.498926762,0.74218832,0.742219423,1.580243916,1.865009494,2.092052166,1.524892671,1.664049304,1.580768151,1.771530266,1.837485445,1.956219544,1.987226237,2.092930048
1.120483378,2.729895903,1.406613811,1.956184964,1.708759777,2.121984407,2.113366693,1.964826822,1.990166704,2.058440634,2.058091036,2.097508778,2.152231315,2.190816347,2.201302453
1.484535464,0.984278199,1.411094961,2.023386751,1.753593273,1.878430397,2.361318571,2.003863247,2.057571421,2.155311191,2.090639554,2.154575617,2.201986357,2.232584127,2.236996204
1.097819156,0,1.374155943,1.820905199,1.312855349,1.724862595,1.592782703,1.761983816,1.799094862,1.869518534,1.933640672,2.007272345,2.13165243,2.228884883,2.243890329
1.104919965,0.892566873,0.548399321,0.87278587,1.092893724,1.271463146,1.486336049,2.383043291,1.86985015,1.733243215,1.993197272,2.007071284,2.082506967,2.082576104,2.149609738
1.092579212,0.932249474,3.094536777,2.624495341,2.229358813,2.112857493,1.912895944,1.947614158,2.09016717,2.145376985,2.157422111,2.19693451,2.212774848,2.233920643,2.242721866
1.079043784,3.21000918,1.966435674,1.791950799,1.796803351,1.685147235,1.883237909,2.032739188,1.974952133,1.957045536,2.080128279,2.166118311,2.181920328,2.205075018,2.222888799
1.097438516,5.777109876,2.219382902,1.677406911,2.087068299,2.126350841,2.031065386,1.997644679,2.063785542,2.103400694,2.172540092,2.181750239,2.203717056,2.204052153,2.212545373
1.067568226,2.26174688,2.327150372,2.329223999,1.896043542,1.613589554,1.798572356,1.850051246,1.954909074,1.988679717,2.060989021,2.13692977,2.181404343,2.202359985,2.218725441
1.65911353,1.38354021,0.99075609,0.981676073,1.685766079,1.413456831,1.456081686,1.775348065,1.880640216,1.93539755,2.058050184,2.064773098,2.097108001,2.121829181,2.166453575
1.568073267,1.33204466,1.475187885,1.71756005,1.750009393,2.071470762,2.130859155,1.924883793,1.959646208,2.048607966,2.053340887,2.131925783,2.188881475,2.201083148,2.217278931
2.423395622,2.537788223,2.422398107,2.092868242,1.769852582,1.926175128,2.077307661,1.957758297,2.039488879,2.087144022,2.137161756,2.175569127,2.185594464,2.200884001,2.200365126
1.129080835,4.316048305,1.51584278,1.415681142,1.578360908,1.411921079,1.695194699,1.900786679,1.94452911,1.909349292,1.995665337,2.051102203,2.119171937,2.142785778,2.169309279
1.91180958,1.232033644,2.119989399,2.358168522,2.076132516,2.023864784,2.080381517,1.995015967,2.03663987,2.06967019,2.154557189,2.151218939,2.178897607,2.191701353,2.200108629
1.805501348,3.155926215,1.587840459,1.93286374,1.852855917,1.883403391,2.01531162,1.858314181,1.972079156,1.998958777,2.07682406,2.088024868,2.12420595,2.154252147,2.174101753
1.085075016,0.915632403,0.929016919,1.353413831,0.968189382,1.39819336,1.783050046,1.895082564,1.881279243,1.949369119,2.019233089,1.996956962,2.061311644,2.109823676,2.159975597
1.558817487,2.483202341,1.613218312,1.545659237,1.692334802,1.562347999,1.668700021,1.84263611,1.866995826,1.966982209,1.99983342,2.063220606,2.129938447,2.156129638,2.174007256
1.073058116,3.416299913,2.003326139,2.169120185,2.05124811,2.142860976,1.928056324,1.975580462,2.069893028,2.064920457,2.102078271,2.143170637,2.163604691,2.171866155,2.191096475
1.718344505,1.359382994,1.788569376,2.145625263,1.768112616,2.206535402,1.953281905,2.11177049,2.092696222,2.05676744,2.145638876,2.174679885,2.193241982,2.211312515,2.226963415
2.371206186,1.012977888,2.095748979,1.853082957,2.101863124,2.130591635,2.011262936,2.00861668,2.046179492,2.012675842,2.107550789,2.132297131,2.153606028,2.167424243,2.175072554
1.862650646,0.969569185,2.369986432,2.790204599,1.963024837,1.970088987,1.965042602,1.985917676,2.041955062,2.095679764,2.160202753,2.18245668,2.217726777,2.230031231,2.237475425
1.059779075,0.884322702,3.30909825,2.237765748,1.878918619,1.873082831,1.911538356,1.957485519,2.046121687,2.073131732,2.106011108,2.155269209,2.16290167,2.180663642,2.189234237
2.455935274,1.378014596,2.092786421,1.864181368,1.760017175,1.773625341,1.757649084,2.050533357,2.053414325,2.030768467,2.102172419,2.144264848,2.174359511,2.178163393,2.20292316
1.73833926,1.992733052,2.413063649,2.251143651,1.919312479,1.976761644,1.935887188,1.990845648,2.060787302,2.092603747,2.157032077,2.168856469,2.219151485,2.227245457,2.226694456
2.509844838,2.072366757,2.068424881,1.90583913,2.014621733,2.104834329,2.066029657,2.025289457,1.991986923,2.06180388,2.132253772,2.148129724,2.169451401,2.186904849,2.18970558
1.769040525,0.973706194,1.438927058,0.995489678,1.656782912,1.4169884,1.652394791,1.541091827,1.827535341,1.901807902,1.977625743,2.003850375,2.063030615,2.120548986,2.16944575
1.091349922,5.167511873,2.031294208,2.040777119,2.299828983,2.117645181,2.023768177,1.96573864,1.998580028,2.059485495,2.136236951,2.137486113,2.153944523,2.16631156,2.175148191
1.815480084,2.291119262,1.636366969,1.612444629,1.517922436,1.423811316,1.647097834,1.537460182,1.675556727,1.820166287,1.988970706,2.050006651,2.117571794,2.152187272,2.18486314
2.186398007,2.164711635,2.122132132,1.634954688,1.758092874,1.930221492,1.942650065,1.958951098,1.99659423,2.038648225,2.10823214,2.139820231,2.148754231,2.170928442,2.181593453
1.671233291,2.991262625,2.455481725,2.189654601,2.100124908,1.986438087,1.989776,1.99627727,2.075737303,2.114472271,2.150002596,2.18479223,2.19763512,2.204955875,2.21091035
2.107971388,1.700396744,1.694365231,1.535217357,1.419047708,1.529909882,1.619766202,1.726797383,1.863136375,1.91935286,1.969581739,2.045553315,2.095729576,2.114658617,2.16024787
1.986865099,2.354213491,2.801988121,1.872617267,1.73053421,2.011063786,1.908627466,2.079793531,2.103539647,2.159841851,2.176506654,2.186746409,2.201711801,2.208637647,2.219562256
1.080283936,2.45448951,2.162929292,1.603777993,1.639735828,1.670263296,1.749025044,1.833512031,1.88643409,1.905760542,2.119919267,2.08129146,2.138346117,2.183718172,2.217057156
2.373631916,2.267075097,2.357447931,1.612594597,2.108917296,1.894700525,1.835326954,1.897988707,2.014308221,2.111742955,2.145857236,2.163350215,2.196273387,2.206554526,2.208358564
1.090361233,3.669033081,1.709220154,1.755837114,2.157878123,1.771705786,1.943005454,1.944827841,2.045193822,2.043783511,2.104389862,2.188166352,2.180968567,2.212252947,2.231893597
1.915954753,1.254242637,1.423998957,2.234740596,1.522766346,1.727870291,1.600652115,1.818649541,1.861895987,1.995751067,2.057220131,2.09143569,2.133737204,2.191181289,2.219182164
1.599920701,3.266706368,1.927082266,2.000764853,1.887077247,1.908528578,1.841523467,1.982796693,1.936228284,2.032922921,2.046158091,2.092338666,2.125937085,2.14583832,2.158597684
1.756289378,1.621420836,1.245591185,1.313926295,1.403059787,1.604527816,1.679171631,1.665265566,1.893246625,1.89440385,1.94106863,1.948521243,2.028346462,2.068856964,2.113433435
1.088809798,3.099552279,1.827321973,1.697413364,2.079338356,1.850111744,1.864719756,1.939449105,1.962731015,2.025109418,2.083322609,2.144494633,2.163586417,2.200072764,2.225059539
1.912486899,1.726749059,1.876550765,1.708706345,1.739029975,1.823870134,1.709032219,2.042607847,2.098068697,2.110356916,2.132748629,2.161435545,2.201579191,2.227218123,2.239835726
4.230542572,2.392286864,1.903427734,2.21816466,2.114692113,2.088421672,2.141838907,2.212569452,2.215184234,2.246845622,2.262267321,2.287601657,2.289703033,2.294939206,2.299112171
1.076983764,2.214905085,2.489625657,2.13934454,1.818364592,1.853827201,2.095825792,1.914581009,1.991205789,2.021401243,2.051979819,2.113763392,2.139111827,2.163312118,2.16678593
1.784737823,1.695544206,1.187166863,1.387867966,1.708851841,1.858014418,1.862593867,1.800496364,1.918795265,2.067086382,2.100811439,2.132378,2.178861613,2.208008872,2.20804381
2.619785109,2.192445218,1.667072156,2.07805283,1.903001432,1.956428365,1.986758347,1.978717288,2.070983519,2.12497691,2.1996514,2.216634529,2.216985668,2.232874698,2.235991024
1.748632536,2.091887653,1.978320319,2.294310596,1.888102609,1.94488889,2.112088264,2.041649395,2.009997775,2.113465583,2.146627965,2.194840305,2.210650472,2.23286239,2.240399403
2.141298635,2.818456257,2.044080617,2.292353055,1.875430274,1.833750253,2.015161595,2.052853907,2.113509839,2.143907424,2.159929551,2.201183269,2.211619882,2.221497479,2.228613446
1.070740717,1.709627748,0.969617774,0.965055026,1.187557874,1.604696306,1.974129333,1.716421888,1.938970804,1.995503812,1.963851622,2.079915955,2.037944674,2.076981295,2.16302204
1.599504853,5.882707746,2.205558183,1.810637879,2.084947513,2.128904361,2.185147223,2.092411532,2.103919705,2.150727971,2.184730382,2.204164207,2.217313304,2.234639403,2.236857486
1.602956183,2.353262305,1.972022818,1.984650971,1.780861259,2.129631988,2.189156336,1.92449912,2.021637451,2.101528664,2.102795052,2.16609151,2.174349139,2.187735888,2.191325772
1.107882669,0.916721782,1.515637101,1.969493814,1.70523516,2.007135634,1.789186713,1.608338415,1.864594232,1.891440157,1.925704425,1.997211365,2.058124232,2.110551103,2.139579299
1.098140077,0.928429992,1.85279216,1.312436576,1.582074827,1.554826378,1.473012086,1.845937716,1.895302328,2.047890953,2.009422728,2.013647049,2.045444076,2.115640908,2.151993067
1.631062983,1.362613465,0.828059998,2.147427379,2.228867819,1.95581232,2.002686807,2.010986084,1.959048994,2.014964549,2.089594157,2.121256498,2.147997967,2.162034789,2.172135092
2.464825948,2.643615287,3.066170216,1.997296097,1.748456553,2.003568142,1.943184217,2.000738346,2.136347153,2.135937831,2.153595921,2.177969089,2.201190012,2.206312151,2.210974288
1.552549422,1.370199199,2.416630221,2.254318952,1.86662015,2.011534231,2.072886679,2.080089632,2.097172674,2.138579608,2.181086467,2.220664193,2.229599088,2.250402291,2.256115817
1.085937522,0.943738034,0.932601877,1.877447587,1.821532817,1.620832516,1.857915754,1.866486565,1.926156333,1.998501274,1.980426392,2.032239141,2.1146154,2.105293305,2.11997634
1.130510077,0.931338191,2.944846333,1.277331836,2.388945514,2.166134516,2.171710305,2.169404567,2.013159999,2.062679166,2.10211615,2.153212691,2.173477201,2.205776551,2.219709901
1.133986039,0,1.767576467,1.271558046,2.280935166,1.866021458,1.779818147,1.972919494,1.859919226,2.027369352,2.045247826,2.111777626,2.155375009,2.170863293,2.184094079
2.460778008,2.161012987,1.944691185,1.804198342,1.786495364,1.776863888,1.868180283,2.004025716,2.030364743,2.036019693,2.047391742,2.1094068,2.143664786,2.16960225,2.170399138
1.578135169,1.345488515,1.490711786,1.805680591,1.800262222,1.839374905,1.954540202,1.867203012,1.891054146,2.033447876,2.056310628,2.126504717,2.139863262,2.166297905,2.184860304
2.423552377,3.754611684,1.844978899,1.863641099,1.989389375,1.990938224,2.001549684,2.032909951,2.117301826,2.138671064,2.153858515,2.17951112,2.189178411,2.199686608,2.204836357
1.074819546,0.89862927,0.91585437,1.164066021,1.77078891,1.764584396,1.964200242,1.941793712,2.008016154,1.95354214,1.912359216,1.967320266,2.085328286,2.12663965,2.137299552
1.614730277,2.562861972,1.792637389,1.460278451,2.279082759,1.905081674,1.963033138,1.926893885,1.988199034,2.036073322,2.131578988,2.172077062,2.201161759,2.211323183,2.21904418
1.670854904,3.719806862,2.629977332,2.21157524,2.071480625,2.054152007,2.102924391,2.094561213,2.141387866,2.196109276,2.219199996,2.250855734,2.261805742,2.265285993,2.267897459
1.791640994,2.844041613,2.242278496,1.918381261,2.012339939,2.001463025,1.947443767,2.056450418,2.078375965,2.127403945,2.163634139,2.163486491,2.188228909,2.198540333,2.206291692
1.750581998,1.72235028,2.269879174,1.747969307,1.827267167,1.74268766,2.064958927,1.950468252,1.991151815,2.046979774,2.073214667,2.164491215,2.18035343,2.20304222,2.201012638
1.058146892,2.793032263,1.121712775,0.996595484,1.545232736,2.016178319,1.590167338,1.676835042,1.822072049,1.743426033,1.921453686,1.957879807,2.083706111,2.111138182,2.150931347
2.440307334,1.012432964,1.636831943,1.50099234,1.327293857,1.701015957,1.892396193,2.030168975,2.026172948,2.074638978,2.105264376,2.116370722,2.173846159,2.180163235,2.207070621
1.131452527,2.387715178,1.79925154,2.009322138,1.844087722,1.892840727,1.98029169,1.980300293,1.966824278,2.011973373,2.069082375,2.139259346,2.167741056,2.178123503,2.199304434
2.361708939,2.09860003,1.303651026,1.991027999,2.372673764,2.017471958,1.977421153,1.98614756,2.075990522,2.093738193,2.143044834,2.157292269,2.197769628,2.203440802,2.216679387
1.458148202,1.659043377,2.503347036,2.313144633,2.050694413,2.079850224,1.95475087,1.983528654,1.970808248,2.05388065,2.104862206,2.150474835,2.177246509,2.185012393,2.19760597
1.536186229,0.957814303,2.717882522,1.906032653,1.905177345,1.771020366,1.869547963,1.882867943,1.908212504,2.028285527,2.030163827,2.110807147,2.153351435,2.161928635,2.179060119
1.520349926,1.706143456,2.705035828,1.908417797,1.813884088,2.032298254,1.937808338,2.010144522,2.043435777,2.090786213,2.12012188,2.170763417,2.181744094,2.197431331,2.208636061
1.91160873,1.020253072,1.712600722,1.192140498,1.18176726,1.209865823,1.465970093,1.573954715,1.796021783,1.999623757,1.961668943,2.029978698,2.062752936,2.115074094,2.155342439
1.613800324,2.129089726,2.336218535,1.946974646,1.80869109,1.880327384,1.823693063,1.97597272,2.023240287,2.0546252,2.129039954,2.153415113,2.182262182,2.198442692,2.221372017
1.087233889,0.950411412,0.949769218,1.796873921,2.383451443,2.07359332,1.976478434,2.004804966,1.878144514,1.829591385,1.908967942,2.069982669,2.08549967,2.122731169,2.16376092
2.260910403,2.156256914,2.076373224,2.173471507,1.825480422,1.968858692,2.04911019,2.004328689,2.043328989,2.131235365,2.13840793,2.151054472,2.173395061,2.188147623,2.189582891
1.682828806,1.368891744,0.827206499,0.962349991,1.299066386,1.114126686,1.28010938,1.388987889,1.721484528,1.851362832,1.943415414,1.858162722,1.973897588,1.89418805,2.021784725
1.07322617,0.914386424,2.424101849,2.551693854,2.103811049,2.264855328,2.034537163,2.033936769,2.016933059,2.0776189,2.108541369,2.166037807,2.161320785,2.190550187,2.196118473
2.379244382,1.265625301,2.082105029,1.659506785,1.886690579,2.016579421,1.775299059,1.964036534,2.045116871,2.028381144,2.046537371,2.116083191,2.150489356,2.183197081,2.188850346
2.184895097,2.331185072,2.487340834,1.968549477,1.919601265,1.943400255,1.961091476,2.02519964,2.052105198,2.081570779,2.125472415,2.166776123,2.180345853,2.191393117,2.196879862
2.106888854,2.697993134,2.528377846,1.745652608,2.133693521,1.922005716,1.921463923,2.029193328,2.113793905,2.112043574,2.150330102,2.177037724,2.203529127,2.217082262,2.223442563
1.429949418,0.99420299,2.56921259,2.073582651,2.007602039,2.098339257,1.957350905,1.868952575,1.995183621,2.057766772,2.130607361,2.143127155,2.175416362,2.204835914,2.22189854
1.131906959,2.458212397,1.182368946,1.363089033,1.544305327,1.781864373,1.796906975,2.068164202,1.944512094,1.941053503,1.99085919,2.017637948,2.091472517,2.129925481,2.162364547
1.553402286,3.070056126,2.067571386,2.386314989,2.119776581,1.950447602,1.962314736,2.051660013,2.092832625,2.095822441,2.14757772,2.177903757,2.207054563,2.223198718,2.228173399
1.756205088,1.453937884,1.51746936,1.771098849,1.529182386,1.265803342,1.456305667,1.651982402,1.720922707,1.909681268,2.063371456,2.099128876,2.096363368,2.135975149,2.17807646
1.091856055,2.3856301,1.808766551,1.420765004,1.641674423,1.530377906,1.993466653,1.890256166,1.926635245,2.003643885,2.056346754,2.070721975,2.101940588,2.144736762,2.176156256
1.772763263,3.903954836,1.902388004,1.828926596,1.94371601,1.790853213,1.916771816,1.952432174,2.024840946,2.066252364,2.137612822,2.133553211,2.157323071,2.173509563,2.173469602
1.093405366,2.285206023,1.989044939,2.301645524,1.763360409,1.852112268,1.79287625,1.919762771,1.932965037,1.940310815,2.019621338,2.077913817,2.126582293,2.151996248,2.161253238
2.081277424,2.960538999,2.001544109,2.117010476,2.170618898,1.955450815,2.057654429,2.042524578,2.075843233,2.129424653,2.16665688,2.181588101,2.192278035,2.198832385,2.203511782
2.516649342,2.596408598,2.016114049,1.791957758,2.212431896,2.048351571,2.07775896,2.030506695,2.134284595,2.088882018,2.139175032,2.168402732,2.186907703,2.199876179,2.210680481
1.101993737,4.11502531,1.601522734,2.041978729,1.696253335,1.912252078,2.138875225,2.000100169,2.016397132,2.017413782,2.106781258,2.147704025,2.16668369,2.200024666,2.213644056
2.747924745,2.065602024,2.131994589,1.514808685,2.38205755,2.160376686,2.059249878,2.041151387,2.078492255,2.143943937,2.187265859,2.212147868,2.227429245,2.236454448,2.241266073
1.07768667,3.470904419,1.801386734,1.951703385,2.075018832,2.147690714,1.987557896,1.962122181,1.995691089,2.013440725,2.077002647,2.150089173,2.180068965,2.207765488,2.220790476
1.840505708,3.912682234,1.469007655,1.506411853,1.739204494,1.761726256,1.910745661,2.081693703,1.978217526,1.98369842,2.060321242,2.120652792,2.152397572,2.191216045,2.207222717
1.132535076,3.959871571,1.798949136,1.745730158,2.034831254,2.054124599,2.04919207,1.972960862,2.013298719,2.056667435,2.100002143,2.124801111,2.157393034,2.177865787,2.187023457
