V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
1.930731161,1.077049299,4.132133913,2.110618502,1.770416591,1.759419685,1.51913911,1.745431274,1.638117692,1.833371244,1.704393921,1.697745333,1.74534887,1.698480843,1.720272187
4.914075977,2.268085326,2.536047754,2.021661025,1.912107283,1.755356612,1.775032731,1.765234015,1.798882012,1.842895751,1.809975157,1.856832168,1.851045821,1.830072696,1.842282151
4.902591734,1.042514431,1.207526959,2.168039409,1.576223618,2.12516058,1.696428811,1.623067116,1.667851344,1.587065669,1.704222462,1.687981044,1.691780884,1.673102081,1.722751645
1.91310712,1.081805696,1.412475168,1.656973691,1.589606209,1.959851827,1.852657299,1.569890689,1.669120004,1.803250165,1.94720295,1.854712148,1.815344281,1.748637998,1.765134597
1.902189856,1.085492092,0.719875412,1.420528895,1.463474743,2.046791822,2.20481224,1.515564865,1.532824503,1.306458499,1.309251737,1.398502636,1.306243148,1.358876806,1.301236967
2.921767823,1.43250804,1.056253528,1.223533757,1.295353666,1.394687823,1.144788313,1.759673802,1.812823234,2.124361302,1.885578373,1.804179067,1.628999872,1.68928879,1.650777798
0.917030319,1.217925929,1.146216724,4.835752067,1.693406704,1.206719935,1.263083848,1.108069851,1.272353022,1.248381339,1.336812889,1.245129218,1.382961352,1.474238968,1.611019154
0.938217146,1.19619742,1.161948373,1.452084774,3.299154188,2.742595992,1.938366249,1.932226569,1.599233477,1.561618809,1.627845075,1.675386493,1.679276563,1.72362034,1.739744311
4.888852594,1.453500058,3.056952734,1.618995639,1.724771318,1.724576812,1.67470943,1.722205785,1.793850846,1.827229093,1.727388279,1.772905742,1.740712869,1.748032945,1.776166639
2.903484837,2.118777795,3.066206172,2.669652067,2.705619679,1.976517408,1.872048539,1.69783591,1.796762315,1.737350916,1.735077686,1.723235637,1.706385664,1.724442033,1.724131961
4.883012748,2.883286388,1.827144921,1.805668741,1.983026079,1.902371055,1.77238143,1.608501207,1.634157201,1.575340673,1.593518384,1.588278254,1.603779407,1.617410769,1.650315096
2.896934995,2.093717195,1.326497865,1.432485172,1.354800834,1.63847064,1.385330567,1.710580496,1.553840464,1.381022352,1.599162156,1.58287325,1.597003743,1.671654345,1.63318733
3.891231679,2.084725665,2.043033158,1.706951336,1.898746651,2.09061274,1.893173897,1.774503247,1.768303669,1.791264689,1.680223411,1.769362842,1.733872009,1.788905629,1.79066097
3.901169806,1.304376361,1.211422991,1.030857475,1.254784844,1.022800117,1.177032481,1.459795217,1.222992504,1.111993724,1.069369279,1.227633938,1.271855674,1.179395846,1.354762463
0.947125955,2.202296736,3.111742486,1.432498239,1.289521059,1.267548102,1.051427308,1.01213726,1.150752404,1.247603067,1.361081778,1.453983002,1.315520628,1.496678165,1.558091428
3.895288948,1.56606342,1.325368365,1.43190479,1.490599642,1.320994519,1.565091101,1.731876381,1.704346348,1.69863626,1.763156942,1.644298657,1.715070681,1.717035206,1.691322814
1.894012951,1.084023846,1.408231759,1.249105478,1.179689355,1.815470955,1.847169887,1.767768665,1.720036932,1.519660441,1.637791701,1.502320893,1.607352265,1.617536164,1.682712241
2.915009392,1.419981281,3.494500053,2.757074791,1.678775879,1.701074129,1.620738525,1.681182137,1.800143131,1.638860728,1.808934572,1.749057086,1.824472623,1.787167102,1.808509249
1.902083271,3.688307535,1.666216618,2.318085613,1.653370254,1.72723113,1.578302909,1.577911536,1.484568856,1.68636376,1.648731381,1.747103781,1.748983557,1.765169693,1.761761589
1.927103075,3.169504642,1.765869675,1.490884002,1.419857252,1.360366656,1.539940798,1.368122114,1.702896656,1.712244041,1.924878015,1.683249195,1.826816554,1.726145861,1.725432331
2.906925907,2.109542606,1.764250696,1.954926942,1.945658938,1.924189514,1.698526804,1.716045852,1.671106129,1.624020485,1.540080344,1.706018777,1.700440837,1.675912327,1.752897087
2.911812258,1.76466739,1.389196506,1.144734892,2.127934836,1.812558539,2.229774039,1.877104113,1.826458917,1.879155554,1.751719818,1.802150107,1.696239239,1.772550524,1.784748393
1.926344706,3.154856153,1.188050716,1.59809865,1.424364451,1.472566985,1.377454019,1.382357105,1.880244938,1.762773217,1.988734378,1.880189622,1.844907483,1.818681029,1.762728392
2.915511417,3.795227087,2.619715941,2.338399675,1.579457529,1.418583324,1.515483961,1.50651545,1.498221234,1.607511587,1.533620429,1.547058964,1.587110802,1.552850541,1.640112122
4.905312349,2.878270141,1.290575275,1.268245729,1.207216913,1.389781007,1.054726187,1.387855779,1.190058193,1.274696557,1.427890696,1.576954071,1.708570872,1.664589108,1.759916091
