V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
0.935753332,1.129115745,1.055553168,3.434620076,2.308586763,1.983051811,2.10173326,1.914202749,2.280888781,2.313671518,2.281590634,2.407954073,2.374837317,2.458692486,2.465264141
3.907310056,2.844430424,2.116701974,2.372306594,2.339932833,2.372900394,2.411986642,2.582123934,2.396306795,2.521958158,2.524172093,2.576433942,2.566249651,2.559512532,2.565767296
1.904017022,6.728511699,4.709259277,2.327484429,2.221103083,2.186211441,2.320414593,2.490180528,2.451919306,2.518670776,2.523172575,2.527455822,2.528564844,2.52724867,2.522588727
3.901515579,3.853595953,2.913043374,2.523305136,2.450955973,2.712435205,2.565375966,2.513830797,2.538318795,2.562320091,2.585372659,2.585785107,2.589139209,2.586960002,2.579526836
2.910317649,1.751809969,2.558146106,3.289224436,3.168191062,2.544752847,2.276005133,2.316184336,2.416959365,2.487106671,2.504264843,2.535104976,2.562904035,2.563054911,2.563437082
0.936479381,16.52215842,2.682891141,2.578417162,2.264284077,2.296777155,2.210466201,2.398572653,2.350627125,2.424310213,2.52359732,2.546841476,2.548791021,2.554639848,2.551513423
0.940975687,2.201785484,0.721976104,0.717605485,2.782446916,2.717801893,2.875775593,1.746204183,1.934902256,1.789419172,2.072102472,2.156620417,2.315110561,2.337939838,2.462695624
0.950221602,4.251517319,1.658985906,2.602653925,2.023351864,2.606615021,2.625856482,2.373613828,2.39222316,2.47174419,2.424113593,2.478550485,2.51552955,2.544246263,2.546786649
1.938679419,1.0902582,1.749995743,2.727075401,2.144022301,2.268253639,3.109196342,2.465080158,2.521067195,2.642992414,2.49727415,2.567283535,2.608502629,2.622621535,2.606301548
0.932738053,0,2.208716136,3.104672484,1.733445294,2.69823409,2.356715586,2.277321712,2.261720897,2.349323676,2.371602359,2.409985243,2.523280224,2.622369838,2.607093371
0.951869874,1.129115745,0.55262765,1.104026124,1.426234166,1.660675346,1.928331991,3.485821497,2.271729612,2.027131973,2.445792915,2.437955291,2.531983293,2.479614637,2.553808506
0.937016637,1.097603379,5.178200252,3.779915664,2.897854902,2.662779507,2.300379712,2.331941474,2.532033539,2.590078922,2.581733813,2.604530443,2.601976571,2.609865922,2.60371765
0.947281237,4.277415507,2.471982563,2.110147065,2.09470201,1.921726217,2.261124913,2.496936454,2.385215549,2.332226446,2.492807941,2.592250877,2.592012379,2.594233807,2.590656511
0.928367808,11.48763068,2.792069041,1.933710834,2.541359675,2.615121089,2.466819051,2.404816965,2.476491173,2.502171491,2.574429009,2.557648083,2.561407049,2.545656505,2.549323741
0.917926542,3.235385312,3.346892856,3.184651755,2.296074181,1.827768302,2.111643416,2.187897337,2.335895617,2.35700315,2.430762744,2.520489345,2.552746655,2.552696495,2.55388332
1.921394768,1.629360184,1.077556391,1.048978926,2.398370375,1.624443774,1.658386717,2.142282101,2.240368173,2.33422057,2.524345436,2.505051285,2.525670001,2.538729455,2.584662056
1.902866879,1.615750865,1.827920551,2.171186591,2.137431428,2.622021494,2.69320489,2.308404706,2.351210158,2.474506779,2.454970651,2.545857078,2.608058873,2.593505645,2.59641518
2.909881423,3.802421871,3.296331411,2.609009382,2.049240008,2.317789177,2.560505649,2.340491959,2.426109445,2.470512189,2.51696699,2.552461828,2.534990532,2.534767816,2.528018435
0.932052558,7.446235881,1.793715093,1.62373007,1.860172944,1.568846409,1.999338497,2.31420611,2.356127207,2.271295944,2.381827339,2.442348524,2.513158476,2.529714439,2.537184393
2.91599656,1.418355663,3.082714162,3.167549659,2.567126512,2.502347259,2.568242705,2.404128072,2.437890272,2.456873403,2.557725835,2.520310165,2.538610517,2.537921852,2.534788872
1.893844827,4.695986352,1.83854674,2.344697011,2.204203183,2.246003085,2.466534988,2.187843593,2.354394721,2.370947381,2.460867152,2.457875864,2.483679559,2.496753998,2.502419373
0.907560159,1.125040818,1.081558915,1.755030146,1.038811656,1.902002016,2.461060911,2.398650742,2.290364632,2.375430019,2.481259911,2.40973766,2.469237511,2.513880736,2.574558491
1.916031429,3.673513217,1.925414498,1.775631611,1.986261138,1.760785966,1.892962547,2.178491272,2.208323941,2.350385932,2.380336342,2.454419429,2.517745454,2.541053393,2.533915791
0.912643208,5.30362922,2.561111743,2.847307948,2.534086033,2.659136814,2.307762034,2.378621742,2.500985041,2.457698417,2.502911948,2.538707148,2.539171155,2.528548193,2.540542431
1.914431194,1.608348409,2.328441875,2.843913861,2.091692953,2.783981053,2.359276534,2.610488061,2.552781105,2.464987712,2.567693291,2.590764515,2.589560321,2.586268944,2.592629983
3.904275794,1.05394944,2.871358364,2.230111287,2.559898892,2.606886978,2.444285378,2.44438193,2.479298745,2.390630557,2.511090288,2.520105781,2.51104256,2.507927001,2.501259152
1.911750187,1.089685746,3.804115814,4.309732937,2.400357333,2.392075089,2.382872691,2.398771627,2.457936911,2.512737245,2.588136045,2.588372141,2.617152773,2.613092091,2.609594256
0.935367302,1.094513493,5.183818275,2.951964526,2.206970856,2.21188765,2.279935742,2.353932283,2.482139517,2.496486682,2.520320762,2.563623771,2.549012048,2.552245047,2.538817268
3.91285613,1.571508994,2.768739974,2.276862226,2.06687547,2.06689183,2.030183239,2.520659293,2.492690195,2.41612973,2.485664636,2.529452136,2.551542059,2.523916387,2.53765744
1.936804448,2.645445817,3.572293322,2.94369854,2.296642101,2.373209904,2.307578721,2.382809982,2.470970783,2.491987556,2.570925826,2.576640069,2.623002183,2.606817013,2.58998372
