V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
3.861859639,4.103444014,1.666560784,2.88670512,2.264449821,2.262167886,2.406067171,2.153737259,2.062464297,1.926690246,1.784260674,1.697739343,1.677752818,1.661635661,1.653795536
9.866986727,3.343697202,2.493129698,1.842967403,1.685107321,2.074369828,2.583108256,2.223743335,2.008147882,1.842917484,1.723329295,1.651353487,1.637724362,1.622069227,1.619202424
4.883934275,1.045062576,2.230071409,1.382262491,1.871598567,2.149781752,1.922434105,2.9491576,2.120439969,2.179582366,1.973778722,1.822776172,1.689458982,1.62683778,1.591274938
2.905578575,2.767430391,3.156520586,3.270182664,3.233853162,2.568510676,2.437416942,2.039101263,1.83770939,1.742018318,1.665264545,1.653244189,1.629851692,1.623970311,1.624342014
3.876863322,13.68049437,2.407828389,2.250244105,2.298313815,2.20491588,2.063665707,1.883040958,1.781841528,1.67082564,1.629251995,1.600884729,1.588631841,1.589739583,1.588896491
18.89656733,3.565439011,2.890164363,2.755489813,2.369166023,2.258893695,1.919712934,1.82342757,1.706746746,1.66714405,1.647497576,1.634674822,1.625001122,1.626915074,1.627041696
2.885648649,9.19718853,3.064353936,2.023159105,2.068254369,2.46987824,2.076412952,2.013703791,1.849382258,1.745726397,1.673933965,1.632113971,1.622703184,1.60793104,1.606727432
2.888928859,2.76486347,3.717139295,2.372926572,1.983299001,2.209622517,2.347370719,2.311840819,2.098614848,1.852662114,1.735866175,1.667773196,1.63651025,1.614531042,1.615803094
13.90791509,5.630534604,2.410262155,1.944610668,2.261413101,2.131028555,1.994567334,1.904644624,1.737926866,1.715408293,1.661627579,1.650167967,1.633189648,1.63454411,1.633312173
3.903340286,2.827759197,1.859059561,3.685110015,3.958835358,2.577192981,2.348968247,2.181814712,1.912202537,1.764456457,1.679921517,1.645497177,1.64643639,1.635865917,1.633222019
5.887401141,4.06680342,2.299908124,2.893076005,2.473300878,2.639715441,2.16014363,2.035679483,1.844167504,1.742820627,1.69779571,1.667571441,1.666006148,1.664104287,1.657055145
10.88422599,1.939698233,3.11905062,2.594750132,2.36795532,2.438787022,2.174083077,2.182436808,1.938423004,1.771349148,1.693533245,1.656704564,1.644419831,1.641125323,1.637210412
8.818967711,4.731367728,3.739860883,3.129770664,2.64622515,2.180276839,2.007242772,1.717510057,1.663216123,1.632066821,1.599004605,1.594170556,1.591983034,1.587522154,1.583769413
