V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
0.938748508,1.217702264,1.114434478,3.474185228,2.309466035,1.980871219,2.095849731,1.904374401,2.25306588,2.251416626,2.152761982,2.168548407,2.021761359,1.998375896,1.955443591
3.905805807,2.833739835,2.110903084,2.366481297,2.329125019,2.347467935,2.352581536,2.44038538,2.15640604,2.130985487,2.008166591,1.994170342,1.968381412,1.966598872,1.97167909
1.876690277,6.744336883,4.692023283,2.313210713,2.199439545,2.145571412,2.226894411,2.280109077,2.112745491,2.050422299,1.987167632,1.968629981,1.97012919,1.969946636,1.968424943
3.910038883,3.838542754,2.903645042,2.512280918,2.428562217,2.647497006,2.432375069,2.26900573,2.144400684,2.048229817,1.998687807,1.976715704,1.973050561,1.971954963,1.969252624
2.741938916,1.745152067,2.553181624,3.281276096,3.148515471,2.509120386,2.215212455,2.194800064,2.181776449,2.111928619,2.015212983,1.973933734,1.980572047,1.974091475,1.97475625
0.865393366,16.57355138,2.675338539,2.567590694,2.24513017,2.254274948,2.135017466,2.234692631,2.08253136,2.033000695,2.022788146,1.983739748,1.975392367,1.979154821,1.978575525
0.863561967,2.210066033,0.713111242,0.712699778,2.771016772,2.711166838,2.866926663,1.739024075,1.922355517,1.770082846,2.02953581,2.065295745,2.13464042,2.038150074,2.035154116
0.89027575,4.354118365,1.651725248,2.596191331,2.018175378,2.595125257,2.596535773,2.315661464,2.281844659,2.251892492,2.088322271,2.006029549,1.982005714,1.981631574,1.972193869
1.803077823,1.078743805,1.730394356,2.720197595,2.140138704,2.261270903,3.079635944,2.413404175,2.409269601,2.403786336,2.137797651,2.07039139,2.02600602,2.007701364,1.990886245
0.923280705,0,2.264996282,3.11665596,1.734478297,2.694745795,2.348393066,2.259371729,2.226161269,2.26594015,2.210932013,2.12696471,2.089214178,2.056504417,2.005548257
0.890685157,1.076494593,0.533622095,1.063808009,1.388765755,1.645886326,1.924378796,3.478787162,2.262062504,2.011743936,2.398583775,2.333768525,2.305135977,2.133175675,2.066580135
0.877062826,1.190681215,5.221057263,3.775522608,2.88619043,2.635050683,2.250195315,2.232580559,2.317123751,2.207016622,2.057430973,2.01131539,1.98550206,1.987517387,1.988469374
0.942861453,4.278380708,2.461918154,2.107718823,2.089475074,1.915103989,2.243577977,2.450046714,2.289260293,2.155330427,2.167956955,2.106423113,2.006745687,1.97123893,1.971353188
0.914502286,11.62254268,2.784653019,1.928006555,2.526485948,2.575299594,2.384644644,2.24996644,2.204265948,2.09182328,2.04534839,1.979086577,1.9696843,1.955696985,1.95849015
0.878196896,3.165911166,3.330564573,3.1766558,2.286865168,1.817413034,2.090336873,2.137070858,2.22209186,2.151990836,2.100634586,2.047882303,2.005878983,1.979180978,1.976685332
1.847397423,1.600416214,1.042925672,1.041492905,2.396161924,1.624404269,1.65680465,2.137751864,2.227359508,2.302834818,2.4418008,2.335452431,2.214215061,2.086521193,2.023856194
1.861819768,1.592629136,1.820003163,2.170141742,2.133632186,2.612012792,2.667532322,2.26528688,2.255550224,2.271616634,2.127740859,2.075049265,2.031055392,1.986281604,1.97971089
2.793738132,3.784157623,3.288088898,2.598160832,2.035194736,2.284491703,2.469669047,2.176904502,2.151670268,2.060665919,2.007025727,1.983226036,1.961336421,1.963230727,1.957291151
0.93560426,7.328380876,1.799801311,1.623341264,1.857877562,1.565896984,1.992191939,2.291329359,2.302474758,2.165188527,2.183587258,2.101756366,2.042776893,1.976061695,1.960046851
