V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
1.931446897,1.082476174,4.205610635,2.105752387,1.7652498,1.753963896,1.514011016,1.73589727,1.624800172,1.806125534,1.664598098,1.641030135,1.663606072,1.597743986,1.596947659
4.879065471,2.269693021,2.532989676,2.017274372,1.905969836,1.746177641,1.759038113,1.74019239,1.754544522,1.772433279,1.708256845,1.717012134,1.680280269,1.644881478,1.645258909
4.878794733,1.03985325,1.20575315,2.168214437,1.574085519,2.121368329,1.691834694,1.616763537,1.657739718,1.572327677,1.678472006,1.648147409,1.635019989,1.600431097,1.619229356
1.858039096,1.081348327,1.422763018,1.654325079,1.587040916,1.95777121,1.848924251,1.566181027,1.663667557,1.791752417,1.923088519,1.814557308,1.751547181,1.662091724,1.654412395
1.873127873,1.074563842,0.713295009,1.412744535,1.453928812,2.048135998,2.203946437,1.513765857,1.530259901,1.303821509,1.30622284,1.394287754,1.301746179,1.352471833,1.293212304
2.905322639,1.402988859,1.046430265,1.20510662,1.282481704,1.38895092,1.141713414,1.756976742,1.809031086,2.116002876,1.872712433,1.78433539,1.603390002,1.651339695,1.598623295
0.913319155,1.121644228,1.090633952,4.812723419,1.691304197,1.205874674,1.262082739,1.107346015,1.271308813,1.247138657,1.335082041,1.243087524,1.379833237,1.4696073,1.601081922
0.879579559,1.079459003,1.054147657,1.384600622,3.269625596,2.732850791,1.931133185,1.92158046,1.587266345,1.546162753,1.60524578,1.640293413,1.62843818,1.651173562,1.63591127
4.862099227,1.447612365,3.055430329,1.616921284,1.721955761,1.719991259,1.667528296,1.708777482,1.770553524,1.786531144,1.668577093,1.682785879,1.625601496,1.609738876,1.613350772
2.889790768,2.080156571,3.050590497,2.66026169,2.688925684,1.957427141,1.842491994,1.660943282,1.735860678,1.654052327,1.628305384,1.590442798,1.561383351,1.56649721,1.562367965
4.893896006,2.873953615,1.822964485,1.801312324,1.977241517,1.892472144,1.756969808,1.589671551,1.60746589,1.539548479,1.546988458,1.527174466,1.528633182,1.525643355,1.542065724
2.875654532,2.083389622,1.31817595,1.425967724,1.351149438,1.635015474,1.382467534,1.706771489,1.549572569,1.376368675,1.590502233,1.569507622,1.575651684,1.636905302,1.584105988
3.902647015,2.067802205,2.039985031,1.702892072,1.89466035,2.082667453,1.881183483,1.755247887,1.738548032,1.742161671,1.616709007,1.676003111,1.615342105,1.644232068,1.62540057
3.913125602,1.308598209,1.206057428,1.02650683,1.250501995,1.018454855,1.173914737,1.455752752,1.220837042,1.11026177,1.068094658,1.226015075,1.270277136,1.177984326,1.352994993
0.934126455,2.167232483,3.106548127,1.428997453,1.285449089,1.26465109,1.049229544,1.010089179,1.148894448,1.245824518,1.359231145,1.45163414,1.313169719,1.492973,1.550872922
3.884266246,1.580472317,1.325397779,1.43138201,1.488856643,1.318887348,1.561809638,1.727854126,1.698486149,1.689358012,1.746383733,1.620597771,1.674692881,1.658719361,1.610706693
1.858163536,1.083380358,1.431914277,1.247072517,1.176249325,1.812369774,1.845724781,1.765012637,1.715840501,1.5149627,1.629435078,1.491554185,1.589653663,1.591289744,1.641381969
2.906931431,1.414695138,3.481374691,2.750028589,1.674260763,1.69520013,1.612398654,1.666796436,1.773905293,1.602620075,1.746462178,1.662947694,1.701260085,1.635894437,1.635772477
1.926866144,3.654875127,1.65847419,2.312404279,1.64980457,1.722894935,1.573452811,1.570444368,1.473881696,1.668136606,1.61922864,1.698924567,1.677131248,1.664774023,1.628699615
1.891674537,3.159634681,1.753982449,1.483877011,1.415407451,1.356706909,1.536730588,1.365179962,1.697688346,1.702895253,1.902639145,1.652067996,1.777043352,1.657478422,1.63095228
2.869430592,2.087325214,1.753586016,1.949554939,1.939924182,1.917813715,1.690989622,1.704152167,1.653462453,1.598736036,1.508611021,1.655665966,1.625522563,1.581019391,1.630216215
2.88997762,1.752529895,1.376326484,1.13823824,2.125179674,1.809041763,2.223257797,1.867610086,1.811851694,1.852161554,1.712906835,1.739098457,1.618172191,1.663168154,1.649885031
1.928636641,3.177736825,1.179869634,1.5917596,1.419866163,1.470026239,1.375304781,1.380184793,1.875114872,1.754180329,1.968786449,1.845023099,1.790265641,1.737649462,1.654625823
2.813751736,3.787430939,2.617593799,2.332445439,1.574591741,1.413320519,1.508545373,1.496189202,1.483510111,1.583251786,1.499975951,1.503390814,1.528790043,1.479955453,1.552074083
4.823440323,2.864344209,1.284176032,1.26464785,1.203988444,1.386478966,1.052478719,1.385269641,1.187918576,1.27239491,1.424664865,1.570263931,1.694951792,1.643243744,1.722504652
1.782107544,3.163920371,1.464154997,1.202894493,1.520811664,1.37736912,1.301080872,1.42526676,1.400221615,1.360449551,1.295355418,1.524966717,1.686707776,1.598577608,1.625202409
1.931412601,5.714808253,1.608452416,1.567956825,1.764928191,1.786762154,1.694058233,1.599389912,1.647253765,1.464160718,1.530841091,1.543097699,1.543541404,1.529734949,1.578253474
2.905872068,3.133736679,2.036396283,1.685088571,1.736647355,1.729015585,1.893584287,1.708978618,1.782002341,1.703870327,1.690910712,1.633934926,1.642594557,1.60023126,1.61629021
4.875879434,1.656036592,1.587645261,1.553520663,1.515228378,1.798010194,1.429481523,1.546028052,1.525583648,1.650733674,1.464520828,1.618469685,1.662208146,1.610246755,1.620347034
1.881069225,4.18730587,1.362476606,1.329027008,1.46202065,1.308428555,1.651817852,2.067795801,1.755280674,1.837438668,1.672415761,1.640722554,1.663157612,1.583190483,1.626430125
2.856066814,5.466801482,2.499533883,2.252384879,1.992205581,1.766531549,1.793824325,1.744383678,1.716480068,1.582017903,1.611229256,1.54218782,1.595796323,1.59578872,1.591050164
2.90391005,2.097360747,2.335327888,1.429442726,1.453927581,1.308119026,1.665747644,1.747730811,1.793888631,1.669317488,1.682561133,1.738966866,1.621715341,1.612487399,1.610026556
0.935921691,7.345460971,1.919379678,1.583268629,1.630573442,1.734771611,1.722193556,1.529268594,1.602539075,1.445832398,1.47062173,1.599643207,1.568054674,1.636108309,1.626297077
3.85700287,1.562586845,2.044762135,1.622730557,1.696123983,1.711180804,1.471944232,1.4178701,1.433107667,1.560753279,1.419044212,1.660763387,1.548312634,1.598647863,1.550088496
2.869768995,3.44543054,1.666771064,1.968495151,1.937185523,1.827874709,1.832279554,1.731799978,1.524618218,1.517134084,1.554673142,1.568365519,1.567463403,1.565926976,1.562519337
2.89544033,2.090403951,1.755768246,1.87126709,1.453842872,1.389307376,1.647099829,1.784588037,1.810421302,1.859640881,1.904842221,1.675942604,1.667800853,1.64212614,1.625324389
3.904997375,2.845892718,1.947521939,1.51695218,1.580880284,1.657750435,1.525328274,1.413450951,1.40449997,1.468998535,1.457254764,1.451832302,1.520879263,1.515704058,1.570580522
8.856818417,2.929199272,2.017476857,1.576356342,1.67112945,1.705275833,1.650231432,1.699591782,1.729241132,1.592556753,1.60724311,1.574300104,1.579451567,1.549534178,1.543865625
1.882093744,2.128401403,2.260486772,2.531595527,2.407366506,2.101701136,1.864258692,1.740505787,1.636153639,1.63951137,1.608150102,1.600035615,1.590965486,1.563653744,1.560609783
1.901313076,6.790105207,2.744655852,2.249774314,1.733167767,1.986027907,1.899683336,1.738463039,1.826148199,1.732809247,1.651875262,1.610311068,1.607739368,1.606690018,1.599146452
5.865174045,2.55646389,1.582843945,1.397775112,1.688952016,1.664431573,1.59736419,1.536028219,1.591165649,1.502474369,1.57359951,1.52293086,1.572516103,1.576923204,1.624152439
5.88801742,2.721964048,1.488112045,1.320061951,1.583999264,1.457550936,1.512976321,1.737833917,1.708664177,1.653809905,1.593700793,1.668205762,1.605084238,1.595120886,1.598504082
1.938694146,2.119164641,3.271566581,2.496107522,1.711505925,1.759288364,1.564490548,1.503975078,1.46569616,1.521735765,1.507017564,1.568097977,1.572795266,1.627436319,1.626719312
2.907258606,1.735934316,2.048600105,2.570527294,2.640199914,2.226480948,1.902985191,1.697503981,1.67094961,1.6749818,1.612512773,1.609679287,1.566087085,1.551834752,1.522412253
1.763173218,3.160586516,1.322900027,2.539111352,1.514383542,1.839677005,1.526691278,1.538143559,1.483035124,1.705289321,1.61437946,1.688254045,1.630818404,1.620121181,1.566763638
3.913097782,1.576003571,2.4846617,2.412970175,1.970868024,2.010132442,1.764627425,1.732087602,1.628116058,1.66724178,1.689428489,1.60068831,1.553462031,1.582403372,1.566847976
6.859958696,2.622975051,1.279403347,1.252249442,1.166345745,1.326226499,1.145783708,1.417240432,1.633412319,1.521065573,1.49708946,1.480466743,1.550929226,1.548231845,1.57286804
2.918866658,1.400063534,1.238769878,1.315914993,1.526119736,1.202752122,1.313636306,1.307695283,1.567386626,1.449373388,1.653158461,1.617997626,1.530781392,1.765782666,1.769666981
1.934923117,1.075660021,1.070770756,1.824827722,2.424002942,2.375772056,1.807876474,1.800583928,1.757868499,1.716883521,1.708196627,1.672509695,1.590033992,1.632491102,1.58729045
6.869085529,2.18804892,1.832169604,1.68014298,1.659980363,1.471928266,1.724266798,1.694479584,1.584862311,1.555798619,1.573144715,1.638982795,1.636179259,1.640563182,1.616661713
2.923665249,4.452097249,2.314561853,1.772522934,1.846088284,1.585519188,1.58687007,1.501547967,1.634658984,1.580352413,1.589953026,1.531646767,1.533904693,1.54542438,1.589297374
0.937768541,4.305554162,1.85633569,1.325336737,1.521343745,1.423316733,1.323632796,1.640215602,1.790142851,1.697521274,1.641011285,1.565144062,1.511000407,1.589310386,1.584132044
