V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
1.847015369,0.948932263,2.326944318,1.791446166,1.522635832,2.417163353,1.400907568,1.918786071,2.838438887,3.529235039,0.741018359,2.366680429,2.151476257,1.942701624,3.495903791
2.624201637,2.961646872,2.197334584,1.920552069,0.936258163,1.631597662,2.771697368,3.885606312,1.423455655,2.394922963,1.291734821,2.998476996,2.419777051,2.388013692,1.918274135
3.947788997,2.884544451,3.245819248,3.171413681,1.681128266,2.228133146,2.272224855,3.4356566,2.034432745,1.639289271,1.262679889,3.000634106,1.711542349,2.801145815,3.112895797
2.413733343,2.770447685,1.54006355,3.632601219,2.563072424,2.467620436,0.898946711,12.40086471,2.425064767,4.586269423,2.489753622,3.254722846,1.882975408,1.443789494,2.434284529
1.13747697,2.602490748,1.854436451,3.89519389,1.869605581,1.60271527,1.294007819,2.694492743,1.958686491,4.370585612,1.894059995,2.006882131,3.004905805,1.840037674,2.258181677
2.161667098,3.1096107,5.122380417,2.68755366,1.762998874,2.833469112,3.333883034,1.795451029,2.647575075,1.498114117,2.691496408,1.7686902,1.357692041,2.654226405,3.19401021
1.91342275,2.9422726,0.999878623,1.416899746,2.538234241,2.192781946,1.355650596,3.230517899,1.964488632,2.770427959,3.466601339,4.994264203,3.149392868,4.593874308,2.385261807
0.790272144,3.773419759,3.287853706,1.861350695,2.03177786,4.275401884,1.079538813,3.361913594,5.510885561,1.030523199,3.492029514,1.300070718,2.383097623,2.927594013,2.622257015
1.70201978,1.582906286,2.593985725,2.034196329,4.408926003,3.48048436,2.939374788,3.660670103,2.903919567,2.123603129,2.652461405,2.732208832,2.545967247,1.875705825,1.25121294
3.543006299,2.069784712,3.224194816,3.215765646,2.117785151,2.417279335,2.687474298,4.242334648,6.977562543,2.475541172,16.04684292,4.958749476,2.058910431,2.977961591,2.163554112
3.236849211,4.381649643,3.36384981,2.652656406,3.092205633,3.701817617,2.099096929,2.839471566,2.882692467,1.596226561,1.010022647,2.444708359,1.263964004,4.451998428,1.784073106
