V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15,,,,,,
1.494615133,1.456473341,0.784977033,1.459992532,3.645617366,4.482089639,1.452770645,1.97740067,2.753964104,2.328904666,2.353874324,1.89624862,2.333841928,1.357758996,0.995453374,,,,,,
2.361396338,1.967803645,2.172356537,1.905673994,1.620264679,3.219324812,1.606476242,2.769280551,1.424713329,3.131755204,1.00722206,2.037569797,1.099298684,3.113147147,1.575469411,,,,,,
1.165033493,3.11835399,1.897758347,1.139094496,2.363469751,2.524625573,1.64873824,1.990758039,1.604610195,2.602817845,0.952483913,1.19457927,3.58982073,0.630609977,1.105692182,,,,,,
2.292299061,2.021583463,0.812391149,1.865436242,1.950553327,1.364805934,2.477423714,1.060339976,2.741336194,2.141262936,1.126076485,2.639925437,1.184248395,2.420749571,0.70384963,,,,,,
2.080917134,1.044536558,0.902620444,0.751913728,2.119321041,1.758739345,1.144451318,0.990829248,1.839204699,2.164936697,2.18009154,1.460368105,1.197203662,1.033740872,1.008835722,,,,,,
2.179010144,1.877061189,1.656935192,1.349862466,3.920853973,3.606486202,1.171381333,2.03467638,2.444423733,0.854860007,0.993383247,4.125052466,1.570784055,1.901864319,1.963361847,,,,,,
3.60081606,1.818699966,1.007776875,2.113445015,2.727239864,1.870295803,1.746096297,0.572349369,3.240856073,0.479723879,3.149132721,1.870215645,2.691862435,1.939696966,1.969005385,,,,,,
1.591029777,2.33228564,2.399487793,1.486748509,1.234494557,1.938525568,2.437367999,1.713322067,1.291749874,1.676717122,3.822461569,1.040528592,0.990485762,0.58911894,1.990742691,,,,,,
1.256877712,2.205629832,1.635098733,2.020819448,2.457706333,1.606766109,3.392993211,2.13016535,2.467696872,1.301411481,4.514229861,1.329245025,2.382577241,2.492405889,1.0967118,,,,,,
2.651023146,0.551393082,1.120492273,1.873981575,1.788975651,3.300389864,1.012579761,1.747124157,1.364088107,1.805597586,1.56853327,2.281297304,4.944067404,8.737391502,1.37198419,,,,,,
0.738428961,0.995181551,1.840552448,1.697689217,1.644944411,1.905407574,3.054861417,4.29167017,1.21239395,2.23681814,1.181461612,3.169909613,2.59141785,1.116783398,1.573647024,,,,,,
0.742020013,1.521424201,1.993992026,1.726616424,1.574127031,1.160567281,4.053336356,2.137183504,1.627382576,2.125641501,1.315446474,1.00157668,1.873004472,2.295650373,1.594156204,,,,,,
0.74832947,2.752615085,0.554063046,0.590010891,1.633804594,1.58716682,1.616935366,0.836230185,1.575722073,1.483874409,1.587664289,1.744651787,0.995838607,1.145926565,1.46886637,,,,,,
2.071202074,1.405038102,2.934493755,3.392229095,5.027212508,1.289577378,1.77723974,1.815726453,1.108759239,1.177371736,0.92711273,1.200785409,1.933676228,1.798536969,1.040513931,,,,,,
1.377629895,2.836137481,2.425258069,0.868518759,0.993787959,0.909764512,1.909101655,1.449639032,1.445663193,3.974189239,1.34655898,1.279841043,0.885465763,1.751484458,1.929378099,,,,,,
1.730738522,2.015414848,1.444641743,2.274706407,1.349961385,1.608184157,1.576709604,2.223119493,0.62879505,1.403963521,1.492433848,2.45215526,1.049022089,0.849703573,0.855430495,,,,,,
1.569812687,1.746555591,1.120052085,3.883282964,2.86188341,2.134386361,1.620174418,1.24341612,3.168314334,1.440561137,1.67514124,1.458772929,4.766617898,1.626500766,4.270696779,,,,,,
1.311305585,1.909596954,3.527912252,3.894103037,7.16669489,0.806833376,0.879645169,1.119833978,2.470787119,1.26771628,1.099069298,1.363611944,3.680860559,2.20262212,1.039418709,,,,,,
2.845422071,1.95897869,2.120415065,2.044149219,1.142712342,2.531687068,0.815938043,2.912372703,2.0035065,3.19115145,1.041999269,1.848493369,1.248924545,1.098152871,3.853812359,,,,,,
1.639118166,1.345497726,0.75694916,1.077522116,1.017341928,0.723619889,2.324926328,1.807996572,1.51169582,2.105146648,1.283291023,3.108967749,2.287263002,1.870724974,1.827617851,,,,,,
1.151070921,3.792009968,1.209939486,1.885038132,3.520610714,2.86324067,2.070352596,1.440563202,3.539935178,1.762375175,2.957732276,1.782399078,1.019764583,1.477807057,1.656926414,,,,,,
1.209955483,1.596594181,1.442373752,0.976080638,1.93713133,3.669227121,1.623626573,2.357677714,1.921011771,1.427510715,2.293494693,0.968292105,1.081604302,1.897317453,2.10719649,,,,,,
1.10591647,1.782572653,1.474192533,1.357363176,1.912016427,0.957019423,0.772939631,1.971510218,2.650978878,2.413049976,2.192761994,3.168813367,1.776032604,1.683506299,1.830387556,,,,,,
5.178992054,1.6330118,1.266121179,1.893869426,4.27682457,1.321626742,0.974682086,3.105898068,3.273358131,2.015319689,1.618116768,1.214196137,0.947863767,3.111285043,1.645699031,,,,,,
1.090724067,1.402831928,2.626526501,0.621155522,3.016342669,2.60958972,4.163488597,1.724184359,2.437699004,2.319448315,1.907927442,4.323924872,1.016116949,2.579556822,0.559695476,,,,,,
1.549247187,2.62336349,2.238758851,4.483476128,3.148911599,1.348958491,1.353199033,1.263434406,1.624871074,1.24221326,1.863774902,3.393594207,0.984519704,1.277996453,2.705933528,,,,,,
2.702585517,1.071646502,1.247295975,1.422190439,1.030036719,3.380648316,1.056332386,2.165889089,1.566812655,1.778629919,3.129810042,1.716474627,1.31965722,1.570568966,1.198742979,,,,,,
7.229104276,2.792122895,2.5432873,1.628308923,1.632297857,2.37312001,1.788181639,0.887578452,2.49508113,2.542817598,2.043910765,4.752973338,2.202284575,0.780871831,3.44704497,,,,,,
0.410056569,1.54023278,1.944695808,2.801239883,0.826631207,0.863284362,1.5044038,1.103901365,2.23955336,2.093714328,3.075579802,0.988043313,1.45279464,1.687088853,2.463181037,,,,,,
1.930316496,0.590049551,0.590329939,1.474293325,1.669790339,2.106225503,1.594092884,3.147009102,3.138093068,1.243178212,1.962394905,0.832010945,1.357772089,1.168415348,2.433714879,,,,,,
2.367201355,2.612266054,1.682354693,1.703409259,3.042502396,1.909821062,1.747094292,1.3431024,2.057893488,0.896823202,3.5012372,1.875795164,1.969340904,0.666254533,1.266036279,,,,,,
1.371324008,0.650650877,1.802152267,1.47203503,0.87975797,1.224914293,2.840030133,0.914225734,3.645226247,1.374891001,0.941993841,2.07372373,1.522795074,3.023069917,2.22881227,,,,,,
1.24109674,1.467980899,1.48351403,1.405948818,0.938784937,1.402585966,1.797309622,0.912571809,2.520152173,3.279839388,2.236469202,2.543605441,2.177019992,2.056009101,1.310880916,,,,,,
2.60265379,2.339937713,0.925568816,1.099300069,1.649414453,1.294325256,1.890466811,1.740065517,2.581707196,1.608702311,1.998592632,2.788996659,1.278909953,0.932379402,3.515147628,,,,,,
1.680534238,2.812410292,0.949929985,1.465947607,1.420890444,1.918830216,0.864704034,1.996929424,1.70012936,2.156963299,2.903155007,1.418690056,2.964275842,0.634676307,1.976244471,,,,,,
1.161663438,1.288068776,1.422963503,1.325567298,1.182309499,3.003283781,1.411346335,1.737719534,1.781330344,0.581740603,2.335324348,2.061491812,2.195438364,2.470916769,1.580397518,,,,,,
1.394303864,0.986807267,0.739362034,2.160836636,1.310450657,2.885234391,1.193897666,3.057673927,2.226724929,1.198069686,0.66179699,1.206299913,1.283511578,1.795959106,1.544315289,,,,,,
2.974345639,1.95222519,5.305177698,2.137342121,2.416920262,2.256034774,0.770792628,1.968319849,2.298949648,1.973413596,1.365566326,1.842190299,0.839634451,2.327840143,3.058929202,,,,,,
2.589075119,1.938281795,0.697840693,1.109021546,1.671732899,1.152065518,2.868889926,1.407949024,3.387555908,1.367173044,2.46725313,1.299638023,0.919690257,1.601576004,1.003038316,,,,,,
1.471438792,0.595085445,0.468364984,1.644628143,2.46020868,1.209410237,1.780120448,1.874670448,1.265171282,0.865588757,1.910904889,0.997302806,0.95939634,0.831140501,1.491020156,,,,,,
4.537113692,3.590246365,0.968658041,1.007778742,1.31052733,3.025617466,1.554657405,0.940947911,2.663895175,2.026054169,1.320171202,1.350730221,2.469691423,1.564881416,1.020373511,,,,,,
1.499141556,1.371081955,1.62612707,1.502646132,1.13827698,2.301526993,1.124693716,1.068234313,1.294545569,1.507751142,2.267868486,0.843532618,2.338656585,2.094405346,2.766143205,,,,,,
1.371652885,0.997764454,1.877555685,1.707774549,0.468629497,1.910580193,1.965652123,1.364401941,0.411097864,1.079413503,0.706953538,3.757517014,1.103490083,1.18641768,3.269488261,,,,,,
1.09961562,1.191911976,2.097717999,1.890982468,1.858245023,2.623526863,2.170000111,0.987990036,1.213794529,1.367191093,1.60430923,1.347178821,2.911440392,1.573230593,3.092226811,,,,,,
1.397244724,1.56279848,3.98736876,5.016948113,1.450856806,1.880571491,0.911803141,1.230743116,1.61774624,1.895996827,2.084555534,1.323004226,1.555950017,1.728761551,2.113842005,,,,,,
1.18368711,1.086470456,1.703289054,1.486854551,1.983647696,1.740949141,1.520146832,1.459929521,1.476913371,1.539714921,1.603260166,2.575479629,1.951845005,2.047992916,1.747936783,,,,,,
2.64075909,0.927486,1.272245683,1.820433101,0.974993739,1.497579712,1.153887601,1.308367808,1.38928022,1.325533943,1.466868593,3.909609047,1.026424195,1.410714689,1.333425779,,,,,,
1.853193578,2.093066036,0.680917711,1.22958661,1.359480515,2.268546981,2.409102712,1.643730607,1.846419412,1.481152247,1.611998134,2.181966469,2.811269398,0.970452591,1.378567093,,,,,,
1.797766296,1.837532529,2.069047861,0.980624414,1.603068777,1.849933136,0.984183482,1.23768097,0.694305881,0.660259585,1.122775988,1.197204147,4.044376454,1.903072065,1.149662122,,,,,,
1.18067868,1.278184893,2.512753048,1.36246627,1.468130297,2.334013018,1.450766081,0.957884498,1.351152095,0.822802643,1.462962722,4.743771365,1.924441626,2.25225832,1.45841454,,,,,,
1.823580161,2.120885701,1.364835469,0.77066836,2.54728478,0.661589225,0.687249233,2.504970898,0.818539719,2.027384303,2.597426778,2.939633197,2.322865397,1.187974709,0.952611626,,,,,,
1.668668352,3.337385189,1.485543086,1.613898908,0.663886892,1.790423169,0.59481742,2.678839381,1.206912545,2.594213874,2.066190339,1.278936291,3.230119581,2.157482555,0.546794926,,,,,,
1.328701665,2.571791413,2.847882813,1.031027795,1.71480493,3.32777654,3.105620672,2.872377226,2.637468169,1.456339759,2.632957657,2.173564092,1.197405008,2.428718596,3.225847803,,,,,,
0.615814213,2.887603414,2.943949046,0.453517481,1.557411018,2.060584022,1.381830451,1.692091373,1.615442523,0.7404465,1.831156384,5.003742616,2.862324093,1.367779944,1.7299254,,,,,,
1.880052265,1.463480384,1.752957961,0.952475478,1.770992093,1.619651343,1.332070701,1.169732938,2.412029701,1.263918004,1.098570114,1.183450434,1.160079427,2.442046044,1.768602238,,,,,,
2.041922713,1.631468677,2.973327435,1.003533717,1.839309614,3.329362576,1.707455898,0.657058769,2.207202236,1.13651475,1.891085322,1.44558681,3.337525149,1.031180526,1.406352884,,,,,,
1.375119935,1.06566143,1.083756348,2.044738663,4.245047123,1.5200976,1.558670442,1.302799589,1.071319234,1.201329998,1.93142228,1.713121582,2.402595932,1.053078649,3.396138558,,,,,,
1.248343817,1.066091451,1.964366377,2.438723822,1.575683196,1.031843985,1.704167602,1.278486973,1.464464549,3.596261056,1.031519188,0.859916842,2.65356394,2.563639193,1.262346549,,,,,,
3.68427989,2.748467526,1.096217229,1.838090562,0.920633114,1.376089679,2.5664371,0.996436191,0.771525275,1.56658681,2.425229134,1.999406001,1.242961225,0.799255228,2.289414248,,,,,,
0.678457488,1.596050429,2.493470594,2.557836653,1.416485016,1.276155254,1.456269104,3.165090881,1.193135191,3.30676052,3.185357221,1.04570795,1.722181718,1.884905251,1.901847343,,,,,,
1.555402917,1.666268738,1.43561527,3.600940131,1.39681035,3.713586408,0.822643213,1.057222322,4.607336243,2.294718434,2.038875753,2.708742476,0.731286975,1.076101975,1.686511158,,,,,,
2.067907627,1.322276162,3.508772007,1.667728321,1.281317235,2.623851904,2.738576995,2.172192413,3.72624356,1.966458982,1.281251703,1.316470875,1.650002688,1.395104718,1.171834869,,,,,,
3.4206106,1.285868043,1.120556508,0.71971328,1.159282134,1.18758633,0.837281241,2.390118886,1.425570751,1.133044178,1.046088563,1.660170907,0.93896646,2.982912061,0.964100973,,,,,,
0.931903589,1.706551455,0.840677045,0.445529852,2.16851883,1.29621839,1.366175031,1.918777725,3.6118732,2.040760391,2.801618308,1.022425512,0.590295344,2.77906165,0.950740852,,,,,,
1.158153332,1.820231396,2.493917854,1.374595159,1.797789607,3.922385074,2.058326217,1.725389342,3.861682265,3.440521927,1.675116424,0.985627265,1.539709043,1.734814783,1.041131003,,,,,,
2.035063266,1.658771658,1.539566508,1.787488881,1.101283081,1.292702259,1.222761642,1.552790334,1.597003178,1.057998911,1.493990923,2.310238555,1.563210557,2.061122284,4.104436258,,,,,,
1.152079922,2.690933615,1.444187005,0.522093147,1.34891615,1.115975482,1.16559194,2.436168721,2.393752753,1.559143443,2.742924055,0.850909109,3.510688494,1.359631634,2.993315026,,,,,,
2.125795175,2.539964522,1.044413142,0.956458668,1.063201903,2.298754821,3.063392291,1.826453248,1.839206789,3.7803941,1.838591046,3.736511835,1.456529302,1.66823375,0.725768752,,,,,,
1.682999141,1.763249772,1.830508356,1.257600515,1.343245855,1.889818228,2.06215496,3.131609117,1.078844297,2.161402767,1.840617524,1.183655881,1.832781708,1.592189346,0.314194622,,,,,,
2.031600391,4.233248805,1.529754679,2.066228459,1.14074948,2.095486907,1.706022262,3.003736606,1.437528417,1.164925767,1.067952294,1.725233117,1.444933434,3.43966722,1.690974912,,,,,,
2.235250509,1.375658712,2.23175574,4.323066309,1.037450868,1.575199256,2.168162403,1.877021427,2.830065069,2.114212395,1.344600409,0.553203234,1.020589828,2.282098628,0.649219105,,,,,,
2.163783073,1.688593796,1.091696736,0.951134687,1.464597333,1.659100948,2.3318193,2.019249482,1.393535335,2.360418533,0.832726714,1.895966456,1.773895789,1.274767089,1.968629075,,,,,,
1.762108236,1.569286281,2.437573729,1.938232734,1.829658492,0.712400648,2.46525924,2.673388986,2.236778952,1.243826186,2.03704166,2.254507131,0.737563689,1.371865074,1.766852906,,,,,,
2.120967392,1.532140931,2.029192258,2.533173666,1.586658648,1.114665189,3.003130282,3.000119525,1.794839604,1.742949578,2.117698347,2.333877374,1.805036336,4.145680807,3.302327936,,,,,,
3.400152591,2.156283018,1.711353096,1.202580745,2.258374777,1.01012776,3.319757531,1.928536901,1.921020207,1.349927821,0.656335572,1.436565369,3.246657714,2.618890215,1.78995634,,,,,,
2.085655043,2.685407765,1.288087706,0.941612649,0.857872084,5.06670042,1.535080821,2.400725643,1.860733466,0.382785371,3.409942287,1.849125908,0.999087371,1.11477833,1.460068118,,,,,,
0.533600333,2.528222905,2.876691237,1.204668557,1.435525664,0.816414933,2.714132812,1.650448438,1.832271879,1.386478614,1.748246402,1.374892456,1.3623515,2.779931333,2.104853377,,,,,,
1.841323072,1.694182709,1.481828325,2.110556069,1.821410501,2.828861024,1.146456221,1.427438648,0.955647312,1.972568587,1.173974886,2.177694771,1.258974181,1.433335751,1.230821234,,,,,,
0.89288553,0.737670265,1.871631268,1.337899749,0.82007581,1.498292958,1.427517373,1.238396604,2.083660157,1.744390561,2.162555091,1.094009341,1.969282923,1.368930636,2.653669875,,,,,,
2.76559966,1.496052644,2.683898646,1.171758097,1.967885478,1.459285079,2.480988972,2.422414767,1.346140678,3.310203248,1.885877971,1.99455904,1.873372993,1.243522156,2.500947584,,,,,,
5.078699767,1.432233726,2.815397973,1.645445473,1.787075155,1.894913389,2.944368071,1.486373789,2.068323096,0.973464696,4.11755465,1.33617146,1.887297506,1.274699184,1.894322659,,,,,,
