V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
13.26042562,24.70768578,18.20681908,17.51215474,13.41951251,12.50138725,12.22009159,12.14775526,12.69506053,12.65929522,12.36309137,12.09223099,11.53631303,11.1415098,10.77232645
15.81199522,16.7881945,13.63960693,13.28351368,12.8161973,12.93615106,13.0015516,12.99507845,12.1928532,11.75596308,11.17951647,10.8486816,10.58278334,10.45855523,10.41172494
18.32601763,23.97468272,16.40601637,12.66061711,12.63118945,12.59780284,12.5267782,12.3923962,11.78366152,11.29965055,10.86193274,10.62341408,10.49714209,10.41864388,10.38128244
19.03860456,17.24212185,14.20305159,13.13349234,12.99142656,13.24544908,12.81152272,12.29050818,11.74378788,11.20995946,10.81880187,10.58504559,10.4637036,10.39642624,10.3701772
13.55477562,17.28521072,14.94160425,14.12398531,13.68250192,13.05519182,12.6842453,12.4937073,12.22067481,11.74184741,11.18731009,10.81604698,10.61940038,10.48162798,10.4237536
14.12484007,44.92146466,13.54324462,12.99032409,12.74016047,12.73597445,12.42551599,12.48138675,11.92185568,11.45284675,11.06936827,10.72919083,10.54179557,10.45219429,10.40489103
14.89725164,24.7978041,11.08253733,11.07767899,11.72864087,12.28773008,12.83364199,11.10690272,11.94608186,11.82720834,12.30267517,12.3014823,12.19882011,11.69528286,11.32331963
11.55516763,25.65582068,12.79280281,13.64661335,12.34492358,13.19234535,13.2381978,12.80945103,12.63387594,12.34064394,11.75093232,11.25822382,10.89500741,10.65702182,10.49913471
15.32757161,17.16176132,15.67455082,14.71903375,13.07836311,12.78795998,13.86654268,12.82995732,12.82027286,12.57850285,11.80808238,11.31272142,10.8924776,10.63030162,10.46949476
13.35722953,17.17348752,16.93404604,11.59805214,6.745773816,7.435364556,6.34644879,8.924934927,9.636986878,9.809249414,9.993409802,9.888045029,9.753930683,9.490571888,9.187060991
11.5993263,24.70768578,15.88194609,15.89069049,14.59508417,13.26352131,12.6680082,14.03769493,12.52563656,12.21373527,12.81321268,12.66765513,12.37436635,11.78108754,11.28803711
13.55234023,23.37070816,21.99413817,14.95733578,13.21790586,13.08980968,12.6332495,12.59092871,12.43728564,11.88286059,11.26262216,10.85232799,10.59265622,10.47473779,10.41054108
13.20139849,27.13925164,15.30138102,13.25671711,12.76179279,12.33588393,12.82592714,13.1244608,12.70162608,12.28796907,11.98964498,11.4648237,10.94115275,10.64181124,10.49096433
10.22623311,30.99155251,13.6242898,12.12576048,13.03005428,13.17881312,12.82189177,12.43215457,12.08985576,11.57235363,11.12511485,10.72957317,10.54117617,10.42771898,10.39058375
14.16445066,27.84032578,17.88328986,14.52680105,12.65636486,11.83480386,12.37250714,12.4847055,12.5665943,12.21598838,11.75782055,11.28485804,10.87744059,10.61564737,10.48433145
16.76529092,17.48476393,10.51518999,10.89045773,12.57544563,11.68116382,11.73103734,12.32823514,12.3252125,12.58344587,12.89319974,12.55355992,12.06986895,11.48358284,11.03095985
14.15769547,17.03735877,14.36712766,13.45699596,12.43793286,12.89266173,13.25634582,12.74287522,12.70139946,12.48461866,11.90238102,11.42616979,10.97458303,10.64316888,10.49334668
23.50901548,17.63828342,14.84813721,13.26398195,12.47980094,12.66699889,12.97343277,12.36034075,12.05001476,11.51614021,11.05948371,10.73584923,10.52792057,10.44239191,10.3826571
10.64534215,36.02500194,13.00103801,12.15574764,12.23226194,11.33670778,12.16393659,12.79720354,12.83204303,12.53086824,12.26242644,11.80237404,11.31120884,10.87398711,10.63201452
