V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
19.91288844,23.07947828,31.93320489,30.96616235,21.66137081,20.94095407,21.23666804,20.69492649,21.12952106,20.59263717,20.65885338,21.04020559,22.16243353,24.62473038,28.46354834
46.79377309,21.55735,20.33537765,21.04004706,20.85839865,20.70821901,20.46233632,20.37313605,20.35950818,21.39858969,23.64322613,27.25961571,32.19541611,38.00377184,44.29582578
27.86859292,35.52398771,24.97488973,19.12879824,19.75414807,19.95012359,20.46350843,20.68590482,21.22577993,23.13542852,26.54120356,31.26298713,36.85049394,43.06870472,49.6677532
44.44444656,25.18678234,20.70031585,20.47994575,20.70691344,20.8976773,20.10209169,20.09492433,20.98859835,23.19283545,26.99542672,32.01349703,37.8685005,44.23521159,50.89996705
38.98525903,21.3459789,23.0347149,23.64997043,21.83335735,19.85975141,19.5659334,20.10060244,20.60982134,21.50284423,23.76214674,27.6114679,32.49937891,38.29273967,44.59056203
24.31854292,71.28279053,19.9508123,20.32027923,19.91612997,20.47603204,20.43272267,20.71014876,21.12290694,22.67089509,25.33536686,29.46881707,34.71910028,40.6704081,47.06816089
21.62342224,28.97270484,22.5951947,25.66394769,28.41530922,22.50605709,21.12213291,19.93310256,20.99793351,21.3423794,21.54954908,21.445608,21.41907142,22.10707212,23.83138628
25.5276562,40.23657926,20.24186722,21.87189538,20.45683376,21.62493319,21.0620599,20.59998071,20.21828364,20.38947432,21.11142702,23.41875512,26.85942216,31.53018196,37.1942598
37.72389199,19.04813706,22.69523737,23.49456093,21.10644903,20.62233352,22.27085917,20.18859718,20.2399255,20.20115258,20.67955453,22.69339827,26.0794751,30.78371748,36.51775304
19.04576923,27.26149898,30.5173864,27.8437923,20.44498625,22.2892881,20.97649885,20.68757207,20.62698689,20.78425765,20.60184791,21.03260577,22.47334877,25.24769779,29.59695238
26.38039149,23.07947828,23.14092606,28.45758716,26.23800462,25.66278617,24.26040335,25.16842611,20.43302208,20.0526051,20.95945129,20.57827932,20.55025769,20.99530518,22.94341582
20.30076531,31.83196744,35.74788483,23.92862348,20.96018118,20.18583144,19.96453892,20.19172073,20.3416581,20.92446228,22.88535408,26.40357594,31.31711018,37.02223761,43.27640848
24.1382351,36.46293273,21.8173736,19.50067478,20.07176642,19.88920259,20.63641211,20.34164912,20.07650607,20.38768883,21.03362718,22.43477027,25.53307718,30.10970092,35.66064416
19.67945319,52.72696389,20.52558326,18.99388178,20.29014555,20.46732353,19.93815285,20.12065071,20.56706356,21.73296211,24.21440792,28.29263096,33.52287101,39.59745306,46.04669218
15.70870702,33.98077595,23.99224777,21.86223898,18.94106793,19.76817205,20.4487362,20.87303363,21.06875719,20.99378894,21.72228057,23.6677961,27.06098807,31.86105741,37.59301865
30.83809654,20.77353124,17.76347541,23.98039502,24.51413964,23.13764666,23.38640062,22.75575058,21.57918247,21.01441372,20.85980331,20.36302238,20.5918035,21.97928166,24.8665606
27.52835142,22.42981294,21.1497968,21.51100354,21.03944188,20.8420935,20.29680921,19.4102945,20.03882463,20.340995,20.93547097,22.60074835,25.61772391,30.14194554,35.73974181
39.21993989,24.67661055,21.96420186,20.25154856,19.31985165,20.27207307,20.62392695,20.28985864,20.79518161,22.15674409,24.86599725,28.99903019,34.28014596,40.2584415,46.76824676
18.85933551,38.25152288,18.5696833,20.7202448,21.62223444,22.09605345,22.30998844,21.68663558,21.04209355,20.66790026,20.81757952,21.53553745,23.37048709,26.78410216,31.50240539
40.66600055,18.96729498,23.12063412,21.40880429,20.12042512,20.55626318,20.44760036,20.115781,20.41402084,21.33377079,23.41956185,27.07214876,32.03275428,37.80365391,44.08889224
25.22796392,29.70295627,18.61532534,20.78514924,20.13178711,20.54540929,20.76515258,20.12422855,20.48980365,20.96119622,22.2485939,24.96903252,29.04502031,34.11246041,39.87767518
14.00756417,26.30652454,27.38743653,25.16107027,25.38721631,26.56176497,23.77531873,21.77851112,20.99840756,20.42035237,20.48625167,20.24180562,20.57972151,21.86198576,24.5407962
28.53010011,27.47218079,18.30491864,20.54366759,21.89801497,21.37883856,21.84970256,21.61188895,21.10869239,20.89282217,20.95581016,21.89071885,23.93881382,27.6320254,32.59349488
14.79139726,40.61651668,21.62321775,22.07273513,20.37982341,20.43522843,19.95230103,20.27795307,20.38342999,20.9834267,23.06992551,26.46056683,31.14356043,36.81882209,42.93570735
28.85134319,21.75779619,22.92132329,22.53843087,20.5547737,21.53184473,20.05849591,20.43206807,20.02040814,20.30961334,21.55858912,24.17003675,28.33557551,33.63241046,39.62300835
47.28098808,19.03731301,24.95683201,20.79914116,21.05481407,20.79518388,20.6342698,20.48334182,20.3247411,20.81506188,22.46838311,25.38835494,29.74694892,35.18696029,41.28731006
27.94374186,20.64003215,25.70380367,24.98913953,19.51333167,19.82143443,20.11830208,20.14378865,20.2714234,20.99334344,22.8237488,26.20976572,30.96196853,36.65077341,42.91712803
19.79737726,30.87966231,34.17632681,21.64212072,19.46977551,19.93189482,20.43072167,20.44831337,20.3808024,20.4577894,21.37760083,23.64010181,27.52622357,32.65521881,38.5408343
51.99249306,19.58306374,23.37417377,20.46207869,20.64426608,21.17458018,20.91340839,21.31245458,20.69889568,20.67342174,21.76766896,24.24742442,28.19859022,33.40591932,39.26259445
36.71248385,25.37055885,24.66598945,22.03057128,19.68384903,19.98094064,20.13776422,20.13370361,20.35266699,21.16401785,23.28196238,26.9885946,31.7802157,37.49052057,43.86671366
44.07669243,21.43678943,20.85849671,20.44098425,20.35592545,20.99911434,20.12670251,20.11070376,20.49853824,21.84453814,24.24222249,28.16099255,33.28334906,39.13879392,45.51451283
30.78207861,21.69815977,25.4131609,25.2117672,25.24583533,22.51790458,22.3040158,22.11109511,22.13105251,21.37114213,21.01079765,20.60208674,20.83284381,22.06074176,24.74685794
20.9707405,47.78420842,19.41046254,20.2068881,21.45012609,20.60180197,20.04205204,20.05438142,20.65804345,22.12076968,24.72125625,28.91840006,34.21125871,40.20182836,46.58844493
