V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
27.98316732,13.191503,13.75979231,12.65789961,12.01905992,11.97566669,10.57787117,10.85434513,9.980075061,10.08969334,9.341833557,8.959327612,8.746561863,8.348107752,8.076011943
39.4645436,13.32092837,14.55599232,12.44636241,11.70490571,10.43017681,9.938605285,9.795077931,9.500873782,9.219979023,8.656101064,8.410539916,7.989909832,7.64849102,7.444798235
39.26959922,10.56123175,10.43773899,13.06789999,10.88492768,12.8811607,11.51101731,10.52269555,10.23882075,9.489660337,9.5532852,9.167831082,8.813112177,8.518389706,8.278117303
13.06409508,13.3259404,10.64462553,12.35251568,11.65804512,12.06026958,11.99157109,10.9513317,11.19569501,10.92617645,10.74239992,10.05396766,9.485834671,8.774453889,8.539620676
14.72152459,14.46179172,10.22749265,11.90999148,10.89353761,11.00161459,11.09807159,8.828364104,8.900775221,8.079666412,8.150796248,8.454420553,8.086233975,8.126588048,7.854001897
30.3175068,13.52942953,9.095507973,10.60452952,10.09959914,10.42980339,9.160987379,10.50803516,11.46803777,12.32034513,10.94686038,10.00468064,9.041644447,9.026572764,8.794049913
10.52667341,18.46261365,12.05414557,22.50970124,10.15197678,8.142038131,8.48815296,7.723698282,8.340906175,8.077998317,8.382693678,7.712793102,8.122517227,8.570022298,8.875229913
7.301230849,27.22217657,19.53623725,18.12771873,19.39024904,15.45793629,12.16546026,11.48688723,9.729636786,9.139297147,9.058154515,8.990361448,8.73505895,8.6704113,8.325690441
34.54756181,12.36792635,14.66457285,9.839868655,10.45283143,10.64001543,10.23666257,9.889460807,9.857871776,9.712729466,9.129429435,8.842931233,8.384706555,8.035168599,7.784287525
25.95765884,17.49648855,18.35400088,15.08567214,14.65222474,11.05839879,10.1644379,9.485386852,9.468912262,8.855697024,8.515563902,8.052930014,7.752894841,7.546703072,7.358244734
44.86280784,16.06183915,12.08929785,11.93025955,12.33974671,11.35143748,10.19250299,9.320780113,9.043607927,8.646736913,8.516777559,8.246484043,8.100160712,7.862328227,7.731223263
22.96022682,16.84168462,11.88142079,11.46455728,10.99710141,11.70956758,10.47057467,11.33004713,10.6488772,9.544121369,9.936998557,9.497467867,9.223832454,9.072997824,8.77579217
39.36638181,15.49799162,11.9137902,11.48002307,11.4970065,12.24482519,11.00540153,9.862143184,9.541136734,9.321748484,8.691657649,8.615866837,8.122883291,7.947756266,7.655322314
44.15920701,11.26252099,10.35455137,9.888330447,10.09723406,9.588942112,9.432247513,10.95473239,9.519831888,8.905051309,8.734711334,9.43946079,9.706722051,9.391934021,10.12058102
14.15684029,25.97425996,19.69403023,10.25456112,9.86585344,9.788131615,8.828714531,8.521229205,8.805757255,9.294458617,9.667719473,10.02025613,9.353998062,10.14595368,9.770036799
33.10348048,9.918311183,9.73831158,9.469848789,9.726328774,9.328663762,10.52552016,11.14956883,10.94356172,10.52590859,10.23211247,9.526208546,9.322888096,9.043643547,8.575213909
13.07367417,13.04327976,9.713214078,10.70966722,10.23940395,12.12653858,11.18877945,11.09722267,11.62458058,10.73636925,10.56284306,9.418215215,9.314879269,8.982916771,8.99487428
30.87102362,11.66886974,17.74186547,14.76096772,10.7529987,11.20948482,10.38098627,10.3316292,9.98745384,9.090787768,9.307675708,8.740291505,8.54662623,8.055955606,7.789302142
26.18736476,23.82478051,12.8571155,14.30474168,11.57321357,11.54561725,11.00903441,10.25329615,9.256675057,9.738018407,9.207741371,9.258188198,8.871816992,8.521700262,8.114340977
17.41775032,19.96585246,13.02328861,11.00314507,10.69605663,10.36840395,10.99664513,10.14252731,11.11580994,10.67097252,10.5775429,9.357104515,9.620431138,8.914722661,8.538035162
