V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
4.726490966,4.736577201,3.962405144,10.19678323,3.295177843,3.670174498,6.173972354,3.989445045,7.689120966,3.1519728,5.241330622,5.202135937,6.47629515,11.13793646,4.168125858
5.463447686,5.926838606,5.68747169,4.411361624,4.01375037,6.036619863,3.658986498,3.130823273,8.818067423,2.856867251,3.835494697,6.318820006,7.24314789,8.931832345,3.115770669
7.624738433,8.033784442,6.506697809,4.793015771,5.816558664,6.165431892,3.149469954,7.084972011,6.122769613,6.192951997,8.037907221,5.947151707,5.641111982,10.251936,5.730203926
5.060401099,4.817453812,9.102548851,6.071894412,4.393862475,3.13094348,4.47218285,7.495153671,4.033509249,6.083524356,2.706409255,4.309932857,4.109597136,4.951579642,7.575469765
6.256365265,3.820464718,3.777361555,4.919910693,6.718728255,3.454519537,4.428488718,4.453001629,3.130736223,6.064312054,7.10170222,2.854125419,4.641422108,4.963419696,3.755716482
3.756030354,4.448127949,6.699031025,4.267382003,3.303862342,5.274205996,6.388516167,5.74196962,3.414280495,7.978355615,10.82008099,4.941648496,3.667218587,7.699628499,5.777605931
4.556638649,4.970572545,4.009985473,4.356682825,4.217054992,6.102561243,6.854906418,6.917222867,4.699659429,3.500021863,4.112618024,6.339730083,5.563670726,3.482444406,4.599987333
4.179809363,6.76486106,3.817000944,5.472351072,9.326940462,4.687447669,4.927033055,5.620710141,5.451007533,3.591289312,6.440373454,12.14270795,7.177980797,5.990855151,4.576557978
3.72925618,7.606258442,6.841848222,3.329617336,3.244852364,4.928412832,4.420843408,4.365788383,3.527678753,4.5609692,5.723999341,6.582723426,5.539274213,3.078821156,5.037492647
6.89450572,6.497791872,5.599007399,5.179229785,4.922311551,4.212393799,3.301146549,4.256296068,6.782834786,5.915299034,3.943541748,5.121954112,6.770539333,6.73970939,6.052851807
4.726490966,4.736577201,3.962405144,10.19678323,3.295177843,3.670174498,6.173972354,3.989445045,7.689120966,3.1519728,5.241330622,5.202135937,6.47629515,11.13793646,4.145767799
