V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
4.728845343,7.008840626,9.819198856,5.360986528,7.817097724,7.410701868,3.929040275,6.098758823,3.534273127,3.199167961,8.699412675,6.625411631,3.674680732,6.170362511,5.448678083
3.381311228,3.831179077,7.482789619,4.660111899,5.91396963,3.239571559,8.629269779,3.797098087,3.885159657,5.574361844,5.388722681,9.013187066,5.794871831,5.023631313,7.609305142
7.191556083,4.738620629,5.207767175,4.557846428,5.598832446,3.29204215,4.804230402,5.788441165,5.271896413,3.765291945,6.6925495,7.708946402,4.747084841,5.028299261,5.084472164
5.535603082,4.064792888,3.492864319,5.250155423,5.406869791,5.669676383,3.743141828,9.355052638,3.964743105,6.322663046,3.37855432,4.785487219,7.708594442,3.996270031,3.804696446
5.373174272,4.18113146,3.949008988,3.612425218,4.894870252,4.785667394,6.865188333,6.885793628,5.338519504,5.245075224,9.249388631,4.915309317,3.185034438,3.59035324,5.263847466
5.94061229,8.989359367,8.262814428,3.511247982,6.016798024,6.30699732,6.277931481,5.962490435,4.192345071,8.453283065,5.042357236,2.88290643,2.897725332,3.363729083,5.316292322
4.50009515,5.347287362,6.318528492,4.149599674,3.210224075,5.046520872,4.786446248,3.913488077,4.823323729,2.544012925,5.324287414,3.822298385,6.185784318,8.159326923,12.20816507
3.282241615,4.36074243,4.746443442,5.904248786,2.89503729,7.957896411,9.097031364,4.737821378,7.33658701,6.159507798,3.156695917,6.896061718,3.445451166,3.800687345,2.632129235
4.5495569,7.726793127,13.43788101,4.913733847,6.397074455,5.753699408,3.89574132,3.255326016,5.386262475,3.278372145,4.35109958,4.123211765,4.037186986,6.671084472,7.967390035
6.336821307,3.134333478,4.137040172,6.53480845,6.499315419,6.710359755,3.26426654,5.492680984,4.954845457,2.438931272,5.007210402,5.461112328,2.389461109,4.471363258,5.402340382
6.959767808,7.168297461,5.675707537,4.410107642,3.945195801,5.745497486,5.595226116,5.727284363,4.197581071,6.102338127,4.647066405,3.382484317,6.254103276,5.392477793,7.200481103
3.281074584,7.340795445,11.6060093,7.417857314,4.086832394,5.093260936,7.400957815,7.378713002,3.416152601,4.339375533,5.217545172,6.950198009,3.759239913,6.196629406,4.71879002
4.413967143,5.901157624,3.018058817,3.146308455,6.038356402,6.194481579,3.681885442,6.254020197,2.892349413,7.818764715,3.693737435,8.284901728,3.855609743,7.398072878,4.28331594
4.975623957,8.106165741,4.407953695,5.019241377,5.721408069,4.046472593,7.964618813,6.920791566,4.656260963,5.912538672,4.501939472,4.084848906,5.106937677,3.330543166,2.939403777
10.13832227,8.030669989,3.471306138,3.674120674,3.801158148,3.86176692,5.862727238,5.145344108,14.48791913,3.644470246,5.916275984,4.32210131,6.937038818,5.775545264,4.245011328
6.154683934,4.58490143,5.71096749,6.663878512,5.087507326,4.818690008,3.777441729,7.119320592,7.743814427,6.717813957,4.61307582,7.175875525,5.054828254,3.337465338,5.033965617
4.948653119,6.967509087,5.639220888,3.742943984,5.768194142,5.887989506,6.862801892,7.432523127,3.563780162,5.700116932,6.089045974,5.300369357,3.466057128,6.617140285,5.311052999
2.871475812,3.354900235,7.756174442,9.423258113,4.493348489,6.011863565,4.099471033,4.554503516,5.895649989,4.839829253,4.986935345,5.440694838,4.3530473,9.586953165,5.089595263
2.745245533,3.505277658,4.393356623,5.429574984,8.524172725,5.241022244,5.881912796,5.599815675,4.817347017,3.727796277,5.709616645,4.884455151,5.443661636,5.577490818,7.274520944
