V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
4.749015233,4.676607965,4.081181083,4.259045168,9.298194121,8.110063903,4.182553253,6.808461691,5.637698548,6.848199717,4.98632129,4.415256341,5.025996972,3.007643972,3.984849452
5.456331052,4.995163637,5.043226432,5.1856895,4.930719163,8.110849126,4.395397042,5.646629056,4.945728647,7.680742251,3.443782795,3.790937578,4.820512449,7.304445734,5.376232792
3.840997993,6.958499192,7.550001001,3.530343781,7.56704688,6.753116612,5.491911629,6.893969483,4.617841324,4.722284689,3.776927217,4.371798359,9.772226979,2.943929077,2.948523906
3.712967491,5.29641733,3.589549268,5.593275015,4.228410773,4.162862407,6.94959506,2.839818451,12.97561906,9.354603309,3.350267453,5.254068144,5.001856807,7.252877676,3.780754193
4.864239535,4.247455202,4.200820762,3.719990474,3.605925882,7.882167642,3.965818872,4.218397215,6.321538179,6.910238549,6.782487669,6.798822879,4.357137438,4.07816043,2.778288931
5.6827976,8.018459916,4.562955712,4.867730083,9.910221916,7.659696453,4.337919887,5.049880308,5.966923928,3.636318642,4.36216289,9.970780177,4.002423594,9.36494304,5.327592081
5.670378147,9.232987099,4.935157154,5.403936651,9.569173004,3.971171942,4.50861462,3.11009156,7.139370635,2.531801138,9.658237477,5.508444832,8.219537945,7.08405138,5.684045479
4.198342242,7.969860818,4.370813624,4.846544712,6.127282867,4.261532971,5.626549086,4.070947727,4.329635825,7.235107345,9.957480312,6.155126793,4.50282148,5.177837578,6.670554545
4.780303006,9.033325406,4.436202944,3.935454571,3.857967065,5.067096894,6.821248357,5.852405696,4.110025023,6.258858425,10.91617297,3.161313524,6.562243993,7.695936369,3.056630724
8.386873111,3.019222061,4.905427909,7.01734758,7.656459679,7.587806616,2.856789619,4.734654591,6.24392566,6.099562214,2.855108343,5.941539442,7.868938223,13.85118429,5.586365782
2.50832878,4.700705363,5.301044556,6.356411425,6.750403181,7.760788712,6.088709504,8.604575581,4.478090622,6.866418921,4.213534573,8.378275114,9.541901362,4.824054867,4.766783094
2.405723235,5.026704827,7.494617001,5.513969151,4.314023272,3.143323268,9.229618984,5.17360874,4.425603193,7.208665249,6.683581995,3.953262325,5.568728651,7.019188577,5.630114125
