"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",2,1,215.830653472109,13.1851737225615,8.37393083624889,3.87676793111207,2.11577084689221,2.460338110548,2.34851836563258,2.46554826249115,2.44739832084984,2.58562705959899,1.72846583884169,1.45261680182178,1.27496714848883
"2",8.4341253783355,2,4.76793460285141,2.43322821144762,2.02240287926235,1.71900826446281,1.72841230795099,1.69000314555208,1.66338259441708,1.62426035502959,1.49271844660194,1.40918325883787,1.28624963966561,1.18126820524311,1.12232125924521
"3",8.4341253783355,1,1.50390379019559,7.54287250506978,8.01433768027475,14.5222520983132,16.0301847541011,11.9175659356317,9.52680483504398,6.18979061103616,6.63215661987345,3.5849063459155,2.55944034883128,1.58056075396223,1.36066288704754
"4",2,1,1.9303175313144,3.08443310390215,3.10349118351515,5.31120566916681,4.59529151333876,6.74336360533327,5.61619820725647,10.1030262466342,2.87156791293101,13.0052275751548,113.628166072993,1.48697539797395,1.40710116731518
"5",2,1,0.75,3.00024005418226,3.34468310436775,4.17234971235045,3.78733156535491,6.80890875022921,3.70216222831656,2.23852304790351,1.85759420051718,1.9391440025309,1.81144236257737,1.98632935530354,1.52383639082822
"6",3,1.25,1,1.28102212349797,1.36086472977141,1.4826671631048,1.40313242556778,4.94379827745773,3.41984899933407,2.3968464669531,2.28337345029461,3.20429111365025,2.05312973629936,2.04367725645447,1.56964447201354
"7",1,1,1,1168.12810207869,90.570058418367,9.62805596536018,4.67961191992986,1.42886550450396,2.22770883856866,2.05282627940777,2.50896975720562,2.38905053888713,2.91728715480405,2.84493101944209,2.20919237725764
"8",1,1,1,2.48712889717134,215.417876819455,6.10716413984441,3719.82061388258,4291.58862780056,1.56,1.51094890510949,1.55180722891566,1.55658914728682,1.50348258706468,1.46428571428571,1.37878103837472
"9",8.4341253783355,1.33333333333333,42.1018668276708,3.2495166242406,2.34304718916501,2.38010213107087,2.30684014889535,2.3114316266502,2.38596267960561,2.3856456693003,2.26713010819437,1.61193525754213,1.36527472527473,1.27872545864178,1.20961248112733
"10",3,1.75,29.1592844829418,28.3683971413848,28.4625980833381,4.6297948838402,1.78758169934641,1.58394160583942,1.61104718066743,1.47751605995717,1.38628681796234,1.2858635097493,1.19815917704385,1.14818161283036,1.10070810385523
"11",8.4341253783355,2.5,1.75,1.75862068965517,1.94230769230769,1.86274509803922,1.72251308900524,1.54545454545455,1.54207436399217,1.44866920152091,1.41783216783217,1.35489833641405,1.30227272727273,1.24424284717376,1.19932716568545
"12",3,1.75,1.25,1.36363636363636,1.3125,2.02449831698081,2.33740674335731,1.93018247450215,2.01736063797075,4.33010135170922,7.4630580017246,6.47756401181603,6.49214510265488,6.62879312467986,8.7315519920591
"13",4.01110651914879,1.8,1.9,1.65,2.00187116819229,2.73673458714376,4.13893042227466,1.71428571428571,1.67458432304038,1.63881019830028,1.4740932642487,1.46252927400468,1.33573429371749,1.27942497753819,1.18956236835947
"14",4.01110651914879,1.2,1.14285714285714,1,1.47540754380219,1.1581305132847,1.49879740514841,1.85585981603923,1.86229625655644,1.66522853401463,1.38707846307371,1.8502736004576,1.78444142647748,1.87993723511004,2.34725831593684
"15",1,4.78150067692656,122.962772149816,4.42096901383271,1.38201939782888,1.26686959256795,1.03703703703704,1,1.31916091413254,1.43537472700762,1.59103136055579,1.57458847393494,1.61126182086232,1.81857819258471,1.91744591620163
"16",4.01110651914879,1.4,1.25,1.36363636363636,1.4375,1.29166666666667,2.51254316398887,1.91595318401302,1.90323173863155,1.89302916559172,1.94443359280625,2.38566949523421,2.38798629393319,1.64127232528188,1.42566709021601
"17",2,1,1.9303175313144,1.28753701116068,1.18747336152585,5.51780762761064,4.14153228566518,3.61441062856613,3.56488482728336,3.14242607131155,4.47148419991986,3.47772135628271,4.86911661147276,4.11015011944422,4.11997713280243
"18",3,1.25,87.7910525566175,91.3818299531547,11.21098952114,3.32138404048908,1.89089539946233,1.97674610650586,3.28862639576771,2.23438116838555,2.372954651886,1.95069334393956,1.56466206533645,1.27837259100642,1.20287081339713
"19",2,9.56295042970683,2.24270264539593,3.17798716612309,2.94182482799396,2.36034405710214,2.18138870648932,2.01573506169194,1.73066547318732,2.14965611502537,2.12797750807598,2.13127168056854,2.0837902433422,1.60559585219594,1.30929264909847
"20",2,5.92114221751929,1.69604175465392,1.42857142857143,1.38095238095238,1.33333333333333,1.51219512195122,1.50590228316743,2.07639368142325,2.01000911589152,2.22626468097021,2.29997109721535,2.15530867029918,2.05908492929263,1.51629207960294
"21",3,1.75,1.625,1.85714285714286,1.88888888888889,1.88461538461538,1.66666666666667,1.67469879518072,1.61290322580645,1.5410199556541,1.43103448275862,1.76743765352445,1.7180660115201,1.34029038112523,1.30659898477157
"22",3,1.5,1.28571428571429,1.1,8.28492117041847,8.79578639964452,7.78356124717504,10.4575790049379,9.79561316236887,9.57883913738831,4.97231945017678,2.86184594140408,1.53668273312603,1.39863325740319,1.30315858026701
"23",2,5.92114221751929,1.125,1.65577412682917,1.66132171342153,1.66965272539222,1.59016051131966,1.56127673389764,7.17769035908741,4.12328275215022,2.37480248621232,2.28065363659182,4.26645066848477,1.67211597340345,1.42255005268704
"24",3,3,2.46153846153846,2.27272727272727,1.55263157894737,1.39495798319328,1.48502994011976,1.46586345381526,1.44262295081967,1.51984877126654,1.53281523536337,1.38366988586479,1.36207989854153,1.27361563517915,1.27538349159971
"25",8.4341253783355,2.5,1.25,1.23809523809524,1.18518518518519,1.36363636363636,1.10524948685782,1.43129941399828,1.39327120742589,1.39846366008294,1.59070354499917,1.76752356350812,1.91423712800822,1.88084643716836,1.92125427428834
"26",2,5.92114221751929,1.375,1.16666666666667,2.46751698193635,2.06749204986009,1.61067316887057,2.26436602053052,2.25037222028037,2.18384705782907,1.67820903550875,3.98861680046055,1.85083899651709,2.29247349780133,2.29734538663391
"27",2,9.36510328264928,5.01848917395526,1.67747707981,3.10123322081659,3.74942195169741,2.90883873328872,2.07181435623853,2.23982521243778,1.63019801644706,1.61980551239471,1.61776974039165,1.54086884725875,1.37768494768623,1.31683569979716
"28",3,2.5,1.90909090909091,1.63636363636364,1.7027027027027,1.703125,1.86363636363636,2.72959156201271,2.00682137417344,2.00869749767728,1.59737223540792,1.44775132275132,1.38356164383562,1.27548663807324,1.21541246444272
"29",8.4341253783355,1.5,1.5,1.5,1.48,1.9985498050757,2.8142069566534,2.92369611207004,2.47172575109103,4.32591659091549,2.78699199948503,2.7654570428792,4.02143476197015,3.29578617444707,2.60841318699242
"30",2,6.2669524731775,2.45074662356292,1.31275925196823,1.83047724604383,1.39230940069919,3.51404087601756,2.0327868852459,3.70590469714184,3.81858893555738,4.09489351431254,2.37231740913408,1.74454826242415,1.40936058009229,1.38148667601683
"31",3,133.743549052577,5.53171768326523,2.20454545454545,1.95918367346939,1.73056994818653,1.73731343283582,1.65694682675815,1.58014477766287,1.40353172007848,1.36748952026083,1.24651004426285,1.22310212998362,1.16004464285714,1.10696421700654
"32",3,1.75,4.17632122391594,1.81339269560915,1.52114191507676,1.38556465460731,3.61015128184501,3.42983405080806,2.67097949557348,3.42453233817722,2.87267252040468,3.37774208043937,2.61241995616019,1.41752265861027,1.34725181082233
"33",1,1143.20339392733,7.07572737665678,2.14830104124336,1.92128668500346,2.17276381862167,2.1057246430423,2.11961398295126,2.06243311191824,1.82443909504778,1.62428156975274,2.17901615243061,2.0277552126968,2.01545938118579,1.68200133540013
"34",4.01110651914879,1.4,4.97068012034665,1.93279196720946,1.94081892810105,1.99497232595134,1.7273427023026,1.49010496008215,1.49984405584732,2.21825760557797,1.90100039821895,2.10698613121249,2.09997206850931,2.20537093718878,1.7711587675353
"35",3,2.75,1.58333333333333,2.1815992523317,2.60304038901869,2.22819463696304,2.18460737099213,1.91708212317901,1.47482014388489,1.44805194805195,1.45240761478163,1.42141756548536,1.36673889490791,1.30110935023772,1.23470319634703
"36",3,1.75,1.625,1.78571428571429,1.42307692307692,1.36842105263158,2.74192893305679,2.28081755946174,2.03038186317322,1.81090909090909,1.81563126252505,3.96006379755513,1.4886524822695,1.39428571428571,1.30419938545579
"37",4.01110651914879,2.4,1.84615384615385,1.48,1.55263157894737,1.63333333333333,1.5050505050505,1.39333333333333,1.38095238095238,1.43642611683849,1.41288782816229,1.39123102866779,1.43220338983051,1.5108768231658,1.50488485341284
