"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",1,1,21.419056396292,4.41099602692521,4.2395206051961,2.89607451319997,1.74626334050465,1.97124860514065,1.86997188871229,1.81491417369127,1.89942087850472,2.54196696319223,1.43672386527338,1.22993101695452,1
"2",45.5566497088485,1,4.5577716174235,1.32269819036508,1.14577004490432,1,1.00814050004724,1.00814050004724,1,1,1,1,1,1,1
"3",45.5566497088485,1,2.69630190694978,9.44936076139022,10.4444419470495,12.4354855904466,13.4301351643093,12.4354855904466,11.4362659539077,9.44936076139022,9.15453772547747,4.09583542669791,2.79422880644051,1.3859510233182,1
"4",1,1,3.61524564631341,5.51980891299069,5.51980891299069,7.47069061833734,6.49049714759709,9.44936076139022,8.45763848183588,11.4362659539077,3.61524564631341,12.4354855904466,24.4148233321298,1,1
"5",1,1,1,7.47069061833734,7.47069061833734,6.49049714759709,4.5577716174235,9.44936076139022,6.49049714759709,4.5577716174235,3.61524564631341,3.61524564631341,3.61524564631341,3.97130008914295,1.92783066663097
"6",1,1,1,1.80848591671123,1.80848591671123,1.80848591671123,2.69630190694978,9.44936076139022,5.51980891299069,1.29875979901637,1.37233098235394,4.5577716174235,2.69630190694978,2.69630190694978,1.17155699201744
"7",1,1,1,30.4106435684764,12.9334325283271,4.25626295893442,9.44936076139022,2.3257141531248,5.48543103290529,4.77754597984825,6.49049714759709,6.49049714759709,7.47069061833734,6.49049714759709,3.61524564631341
"8",1,1,1,5.51980891299069,25.4137583817701,5.51980891299069,37.4046118247273,38.4050925241567,1,1,1,1,1,1,1
"9",45.5566497088485,1,14.4315375120839,1.89942087850472,1.7289925635092,1.7289925635092,1.7289925635092,1.7289925635092,1.7289925635092,1.7289925635092,1.88774420455085,1.21961304505806,1,1,1
"10",1,1,12.4354855904466,12.4354855904466,12.4354855904466,2.58516924315852,1,1,1,1,1,1,1,1,1
"11",45.5566497088485,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"12",1,1,1,1,1,2.69630190694978,4.5577716174235,1.4629141800379,1.62054260238083,8.45763848183588,11.4362659539077,10.4444419470495,10.4444419470495,10.4444419470495,12.4354855904466
"13",10.3747876058376,1,1,1,1.18067452516403,2.69630190694978,5.51980891299069,1,1,1,1,1,1,1,1
"14",10.3747876058376,1,1,1,2.69630190694978,2.01447514584908,3.61524564631341,3.61524564631341,4.5577716174235,4.5577716174235,3.61524564631341,5.51980891299069,4.5577716174235,5.51980891299069,6.49049714759709
"15",1,3.74767627661312,19.4228528897712,2.61903235630246,1.32639420659747,1.09394962360602,1,1,2.69630190694978,2.69630190694978,2.69630190694978,1.80848591671123,2.69630190694978,2.69630190694978,2.69630190694978
"16",10.3747876058376,1,1,1,1,1,4.5577716174235,1.80848591671123,1.80848591671123,1.80848591671123,1.80848591671123,3.61524564631341,3.61524564631341,1.19004501359785,1
"17",1,1,3.61524564631341,1.31123001121804,1.21214821996186,9.44936076139022,6.49049714759709,5.51980891299069,5.51980891299069,5.51980891299069,7.47069061833734,6.49049714759709,8.45763848183588,7.47069061833734,7.47069061833734
"18",1,1,17.4215018052907,17.4215018052907,4.53583655046366,3.54500991353232,1.43185047244737,1.52693815036094,4.6828476393431,2.01841034845189,2.12265124378379,1.68567262644676,1.29875979901637,1,1
"19",1,3.74767627661312,1.4629141800379,1.77210152677037,1.89942087850472,1.7289925635092,1.7289925635092,1.66396671404696,1.4629141800379,1.81491417369127,1.75057929951399,1.75057929951399,1.79354931904295,1.34725164715477,1
"20",1,3.8875267483711,1.06701887328797,1,1,1,1,1.29875979901637,1.7289925635092,1.41073456640162,1.41073456640162,1.70735271011667,1.62054260238083,1.70735271011667,1.19966266350302
"21",1,1,1,1,1,1,1,1,1,1,1,1.49728490883807,1.4629141800379,1,1
"22",1,1,1,1,10.4444419470495,10.4444419470495,8.45763848183588,10.4444419470495,10.4444419470495,10.4444419470495,7.47069061833734,4.5577716174235,1.18067452516403,1,1
"23",1,3.8875267483711,1,1.4629141800379,1.4629141800379,1.4629141800379,1.4629141800379,1.4629141800379,10.4444419470495,6.49049714759709,1.44979964648167,1.4629141800379,6.49049714759709,1.15410063805561,1
"24",1,1,1,1,1,1,1,1,1,1,1.42527881527306,1,1,1,1
"25",45.5566497088485,1,1,1,1,1,1.27020667794861,1.57722574564176,1.59886076081892,1.59886076081892,1.55565933095065,1.42369830943733,1.37233098235394,1.38503920642279,1.39784429914051
"26",1,3.8875267483711,1,1,4.5577716174235,3.46921617782894,2.08902474796166,4.5577716174235,4.5577716174235,4.5577716174235,2.50419441878774,8.45763848183588,1.80848591671123,3.61524564631341,3.61524564631341
"27",1,1.94105020316088,2.08342856133813,1.24046667424329,3.85357877708006,5.51980891299069,3.56270095398826,2.04922518057889,2.46831510672491,1.34725164715477,1.33490353088609,1.34725164715477,1.29875979901637,1.1015036044074,1
"28",1,1,1,1,1,1,1,3.391770789304,1.34725164715477,1.4629141800379,1.06218720089909,1,1,1,1
"29",45.5566497088485,1,1,1,1,1.80848591671123,4.36576850326337,4.16002157336052,3.01378706471776,7.47069061833734,3.19694010160728,2.89607451319997,4.90780336514902,3.72854130976506,4.08922956718424
