"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",10.3747876058376,1,1,1.83618896031549,1.81491417369127,2.29156116761937,2.45260479107433,2.05506864125833,1,1,1,1,1,1,1
"2",1,1,1,1,1,2.69630190694978,1,12.4354855904466,1,1,1,1,1,1,1
"3",45.5566497088485,1,11.4362659539077,1.68567262644676,1.75057929951399,12.4354855904466,12.4354855904466,1.85736786069489,2.16561121297873,33.403548652878,15.4241470672676,1,1,1,1
"4",1,1,9.44936076139022,9.44936076139022,9.44936076139022,11.3297622442962,1,1,1,1,1,1,1,1,1
"5",10.3747876058376,33.390622360958,2.50039712653199,1.0950851647364,1.0950851647364,1.1015036044074,1,1,1,1,1,1,1,1,1
"6",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"7",1,3.69452789877537,2.34336603587192,1,1,2.69630190694978,2.2127532934013,1,1,1,1,1,1,1,1
"8",1,1,14.4315375120839,1.98224890691099,1,4.42677300634206,6.49049714759709,4.10561557424282,1,1,1,1,1,1,1
"9",55.1622676752603,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"10",10.3747876058376,1,1,19.4228528897712,7.47069061833734,8.84507962175635,1,1,1,1,1,1,1,1,1
"11",79.5519328053381,1,1,7.47069061833734,1.62054260238083,1.57722574564176,1.70735271011667,1,1,1,1,1,1,1,1
"12",1,1,12.4354855904466,1.64225089468946,1.84397692017159,1.59228424960542,1.4629141800379,1,1,1,1,1,1,1,1
"13",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"14",1,1,1.04917142563026,1.80848591671123,1.16342698050139,1,1,1,1,1,1,1,1,1,1
"15",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"16",1,1,1.83974499296138,3.61524564631341,10.4444419470495,2.69630190694978,6.49049714759709,1,1,1,1,1,1,1,1
"17",1,1,1,6.49049714759709,7.47069061833734,3.66061801506812,1,1,1,1,1,1,1,1,1
"18",1,1,5.51980891299069,29.410997941167,41.4002754074368,8.46794711811416,1,8.45763848183588,2.25553544138197,1,1,1,1,1,1
"19",55.1622676752603,1,1,1,6.49049714759709,6.49049714759709,3.38141582554229,1,1,1,1,1,1,1,1
"20",1,1,1,9.44936076139022,7.96037155811348,4.03113297797662,1.28561571128944,1,1,1,1,1,1,1,1
"21",1,1,1,2.69630190694978,1.49666824593897,4.5577716174235,1.80848591671123,1,1,1.80848591671123,55.3901994852622,1,1,1,1
"22",52.2457387227247,1,1,1,1,10.4444419470495,2.16561121297873,1,1,1,1,1,1,1,1
"23",1,1,1,1,1,1.16004112709293,1.1341956492671,1,1,1,1,1,1,1,1
"24",52.2457387227247,1,2.39208197547084,3.66061801506812,5.51980891299069,4.57125519008174,3.88819702711293,13.4301351643093,16.4244530184947,1,1,1,1,1,1
"25",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"26",1,1,1,7.47069061833734,1.80848591671123,5.51980891299069,24.4148233321298,1,1,1,1,1,1,1,1
"27",45.5566497088485,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"28",45.5566497088485,1,1,8.45763848183588,2.79422880644051,2.08962474605455,2.67539004297865,2.10136649746961,2.03718363065507,6.08445389715656,7.47069061833734,1.70020432765291,1.33109354450257,1.30064240185499,1.30064240185499
"29",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"30",1,1,3.72170562041726,14.4315375120839,3.88968052967643,1,1,1,1,1,1,1,1,1,1
"31",1,1,1,1,4.5577716174235,3.61524564631341,7.47069061833734,7.47069061833734,5.51980891299069,4.5577716174235,1.80848591671123,1,1,1,1
"32",52.2457387227247,1,1.80848591671123,1.10819560424726,1,2.67475153914673,2.69630190694978,1.80848591671123,1,1,1,1,1,1,1
"33",79.5519328053381,1,1,1.53418461974315,7.1323410367939,2.12265124378379,1,1,1,1,1,1,1,1,1
"34",10.3747876058376,2.54469847664197,1,1,2.69630190694978,1.4629141800379,1,1,1,1,1,1,1,1,1
"35",1,1,1,1,1,1.05878803845648,1,1,1,1,1,1,1,1,1
"36",10.3747876058376,1,1,1,1,1,1.59228424960542,1,1,1,1,1,1,1,1
"37",1,1,3.61524564631341,3.61524564631341,11.4362659539077,16.4244530184947,16.4244530184947,16.4244530184947,15.427771517998,1,1,1,1,1,1
"38",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"39",1,1,14.4315375120839,1.79354931904295,1.60474283356059,2.38671972445245,1.98224890691099,1,1,1,1,1,1,1,1
"40",79.5519328053381,1,1,8.45763848183588,12.4354855904466,1,1,1,1,1,1,1,1,1,1
"41",1,1,1,1,1.06701887328797,1,1,1,1,1,1,1,1,1,1
"42",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"43",1,1,11.109438105502,1.66396671404696,1.4629141800379,1.38503920642279,1.55565933095065,6.49049714759709,8.45763848183588,8.45763848183588,1,1,1,1,1
"44",55.1622676752603,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"45",10.3747876058376,2.54469847664197,1,1.00814050004724,1.05760571749482,1,1,1.33490353088609,1,1,1,1,1,1,1
"46",1,1,26.4128514580538,27.4120943223182,27.4120943223182,22.4174625637233,1.0721056673163,1,1,1,1,1,1,1,1
"47",52.2457387227247,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"48",1,3.74767627661312,1.4629141800379,1,23.4160549657107,10.7192682447959,4.05765779232579,1,1,1,1,1,1,1,1
"49",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"50",1,1,1,1.2870480628014,1,1,1,1,1,1,1,1,1,1,1
"51",1,9.50261948652414,2.40225429210611,1.92768194536675,1.29875979901637,1.4629141800379,7.47069061833734,5.51980891299069,4.9096757413031,1,1,1,1,1,1
"52",52.2457387227247,1,1,1,1,2.32173468356799,2.04325643436213,2.24493471067526,3.61524564631341,1,1,1,1,1,1
"53",52.2457387227247,1,1,1,1.21961304505806,5.51980891299069,6.49049714759709,7.47069061833734,1,1,1,1,1,1,1
"54",1,1,1,1,1,1,1,1,1,1.80848591671123,1,1,1,1,1
"55",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"56",10.3747876058376,9.20547345387159,2.00268832769976,1,1,1,1,1,1,1,1,1,1,1,1
"57",79.5519328053381,1,11.4362659539077,13.4301351643093,15.427771517998,13.4301351643093,6.49049714759709,1,1,1,1,1,1,1,1
"58",1,1,9.44936076139022,2.03820648587496,7.06934362198797,2.38335678914102,1,1,1,1,1,1,1,1,1
"59",79.5519328053381,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"60",1,1,1,1,1,3.61524564631341,2.69630190694978,1,1,2.69630190694978,1,1,1,1,1
"61",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"62",1,1,1,1,1.19004501359785,1.2870480628014,1.37233098235394,1.80848591671123,1,2.69630190694978,27.3856992742736,1,1,1,1
"63",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"64",1,13.5344294372907,2.24370970222308,2.05227446559649,1.4629141800379,1,1,1,1,1,1,1,1,1,1
"65",52.2457387227247,1,6.49049714759709,1.68567262644676,1.33490353088609,8.45763848183588,3.61524564631341,8.45763848183588,1,1,1,1,1,1,1
"66",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"67",36.5525558343009,1,9.03694869688515,1.79354931904295,1.64225089468946,1.62054260238083,1.24046667424329,1,1,1,1,1,1,1,1
"68",1,1,3.61524564631341,1.33490353088609,1.17155699201744,3.61524564631341,2.69630190694978,1,1,14.4315375120839,1,1,1,1,1
"69",36.5525558343009,1,1.0097092686455,1.05760571749482,1,1,1,1,1,1,1,1,1,1,1
"70",1,1,1,1,1,1.29875979901637,1,1,1,1,1,1,1,1,1
"71",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"72",10.3747876058376,1,16.4244530184947,18.425088792663,18.425088792663,20.4208483394876,23.4160549657107,8.45763848183588,1.19966266350302,1,1,1,1,1,1
"73",1,13.5344294372907,2.83316772056611,1.99117825018279,1,5.51980891299069,1.7289925635092,1,1,1,1,1,1,1,1
"74",45.5566497088485,4.42896526590789,1,1,6.49049714759709,2.58075753580449,2.54196696319223,1.83618896031549,1,1,1,1,1,1,1
"75",55.1622676752603,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"76",1,1,1,1,1,1,1.01839951620618,1,1,1,1,1,1,1,1
"77",10.3747876058376,28.1448832749297,2.50039712653199,1.19004501359785,1,1,1,1,1,1,1,1,1,1,1
"78",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"79",1,1,6.49049714759709,1.66396671404696,1.39784429914051,1.4629141800379,1,1,1,1,1,1,1,1,1
"80",10.3747876058376,1,17.4215018052907,2.59121961525364,1.94105020316088,1.89942087850472,21.5177464924163,1.16269754450206,1,1,1,1,1,1,1
"81",1,3.17587532462306,1,1,15.427771517998,14.4315375120839,15.427771517998,13.4301351643093,1,1,1,1,1,1,1
"82",45.5566497088485,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"83",1,1,1,1,1,8.45763848183588,10.4444419470495,10.4444419470495,1.64225089468946,1,1,1,1,1,1
"84",1,1,2.69630190694978,1.20952103208818,1,1,1,1,1,1,1,1,1,1,1
"85",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"86",1,1,7.5445789043973,1.62054260238083,1.68567262644676,1.70735271011667,10.4444419470495,1,1,1,1,1,1,1,1
"87",1,1,1,7.47069061833734,7.47069061833734,6.49049714759709,6.13829912003969,1.66153629284611,1,1,1,1,1,1,1
"88",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"89",45.5566497088485,1,1,1.80848591671123,1,5.04791150709643,1,1,1,1,1,1,1,1,1
"90",79.5519328053381,1,5.51980891299069,1.98224890691099,1,1,1,1,1,1,1,1,1,1,1
"91",10.3747876058376,1,2.69630190694978,1.27552165338163,1.83618896031549,1.96170326237793,1,1,1,1,1,1,1,1,1
