"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",1,1,22.4174625637233,22.4174625637233,22.4174625637233,7.24132032939469,1.59886076081892,1.57722574564176,1.57722574564176,1.08893867383629,1,1,1,1,1
"2",45.5566497088485,1,19.4228528897712,2.16561121297873,1,1,1,1,1,1,1,1,1,1,1
"3",45.5566497088485,1,1,1.12240353400653,1.37233098235394,1.4629141800379,1,1,1,1,1,1,1,1,1
"4",52.2457387227247,1,1,1.10819560424726,1,1,1,1.0721056673163,1,1,1,1,1,1,1
"5",10.3747876058376,1,8.45763848183588,1.85736786069489,1,1,1,1,1.02182117125747,1,1,1,1,1,1
"6",1,3.8875267483711,1.06701887328797,1,6.49049714759709,5.51980891299069,9.44936076139022,15.427771517998,6.49049714759709,15.427771517998,30.4106435684764,1,1,1,1
"7",1,3.17587532462306,1,1,1,1,1,1,1,1,1,1,1,1,1
"8",45.5566497088485,1,1,1,4.5577716174235,1.64225089468946,1,1,1,1,1,1,1,1,1
"9",10.3747876058376,1,1,1,1,1,1.18123049201038,1.48780789731053,4.47981242353424,1.87649157083375,1,1,1,1,1
"10",1,1,6.49049714759709,18.425088792663,19.4228528897712,2.26466887781576,2.20536078472734,11.9807184370376,1.17155699201744,1,1,1,1,1,1
"11",1,1,3.61524564631341,7.47069061833734,6.49049714759709,11.4362659539077,1,1,1,1,1,1,1,1,1
"12",10.3747876058376,1,14.4315375120839,2.18551062679438,1,1.80848591671123,1.80848591671123,3.61524564631341,1,1,1,1,1,1,1
"13",10.3747876058376,1,3.58376184785445,1.2870480628014,1.41073456640162,5.51980891299069,3.61524564631341,1,1.03504215861957,7.47069061833734,1,1,1,1,1
"14",45.5566497088485,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"15",1,3.74767627661312,1.55565933095065,1.55565933095065,1.4629141800379,1.24046667424329,14.4315375120839,7.47069061833734,2.69630190694978,4.5577716174235,4.5577716174235,3.61524564631341,1,1,1
