"V1","V2","V3","V4","V5","V6","V7","V8","V9","V10","V11","V12","V13","V14","V15"
"1",1,3.17587532462306,1,1,1,1,1,1,1,1,1,1,1,1,1
"2",52.2457387227247,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"3",52.2457387227247,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"4",1,1,1.80848591671123,1.01807675967624,9.44936076139022,1.92028928067328,2.51965146139272,9.46969690978056,10.4444419470495,4.5577716174235,20.4208483394876,1,1,1,1
"5",10.3747876058376,1,4.3907155477194,1.31064667890689,11.4362659539077,1.80848591671123,7.47069061833734,7.47069061833734,6.49049714759709,4.5577716174235,1,1,1,1,1
"6",1,1,10.4444419470495,35.4038959485813,36.4042109739177,7.45007402987256,1,5.51980891299069,4.29340862910104,1.28475827247029,1,1,1,1,1
"7",79.5519328053381,1,1,1,1,1.37233098235394,1,1,1,1,1,1,1,1,1
"8",10.3747876058376,1.87844630115509,2.04325643436213,1,1,1,1,1,1,1,1,1,1,1,1
"9",10.3747876058376,1,2.69630190694978,1.2870480628014,1,4.5577716174235,3.61524564631341,1.80848591671123,1,1,2.69630190694978,1,1,1,1
"10",1,1,1,3.61524564631341,1.4629141800379,1,1,1,1,1,1,1,1,1,1
"11",45.5566497088485,1,19.4228528897712,2.16561121297873,1.80804773562678,1.66396671404696,1.19966266350302,1,1,1,1,1,1,1,1
"12",52.2457387227247,1,1,1,1,1,1.80848591671123,1,5.51980891299069,11.4362659539077,1,1,1,1,1
"13",45.5566497088485,1,1,1,1,1,1,10.4444419470495,1,1,1,1,1,1,1
"14",1,13.5344294372907,19.4228528897712,2.57056390991715,1.87177400232733,10.4444419470495,4.13047451862716,4.13047451862716,2.59560086451492,1,1,1,1,1,1
"15",79.5519328053381,1,4.14495539106611,6.49049714759709,6.49049714759709,10.4444419470495,7.47069061833734,15.427771517998,1,1,1,1,1,1,1
"16",1,1,6.49049714759709,9.44936076139022,11.4362659539077,1,6.49049714759709,7.47069061833734,5.51980891299069,14.4315375120839,1,1,1,1,1
"17",10.3747876058376,1,1,1,1.80848591671123,1.80848591671123,1.48036711517174,5.51980891299069,1,1.80848591671123,3.61524564631341,1,1,1,1
"18",10.3747876058376,1,8.45763848183588,8.45763848183588,2.47220882791758,2.33631317409621,10.4444419470495,4.5577716174235,4.5577716174235,6.49049714759709,2.69630190694978,1,1,1,1
"19",45.5566497088485,1,7.47069061833734,6.22636201094654,2.60750698368931,8.45763848183588,3.90821246807939,3.81699506462593,1.00719439540021,1,1,1,1,1,1
"20",45.5566497088485,1,1,4.5577716174235,4.5577716174235,7.47069061833734,1,1,5.51980891299069,1,1,1,1,1,1
"21",79.5519328053381,1,1,12.4354855904466,11.4362659539077,12.4354855904466,15.427771517998,25.4137583817701,1,1,1,1,1,1,1
"22",79.5519328053381,1,1,1,1,6.49049714759709,5.51980891299069,5.51980891299069,6.49049714759709,1,1,1,1,1,1
"23",1,1,1,5.51980891299069,1.76380436381513,1.74626334050465,9.44936076139022,4.88777330706063,5.54664313548976,1,1,1,1,1,1
"24",10.3747876058376,2.54469847664197,1,1.59886076081892,1.70735271011667,1.70735271011667,1.79354931904295,1,1,1,1,1,1,1,1
"25",52.2457387227247,1,1,1,1,1,1,1.08306190382855,1,1,1,1,1,1,1
"26",79.5519328053381,1,1,1,4.5577716174235,2.69630190694978,4.5577716174235,3.61524564631341,1,1,1,1,1,1,1
"27",52.2457387227247,1,1,4.5577716174235,2.69630190694978,5.51980891299069,2.69630190694978,1,1,1,1,1,1,1,1
"28",10.3747876058376,1,1,1,4.5577716174235,4.5577716174235,5.51980891299069,1,1,1,1,1,1,1,1
"29",45.5566497088485,3.74767627661312,1.4629141800379,1.19966266350302,1.24046667424329,1,1.33490353088609,1.44979964648167,1.12991944375938,1,1,1,1,1,1
"30",45.5566497088485,1,1,14.4315375120839,13.454186199002,5.87943042043813,15.427771517998,2.83395571237518,2.29039048021203,1.0950851647364,1,1,1,1,1
"31",1,1,1.10893457870606,1.06701887328797,8.45763848183588,2.02302336805241,1,1,1,1,1,1,1,1,1
"32",45.5566497088485,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"33",1,1,1,1,6.49049714759709,5.51980891299069,4.5577716174235,4.5577716174235,5.51980891299069,1,1,1,1,1,1
"34",1,1,1,1,1,1,1.80848591671123,2.03820648587496,1,1,1,1,1,1,1
"35",1,15.8239145477059,2.26466887781576,1.96170326237793,2.04325643436213,1.64225089468946,1.7289925635092,1,1,1,1,1,1,1,1
"36",79.5519328053381,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"37",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"38",1,1,1,1,1,1,5.51980891299069,5.51980891299069,5.51980891299069,1,1,1,1,1,1
"39",1,1,1,8.21959604373807,1.55565933095065,1.62054260238083,1.57722574564176,1.4629141800379,1.64225089468946,25.4137583817701,1,1,1,1,1
"40",1,17.7303539895583,2.44150007554043,1.39784429914051,1.18067452516403,1,1,1,1,1,1,1,1,1,1
"41",10.3747876058376,1,12.4354855904466,1.94105020316088,1,1.18940849901909,1.27552165338163,1,1,1,1,1,1,1,1
"42",10.3747876058376,1,1,1,1,1.00719439540021,1.33490353088609,1,1,1,1,1,1,1,1
"43",1,1,1,1,1,1,1,1.80848591671123,1,1,1,1,1,1,1
"44",10.3747876058376,1,1,1,1,1.80848591671123,4.5577716174235,4.5577716174235,4.5577716174235,1,1,1,1,1,1
"45",1,1,22.4174625637233,3.45590427425154,4.56540425306027,2.5566550391557,1.44782197819917,1.48921594268678,1.4629141800379,1,1,1,1,1,1
"46",1,1,1,3.61524564631341,4.5577716174235,1.80848591671123,1,1,1,1,1,1,1,1,1
"47",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"48",10.3747876058376,1,7.47069061833734,7.47069061833734,4.33080813164729,1,1,1,1,1,1,1,1,1,1
"49",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"50",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"51",10.3747876058376,1,3.58376184785445,8.45763848183588,7.47069061833734,8.45763848183588,1,1,1,1,1,1,1,1,1
"52",1,3.74767627661312,2.10136649746961,1.25306367961689,1.59886076081892,4.00399930042279,9.44936076139022,9.44936076139022,9.44936076139022,1.18067452516403,1,1,1,1,1
"53",45.5566497088485,1,1,1,1,1.19004501359785,1.1015036044074,1.89276608127725,1,1,1,1,1,1,1
"54",1,1,1,1,1,1,2.69630190694978,1,1,1,1,1,1,1,1
"55",1,1,12.4354855904466,1.81491417369127,1.42881332561968,1.94978999773769,8.45763848183588,5.88147773814904,10.4444419470495,5.51980891299069,1.54153143512974,5.51980891299069,4.5577716174235,2.69630190694978,1
"56",79.5519328053381,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"57",1,1,1,1,1,1,1,1,1,1,1,4.5577716174235,1,1,1
"58",52.2457387227247,1,1,6.49049714759709,1.97298659645875,1.59710518988776,2.25762346053982,1.62211471882101,1,1,1,1,1,1,1
"59",45.5566497088485,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"60",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"61",1,1,1,3.61524564631341,1,8.45763848183588,8.45763848183588,8.45763848183588,9.44936076139022,9.44936076139022,1.4629141800379,1,1,1,1
"62",1,1,3.61524564631341,16.4244530184947,10.1245766279364,10.4444419470495,1.80848591671123,1,1,1,1,1,1,1,1
"63",1,24.9875326611267,2.18551062679438,1.4629141800379,1,1,1,1,1,1,1,1,1,1,1
"64",1,1,1,1,2.69630190694978,1.80848591671123,1,3.61524564631341,2.69630190694978,1,1,1,1,1,1
"65",52.2457387227247,1,7.39976704971055,1.4629141800379,1.5334087061919,1.35973127540826,1.87177400232733,5.51980891299069,3.61524564631341,1.16269754450206,6.49049714759709,1,1,1,1
"66",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"67",1,13.5344294372907,1.81491417369127,1.87844630115509,1.81491417369127,3.0770483569218,1,1,1,1,1,1,1,1,1
"68",1,1,1,1,1,1.80848591671123,1.80848591671123,1.80848591671123,1.80848591671123,1,1,1,1.80848591671123,1,1
"69",45.5566497088485,1,1,1,1,2.69630190694978,4.5577716174235,3.61524564631341,1,1,1,1,1,1,1
"70",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"71",1,1.94105020316088,2.04325643436213,1,1,4.5577716174235,2.69630190694978,1,1.80848591671123,2.69630190694978,1,1,1,1,1
"72",10.3747876058376,9.20547345387159,2.02302336805241,1.64225089468946,1.93776339799199,2.11362733564881,1,1,1,1,1,1,1,1,1
"73",52.2457387227247,1,1,1,1,1.62054260238083,7.47069061833734,11.109438105502,1,1,1,1,1,1,1
"74",52.2457387227247,1,1,1,3.61524564631341,1.25306367961689,1.26419038750951,1.24046667424329,5.37080767940705,1,1,1,1,1,1
"75",10.3747876058376,1,1,5.51980891299069,1,1,1,1,1,1,1,1,1,1,1
"76",10.3747876058376,1,1,11.4362659539077,2.00268832769976,1.80804773562678,1.7289925635092,1.27552165338163,1,1,1,1,1,1,1
"77",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
"78",45.5566497088485,1,3.00546969783811,8.45763848183588,9.44936076139022,7.47069061833734,5.51980891299069,1.54153143512974,1,1,1,1,1,1,1
"79",45.5566497088485,1,7.39976704971055,1.64225089468946,1.66396671404696,11.4362659539077,5.51980891299069,10.2679429725493,1,1,1,1,1,1,1
"80",45.5566497088485,1,1,1,1,4.5577716174235,1.80848591671123,5.51980891299069,1,1,1,1,1,1,1
"81",1,1,1,3.61524564631341,3.61524564631341,3.61524564631341,3.61524564631341,1,1,1,1,1,1,1,1
"82",52.2457387227247,1,9.44936076139022,1.90413924108788,1.66153629284611,1,1,1,1,1,1,1,1,1,1
"83",1,1,1,1,1,1,1,1.35973127540826,1,1,1,1,1,1,1
"84",79.5519328053381,1,11.4362659539077,15.427771517998,16.4244530184947,15.427771517998,4.5577716174235,1.01807675967624,1,1,1,1,1,1,1
"85",1,1,1.28561571128944,1.08893867383629,4.5577716174235,1.80848591671123,1.80848591671123,2.69630190694978,1,1,1,1,1,1,1
"86",1,1,1,1,1,1,1,1,1,1,1,1,1,1,1
