V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
2.48503317,2.255848239,3.307957703,1.819331585,1.942687743,1.711075013,1.725587155,1.758471857,1.74249073,1.776070646,1.797289607,1.766809587,1.741628347,1.710603766,1.692844369
2.966498829,2.136449938,2.635948373,1.961847457,1.734186376,1.744593701,1.834375782,1.812869135,1.819690549,1.791116865,1.794911091,1.778809084,1.768397075,1.763330493,1.759411693
2.834223096,2.13596518,1.970782531,1.756658899,1.923305317,1.848036036,1.839997312,1.764103806,1.725735163,1.733595956,1.716781041,1.706029696,1.705151928,1.694298849,1.677986066
3.242970392,2.000004852,2.034751829,1.667406408,1.645114049,1.635436406,1.742557477,1.760714989,1.76624515,1.786434988,1.807890089,1.775662374,1.743933705,1.726544949,1.718575865
2.861392832,2.256705215,2.178523842,1.570794695,1.548258829,1.56970131,1.609520287,1.721714186,1.77947617,1.788979704,1.784341415,1.772648906,1.729642204,1.718293005,1.711317397
2.405710941,3.254718539,1.716033136,1.528350294,1.646560699,1.633459605,1.461629709,1.724411624,1.851043749,1.811924604,1.8319436,1.864826564,1.822035039,1.783393667,1.762874009
2.533839352,2.626761695,1.758411406,1.761941242,1.669619613,1.725681603,1.768789024,1.821312004,1.756793185,1.760932959,1.778817938,1.758152365,1.728342054,1.715472784,1.702198644
3.201206409,2.745271068,2.091118304,1.766215113,2.029163061,1.948761314,1.777967967,1.835597234,1.829184314,1.785609299,1.772051358,1.758545531,1.742320868,1.730083687,1.729052827
2.995661206,2.235466417,1.851072874,1.671804965,1.636447056,1.691507209,1.560420309,1.645418514,1.746218646,1.75005769,1.726914113,1.7496995,1.747276889,1.727184001,1.712972902
2.52117035,2.630620519,2.181331922,2.327322606,1.697004793,2.299220995,1.967755618,1.828622127,1.851822463,1.855434431,1.862729821,1.829688691,1.780071913,1.760966338,1.745323513
2.657155274,2.261763155,2.019478036,1.995856291,1.941295208,1.75886501,1.669016072,1.671675117,1.726763693,1.700740527,1.719073147,1.728705672,1.720526616,1.712941355,1.698493666
