V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
4.960465488,5.119686307,3.146718293,2.487921344,2.48290618,2.374284836,2.170430868,2.160695221,2.213632697,2.037548819,1.99864916,1.935542691,1.895583748,1.872683445,1.858308858
8.931460699,6.515299894,3.458530525,2.780199383,2.572576923,2.603603222,2.345302026,2.189869905,2.137012189,2.051888303,1.992371307,1.980862893,1.971861391,1.96900135,1.967640943
8.830172188,5.658941601,3.13301621,2.551598447,2.293590776,2.083934145,2.251578054,2.217708362,2.094292107,2.016210097,1.977366188,1.922658344,1.928585002,1.904712109,1.898559611
4.198604339,2.930131794,2.611595851,2.170729209,2.48123037,1.810577562,1.700517736,1.935288778,2.062787186,2.199981016,2.056690555,2.097555993,1.990199604,1.993327067,1.929538788
5.944525045,2.086738126,2.272220094,1.728205897,2.436618765,3.104943516,2.409761484,2.277933657,2.437834861,2.247395749,2.188427483,2.074307752,1.986793442,1.928567407,1.897480351
3.889940786,2.354402802,3.034484976,5.663342103,2.831400992,2.207228548,1.980726363,2.216595013,2.088721647,2.235794229,2.066971637,2.025560781,1.985801796,1.91880944,1.90388151
7.912291948,5.276388352,3.433803531,2.355652734,2.572049664,2.156943559,2.155014126,2.032289848,1.970465022,1.897325383,1.872967836,1.839107825,1.831356604,1.812727773,1.799960505
5.939940073,8.12631341,3.727168908,2.267841043,2.331001985,2.229333258,2.25785255,2.206049129,2.016261599,1.934314299,1.87805139,1.845055771,1.844260458,1.827476971,1.823970695
6.151855562,3.131408454,2.785433742,1.610845788,1.497204786,1.802867887,1.865757763,2.071569994,2.328577821,2.430085223,2.301029558,2.24272368,2.189085111,2.068813996,2.02682751
12.92807436,4.07828341,2.276390256,2.681939645,2.039802817,1.888375896,1.861055201,1.994264432,1.978041059,1.969145577,1.925474386,1.86505066,1.834981718,1.809021403,1.804675077
6.903961247,3.268362417,5.00548847,2.679482102,2.712611303,2.6226087,2.506152521,2.292317883,2.142092047,2.04303762,1.978573838,1.941272856,1.918436155,1.909761045,1.903337646
8.906077939,2.642824622,1.750157061,1.887988055,1.968710425,1.852319129,1.923955611,2.36442819,2.308992248,2.170511594,2.182532039,2.16189486,2.083279534,2.016988094,1.961801795
7.083331472,3.308901938,2.426129891,2.046521389,2.170781938,2.560174134,2.59138489,2.426909758,2.169466378,2.111304116,2.037878932,1.979579539,1.920354235,1.89364244,1.88169497
3.88068623,5.248903795,4.46885208,1.775485728,2.078538524,2.352461042,2.09992019,2.317783809,2.309168875,2.204651289,2.129034694,2.033172937,1.998462647,1.963953321,1.946451068
7.837044755,1.996417555,2.264412173,2.304356821,2.062975804,2.678709847,2.590043214,2.337196405,2.151431491,2.196539415,2.085011272,1.991573974,1.966870246,1.928813584,1.90772066
5.01494434,2.719814642,2.796145394,2.931149965,2.280290283,1.778370346,1.947373195,2.025157545,2.345820882,2.335849213,2.230357711,2.091820964,2.026735206,1.996168719,1.965146031
5.881031233,4.631051979,2.690704874,1.461594796,1.576928015,1.630035236,1.523944201,1.883472214,2.221290906,2.24719081,2.075866407,2.055135711,1.926925949,1.866110774,1.836130071
5.946438995,2.165118545,2.621953321,2.386019109,1.578596826,1.694312507,1.971606831,2.217896821,2.140262659,2.025395159,2.091431978,2.159019861,2.037796076,1.932052655,1.891806966
6.933879675,2.471474044,2.780815555,2.4514742,2.315002606,2.564070763,2.24763435,2.333295562,2.158436822,2.201995316,2.108971338,2.017620982,1.960284032,1.919641285,1.906008498
6.940052305,2.535342536,1.794816535,2.132733062,1.768125983,2.077980657,2.533516499,2.771346711,2.486984353,2.443088358,2.376685759,2.174399096,2.07992932,2.045974281,2.007418794
7.91272473,2.442038221,1.829700575,2.953513886,2.475222817,2.311787372,3.054809804,2.542310107,2.37260587,2.243530554,2.134739676,2.074048938,2.026024111,1.992371026,1.974443799
8.142829767,4.591158784,2.128114488,1.852701754,1.646942266,2.179968226,2.149798244,2.240006992,2.221587339,2.130924318,2.089307089,2.02975168,1.976694312,1.934243797,1.914787133
9.919118349,2.85860642,2.0101683,2.477441119,1.817099337,2.133484016,2.219356255,2.204732144,2.178860412,2.126215102,1.995068936,1.990713397,1.912588292,1.879872495,1.877207805
