V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
3.560538117,2.215060232,5.272396302,2.784621149,2.851869266,2.135647517,2.085961487,2.144175808,2.073162122,2.076853319,2.053567928,1.967212554,1.90866857,1.851477742,1.822454803
5.55493914,3.544354532,4.946140631,2.702950517,2.114272537,2.137653694,2.23576284,2.149183259,2.091590872,2.008155719,1.984799808,1.944732127,1.923378067,1.913265191,1.905842619
6.24752275,3.947837158,3.422204999,2.404887267,2.565030436,2.325530621,2.233677816,2.069651758,1.962751215,1.943056971,1.890266299,1.856195684,1.844130398,1.823435398,1.800954683
8.82194702,3.375935524,3.107268111,2.248500403,2.026821291,1.980942344,2.130063582,2.094169937,2.045497157,2.037572802,2.026872921,1.951385312,1.895908905,1.870556862,1.858507935
5.035490593,4.163239442,3.931239864,2.151425009,1.937125874,1.895081538,1.925486578,2.07215517,2.108332499,2.065714324,2.013483544,1.957812657,1.88192404,1.857368741,1.844903085
3.071844505,4.753305705,2.266849433,1.850890223,2.150208462,2.135750767,1.752334769,2.162833323,2.377812496,2.210295768,2.180508292,2.159734109,2.046992658,1.957937336,1.911703701
4.80599872,5.179599,2.848179096,2.48944897,2.227618177,2.115236313,2.152807605,2.19966164,2.043732272,2.010311706,1.994118459,1.929255642,1.871837528,1.847920906,1.82795004
6.632546123,4.924816135,3.240767744,2.383143064,2.742539022,2.469241739,2.112438523,2.160886446,2.09646641,1.998175688,1.958132698,1.929440593,1.900108,1.880413904,1.876890327
5.630525136,3.125999947,2.589476678,2.227280772,2.183119615,2.182206196,1.867448182,1.965788886,2.107720945,2.057683018,1.968327607,1.957836342,1.92098503,1.880170709,1.849084794
3.999346915,3.096717186,2.791946245,3.541004481,2.149981953,3.530611374,2.546530778,2.243543123,2.234960685,2.177007065,2.134779289,2.045819718,1.95550669,1.920327351,1.896793905
4.353832227,3.432480606,2.962490831,3.012793947,2.853278541,2.200521962,2.014419953,1.982225077,2.027772994,1.937604933,1.927326288,1.906951204,1.869965142,1.84627325,1.822315243
4.749542812,4.398236906,4.615583453,1.959863659,1.78134988,1.91136597,2.079025538,2.044673493,2.094246638,2.128990351,2.026368299,1.958703067,1.917186255,1.886936262,1.870416204
5.924751703,2.876374164,2.652662561,1.72167436,1.859548395,2.016499584,2.142131047,2.356425376,2.428638605,2.304845036,2.151895186,2.110510316,2.031130892,1.970413472,1.955873736
6.870096682,6.127679686,3.484770106,2.694097267,2.435088533,2.24752001,2.28767316,2.169152994,2.098598014,1.98895292,1.928615076,1.902772012,1.879574958,1.870512437,1.868401915
0,3.866092938,2.7226783,2.284619245,1.818206657,1.595515349,2.134875162,2.098639813,2.272558661,2.117607301,2.164060851,2.062783889,2.154245723,2.077415158,2.019426672
6.790907965,1.901064586,2.256141042,1.681855611,1.843177451,2.073439454,1.888967203,2.412015658,2.316405524,2.145996903,2.053391924,2.082210147,2.029071932,1.978779693,1.950998647
5.230676321,3.348772882,2.572644509,2.653836902,2.393037776,2.035609463,1.945877973,2.14481154,2.124993032,2.106423595,2.022183632,1.976482126,1.913672142,1.895299874,1.864825995
5.684719703,3.011492233,4.376469225,2.704562516,2.441970055,2.289350047,2.286124525,2.223119487,2.084208452,2.022260135,1.986472441,1.954162289,1.931500811,1.904223588,1.900356885
4.18213032,6.214252279,3.789906329,2.556723383,2.158119981,2.139255164,2.136123094,2.095094955,2.079595902,2.06066066,2.005381384,1.916281178,1.858888842,1.846432583,1.843010432
5.304590631,3.193605477,2.096097714,2.394410182,2.466208707,2.093819677,2.044599807,2.176924344,2.393259037,2.150946132,2.11036879,2.055495535,2.035654058,1.983162717,1.947637667
3.335036236,5.438388683,3.209863133,3.711960862,2.174940819,2.095496724,1.995506019,2.125776021,2.137753353,2.098779443,2.053950905,1.976940002,1.915172629,1.884998443,1.869310682
4.431654734,6.436152098,2.24011776,1.582847663,1.57034162,1.982193583,1.986879779,1.990329771,2.122408035,2.153199467,2.142924791,2.049210932,1.984360386,1.930765629,1.88990521
3.745698115,5.260728178,2.762920839,2.96756334,3.009519709,2.686971308,2.442687845,2.347271864,2.238862476,2.175597271,2.065151697,1.9803299,1.954721051,1.937459788,1.925694099
3.161403313,5.093391613,1.581554087,1.874135528,1.944901658,2.124352846,2.51226149,2.738693436,2.408668076,2.308734676,2.11695699,2.035566507,1.968482493,1.922953093,1.8905536
8.934266098,4.597247593,2.28027556,2.355147312,1.935152488,1.953186436,2.03578692,2.06412138,2.04446065,2.012658707,1.993919344,1.929712927,1.884389803,1.864553997,1.853669443
5.541886231,2.666248881,1.61850561,2.182586605,1.373355976,2.265679899,1.459719163,1.80934543,1.660513573,2.070090886,2.334782156,2.145362104,2.111227143,2.123197619,2.058834556
6.704096452,5.52389586,2.613740911,2.38124372,2.739250611,2.272389217,2.252370235,2.207070264,2.079713079,1.999892524,1.945215587,1.93781096,1.90721854,1.89963952,1.891254817
3.470407311,7.040624055,1.827687835,1.740799931,1.44224895,1.234629914,1.662617229,1.547423177,1.614672217,1.648999362,1.899913988,1.804980319,1.983254205,2.173207577,2.072950502
4.511778211,5.443881518,4.000921003,2.611683305,2.214930419,2.101877991,2.164895414,2.244749887,2.112724688,2.034354606,1.956846603,1.938088791,1.904949104,1.880891411,1.873194388
3.597571731,3.784956525,2.962286086,4.142991446,2.692686853,2.572607905,2.201511321,2.144286821,2.138458491,2.053241613,1.948898885,1.911024095,1.882627608,1.853672528,1.83317068
3.145863124,10.09100279,2.275698097,2.648097657,2.253754352,1.990913388,1.965275468,1.907002323,1.966405995,1.98270545,1.936715096,1.850617655,1.822233104,1.78906674,1.769833405
6.104208033,3.714608525,2.007062306,1.873929511,1.720665425,2.402715064,2.113759586,2.208253066,2.146918641,2.230283349,2.165691325,2.083176941,2.036482914,1.981135573,1.939755092
10.41961087,2.977784602,2.175699426,2.303438522,2.318199446,2.282783376,2.276511485,2.172832286,2.240577772,2.150272082,2.056935039,1.992058691,1.9428978,1.931913578,1.918179698
3.141995196,2.901346547,3.635277467,2.120184076,1.752337933,1.916814835,1.873491207,2.241060891,2.014127627,2.070944255,2.146849753,2.056876443,1.976288808,1.92997076,1.863521142
3.856248483,5.457752792,2.505872624,2.656292304,2.034707696,1.819755707,1.965410543,1.871338388,2.051266292,2.054192712,2.029173741,2.035971825,1.973813941,1.914669356,1.882585909
6.132292868,3.337628021,2.149999486,1.97337127,1.993623848,2.081483645,2.021175356,2.198206595,2.122652226,2.146112379,2.135227404,2.080845789,2.000573332,1.935847603,1.9186583
6.98085467,4.710083486,2.484702686,2.531361601,2.420686991,2.233685749,2.188520305,2.05177632,2.034829495,1.981493896,1.939237794,1.880637937,1.851628069,1.836602977,1.822090684
4.517951575,4.479784298,3.81223809,2.633356489,3.032338145,2.34641528,2.082690144,2.008231329,2.00363025,1.950632078,1.854422763,1.822867444,1.78878843,1.777954115,1.775050747
