V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
3.621700249,4.125305004,1.6682076,2.887393076,2.264967779,2.26321343,2.406907762,2.156371661,2.063004326,1.926882581,1.777965932,1.690117523,1.669929133,1.654885903,1.649073826
9.747396211,3.345767649,2.49252763,1.842584699,1.684807969,2.073850468,2.583964079,2.226776348,2.010601546,1.846163975,1.726430823,1.656414019,1.640601271,1.62450027,1.621197876
4.415584308,1.039918408,2.229352768,1.378510793,1.86931369,2.148909248,1.922136117,2.948116575,2.120614398,2.180250105,1.976633459,1.823260027,1.689917383,1.623068854,1.590185747
2.526174929,2.811530313,3.165723272,3.270138737,3.234705651,2.568592527,2.439311659,2.040633961,1.839774894,1.73784063,1.664599693,1.651684683,1.629580111,1.621978107,1.621443792
3.511377344,13.68427053,2.407014362,2.250716374,2.299214849,2.20726354,2.065960167,1.884271821,1.782403172,1.674332967,1.633483922,1.605135834,1.594185665,1.594980329,1.593265937
18.8722863,3.562886067,2.889504408,2.756914902,2.367289684,2.2642711,1.922795949,1.824887809,1.711735972,1.671788549,1.648769928,1.635098407,1.62629082,1.62785931,1.628362748
2.399657401,9.209383504,3.064421362,2.023169499,2.068416633,2.471280591,2.075041985,2.012515286,1.850841893,1.743814303,1.672099893,1.62792995,1.619045402,1.604265754,1.601726011
2.514044963,2.818175234,3.721254638,2.374569189,1.98433055,2.210066586,2.349061166,2.311940669,2.097880645,1.85195923,1.733252793,1.667855697,1.636489535,1.614959622,1.615740265
13.90669489,5.629100724,2.410662733,1.94425113,2.261652835,2.132299187,1.995366254,1.904411245,1.735217191,1.716028224,1.663383937,1.653599784,1.63350579,1.635154368,1.633425034
3.673644029,2.86400565,1.867828703,3.686423295,3.959585104,2.578334518,2.347734032,2.180234969,1.913804512,1.766669479,1.68059679,1.644586775,1.647076602,1.637316158,1.63558285
5.811676761,4.093116246,2.302273146,2.893592985,2.47340084,2.63703597,2.161194977,2.038840913,1.8468125,1.740440549,1.701447616,1.669567328,1.670094913,1.668772139,1.662460658
