V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
1.248884407,1.137408802,4.48912562,2.53346506,2.74860967,2.087753179,2.046562696,2.089782494,1.984909245,1.936709559,1.859227107,1.738235804,1.665818884,1.617146621,1.594322931
4.836032278,2.885291766,4.713493876,2.638095354,2.071113333,2.083817696,2.136409374,1.983523326,1.875487727,1.752247821,1.715740076,1.677372121,1.660215426,1.652311987,1.645553157
4.834209215,3.281501886,3.208632311,2.331811314,2.511645324,2.264923009,2.135289898,1.926733333,1.783321544,1.727040788,1.659549508,1.62582766,1.617257456,1.603728209,1.584709939
6.751452499,2.91191018,2.931298791,2.182546256,1.985252665,1.940955129,2.065767349,1.989264255,1.892819228,1.820726971,1.763959778,1.68260223,1.633361492,1.611672481,1.602350295
3.573309199,3.357389337,3.683209694,2.076766398,1.893388728,1.859420954,1.88221836,1.995856942,1.983833424,1.876543471,1.775774964,1.703005903,1.62992916,1.611029595,1.602489258
1.261924027,3.275624298,1.755494281,1.562231694,1.971691072,2.040388098,1.702970646,2.123442945,2.317834768,2.120360766,2.030220262,1.940028633,1.781745514,1.686862194,1.646683778
2.553335289,4.154856259,2.569389465,2.372950529,2.171873065,2.073858902,2.10031664,2.108244415,1.915796727,1.828768445,1.766896568,1.688384279,1.633244139,1.615074406,1.599617295
4.685451527,4.306895699,3.074846359,2.318863532,2.685908178,2.386387667,2.001391188,1.983108147,1.861381841,1.728814204,1.680118235,1.652184499,1.631579945,1.6171538,1.615949891
3.750871979,2.334409495,2.234431559,2.062279304,2.101241394,2.135410526,1.83232407,1.922506786,2.028216951,1.928037042,1.795812468,1.741993542,1.688787893,1.638676796,1.612416785
1.1759579,1.640641181,2.083245473,3.158138279,2.017675308,3.449164235,2.487104225,2.164718769,2.109633325,1.980556382,1.870371091,1.755539343,1.668694374,1.638226557,1.619692107
2.461316374,2.460289749,2.548959958,2.835361237,2.78010892,2.156982223,1.967639228,1.9131413,1.91673672,1.786051323,1.733335566,1.687662433,1.644741569,1.623924671,1.604556113
3.637472202,3.624306603,4.379328133,1.897837649,1.742520599,1.876521455,2.029564706,1.965704809,1.953805838,1.919775007,1.775392133,1.688821345,1.65141844,1.629752726,1.617819474
3.655709032,2.088955447,2.263659401,1.540639104,1.742469527,1.94795324,2.098711668,2.3048311,2.340974049,2.154771433,1.934437392,1.837832604,1.739292881,1.67992686,1.66793807
4.402503688,5.511120896,3.354724739,2.634983795,2.37687174,2.162545445,2.145570416,1.957305843,1.826662257,1.707125998,1.650839594,1.629759879,1.611691791,1.606636565,1.605924399
0,2.359504804,1.778574816,1.718912618,1.487397015,1.373004152,1.9779927,2.017682055,2.224247927,2.07671579,2.106074169,1.970562892,1.992822148,1.859896331,1.759989728
4.328796096,1.252006366,1.759513239,1.407072475,1.650173437,1.953640546,1.825390434,2.364909843,2.262044824,2.066222001,1.936279596,1.903785938,1.806166998,1.731786282,1.690042195
5.095247611,2.675865971,2.315116981,2.536942037,2.337337622,1.99557946,1.903205964,2.062944367,1.984985243,1.899415851,1.778561706,1.717464876,1.654719013,1.640582244,1.616605672
3.675749015,2.340114584,4.056651759,2.61048356,2.390469515,2.240192072,2.206486905,2.081132554,1.891766092,1.776440301,1.717598176,1.676360359,1.660035533,1.638431366,1.63640653
1.222601008,4.80623146,3.444875153,2.449646308,2.105006475,2.097099309,2.080282096,2.011728545,1.935369282,1.856698438,1.763521006,1.666711333,1.616738029,1.609870626,1.610978036
3.634923843,2.336080752,1.731554544,2.189582013,2.370332748,2.045177246,2.004691078,2.121414927,2.269333614,1.978619476,1.873620547,1.780099903,1.739330232,1.690108559,1.662844616
1.183907594,4.28629443,2.823199732,3.572159459,2.123429906,2.055036832,1.94703559,2.0423676,1.99559443,1.894002883,1.797706915,1.704346463,1.649687476,1.629923569,1.616477328
2.622345167,5.529189903,2.024531415,1.46979276,1.492602582,1.928544164,1.949783989,1.951162047,2.055409366,2.04100116,1.955665518,1.813361997,1.717286057,1.660271084,1.625692004
1.252383916,4.204167669,2.376860575,2.798675779,2.937016941,2.626375571,2.354255129,2.20096554,2.013991912,1.887319236,1.75347922,1.672749749,1.653394135,1.640658245,1.632890642
1.155645836,4.245958367,1.254463939,1.613161204,1.769131663,2.016735771,2.451584065,2.678297962,2.324602061,2.168470113,1.925625532,1.796267468,1.707684521,1.665093894,1.63979862
7.774527492,4.189134912,2.166865942,2.295519152,1.897594746,1.913347971,1.976201039,1.956833228,1.881466783,1.795610982,1.741425069,1.667663793,1.628632979,1.612425379,1.605697862
3.658792335,1.831960105,1.159345009,1.839371964,1.173798265,2.10777059,1.378674803,1.750613683,1.623510065,2.034182465,2.273385039,2.047785699,1.954601217,1.898277498,1.784484916
4.666544318,4.903006946,2.462639224,2.313812131,2.68353136,2.206808112,2.141897145,2.035332169,1.851083676,1.743427041,1.677110465,1.663067583,1.637404271,1.632157766,1.627682824
1.290462117,5.752208382,1.532730245,1.547764959,1.312763978,1.134904892,1.577731256,1.492046215,1.576469786,1.62034897,1.868042758,1.763941429,1.907294425,2.027797716,1.868661458
2.635445689,4.489349115,3.7541816,2.535198601,2.169254792,2.054112592,2.09059091,2.103819826,1.910816739,1.792114039,1.703594832,1.671330281,1.642894029,1.626459167,1.621467527
1.276919334,2.714155889,2.388329053,3.904255063,2.621136499,2.52128416,2.138899035,2.047888681,1.985016266,1.842716224,1.714586653,1.668430394,1.639945503,1.618416188,1.602662863
1.36663888,8.81828863,2.081180085,2.548852852,2.203269608,1.9531564,1.917436784,1.840841844,1.862269924,1.827059077,1.740652647,1.638225195,1.609355909,1.580775483,1.567649639
4.702431255,3.077316438,1.773024343,1.739357925,1.640671122,2.347963303,2.074797314,2.149936343,2.050416028,2.058075832,1.921569738,1.794871578,1.728886836,1.675771077,1.64326812
