V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
2.461316374,4.152461596,2.88037369,2.389379366,2.426652569,2.321651366,2.093363995,2.044347787,2.021049546,1.797849087,1.736805983,1.671559073,1.640128788,1.621193948,1.611423308
6.749311275,6.081894727,3.363013536,2.718774402,2.480831325,2.426708307,2.087957555,1.876888647,1.792589714,1.714997582,1.666682643,1.661572104,1.656118905,1.654359693,1.653823164
6.705835744,5.21840699,3.02900438,2.49464307,2.237477317,2.009891482,2.109251528,1.990028435,1.826436057,1.732428148,1.690225341,1.644818635,1.652643406,1.63503481,1.631524127
1.397315178,2.136436689,2.076712899,1.849934242,2.308411852,1.728556009,1.651165072,1.898076618,2.022310583,2.133020663,1.952011032,1.927933698,1.773416685,1.740459482,1.669628834
3.557346716,1.320912033,1.719414905,1.391260041,2.213148285,2.998787003,2.358558061,2.226316183,2.340173868,2.101090088,1.969568777,1.812430594,1.710929638,1.655642944,1.632419688
1.156963146,1.166824644,2.152259985,5.226091603,2.729356087,2.157566101,1.941986961,2.159379852,1.999118764,2.069966041,1.848996987,1.76822172,1.708494412,1.648400918,1.637676403
5.727100967,4.749061844,3.307567114,2.301918394,2.510662036,2.084349115,2.031728728,1.860730903,1.765735018,1.671635915,1.641425696,1.610855103,1.606099547,1.590343179,1.579731452
3.399378925,7.404451504,3.601547768,2.217231778,2.279040801,2.150375074,2.122716041,1.995558904,1.773661034,1.684181729,1.632243935,1.605008919,1.606660344,1.594021019,1.592428286
3.510327664,2.366150753,2.444596676,1.456136004,1.390774906,1.726065212,1.818906963,2.035869507,2.273935201,2.319372475,2.110654014,1.967685294,1.86141232,1.734900394,1.698567379
10.74827203,3.774762165,2.186543803,2.623825206,1.996703821,1.839751166,1.794456092,1.877113174,1.819154444,1.760981796,1.696556068,1.635271423,1.611615361,1.589706818,1.587273684
4.588027139,2.6932311,4.764721513,2.613415977,2.65324798,2.520909944,2.32408229,2.029823616,1.833642248,1.725886807,1.667857138,1.639826053,1.624424076,1.618510495,1.612869474
6.751574558,2.198116903,1.521065003,1.736465104,1.878646933,1.800718125,1.887192095,2.313301002,2.215418513,2.02342183,1.957227124,1.872800021,1.770738153,1.702747414,1.65740092
4.585244956,2.679750524,2.170217512,1.920758158,2.103061335,2.510644623,2.518199745,2.30134565,1.985586986,1.870818444,1.765982109,1.704154726,1.651607935,1.630800429,1.623047531
1.1775069,4.760294553,4.154483168,1.68204987,2.020414841,2.30701672,2.053601427,2.227331448,2.141179989,1.962247972,1.827771672,1.72358136,1.693293192,1.66730273,1.656052427
5.471438823,1.551045093,1.935371138,2.121511267,1.969846565,2.621966214,2.529301239,2.249792747,2.019858743,1.991814238,1.827822276,1.714832939,1.68637654,1.653368067,1.639424329
2.338695588,1.758762125,2.222614677,2.673257285,2.176229019,1.728200506,1.909041268,1.986285906,2.263598181,2.179752068,1.99483195,1.809018745,1.726308236,1.693910315,1.669541612
3.593313135,3.886724551,2.465649218,1.361685225,1.50321007,1.580714923,1.490414855,1.852876012,2.170322178,2.154080939,1.934820219,1.851894079,1.702417915,1.638064319,1.608864845
3.619791641,1.322368754,2.061260483,2.109345965,1.442994081,1.598855102,1.911362268,2.174570735,2.097158786,1.962303627,1.981664838,1.981608086,1.809831404,1.689223673,1.647951304
4.552598593,1.869258018,2.440306077,2.300312642,2.245087834,2.512003384,2.189514074,2.228501443,2.000923363,1.963283299,1.81842761,1.712601804,1.66017376,1.631404543,1.619559458
4.644550179,1.86630429,1.428271869,1.891037452,1.635276564,1.9956043,2.480949393,2.704214847,2.373057548,2.234511771,2.06080706,1.829656393,1.735778937,1.708075165,1.681104433
5.583689591,1.897602868,1.529176464,2.765064413,2.400373717,2.264189038,2.959439417,2.385555247,2.128502446,1.937354889,1.796271047,1.734519913,1.695230039,1.668435224,1.655057973
5.596799635,4.075836776,1.978830489,1.774803193,1.599878201,2.13903273,2.101886998,2.158668587,2.074564206,1.91882026,1.81849814,1.734782596,1.68141734,1.646832859,1.632912467
7.737310091,2.428680021,1.821563553,2.371760222,1.768205691,2.093911745,2.169216072,2.121162816,2.033813764,1.913592446,1.747177951,1.719919236,1.651575959,1.628390655,1.628210018
3.51274152,5.119209568,2.116543886,2.669101059,2.216456096,2.424300992,2.212411969,2.046375416,1.932031075,1.794640634,1.718472981,1.674914375,1.643537342,1.619257265,1.613621759
6.841988427,3.920763158,2.234521149,2.244307292,2.258544599,1.952427715,2.044971643,1.959471684,1.908085444,1.837109913,1.707270447,1.672139483,1.64730448,1.635702422,1.622358794
5.569129611,3.744466898,1.625863489,1.698261395,2.190065205,2.277651811,2.148727165,2.13726529,2.01445219,1.820325722,1.761093577,1.642882129,1.621181975,1.593581486,1.591234781
6.877238475,2.045603718,1.756002055,2.278642483,2.476546516,2.270540347,2.146107371,2.142135162,1.99461712,1.864038289,1.751031372,1.72360421,1.649170304,1.621937103,1.606236286
3.442374057,4.115337074,1.847230811,1.86031677,2.288543588,2.226949891,2.071951099,2.000102862,1.942550721,1.849202759,1.76742285,1.719552982,1.658000036,1.636428586,1.615125198
4.588434063,6.917131621,2.27788765,2.403719433,2.178405155,1.719208921,1.959610247,1.881715056,1.827919974,1.747666456,1.676093533,1.641226731,1.604330802,1.589329459,1.577031581
4.640507617,2.883412841,1.489814464,2.852814238,2.235367083,2.089474968,2.434181138,2.053153381,2.091278304,1.989232754,1.824308222,1.694560287,1.649565128,1.626388136,1.61520036
7.748394714,2.802511529,2.852930707,2.527932677,3.034440111,2.339166602,2.003142656,1.870917772,1.814390972,1.716111161,1.679558132,1.646167786,1.626487478,1.625580667,1.62048219
4.523948569,3.075585498,2.087620735,1.720945785,1.623788952,1.683767624,1.976545983,2.032073377,2.10564353,2.024619094,1.939620279,1.786904331,1.719715212,1.66714752,1.626887641
7.613834682,3.441159808,1.549604052,1.420323657,2.081893826,2.107416882,2.107649362,2.173004869,2.066040139,1.916595939,1.819833164,1.704969815,1.656492911,1.616851691,1.605151188
14.78305407,2.172591769,2.111078428,2.180399518,2.062085615,2.071749374,2.297690888,2.158279573,1.962418744,1.805653479,1.735884518,1.661532999,1.641389743,1.635425324,1.628905055
1.096791245,8.262658453,3.092933216,3.535937843,2.308386421,2.566304182,2.155447882,1.947250629,1.839238573,1.739758753,1.651293987,1.638305242,1.617392208,1.608508785,1.601061585
5.841398355,3.406910065,2.934485652,2.379763322,2.230440855,2.27649693,2.21308577,2.082058839,1.969219258,1.824510256,1.712149624,1.663067467,1.636483046,1.620311653,1.616199075
9.129334966,3.382649793,2.668620705,2.661752228,2.389431178,2.228750223,2.12004742,1.98048567,1.894865527,1.775942237,1.710358895,1.667054075,1.651042388,1.644541199,1.644992236
12.69969377,2.183082632,1.704623906,1.532094228,1.585380466,2.295032261,2.074531178,2.098143195,2.094509316,2.002590748,1.792348279,1.708612285,1.665280089,1.639717284,1.627311049
2.361449707,3.150295814,1.62877806,2.200156187,1.936934881,2.184471089,2.170271285,2.361167891,2.393031528,2.12521542,1.891376733,1.764861754,1.7259599,1.674888864,1.660806089
2.364519158,10.91692899,3.275717287,3.085447104,2.471404247,2.303397782,2.059373343,1.881334665,1.753151074,1.673494063,1.632566217,1.616968423,1.607189502,1.606253803,1.606946591
3.597602467,3.105722831,3.890946431,2.614772252,2.240682478,2.35112408,2.129249453,2.065628525,1.944257259,1.844646412,1.709269509,1.657227237,1.637678115,1.629068119,1.616850471
3.383245695,4.619548493,3.135714064,2.950065993,2.400543516,2.532960064,2.229348365,1.960014837,1.804478983,1.764697181,1.674643557,1.646609716,1.632811552,1.62158653,1.623045746
11.00916211,2.12517555,1.640995964,1.739158818,1.816556361,2.351082723,2.38870724,2.294957687,2.041766785,1.876719459,1.74789582,1.679478379,1.655654753,1.647942195,1.637024304
3.49538038,4.868764788,2.222492077,1.792662794,1.720292105,2.081877093,1.95994925,2.052635907,2.002988297,2.031241948,1.858955954,1.769599875,1.681291905,1.649440707,1.648429228
1.168732507,2.168873559,4.29321727,2.477960576,2.147097331,2.149405028,1.953838853,2.075676846,2.115442873,1.958029393,1.849699441,1.741122609,1.682941007,1.640415561,1.631652415
11.69844617,2.708574802,2.323373155,2.802214971,2.695059891,2.501649451,2.21325874,2.04561575,1.850538192,1.723570322,1.671749996,1.659541571,1.645189207,1.639815962,1.640840762
8.012390335,4.312168638,2.797727032,2.014500119,2.101435156,2.117592089,2.111144903,1.996708033,1.909825543,1.800707714,1.726886,1.672585586,1.654795457,1.64073829,1.633022579
3.759563341,2.842634126,3.206212989,3.288743643,2.838037152,2.589025581,2.310035716,2.037595088,1.857341425,1.767707284,1.719976586,1.688703215,1.668079692,1.660226627,1.652811223
8.886749329,5.400620157,3.094912303,2.289448858,2.508074335,2.441828152,2.128408449,1.929351212,1.788588432,1.705982973,1.677897584,1.66455054,1.656904003,1.653508632,1.654626752
9.828293514,3.755997197,3.136465835,2.54765992,2.334479632,2.142005483,2.158083889,2.013665495,1.801284399,1.693837954,1.645919518,1.626864116,1.616365358,1.611550075,1.610457368
3.581329712,2.081761804,2.262746864,2.835658496,2.712265739,2.646215195,2.376709137,2.287500334,2.065279911,1.892641669,1.763913106,1.684642316,1.642205014,1.629357417,1.623082651
1.254162874,3.720923384,3.056799051,1.618378864,1.99345683,2.034264753,2.180536678,2.109620827,2.138303342,2.0687077,1.964501956,1.779669761,1.716948743,1.676373049,1.659769038
4.46980675,3.68178414,2.498350079,2.523457315,2.146923993,2.289841732,2.425162226,2.157787599,1.931895419,1.779927259,1.71277476,1.673317856,1.653261882,1.647319309,1.630219611
8.710610807,3.169560872,1.983434001,2.088160755,2.426743174,2.457266613,2.224400946,2.075652355,1.949960175,1.822417697,1.687947732,1.645590147,1.630420999,1.610832505,1.606554363
2.527247797,1.436000045,2.682898336,1.522262309,1.149285205,1.436856561,1.644664572,1.391990089,1.709255985,1.956648246,2.05665402,1.922581431,1.939634441,1.937540708,1.765046559
5.659725824,4.422559812,2.354286852,2.462772679,2.411480587,2.195547759,2.184529381,2.079780296,1.939223167,1.817104518,1.719474086,1.667148432,1.65078674,1.638392465,1.635644255
8.806208903,2.379152279,1.241805023,1.190492118,1.275801445,1.603317672,1.690546615,1.736961249,2.008206807,1.950686758,2.194768845,2.013462678,1.837866031,1.720560901,1.640933885
6.930352402,3.071673735,1.884092834,2.44998753,2.153909386,1.943466158,2.123960738,2.002168952,1.871400297,1.791570087,1.708648667,1.649726049,1.606112723,1.587122866,1.575401032
4.818507705,3.076563251,2.842360687,2.369192641,2.185359408,2.197264693,2.153936641,2.027525904,1.972870854,1.811812278,1.748457207,1.668383265,1.651332371,1.62709604,1.619678387
16.68502423,3.151275598,2.958467327,2.579597858,2.573790808,2.14169593,1.990104537,1.900548231,1.759348364,1.675401431,1.661673782,1.642488035,1.632985747,1.627798965,1.624672677
2.450200808,1.418386716,1.248655058,1.617482138,2.455562749,1.950602714,2.44753954,2.261480715,2.132607776,2.276830966,2.10158282,1.909217589,1.803492423,1.71830482,1.673698685
2.326256415,2.440486681,2.545678464,3.509087385,2.557688615,2.432364434,2.373773795,2.260090803,2.107654718,1.934005216,1.788910312,1.716461337,1.681133133,1.661194486,1.656220866
1.322094695,7.853458916,3.536371983,2.963452096,2.41650973,2.288892515,2.046437702,2.002604399,1.85369805,1.744286001,1.704758714,1.662659389,1.631650553,1.62749046,1.621557208
7.66917112,2.557515378,1.97322055,1.464793813,1.773171304,2.192946523,2.346166357,2.137480109,2.225912978,1.991059291,1.866557285,1.727705226,1.685779892,1.653909569,1.646284818
6.57556928,1.324163928,2.136908154,1.745963772,1.525623029,1.411290676,1.638828108,1.986032566,1.992695144,2.16629002,2.032211514,2.057521997,1.835537814,1.698557483,1.643731414
7.674736349,4.188368047,3.119433603,2.443219639,2.201901418,2.186823369,2.214759578,1.921623224,1.827480526,1.722668491,1.674671356,1.656746983,1.635551306,1.633988655,1.632242357
1.165233195,4.78022672,3.058073266,3.324232427,3.276591408,2.362417909,2.313700576,2.174903016,1.933297137,1.810461201,1.723916443,1.687244233,1.67093136,1.659289004,1.656734929
7.652668814,3.18595192,1.517563539,1.110576631,1.076490743,1.317274253,1.427408365,1.509141221,1.496621281,1.828279399,1.878381797,1.976541169,1.970817362,1.889917818,1.856477515
5.253192385,5.500539077,2.740455054,1.679298549,1.854652551,2.193597885,2.043352091,2.097987346,1.959354206,1.807442762,1.746450914,1.660856652,1.62367124,1.616431015,1.602670606
8.564101159,3.610546673,2.598848417,2.628310813,2.412709966,2.323217274,2.022460202,1.895454573,1.824840307,1.711947547,1.645891882,1.622849033,1.610110088,1.609141928,1.601346343
1.366061106,5.748646774,2.455106545,1.414011125,1.384233394,1.765201196,1.899680868,2.408168036,2.317046282,2.194850321,2.029480885,1.838378315,1.717579009,1.669743091,1.641910575
3.531157299,7.163811455,2.296872678,2.839123704,2.857220475,2.370076046,2.144865684,1.957363082,1.862430381,1.733057434,1.688186894,1.649200666,1.631420304,1.631789221,1.632053629
6.661203933,3.2116441,2.151270793,2.28044296,1.865291654,2.303410603,2.407138747,2.223029183,1.988916361,1.764227838,1.666259932,1.634158173,1.617368241,1.616528606,1.606522621
6.580052481,2.627038876,2.23422163,1.618136098,1.932274206,1.893076759,1.962834034,2.031359056,1.914946414,1.886142125,1.786630762,1.749729553,1.66868331,1.636410878,1.625963338
3.432977996,1.567523342,1.473712506,2.035145151,2.808799982,2.943422969,2.820062258,2.543986834,2.23746816,1.962370988,1.788807,1.691342758,1.639434818,1.62393204,1.623799335
3.623418625,3.350325469,2.313673173,3.119039174,2.164404346,2.339623071,2.256628151,2.063776526,1.870389467,1.711848224,1.684954845,1.646280827,1.604517361,1.592652981,1.591610383
9.773591657,5.361993261,3.053932636,2.418450144,2.38091496,2.240491206,2.266531618,1.989262462,1.81071699,1.744147821,1.705887423,1.691647777,1.68903196,1.68600147,1.680933532
4.80987659,1.859704824,2.140661676,2.75294568,2.434952999,2.054864365,2.150116353,2.070624129,2.029974153,1.843042939,1.788286101,1.681669853,1.631558807,1.612257357,1.598091972
4.558411526,2.077803376,2.773600263,1.921979387,2.188418123,2.550883517,2.677940954,2.125441924,1.994375017,1.864679102,1.777540596,1.699914192,1.633123944,1.619787115,1.609994223
4.959405712,4.506245583,1.889296918,1.833581228,1.720425729,2.133646877,2.228069124,2.100791136,2.115015968,2.0234906,1.800608163,1.720427024,1.679161779,1.664194689,1.647121336
9.675604256,2.742701688,1.730148788,2.182292308,2.370469346,2.333149995,2.098674892,2.006610039,1.937324074,1.860673644,1.733364345,1.688692357,1.649592021,1.639715247,1.63077678
6.950091486,2.770854706,3.48235838,3.230132007,2.531812995,2.410345432,2.172426781,2.053099504,1.851254414,1.736241704,1.686927951,1.66283801,1.64721843,1.644872795,1.642688283
