V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
1.698395708,1.586258887,2.52649833,1.571202423,2.901267336,2.092394624,2.877222556,1.465723612,2.840487871,1.936105704,1.787301226,2.584710869,1.41534458,1.975968612,1.32092227
1.895687425,2.00231889,1.39094246,1.789328214,1.797256214,1.184916226,1.37512324,2.12576046,1.782732753,2.80260721,1.433976053,2.120556543,3.1711446,1.819507221,1.745380075
0.897934418,1.795043141,1.206825624,1.842734907,1.833304783,1.146101921,1.569257376,1.492225777,2.016207971,3.211684033,1.850932747,1.722426769,1.561186348,1.910639652,1.986384522
2.229003699,1.987515562,1.366579139,2.297490497,1.68242202,1.635720905,1.92801375,1.374778229,1.441378325,2.240604504,1.984096062,1.769754325,2.212109144,1.584050652,1.676561378
1.646964135,1.892439936,2.325299694,1.200268894,2.211784213,2.227199972,2.448113601,1.574105197,2.849755789,1.586311589,1.549339899,3.148079811,4.395862266,1.730712657,1.407735352
1.258803369,2.717989701,2.317759908,1.654466519,1.679962713,2.739050566,2.00480362,1.802330943,1.615134791,1.627480082,1.796602347,2.209464496,0.985238373,1.465719772,2.29598589
1.389175484,1.792325275,1.524077317,1.787374569,2.307563139,1.776272515,2.349348564,2.286653652,1.354989038,0.871232758,2.052812343,2.344481185,1.32183593,1.768565334,1.953774709
2.514491571,2.021731934,1.925046056,1.608200738,0.952538392,2.226772072,2.107843694,2.244112097,1.333763117,2.05635283,1.276313093,2.666215842,1.691199978,1.886890544,1.786887896
1.758384277,2.723640187,1.232543764,2.127639532,2.411836489,1.647957359,2.02641674,1.610215459,1.720150765,1.911633653,1.44474789,2.776681441,2.642280653,1.923004455,1.672130897
1.976255269,2.162369634,1.344671368,1.928191373,1.77380906,2.2893933,1.561893034,1.719510853,1.37593681,1.949612218,1.769359932,1.332498633,3.124764925,1.190314325,1.421086307
1.698395708,1.586272175,2.776667482,2.010880484,1.729906818,1.990235755,1.510501861,1.421453526,1.272769439,2.106002715,1.223163459,2.226006249,1.776997111,3.480849221,2.220891003
1.402340065,1.408042567,3.030330591,1.528859818,2.557666335,1.320493218,2.4649375,1.877495511,2.161732787,1.818326888,2.091822586,2.257384857,1.646648265,1.679244133,1.633105566
1.779929558,2.897971249,2.482894918,2.475420545,1.64515088,3.59208031,1.494057195,2.120428528,2.3138187,1.079438862,3.772648713,1.416496586,1.215895448,2.562618622,1.54997581
2.628296323,2.418010517,2.207088049,1.55247929,1.703141441,1.790859715,1.655277598,2.062255243,1.794673168,2.379479064,1.889548739,2.107264462,1.562286642,2.456373447,1.492527132
1.635353876,3.116384154,1.931231858,1.590058616,1.400948454,1.656348362,1.667506741,2.091603822,1.997115573,2.706145458,1.49591866,1.920079305,1.711670289,1.603231541,1.185784137
1.862929923,1.471926203,2.026153377,1.564251856,2.411601919,2.095700855,2.114394007,1.305514184,2.112875958,2.066303138,2.610451731,2.183127186,2.644094315,1.065751526,2.758752522
1.920816069,1.826441564,1.17908282,2.290429947,1.838094933,1.518261864,1.391122426,2.227785226,1.828442867,1.450224473,1.309320282,2.735762144,1.952947765,1.836508625,2.210246548
2.377727115,2.366378109,1.43100977,2.041736538,3.304207637,1.51791349,1.247519498,2.23075248,1.279282261,1.885562846,2.439876832,1.297212868,1.025920631,1.699237918,1.755561269
0.990320803,1.745289607,1.206167824,4.492097899,2.062129655,2.241070304,1.911372037,2.089445181,0.930702054,1.76235368,1.642596418,1.9130121,1.760196118,2.426438208,2.02823793
1.8469404,1.634186396,1.779090269,1.877165784,1.735023411,1.491558195,1.197116391,1.843160918,1.762559619,1.206109055,1.759367561,1.95177277,1.216546676,4.282708699,1.504066664
1.930486634,1.081880277,3.661018235,1.965593542,1.838003596,1.84660897,1.411170439,2.327630195,1.52181699,1.730154422,1.42284092,2.357340406,1.645747916,1.994996889,1.443173139
2.168672329,1.164296901,1.536200946,1.892355192,2.554310024,1.505735783,1.712172179,1.776993405,2.166597074,1.822794232,1.813181227,2.066848525,2.216428429,1.406004649,1.223043046
2.394470024,2.184728061,1.793040619,1.137638124,1.78129386,1.569823632,2.274357295,1.510197471,1.996419235,1.691936972,2.385016651,1.256372141,1.398435515,1.424629083,1.398586961
1.943398301,1.491437606,1.451801432,2.492633816,1.08069728,1.264921292,1.683494971,1.492028447,1.254661551,1.122864038,2.572400212,1.148650901,1.924742811,1.685339456,2.431011673
1.590318774,2.08173978,1.123793808,2.449758465,2.861652191,2.305427744,1.540837925,1.845014813,1.448033733,2.048914827,1.391707216,1.737717038,1.722582335,2.405165575,1.436684058
3.630142633,2.427929764,1.361354764,2.651873495,2.133936799,1.910957138,2.043547769,1.734896865,1.573341841,1.464168201,1.667391577,0.988663982,0.98891404,1.298476048,2.264812318
2.067793594,1.440060893,2.942674417,1.701059034,1.482204312,1.227682502,2.05473521,2.671731035,1.814382881,1.888629132,1.168925729,2.115027286,1.589921477,1.775653882,1.979506848
1.299916629,2.157205175,0.887327787,2.468739796,1.900393296,2.102480185,1.567436546,1.340614124,1.624744731,1.582042545,1.427516577,1.423089977,1.679277945,2.299027014,1.943774498
1.262039778,2.026178481,2.50828376,1.50360647,2.069185088,1.420925082,1.962854945,2.476156544,2.310648992,2.338742083,2.239549549,1.275109375,2.066003923,2.459343426,2.272305083
1.067711342,1.506143219,1.712195518,1.807874169,1.763378171,2.47238521,1.151784999,2.122090306,1.226036038,2.307284521,1.423452419,1.029853313,1.462386992,1.100363066,2.288356121
0.970004082,1.495843193,1.547559587,2.04307741,1.369490003,1.45921275,3.192597764,2.075228552,1.660770838,4.210827703,2.451121044,2.224276934,1.834217953,1.207965722,1.438989185
1.726088841,1.34623017,1.591125204,1.270006964,2.330703329,1.829265963,1.657500108,1.436622384,1.652355947,1.05889376,2.446872699,2.170703453,1.467055456,1.826085705,1.332013281
2.632592621,1.166821501,2.171407389,2.661622251,2.305768184,1.99912153,2.119315867,1.198412547,1.839607477,2.386822911,1.626518363,1.665452741,2.495540092,1.884154502,1.510752263
2.224483594,2.332416275,2.411276672,1.055822325,1.547853482,1.323513706,1.785033059,2.29282331,1.592929925,1.421361395,1.342113513,1.413567034,1.409410622,1.14474233,1.325892704
0.826485241,2.183096238,1.205767439,2.599917281,1.155049307,1.45074917,2.135469009,2.007932745,1.501562643,1.942582495,1.828494803,1.237582424,3.259652771,3.255058012,2.386725093
1.965116738,2.173869263,1.387902747,1.338247303,1.874895159,1.371682023,1.066575061,2.987185112,2.014755185,1.878179293,1.946067806,3.679721015,1.74210236,1.54894121,1.808587704
2.407919132,3.210861181,1.346702141,1.265216803,1.469462958,3.303066961,1.559285838,1.65782358,1.46376536,1.569432672,3.12257817,2.550668684,1.286797275,1.023348654,2.426487822
2.522601384,2.067324464,1.60611993,1.723826906,1.690393912,1.828665287,1.27734862,2.103830718,2.18039303,2.476460232,1.488088386,2.127267692,1.955119471,2.465190858,1.486784378
1.989471071,1.509203129,2.219914389,1.406224222,1.771038006,2.104118635,3.219026171,1.494824319,1.612645782,1.596934908,1.58173965,1.105415726,1.657250626,2.874957576,1.27726904
2.860222951,2.015040287,1.812164893,1.415482429,1.996250297,1.413974588,1.438406955,1.336257749,2.294902914,2.815531152,1.940654361,1.515524356,1.424987957,1.221030195,2.466722157
1.485325096,1.602993938,1.867566849,1.476454887,2.103800989,4.236428965,2.927546603,2.468116881,1.775780773,1.773079489,2.427137757,1.551881901,1.474093699,2.102981777,1.739339916
1.471544756,1.934811392,1.891721415,2.086412069,1.832920262,1.593607904,1.975476149,1.583711288,2.373320045,2.948082976,1.55521499,2.322934006,2.804639098,1.841613345,2.114655459
1.926968253,2.28170695,1.988768847,2.564346775,1.17434731,1.132203042,1.521911187,1.26080022,2.360304379,1.430936937,2.14199167,2.114835658,1.671884462,2.518612723,1.209723711
2.055237096,1.48049295,2.226306407,2.219280668,1.514523778,2.137637799,1.642149795,1.744751562,1.80136454,1.154556855,1.423690053,1.146706794,1.458441891,1.576880601,1.864925296
3.160384046,1.459001624,2.361059364,2.117124392,2.025625546,2.108136534,2.633854031,1.68264101,1.707193918,2.530336397,1.421924159,0.843553549,2.260846697,1.51809953,1.090021055
2.134437819,2.739280635,2.807901898,1.879650723,1.304004748,1.551813543,1.901188232,2.146518034,2.700937214,1.849850228,2.075049623,1.904399871,1.560175339,1.481031335,1.550379954
2.071216852,1.344638696,1.550471983,1.408063561,1.696024386,2.336015163,1.500615328,1.559377255,1.560121788,2.241674519,1.806324371,1.094732461,2.085412448,1.352782775,2.115371138
1.715744039,2.82631417,1.390189691,2.183534866,3.366789948,2.020195454,1.489531539,1.485862705,2.284978157,1.552748259,1.650927834,2.417391465,1.580815713,1.515262512,1.944322584
1.935376216,1.673795383,1.466602166,1.700729244,1.489617053,1.705783777,0.971882077,1.1369138,1.429720908,2.659037908,1.332995763,1.806852917,1.952573072,2.914619835,1.636021197
1.358058222,2.746788112,2.321413308,0.955548856,1.664690495,1.664489495,1.511907857,1.756671912,1.156904194,3.061712187,1.504502502,2.903881979,1.684482341,1.506907523,1.855757128
1.564847044,0.941562685,1.84314554,1.425185003,1.616797993,1.778360662,1.933487695,1.41059936,1.888856537,1.146564459,1.333049234,1.233558533,1.400195906,2.242488926,1.849476703
1.437665965,2.06670976,1.269483296,1.169842532,2.584012604,1.709287305,1.948250918,1.344194282,1.406022545,2.668386074,1.434883201,1.638709949,1.574351008,3.598059302,1.33984343
1.359167159,2.397916593,1.897072713,1.432516505,1.436133155,2.058502439,2.020047767,1.986954382,1.317794441,3.20738845,1.2074067,1.024707345,1.264480061,1.671202314,2.225976944
1.374897627,2.482175199,1.839000239,1.458569796,2.345360767,2.875181608,1.381813727,2.061438933,1.321979536,2.684335888,2.184603892,2.20024126,2.133161521,1.711150442,2.290045071
1.074777397,1.456410568,3.603709049,1.065005377,1.622758268,2.13317264,2.139459889,1.688039184,1.827624579,1.618704438,1.840902534,1.519145759,1.617529092,1.446066025,1.735539075
1.387696962,1.780092074,1.382079223,2.381882296,2.334723772,1.930576996,1.241604301,1.916565994,1.677585233,1.138477159,1.280511397,1.650231091,1.025848977,2.202211952,1.159745179
3.098780894,1.660195754,2.169693224,1.609975756,1.245881892,2.19779805,2.871750124,2.025453993,1.684551436,1.22365398,1.604001813,1.784462294,1.70270943,1.825933641,1.42340357
1.737277948,1.860511827,1.609568421,1.368912055,1.295573895,1.329444845,1.496134218,2.37610039,3.085807445,1.348603461,1.412186185,1.459640128,2.066005013,2.60793502,1.445887828
0.98993215,2.15412233,2.2659485,2.044692199,1.678015214,1.408909882,1.09904724,1.831556893,2.915339728,1.123137429,1.771018498,2.049631534,1.494560793,1.714289409,1.240253663
2.054825149,1.725038101,1.609763073,1.895226154,1.371860167,2.563056313,2.172267672,1.341556713,2.541433593,2.621061064,2.537813419,1.744220771,1.373122585,2.637716271,3.592629737
1.489970939,2.100262077,1.654380489,2.072261591,3.184017085,1.546281017,1.141252584,1.939470654,1.002487558,1.974075785,1.332412587,1.527921747,1.806572078,2.364116497,2.375326713
1.505428419,1.507852841,2.160422393,2.554711402,3.254435435,1.914417523,1.996387259,1.373495066,1.921260456,1.589351311,3.200717896,1.819268139,1.324152673,1.615588366,1.635309793
1.355003528,1.380196971,1.480241427,1.624486882,1.330016027,1.416441619,2.562884794,3.96771504,1.615892718,1.617838006,2.26006892,1.876394944,1.565384324,1.673582626,1.104684569
2.465871697,1.287460985,3.145585854,3.008828525,1.263540162,2.325957618,1.600066408,1.210351257,1.533202027,1.510521623,2.102154384,1.40334266,2.265921728,1.081623125,1.488061872
1.678125692,1.847719886,1.457458026,1.593392602,2.092780942,2.045739327,1.644157425,1.729629236,2.465368471,2.563495955,2.056455485,1.578447328,1.593665774,1.349529681,1.103488022
1.458985579,3.000119137,1.704324973,2.547995616,3.103147348,2.387064819,2.099273777,1.433093668,2.091680911,2.097128959,1.946655521,1.890855057,1.258151689,1.704720645,1.106994682
2.337526768,1.607319138,1.652999138,2.720437075,1.377893414,2.523143693,1.972950322,2.617924004,2.355790542,1.826449778,1.996154237,2.668365902,1.660173176,1.415532493,1.445741961
2.98689441,1.507491146,1.843236563,2.869202977,2.105334327,1.915328634,1.532731607,3.525505256,1.312102461,1.926719798,1.777353845,1.562530212,2.464858074,4.912874571,1.741918743
1.559373546,2.083814068,1.25406304,1.587870094,2.777697904,1.542789912,1.629693315,1.250194401,2.274051366,1.45001408,3.838440534,1.748488435,1.136570989,1.690497127,1.028209809
1.438292085,0.991569089,1.112611003,1.558624076,1.902901083,1.495082076,1.256141007,2.036135263,2.277985789,1.361565211,1.083728527,1.393166394,1.657670868,1.231980606,1.408769372
1.281901551,2.332803892,1.262212185,1.700060047,2.457589123,1.821423847,1.51290204,2.651308506,1.927383958,1.985327923,1.308281677,3.012181864,1.602540109,1.473051854,2.16009987
1.491104787,1.276145285,0.940656521,1.393855251,1.812853108,2.078783716,1.746897012,1.069477006,2.980332981,2.886947158,1.984272361,1.725142053,1.067779963,1.490919107,2.189826717
1.567281587,2.185299004,1.859581709,1.259977447,1.26924385,1.310319635,1.780989112,1.526066188,1.871330204,1.854935712,1.873670362,1.744643794,1.428221776,1.411850452,1.348716663
1.327547898,2.06170601,1.465536002,1.522326803,1.941172795,2.142437172,1.796501737,1.63423155,1.287274993,2.271920452,1.800804577,1.791672193,1.928451511,1.49066276,1.918245794
1.647548265,1.94897741,1.572842667,1.561317441,1.724866907,2.702499918,1.477232148,0.848590171,2.353557089,1.883099122,1.607701948,2.280145261,3.041824614,2.189185694,3.819399775
2.011484749,2.847379648,1.265992577,1.71058076,1.218167524,1.263675584,1.442941191,1.782242122,2.51881858,1.225355649,1.257091814,1.927315183,1.58037911,1.255984227,2.349090342
2.881251047,1.34007647,1.574377207,1.523388003,1.810986316,2.177949824,1.473346365,1.600482516,3.191881396,1.46999146,1.570188881,1.759101534,1.442086534,1.460371241,1.359403014
1.218972741,3.695377555,2.626530009,1.674373876,1.927297556,1.158427505,1.419062814,1.518638729,1.695700358,1.382767368,1.741356078,2.098426363,2.037083556,1.587089549,1.944625012
1.694423193,2.874704111,1.944361219,1.653501371,2.417851046,1.222725406,2.258433178,1.492329778,2.58335531,1.343474153,1.886092374,1.406089297,1.939190924,2.674434775,1.609748853
1.966207889,1.461168172,2.726516528,2.159815685,2.586073667,2.361776934,1.694787057,1.367867067,1.272906338,1.547763956,2.081154275,1.948713769,1.970981811,1.227524499,2.187098827
1.26402803,1.743480607,1.135527619,2.040006081,1.565704821,1.061257979,1.856612629,2.383517156,1.719416916,1.470317895,1.854477205,1.841364208,1.766984013,1.485712481,2.706525483
1.336547438,1.391767133,2.625851849,1.718813305,1.611066537,1.41200695,1.865496688,1.593541688,1.095626491,2.319488228,1.781670156,2.825763779,2.213313985,3.553257686,1.720703775
2.141533918,1.71713382,2.340813545,2.305538011,1.908783091,2.621321351,1.48066872,1.824739731,1.314859109,0.970552513,1.22706826,2.185607151,2.102521674,2.582151854,1.459932639
