V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
1.779623037,1.11646322,1.375181627,1.265698566,2.362295062,1.413454927,0.959984895,2.517391375,2.339130481,1.653974888,1.931311573,2.093012553,1.282547069,1.145439336,1.596892107
2.13758609,1.199193273,2.323677391,1.87590886,2.50703365,1.325116861,2.373858381,2.685939669,3.062766909,1.804613904,1.899549432,2.466812509,1.106995058,2.088887308,4.317004309
1.572304731,2.388764778,0.606620176,1.609054244,1.945380403,3.073680738,3.454381253,1.780427683,1.80350654,1.292821629,1.250248818,2.438669095,2.10213559,2.505747284,1.047293115
2.641895356,2.252070147,3.021521474,1.301527744,1.848328592,1.922087306,2.175307111,2.76595911,1.610522584,1.938291904,1.855069059,1.116850737,2.205085553,2.198548254,1.719891565
1.805604633,1.765175679,1.667810857,1.309649113,3.171126055,2.54742802,2.380176481,1.753684621,2.764421822,1.084908645,2.249495321,1.350328283,2.122095895,1.371252405,1.140009986
2.596206386,1.950335361,4.544882477,1.386683475,1.805478381,2.773542688,1.689908304,1.412264698,1.669761881,2.858069851,1.077344542,2.442379695,2.397577747,1.399091702,2.586114032
1.676373352,2.074758102,1.965813161,1.557196856,1.364085848,1.882014363,2.140525961,1.674318713,1.809322187,1.122566781,2.399019944,1.730198987,1.578973968,2.00236734,1.333554079
2.080189496,2.00525379,2.68052918,2.495218495,1.475247266,1.635173504,1.359865771,1.678105535,1.839385794,1.96309435,1.786120307,1.477805517,1.31301336,1.630998226,2.159535293
1.946041712,2.157526769,1.617632164,1.453000482,1.097112432,2.073358829,1.754965354,1.369389738,1.70970917,2.459284293,1.555223332,2.735764733,1.634981636,4.886479607,1.699864035
2.363948482,1.756693952,1.418345778,1.961971852,1.42242284,1.524493293,4.591286025,0.920633499,1.969584401,2.405487436,1.464575745,1.68666167,1.189195685,1.765561837,1.202153136
1.779623037,1.11646322,1.375181627,1.265698566,2.362295062,1.413454927,0.959984895,2.497968455,1.476774625,2.922458346,1.108255231,1.553489593,1.47204468,1.799531083,3.384538419
2.547663253,3.018450536,1.699797241,1.896224926,2.142560129,1.644354529,1.390540175,1.132033033,1.037984328,2.527319101,1.347278868,1.536214688,1.046718258,1.884851729,1.60035101
1.479793782,1.601169454,1.589116086,3.43195818,1.154658478,2.167947911,1.679235715,2.29928444,0.678707735,1.945951905,2.142522818,1.27196609,3.840178565,0.876295945,0.764512013
1.207323611,1.282174563,1.762498143,2.285708706,3.706861881,1.764262771,0.891894769,1.585725084,1.378342444,1.780198859,1.432067,2.487666023,1.513473297,1.421961359,0.828160916
1.426841387,1.739384362,3.06734265,2.222876641,2.894655504,2.229360536,0.636920131,3.835891375,2.358983929,1.450155654,1.856129962,1.482201402,1.461155488,2.947427228,2.006124244
1.662175017,2.00305794,2.041670822,1.518751678,1.526148917,1.555710068,1.120831345,1.235544237,2.033678198,3.179860501,1.499969709,2.328738875,1.721500314,2.254837239,1.146770237
1.216911425,1.2435076,1.474325015,3.780900839,1.728620119,1.019470883,1.689559029,3.231223371,1.257016088,1.754032775,2.75677895,1.539228542,1.40916237,1.812805088,1.700311049
3.506630625,1.975231564,1.411589671,1.146242837,1.713506885,1.412117139,3.124994514,1.579293387,1.648410708,1.795652644,1.986394203,1.216709338,0.865160683,2.331362799,3.667537362
1.632896079,2.101082706,2.976598959,1.893774653,2.59850066,0.720237047,1.428237997,1.29611084,1.112218998,1.955115203,1.60912488,2.155812849,3.221349914,1.689379771,2.408463752
0.928685526,1.537831499,1.14846112,3.180261668,3.184306391,3.808041093,1.682595405,1.350198615,1.596591026,1.943404915,1.219972321,1.05272158,0.959033864,1.260057075,1.5086806
1.841142738,1.701707502,2.103999507,1.557341063,1.226438499,3.060180583,1.270133074,1.626264232,2.585752414,2.034748292,0.94365733,2.621779053,2.186409967,1.951670476,2.873799821
2.088946914,0.749644119,1.718595023,2.171591366,1.408027073,1.361444351,1.092150508,1.873114164,2.354164963,2.087901821,2.674182389,1.217274185,1.290439343,1.511126622,2.495545722
1.954978458,1.148913024,1.393632171,2.037437119,2.453430498,3.164864278,2.431078022,2.266225115,1.328705298,1.477510968,1.493087269,1.971747505,2.01978099,3.406003915,2.741271695
1.052654003,1.026728511,1.812168016,1.200809711,1.742554603,2.271716149,2.425410197,1.238611712,2.237075413,1.205380593,1.867059141,1.715538547,2.238137608,3.182982938,2.897597142
1.576743391,2.124791835,1.524071445,2.167277797,1.592615521,1.262960464,2.375638423,2.280518875,2.058447372,1.50719324,1.315235453,1.308185037,1.430685448,2.888111494,2.975749592
1.326400507,3.730537652,1.382526618,2.054387927,1.851239139,2.564839116,1.102918146,1.783438836,1.122435515,2.517086041,2.398713016,1.817928949,3.270912987,5.760934039,2.16130364
1.205800773,1.628847929,3.230077703,1.899926308,1.886209987,0.919299327,1.794607347,1.451208085,2.212604022,0.912228613,3.560710309,3.848449594,2.257007013,1.273603101,0.945150459
1.195428293,1.482044111,1.304629915,1.240080129,1.403327877,2.884842323,1.676011848,2.146929126,2.090054686,1.972299956,2.362925452,1.352464393,1.340866482,1.438180654,1.252284696
1.173053364,1.672281439,3.159136777,2.635873921,3.013580323,2.050701423,1.931380037,2.030799554,1.29476063,2.100557741,2.134011971,1.619330684,2.09585288,1.16870155,2.37382983
1.613313289,1.387390643,2.279550298,1.289454775,1.54067851,1.728809101,1.423107987,1.458021936,2.012076141,2.081200849,1.438370321,2.545390821,1.744409343,1.913382145,0.992217343
3.135440137,2.43900779,2.268117466,1.61173781,1.346992094,4.57896114,2.23628201,1.616988703,2.297640855,1.170420925,2.044682181,2.03138244,0.890952923,0.947591603,2.20428777
1.56089411,1.225865156,1.437302526,1.822463004,1.51077029,2.348176517,1.742858397,1.360471364,1.854053803,1.6362465,1.44371935,2.098462923,1.436142816,1.475305037,1.263809231
1.427639489,2.532547193,2.120530893,2.401822849,1.436853447,2.85524531,1.583763837,3.91478583,1.76966385,1.113094018,2.368761337,2.712980477,1.307872068,1.831580846,0.813357143
2.409069869,1.883407003,1.309364494,1.278754166,1.17778172,3.33568342,1.541796245,1.107357141,1.595221083,1.777823476,1.399956275,1.792305811,2.340877303,1.212771106,1.953127809
1.481984237,1.108892639,4.125860753,1.082915129,2.038880723,1.818614946,2.233075016,1.101766859,0.887233918,1.933793397,1.440446873,2.814855518,1.333202943,2.727263796,2.194601222
0.699402814,1.500771801,2.463401578,1.832045776,1.768197778,1.367277447,2.804424426,2.360729738,2.780429324,0.976478608,3.775892417,4.278952028,1.343592562,3.474888745,2.773418217
1.645550545,2.549989919,1.276201291,1.837638547,2.216779467,1.306858885,3.079295503,1.348135461,2.304660441,1.691185878,1.351692149,1.212023266,0.8231324,0.803340458,1.629783712
