V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
1.664331557,1.364907178,2.332971889,1.849899661,6.529992518,1.306568139,1.622613716,1.543068842,1.523485022,1.983283308,1.620855322,1.66620415,2.654503424,2.292915768,2.368488227
2.950519143,1.317062594,2.841346228,2.344304598,1.336557141,3.97361274,1.95569628,2.4744844,1.775230909,2.083497917,1.943336755,2.717238941,1.920431455,1.93522634,1.133032442
2.086472868,2.177481307,2.112766514,1.331364663,1.74145393,0.734940966,1.41284174,1.598381026,1.772680569,1.876088016,1.647036217,0.863284288,1.200178088,3.235909313,4.707426632
2.368798894,1.067764361,1.957523789,2.030374824,2.367471771,1.333012064,1.860654003,2.037997538,1.379736768,1.757468885,1.868996381,3.027085402,1.556445331,0.782473917,0.933039874
1.273852996,1.021622531,2.135301061,1.890786408,0.986186836,3.072627949,1.801037123,1.800710294,1.814030105,2.371313727,1.218461484,2.078998142,1.916222697,1.518255377,1.655999045
1.858287814,3.148608528,1.671958244,2.283987145,4.279296442,2.805683817,1.8030352,3.697723798,1.183239187,1.577423605,1.589079132,1.531659223,1.117179306,2.347572174,1.802521259
2.23467791,1.640843687,1.308301904,2.134507897,1.496596081,1.943443575,1.254132733,1.422530238,1.6683968,1.466548791,3.26469834,1.570447539,2.552493739,1.559289537,2.133441736
1.574648376,0.898064195,2.377288224,1.209373794,3.09863262,1.142120241,1.114015676,1.677393026,1.156705484,1.511899099,1.760684832,2.948247843,2.346720402,3.047623809,1.940900598
1.026253457,2.090242497,1.348554263,1.062655701,1.04589371,1.562045481,1.815594016,1.673118315,1.671089641,2.104906423,1.980028054,1.231837181,1.300125829,2.623740805,2.118963751
1.65906468,2.823418805,3.163772649,1.271152383,1.112268107,1.089048953,2.493443442,2.520795613,1.485229841,3.323782712,1.643908146,2.304757686,1.155257154,1.659440859,1.421075919
1.779623037,1.11646322,1.375181627,1.265698566,2.362295062,1.413454927,0.959984895,2.517391375,2.339130481,1.653974888,1.931311573,2.093012553,1.282547069,1.145439336,1.596892107
2.13758609,1.199193273,2.323677391,1.87590886,2.50703365,1.325116861,2.373858381,2.685939669,3.062766909,1.804613904,1.899549432,2.466812509,1.106995058,2.122823088,1.563686883
1.688605865,1.68767352,0.968491694,4.681211254,4.397610888,2.358794115,3.388313959,2.5930708,2.775491601,1.205952392,1.512929113,1.752474579,1.944293147,1.799448532,2.580421785
0.973458591,2.750891745,2.32518887,1.479811848,1.372064534,1.921901604,2.527320647,3.117101071,1.924915622,1.469682375,1.3649951,1.206031273,1.915974904,1.096922549,2.187594587
1.548271184,2.626116898,1.31073444,1.058227614,1.899461918,2.352148594,1.858409774,2.083500088,1.393765257,3.074591428,1.1501951,2.00746248,1.909083316,2.371434033,1.172268264
2.946474281,1.239262498,1.155146815,2.977473008,1.423677036,1.251073512,1.290220918,2.360027711,1.784807819,2.090807471,2.008148127,1.533908464,2.554087256,2.273894646,1.749850215
1.677506248,1.354355829,2.724607372,2.390359713,1.357173092,1.478310883,1.81738591,0.768508808,1.937139213,2.178220052,2.057818528,1.448888997,2.395948093,0.801292121,3.45943219
2.22693297,3.400282034,1.294605118,1.95415249,2.171313887,2.334469347,2.128956002,0.913184346,3.706412816,1.029061361,1.35525987,1.819920974,2.16091513,1.573799919,1.317664243
1.566156723,1.549774702,1.351510978,2.718847249,2.150470481,1.590563104,1.103910159,1.930266811,1.358264343,1.112869774,1.759324003,2.616206681,1.344774299,1.109804922,1.789466169
1.710382604,3.379952703,1.02246824,1.385187148,1.548272963,1.904319889,3.415457916,1.679876766,1.009181607,1.4423217,2.807032988,2.396317085,1.657997114,1.907640271,1.573765061
2.586197556,1.660368101,1.012102642,3.517824389,1.195742219,2.324278841,2.818008301,1.606557773,3.460938995,1.172468137,1.526369515,1.436482947,4.025024626,1.760749243,2.205807524
1.398024889,1.539340725,1.424977971,1.307028629,2.2496472,2.243154683,2.219126924,1.832431877,1.374302444,2.146719026,0.926217792,1.584808317,1.248916486,1.365775286,1.878890968
1.468571123,1.883690298,2.534635112,1.780928937,1.22953494,1.257981855,1.794853678,2.531925184,1.939733242,3.103681356,1.580156459,0.74949438,1.586938287,1.528985281,1.854335662
0.809422083,2.042049156,1.856512949,1.868630009,1.656401658,2.375330966,2.120966715,3.076116965,2.039059996,1.958563155,2.225116549,1.438397225,1.876002306,1.011130765,2.03068126
1.31255838,1.954425539,1.985620844,3.131499836,2.866266028,5.212858053,1.721263688,1.30869993,1.925070454,1.340095926,1.347142978,2.402606048,1.264536567,2.159634518,2.129856562
1.171080296,1.52396334,3.700309828,0.83915878,1.180841021,2.603330099,1.798514343,1.449019742,1.577729124,1.751380309,2.373347385,1.425925771,2.651101799,1.354690359,2.295144955
1.897540238,0.774295848,1.560503037,1.557041741,2.011404929,1.220102257,1.231736655,1.503693941,1.004500496,1.165655804,1.459485659,1.592904262,2.903132995,2.268356867,2.023451864
3.058577248,4.35354586,2.933330979,1.71483819,1.419005956,1.657937114,1.296501564,2.131166758,1.668797434,1.391535255,1.228457479,1.341097765,1.733312458,2.533832366,1.975565955
1.243937836,2.447709141,0.982613536,2.654706531,2.534493627,2.017593738,1.564850657,1.732050803,2.366504962,2.895307747,2.705415761,2.405823748,3.992501346,2.269849847,1.627894939
2.365019939,1.597970434,1.536151789,0.884198494,1.868949559,1.769504659,1.620444444,2.199105906,3.946490288,1.500049196,1.21596655,1.587843263,2.701256407,1.82462638,2.434744318
1.528551969,2.063934981,1.44224627,2.493932463,1.445191883,1.70308693,1.522284399,2.014697905,1.727153511,1.513779631,1.788978398,4.125160703,2.913576268,1.27162995,5.032285472
0.667157759,2.47503744,2.374036189,1.695825348,2.02335925,1.918206643,1.795554213,2.128591161,1.698870696,1.487584127,2.149675171,1.164845001,1.491398629,2.001200925,2.630387375
1.092305508,1.355460152,1.813620409,1.869501077,2.131976011,2.855576955,2.476275568,1.188543541,2.02068317,2.170905217,1.286970572,2.09275182,1.157762572,1.105400449,1.849152986
1.491180168,2.143127061,2.012834206,1.275212271,1.622654972,1.586883199,4.243372175,1.899926478,1.632814222,1.67362564,1.487310284,1.2705024,3.576479378,1.768958896,2.164996873
1.863816193,1.608819294,2.712736217,2.919236404,2.066767852,3.670421269,3.093049316,1.656944068,1.750644016,2.492780652,1.463893992,2.138143741,1.620389909,1.654987167,1.833714565
