V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
1.494615133,1.456473341,0.784977033,1.459992532,3.645617366,4.604757617,1.303423366,2.46487642,2.288797016,2.210299642,0.987550773,3.581842077,4.471391666,2.199245148,2.320233291
1.451514393,1.005905185,3.806742553,1.192636149,1.60471998,2.46476665,1.94545508,1.036865868,1.425616118,1.69639705,0.604949445,0.64259077,2.019012302,5.113038763,2.194090324
1.70579202,1.61335902,1.726728673,1.796225109,1.410184355,4.143662777,3.534905569,2.038365732,1.337844654,1.042628472,2.134570211,3.556660199,1.666649112,4.477790285,1.460950822
2.106770567,1.436385544,1.139853042,1.105931923,1.270580252,2.128376858,1.79959892,1.655526292,1.487100569,2.06239315,1.05819285,1.744187827,1.533691209,2.105162891,0.873184628
1.152251397,1.988464354,3.566627676,1.824726961,1.99474617,1.56001493,1.786107453,2.845724782,0.876714393,1.990512255,1.622365245,1.110316807,7.194249951,2.784386078,0.775050489
2.500507884,3.05750889,2.261226536,1.110973518,1.697599508,5.39740897,1.357715989,1.582249958,1.522753616,1.572524961,2.588421999,1.72949106,1.903229163,0.608168662,1.856311742
1.20282877,0.952549304,4.365401354,2.787754162,1.740742466,1.581849074,1.471459043,2.108278249,0.955249278,2.047923068,1.565316377,1.632663447,1.214717806,2.232192879,1.005651768
1.065736334,0.799060418,1.843378952,1.585510997,5.26062607,2.517329922,3.498324406,1.746733804,1.820654543,1.701774419,2.296077389,5.442118057,0.962393534,0.781680753,2.001271945
1.554183024,1.60006794,2.413137066,1.810458639,1.278719091,1.628641929,1.437147433,1.860000659,2.126041332,2.236022071,2.353361251,1.903042536,1.320748292,3.035781713,1.239848442
0.933994171,1.32021722,2.106286419,0.97164383,1.23004905,1.936300959,2.059802433,1.767352544,1.606690048,1.612237245,1.735076261,1.594254134,4.713973086,3.180775508,1.262226212
1.493347435,1.959325046,2.010700892,2.790114624,6.575101153,1.999237207,1.052015261,2.092237818,2.221661982,1.857738535,1.58905343,1.987136709,1.020408222,1.516555776,3.938411403
2.96411669,1.934698903,1.627236953,0.55783251,0.915620133,0.765561215,1.860544649,4.239327534,1.1074274,1.416421467,3.512234349,1.741699264,2.235196407,2.870708475,1.166433883
3.788476451,3.148580516,0.837276784,2.309478609,3.052640954,0.91022573,1.610258674,1.539880679,1.675284225,1.916616511,1.687672486,2.007102328,1.873287294,3.244762401,3.847254503
2.47019942,0.681768508,2.424600887,0.906936499,2.345279801,2.072453896,1.455555509,2.034600302,1.047954837,4.072512226,2.227715238,0.620009794,1.85072294,2.630299802,1.927953029
2.367738585,1.213183789,1.713317084,2.294522686,2.110826632,1.317017999,2.354125786,4.993957021,1.703877479,2.144771483,2.159669268,2.516809561,4.332562793,1.484367197,1.413524856
1.363262293,1.741256456,2.430104004,1.467658268,1.507768885,1.655850757,0.955652527,0.825981686,1.106189599,1.965299945,2.581630896,2.814414733,1.398488186,3.62098261,1.858906556
2.220504212,1.332707713,0.906042381,0.983887708,0.815619841,1.499701128,3.422139186,1.832528005,1.168706373,2.39158913,1.415753546,2.42071911,0.940941334,1.037752924,1.39718088
2.677864762,1.267676217,1.499757554,2.099455032,1.641845546,3.060871287,2.150563086,1.401109398,1.311125643,0.746017421,2.366751222,1.916811193,1.701881588,2.519089057,2.233728852
2.252696626,0.712933681,2.909514513,2.753586167,3.241579744,2.391528026,0.941998374,2.082074895,0.833922196,2.293710826,0.845231247,1.428961668,1.68716425,2.897807248,1.947798715
1.984055425,0.826314715,1.430569654,1.856938879,0.441499329,1.041475746,1.921256243,1.178804445,2.029751658,1.695541889,1.574584541,1.563024675,1.104453752,5.481785256,2.124971295
2.935218718,1.49388649,0.73730849,2.264906591,1.377544389,1.296010044,2.601691423,1.984759018,4.148791835,1.501278662,1.2716853,3.48464846,1.004527898,0.994841689,1.249424477
2.76315354,2.117264969,1.774185102,2.46921221,0.693840135,2.161157363,2.264496103,1.903117493,1.813600679,1.135061977,1.027510348,2.561298936,0.939755852,1.32531578,2.552588354
2.180225386,2.084688732,2.259096917,2.188810017,1.995264717,1.462897912,1.16033935,2.253662697,1.246976985,2.235621584,1.471688197,2.232257663,1.491124793,1.200321037,1.525696456
2.0695213,2.534963862,1.324980116,2.520426707,1.435171303,1.46202954,2.544918341,1.522032689,2.068267885,1.535782468,1.080367746,2.549919952,2.863444295,2.072595076,4.538662863
0.672349159,3.203026315,2.60222977,1.055784353,0.872799417,1.098915175,3.332391743,1.472124046,1.009704376,3.638489499,1.838617544,1.916921772,1.960362719,2.531780244,1.359503209
0.812448353,2.249908422,1.745479217,3.694251946,1.555970202,2.343446484,1.980451353,1.407409357,2.329631245,1.187744673,1.612774165,2.242116734,3.340946896,1.493490123,1.55911016
1.070482856,2.436165145,1.888436186,1.378918786,1.097881415,1.669619841,1.60038021,2.116416337,1.810151092,5.030817727,4.452342513,2.477960793,1.933393225,0.945407525,1.188406265
1.122722828,1.125626361,0.943335568,1.269576459,2.423873433,1.249077048,2.657275071,1.421130208,1.663087708,1.389978018,1.679749623,2.583844296,0.487547864,0.80996035,2.076770643
1.371767298,2.58214822,1.446760492,1.941115521,2.041457287,1.311079496,2.332755917,1.559028131,1.40741947,1.247974751,2.985850241,0.620479914,1.511755511,1.571949587,4.371926735
0.999579156,1.351359301,1.906143235,2.48407696,0.590868507,1.607364926,1.660969585,1.298980463,1.838474087,1.224951363,2.15874988,3.732649873,2.9330758,1.599355436,1.803862299
1.510513583,0.878093204,0.708709062,2.25008463,3.749952477,0.552170327,2.065932833,2.290912443,1.140050375,3.215838009,1.253764884,1.334431904,2.719406956,2.069983348,2.199836818
2.536944251,1.127697058,1.219831048,1.030760354,1.13894249,2.430200782,1.009314294,1.513590212,1.236910938,3.265403477,1.356796582,1.641512784,2.429807267,2.2612893,1.858200012
2.314128726,1.514714328,0.870295162,1.121324154,2.489047491,2.684842237,2.634992433,2.719653214,1.961232184,3.080868127,0.60272815,1.662118216,1.95235292,1.439002013,2.364019831
1.140382974,0.877515358,2.294234645,1.247957376,3.448511236,1.14128522,3.233463575,1.413951006,1.101970501,1.297591513,2.253121081,2.448373353,2.443604525,1.65443347,0.924361347
1.293977871,1.474100263,2.284081751,1.331123392,4.30582147,0.766918999,0.977764251,4.365586028,1.394672595,1.893683709,3.293936327,1.229334876,0.766625025,1.337778879,1.644215281
1.539783876,1.138452401,0.964189761,1.639221744,1.915173164,1.395537336,1.451106275,1.184092679,1.867316853,2.525882728,2.653020427,8.028673299,2.658317282,1.364131467,1.178380268
0.680642587,1.797048617,2.626476623,1.29807999,0.644287004,1.175984306,1.588619302,1.847555495,1.032584426,1.962447606,1.99369127,3.155262019,2.569159523,1.227074139,1.714649667
0.934956094,2.301197862,1.320997204,1.156893917,1.869338964,1.203307809,1.500906578,1.443024393,1.947883921,1.048254905,0.675322596,1.475002521,1.858027723,2.415721905,1.098793272
0.764754997,1.253649447,1.222415235,1.658064923,2.930718399,2.149672286,2.393423802,2.548155637,1.607873857,1.575272332,1.099159554,3.157623362,2.132480383,4.187761168,1.789451791
1.973489148,1.457171989,2.099400745,3.808998155,1.084284324,2.182005419,2.542714037,2.356687344,2.390349313,1.415478077,1.286653707,1.074226667,4.048064541,1.601100479,1.775507951
1.30636569,2.559561495,1.598516086,1.96988079,1.778668224,5.967084978,1.064836494,1.91706567,1.249518266,1.932464692,1.185325161,1.197879784,1.405761432,1.777777293,2.080046241
3.039544927,2.202826509,0.710478533,1.224325568,1.624839619,1.89759527,2.35855452,1.30790106,1.979112031,1.530801198,2.480052722,1.346626568,2.033041176,0.636877497,2.144212963
2.181360506,1.87767618,1.666928561,1.936571499,1.080457881,2.375591533,2.886957328,1.094382859,2.029244553,1.9926747,0.889837952,1.305910705,0.985254844,2.28808231,1.445386089
0.820556041,2.049494887,1.166920251,3.347011429,1.136894989,1.57177688,1.702761226,2.442930546,1.57843779,1.205124405,1.750864065,1.35512371,1.812498893,2.300048491,1.288965009
1.085251333,2.071001422,2.499651123,0.967480663,1.332670396,1.873365682,2.066247734,2.009791055,1.452212453,1.707673831,1.982505319,2.503683609,0.957425725,2.37219995,0.62782014
2.286907512,2.276653333,2.990006648,2.074566101,1.505140152,1.986358275,1.671758379,2.884126335,1.711673769,1.876622757,1.576806741,1.734497249,0.572095591,1.074994702,1.254507185
0.675731993,3.949598418,2.04542486,1.029658183,2.377216165,1.427311265,1.972562806,1.411064397,1.201275585,1.453691358,1.122173629,1.110564499,2.116904238,3.428070669,1.413911935
1.169256191,2.755261888,0.63954862,1.062271811,2.48716552,2.105475301,1.214633784,2.424212883,1.598775475,1.37086793,3.047836412,3.141893219,1.05958051,1.239721061,1.780754522
3.090948894,2.518952588,2.421743269,2.506426679,1.592835132,1.171623578,1.225719545,1.641970821,1.353958348,2.907338155,2.27122323,1.449298981,1.306111378,1.860324695,1.698028768
1.030046869,1.255154855,1.441136105,2.149349885,0.805820162,1.51626734,0.798595819,1.110057168,1.562700576,1.171115202,0.867938488,1.448604822,1.064787024,3.609576123,0.879390139
1.621504053,1.48918302,2.203246624,3.093702007,3.358704956,3.883086126,2.089579876,1.315410576,1.642927428,0.796520302,1.010996789,2.76274416,2.24516406,0.883865514,2.210732349
1.698009978,1.205227736,4.195926416,3.858211174,2.347991825,0.470047622,0.77402323,1.783988121,0.898614504,2.838891988,4.004995465,1.011721291,2.980784736,1.425118151,2.702590241
2.216056218,2.417111196,1.177103483,1.563749192,0.680024052,2.012462549,2.262200731,2.327267908,1.859661015,1.521369853,1.023660284,1.730885083,1.119823409,1.767654301,3.902482324
2.175225312,1.753958666,3.485810607,1.464539062,2.080189688,1.992594794,1.675529154,2.695090222,1.744270467,1.333183784,1.891959767,2.356821044,1.338163325,1.205471796,2.266499171
1.505697259,1.780671213,2.996100941,2.552840266,2.691706374,2.337854513,1.18809467,3.441024658,1.038694955,1.801996073,1.920824446,1.404673966,1.052065445,1.236307528,0.982540405
1.568480759,4.986622107,3.308043805,1.208639903,2.216394869,4.269209496,2.058750744,1.759119584,3.388663351,2.453594734,1.148961526,1.033142085,2.030860878,3.690620602,2.029250866
1.345116041,1.849359419,2.090177454,1.421700835,2.488486108,2.112015961,1.333169888,1.473500267,1.473026935,1.197579995,1.691312663,1.228021957,1.654270665,2.301381209,1.669829229
2.770418791,1.235041667,3.504440504,3.680825633,1.978752001,2.046197912,1.146673607,4.043529871,0.867421908,2.817373883,1.344092579,1.358193753,1.308970515,1.273041476,1.281882177
2.803729038,1.950751131,2.257976626,2.124256825,2.260672902,3.859052747,1.542546404,2.256018843,0.592796246,3.75915204,2.013754782,1.530501539,1.493380697,4.419649737,1.559081154
0.824252027,2.366461358,1.691307589,1.594373101,1.263612919,0.815141299,1.485220301,1.824872568,2.891358221,1.356738366,1.444294135,1.294121991,1.365646742,1.440747216,2.704262006
1.712413106,2.852778905,1.238910677,3.37752431,3.535549854,2.690837397,1.39510575,1.54522775,0.921759061,0.969251299,0.676139022,2.871288758,4.297676724,3.090962489,1.021214145
1.457473901,1.932149477,2.911489828,1.627062066,1.815113208,5.170351136,0.735628022,2.207423588,1.858867359,1.384758964,1.379605801,1.11087511,1.357751762,0.491076546,1.933340113
2.425862359,1.553090267,3.711728908,2.013373539,1.363233599,1.407797015,3.914470889,1.322676131,0.972801091,4.418435305,1.334848929,1.831866071,0.76488093,1.988228915,1.72258521
1.62456122,1.187634183,2.147853223,1.003233869,1.332903346,0.899677676,1.974951376,1.412342808,2.318714261,0.905961881,1.285641043,1.730363793,1.890801361,2.77870303,2.522966087
1.202671418,0.769387867,3.28770531,2.112098707,1.086343978,1.921961408,1.781597719,0.601893427,1.168305606,0.294235352,1.488297664,1.865361385,0.909540934,1.526924808,1.117935018
2.477434222,1.569326702,4.685693294,2.435130979,1.844298869,2.295889633,1.128506656,2.148328538,2.373571604,0.727896992,2.023033623,1.792050189,0.56245674,1.678838947,0.627606954
0.583105521,1.795339221,0.978120113,1.233930451,2.533019854,2.674011449,2.527585706,0.838336855,1.365672487,1.659454985,1.451120397,0.600188331,1.958428314,1.470539041,3.432966984
1.148126784,1.408475565,1.163672372,3.743918633,2.077589989,1.808772927,1.693849323,1.468347182,1.699665668,1.951669366,2.25868475,1.378626287,1.903426023,3.354011558,1.927990306
1.249740134,1.231451656,4.612439467,1.820479744,1.785605908,1.175412485,1.767128752,2.164331254,1.973934505,1.627716361,0.630779849,1.790787167,1.790154819,2.118274652,1.739486466
2.380969417,1.954519965,1.343610935,0.839883457,2.074105147,1.657220025,1.281124412,0.864175262,0.801354572,2.891855123,1.14704634,1.332686792,1.371035043,2.671310777,1.753924641
1.511329993,0.974849567,2.181958795,1.460656073,2.525963648,0.827137677,2.768698958,2.871552111,0.940431499,1.325485918,1.588894236,2.340400729,1.788335452,0.490884157,2.150572624
1.760679675,1.15667929,1.735367281,2.025476065,1.196813702,1.599498723,1.619987611,1.735248171,1.268218377,1.381833438,1.915995861,1.737302971,1.704126605,1.364290637,2.214238953
2.434511731,1.8787958,1.857608884,3.448441489,1.208335395,2.293591114,0.637948133,2.449837713,0.923436611,0.927366746,0.811917889,1.68684417,1.344405615,1.675786762,2.267589527
0.939668962,1.524417778,1.553622341,1.694849675,1.735595014,1.826177629,1.422078503,1.591733893,3.039850534,1.112464984,1.503117149,4.026255048,2.131765422,2.155283188,1.615906513
1.346610944,2.245254213,1.149181227,2.650659119,1.562517059,2.668988067,0.982194622,2.314613265,1.191954388,1.025947367,1.836972969,2.660530169,2.546895572,1.708257635,1.571461018
