V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
1.493347435,1.96093417,1.734304521,1.244244084,2.081299247,2.495233598,2.033073586,1.711833652,2.58833644,1.302509314,2.15011598,1.978048317,1.080958298,1.887031181,2.333128193
1.246395575,2.151077155,0.487375881,0.868312229,1.571096241,5.491138323,1.772376157,0.793619106,1.14880671,1.164381355,3.851141405,1.547305099,2.527731852,0.999066299,2.068488626
1.976967146,2.542647335,1.072585025,1.776442921,1.961229239,1.377999766,1.4605417,2.789807575,1.200474243,3.027088803,2.151907824,1.107801132,1.410393192,1.050241029,1.437389282
1.716904025,1.283064663,2.974722825,1.332704549,1.556249609,1.31865926,1.475162464,1.771260256,3.22507023,2.505389196,1.884349169,1.759150525,1.870181848,1.48647294,2.026001925
4.132558336,1.377573064,2.055889109,1.458779413,1.615473361,1.188511384,2.065327103,4.491128372,2.423368125,1.440169228,2.023055055,2.221951536,2.014622401,1.619928696,1.398229451
1.178762885,4.21660442,3.063594868,1.093059825,2.000782668,1.501069777,3.084350574,3.201891603,1.073580658,1.861049171,1.593879649,2.679371498,2.349772701,2.02203232,0.642612187
2.314540123,1.249596131,0.975649036,3.732854529,1.017840205,0.898966417,3.214310154,1.122512322,2.334266487,1.129790977,2.240206041,1.592772187,1.663383985,1.135224247,4.309089442
2.692042268,1.201267975,2.083906657,0.812454811,2.044248064,1.483507997,0.866248281,4.500478734,1.955579802,2.713572776,0.879027473,3.776525372,0.642094428,2.587927924,1.328263261
3.458653988,0.55612673,1.47542777,2.2189299,1.957355409,1.441949745,1.847159063,5.426357924,2.080198135,2.823157035,2.115646822,0.754177622,2.447827391,1.573548398,3.111106058
1.403618151,1.433424799,1.860742255,1.104282548,3.735939737,1.608229219,0.71300961,1.296934818,2.597666126,0.89166371,1.075784898,1.210435923,0.500702129,1.292888028,0.647571271
1.602767229,3.757176369,1.587228349,1.427607089,1.60861825,2.648177998,1.526764348,2.846869791,0.641282307,1.071889604,1.733594715,0.967100659,2.124889544,0.435909764,1.559952246
1.343801736,1.10628956,1.528196798,2.468117199,2.551721849,0.654302573,0.913041768,1.05138165,1.576284858,1.664074062,2.847649148,0.987161287,2.022608166,3.01086962,1.283340893
