V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11,V12,V13,V14,V15
5.007969421,5.509020396,5.951562663,3.940455422,5.034211,8.809621407,7.953825916,4.239074091,6.914139514,5.459118025,5.349838785,8.528411847,4.293306518,4.23473596,3.777017457
7.142777036,6.044604309,5.067447922,5.550999568,3.446214753,4.352570855,4.598934172,4.704936639,6.04117748,6.626579467,3.467321715,5.864573348,7.584109663,6.365657848,3.820052527
4.158785006,4.814768036,5.375417628,6.603775945,5.854173889,4.421875007,4.7150442,4.850601776,5.24048502,7.549783512,4.829239927,4.23237482,5.056827647,5.460751966,6.124862754
7.097272348,5.299925752,6.400262829,5.94972489,6.093360832,4.478984652,4.958787679,4.932645598,5.805613041,3.390639797,4.570846664,3.902062583,6.692482237,5.311987039,4.50478174
5.442655953,4.505677675,6.017127239,4.691992842,6.61516511,6.829666918,7.128138732,5.057231185,9.598428451,4.842719194,4.937659264,7.470807094,8.995118527,5.537806996,4.00529391
5.573622049,6.581361673,5.494276413,4.896451912,3.654177349,5.590284028,4.533187128,6.606087159,5.737969754,4.470676066,4.705322046,5.709075864,3.921243763,3.52886693,7.368671148
4.788315337,5.952423966,4.613020037,8.623403396,5.150733926,5.435621079,6.355971304,4.456966176,3.630950266,4.559103221,4.823335902,5.191505196,3.677571522,6.315753614,4.114001512
5.482473052,5.320642702,4.589089321,5.901300218,3.470845162,5.57676092,4.620747401,5.62645627,4.925959699,5.032482738,3.099487247,7.095579038,5.221280991,5.760873902,3.940198073
5.364906409,7.180030503,3.910993955,5.871242726,7.674806798,7.137437028,5.617526606,4.121475777,4.745161296,5.328575184,5.416141169,7.637202647,7.926364614,5.909114412,3.617433205
6.087625095,4.75935562,4.056972181,5.383979644,4.636637936,5.497057366,6.083509287,5.147450633,4.9947878,4.421221251,5.221749413,5.721243452,8.751951815,4.617546213,3.846955308
5.007969421,5.509418304,6.510984168,4.936063339,4.865242505,6.477688058,5.564449398,3.745879656,4.035274685,6.087623016,6.882455815,5.601747847,4.61623416,8.171159469,7.167697535
4.412564515,5.536406389,9.765492374,4.687200801,5.76232146,3.964786502,6.666623276,5.313842709,5.787262562,4.755652762,6.125400758,6.328012813,4.033663919,7.307581558,7.400112917
6.338947177,7.114272773,5.191995358,6.404587266,6.770447969,10.25407375,5.343157624,6.092734168,6.994281155,6.596080919,8.005097339,5.785766266,5.614225973,6.248003787,5.159323802
10.92163632,6.397849304,5.836841357,3.582589968,4.467759411,5.149967059,5.028125845,6.129392596,5.013583265,7.781230417,5.746601011,4.880994639,5.169765221,8.19138022,4.216848853
4.834411229,7.699000766,4.253243956,4.289861529,6.272923611,4.238549797,5.058932887,4.495574006,6.635985872,5.509689467,3.784846352,4.83629726,4.118064327,4.561952379,3.083190839
8.423522861,4.827818422,6.111374965,4.412820282,6.081980591,5.417961701,7.338471965,3.520690538,5.799742383,7.025620945,7.400673099,6.457809728,8.33999023,3.397172127,5.283635527
6.017443886,5.846131855,4.162414487,4.717077283,6.589239198,5.253481476,5.334540373,10.01497865,4.550777752,4.871303974,5.203428004,5.645268422,5.30809737,4.837498655,5.310579186
6.699812762,6.190837774,3.407632823,5.770392542,5.270744915,3.879149636,4.662704689,7.247068492,4.62613757,6.302018184,7.697175856,3.147914933,5.165768932,3.670775482,5.811543559
4.447116483,4.46674772,3.981038738,8.513104668,3.756299413,5.273247185,6.981353481,3.935534105,5.140164173,4.869961311,4.020781385,4.861743549,4.614658064,7.022319552,5.880309182
5.375052821,5.192712373,4.623387693,6.107278817,4.42564585,4.495216147,3.898092774,6.211180776,5.360735518,4.670926561,5.325308836,4.203831308,4.837102691,10.68677367,5.173586705
6.589226707,4.159482498,9.013113234,4.440562449,6.172707171,5.379783575,4.028948157,5.343520522,4.449793833,4.849101613,4.641768421,5.473197745,4.781321441,7.079481024,3.992523715
4.612093798,3.676396902,6.912683156,5.751979158,6.439810062,6.258130006,4.602213424,4.647501159,5.57272416,5.612337353,5.862332489,6.352364504,5.770680404,5.077383089,4.167126214
4.949338319,6.522541406,4.782135859,3.860145261,6.011359496,4.344966348,6.43986638,4.071757734,6.74153411,4.672150241,7.398436018,4.560859961,5.060038085,4.741629129,5.14436077
7.092699221,4.545926956,4.082528052,8.273415716,4.085271201,5.001019328,5.239699586,4.548749142,3.97213266,5.167580289,6.074704195,3.461337729,3.945881198,5.163474595,5.116393253
5.07427256,7.452169026,3.932195066,6.459112914,6.592248393,6.91263533,4.495468548,4.674213568,4.797457136,5.654050653,3.95123384,6.01964004,4.971726062,6.777244693,4.889068331
8.809899775,7.660174162,5.111215032,6.29334252,5.909850589,3.732293998,5.9430587,5.620242905,5.317829224,4.163094339,3.455848343,5.214543238,3.424343875,3.500951039,6.242779452
5.552652145,4.589251415,5.965167371,4.188757903,4.314191743,5.35774532,5.339850693,6.981656271,4.787755204,4.834197765,3.230548033,6.342104021,5.413408346,6.155727594,5.694066929
5.426401606,6.47629914,5.370378695,6.13954132,6.104211726,4.835905557,3.610155331,5.411343034,5.038390007,4.673451186,5.092929506,6.950771149,6.52772594,7.022294014,4.986837218
4.745256393,5.394616598,5.617840031,4.281147849,5.924866014,4.955880423,4.691035617,6.943676827,8.265167799,5.75682872,4.538381289,5.378141856,6.018726612,4.367123077,8.948755238
4.96129864,6.23862979,4.417978759,5.610059518,5.9422935,7.132034242,5.209190119,4.8897879,3.372597097,8.216321976,4.589819538,4.375219206,3.689300296,3.839113983,9.069379029
4.052388441,4.901291334,5.220371231,4.331530137,5.217380217,6.133768565,8.878595839,4.612413712,5.369274484,10.79262406,4.784385536,4.899517768,5.713817034,3.79796677,5.178781454
7.620782008,4.000430673,6.603892083,5.140590752,4.66202259,4.973214926,5.392325708,4.240633361,3.836393086,3.411496696,6.201554526,4.904167222,5.331237135,4.875069138,5.4181602
6.935697207,3.841588744,6.437175151,6.756136391,6.387910064,6.476888276,5.070086864,5.69372062,5.565726437,6.002392442,5.428104574,5.591553966,4.984092739,6.016480359,4.622058758
6.197431375,7.571814813,4.832247478,2.978807666,3.855695664,3.865548992,4.537476683,7.668658212,5.180630686,4.73157793,3.578392417,5.276795484,3.806678767,3.522834905,4.929957641
4.212912664,6.06357025,4.366538929,6.754373333,3.108629932,4.004999354,6.893999405,4.383699752,4.320127726,6.775230971,5.385241868,3.585463662,6.970034204,6.42145415,5.700704603
5.476943402,4.939853221,5.214682937,3.522468708,5.403208782,4.403846035,3.354603935,6.292147354,4.369221309,4.708083976,4.267071068,12.26743061,5.136989466,4.568205812,6.313012993
6.36088994,6.101827436,5.144617003,5.897830576,7.551174565,7.85146654,5.460351491,6.031177568,4.897045096,6.344321091,7.895872791,6.440295136,4.383622989,3.532757077,5.755122924
6.927094274,4.993935048,6.673365925,4.588348025,4.921755261,6.615572587,3.881599977,3.143308317,5.879002901,5.706167776,7.939819063,6.503268606,4.489738813,6.889191985,4.722319292
4.645634407,4.55974557,6.208459646,5.894934899,4.46599007,6.238925005,6.495651894,5.195332209,6.034628517,4.828826997,4.692320123,3.851938935,6.075840303,7.451484001,3.197346913
8.411001577,6.403673196,5.173728087,4.551663679,4.142485036,3.55713221,3.984172995,3.574467475,9.000386739,8.061898063,6.611261649,4.861775157,4.51259495,4.612617989,4.525836511
6.248797495,4.741438692,3.660770441,5.061580731,4.355669944,10.5366639,7.973199523,6.456048968,5.278008171,6.306307558,7.396018438,4.744248549,4.750071647,7.309176037,5.338680142
4.608675637,5.314090987,5.269393618,5.372656274,5.68089259,2.978783107,5.490983521,4.997993286,5.774109571,6.552267534,5.199106112,6.600363026,8.163152609,3.990994956,4.865835106
4.939399467,4.816656497,5.394304181,8.057665119,4.494603211,3.703980591,6.277097054,4.229605787,4.991010231,5.864084507,7.91552114,6.058702337,6.778790444,3.789060728,4.325869823
6.303252805,6.346087414,6.847528895,6.868265568,5.5843376,5.552812752,4.537092362,5.132649625,4.63749056,3.620845011,4.236993471,4.132822153,4.791472516,4.4200463,4.793017853
